"start","end","text"
"21190","26260"," On va enchaîner rapidement les tumeurs malignes des"
"26260","26560"," maxillaires."
"26660","33600"," Vous allez voir que vous avez retenu l "
"33600","38000","'essentiel du propos précédent."
"38220","40640"," Le reste sera juste une image en miroir"
"40640","43140"," et un complément d'un certain nombre de"
"43140","47120"," choses qu'on va voir au chapitre précédent. "
"48740","51060"," Alors, on revient à la case de départ."
"51060","55520"," C'est une tumeur maligne qui se développe"
"55520","56880"," au niveau des maxillaires."
"57340","59130"," Pareil, on va exclure les tumeurs sinusiennes. "
"60680","64680"," On va exclure une autre entité, c'est"
"64680","68940"," les tumeurs gingivos maxillaires à point de départ"
"68940","69580"," muqueux."
"69720","71420"," Parce que quand un patient vient vous voir,"
"72640","76860"," il a un bourgeon au niveau de la"
"76860","77120"," bouche."
"77800","79160"," On ne sait pas si c'est la"
"79160","86100"," tumeur qui est à l'intérieur qui s "
"86100","87700","'est extériorisée. "
"87740","90840"," Ou là, c'est une tumeur gingivale qui"
"90840","92480"," a envahi l'os."
"93180","97000"," D'ailleurs, l'entité, je vais anticiper."
"101910","106830"," L'entité alvéolondentaire, c'est une entité qui"
"106830","108090"," est bien particulière. "
"115050","117130"," C'est-à-dire que l'entité alvéolondentaire"
"117130","124150"," est la seule tumeur qui est collée à"
"124150","130740"," l'os sans tissu conjonctif interposé."
"132480","134660"," C'est-à-dire que les muqueuses sont"
"134660","137920"," un tissu conjonctif sous-jacent avant de passer"
"137920","140860"," à un autre tissu."
"141300","143140"," Donc, notamment, il faudrait un os. "
"143920","148020"," Mais la gingive attachée, elle, au niveau de"
"148020","151420"," la bouche, c'est la seule muqueuse qui"
"151420","154620"," est collée à l'os sans tissu conjonctif."
"155860","158380"," Deuxième chose, c'est qu'on a le"
"158380","159180"," collé dentaire."
"159460","162100"," Le collé dentaire, il est à la fois,"
"162640","164520"," quand il est bien fait et quand il"
"164520","170100"," est sain, c'est un bouchon hermétique qui"
"170100","173860"," fait séparer le milieu extérieur par rapport à"
"173860","174400"," l'organisme. "
"176020","181240"," Mais le collé, lui, peut être source de"
"181240","181600"," problème."
"182380","184420"," Et lui, c'est une zone de faiblesse."
"184720","187320"," Imaginez que vous avez une tumeur à ce"
