"start","end","text"
"10630","12170"," On va faire le Zika virus."
"17120","19920"," Alors le Zika virus, en fait, c'était"
"19920","22200"," le 1er février 2016."
"22380","24860"," Il y a eu la déclaration de l "
"24860","27620","'état d'urgence d'ampleur mondiale, 2016. "
"28800","31119"," L'organisation mondiale de la santé a déclaré"
"31119","33160"," l'état d'urgence d'ampleur mondiale pour"
"33160","33780"," le Zika virus."
"36480","38480"," Si ce qui est maintenant, on est en"
"38480","40300"," état d'urgence d'ampleur mondiale pour le"
"40300","43880"," coronavirus actuellement, une mobilisation mondiale par rapport à"
"43880","44340"," ce sujet."
"45400","47880"," Sauf qu'en 2016, le maroc n'a"
"47880","49680"," pas été atteint par le Zika virus. "
"50380","51280"," En tout cas, ça n'a pas été"
"51280","51960"," importé."
"52440","53580"," C'est pour ça qu'on n'avait"
"53580","55660"," pas beaucoup entendu parler du Zika virus."
"56520","58740"," Mais nous, les collaborateurs, on a été mobilisés"
"58740","61120"," avec des kits adaptés pour la détection du"
"61120","61520"," virus. "
"62400","63819"," Parce qu'il y avait les Jeux olympiques"
"63819","66800"," en 2016, il fallait s'attendre, bien sûr,"
"67540","71120"," au retour des personnes du Brésil, là où"
"71120","75100"," se vivent particulièrement les virus, de détecter ceux"
"75100","76040"," qui sont en fauteuil de vue."
"76520","79660"," Donc, la structure du virus, d'abord, c "
"79660","84260","'est un virus enveloppé, un virus ARN, avec"
"84260","86320"," une capsule mycosaïdrique asymétrique."
"87800","91800"," Dans cet aspect externe, l'organisation en particulier"
"91800","92600"," du Zika virus. "
"93500","97600"," C'est un virus ARN enveloppé."
"98400","103180"," Alors, le Zika virus appartient à la famille"
"103180","104380"," des flaviviridae."
"105060","106120"," D'accord, le Zika virus. "
"106660","111140"," En fait, cette famille, ce genre de flavivirus,"
"111820","114800"," il est connu comme Arbopurus."
"114980","115900"," C'est Arbopurus."
"118540","121000"," On retrouve aussi le Chikungunya. "
"121120","123900"," Le Chikungunya appartient à la famille des flaviviridae."
"124300","126300"," Pour les pouliaviridae, vous avez les fièvres de"
"126300","129440"," la Vallée du Rit, le virus Toshkana, ou"
"129440","131140"," la fièvre hémorragique du crime Congo."
"131640","134060"," Rappelez-vous-en bien de la fièvre hémorragique"
"134060","136700"," du crime Congo, qui est un arbovirus. "
"137940","138940"," C'est-à-dire, en fait, que ce"
"138940","140820"," sont des virus transmis par des arthropodes, par"
"140820","141800"," des insectes."
"142420","144200"," C'est des virus transmis par des insectes."
"144200","147040"," C'est les trois familles qui sont connues"
"147040","153840"," quand on regroupe certains virus qui sont transmis"
"153840","155820"," par les moustiques, les arbopuruses. "
"155940","157100"," Arthropodes, born-virus."
"158920","160200"," En fait, ce n'est pas une famille"
"160200","163600"," des arbopuruses, c'est un groupement de familles"
"163600","167020"," de virus qui sont transmis par les moustiques"
"167020","169580"," en particulier, les insectes en général."
"171470","174390"," On ne va pas vous parler d'autres"
"174390","176950"," virus comme le ronion-gnon ou le maillardot,"
"177070","180250"," le syngvis, etc., ou le rose-river virus. "
"181310","183990"," J'ai cité ceux qui sont les plus"
"183990","184590"," connus."
"185370","188710"," Ces virus sont transmis par les moustiques du"
"188710","191470"," genre moustique femelle, du genre Aedes."
"192150","194510"," Vous avez deux types d'Aedes. "
"195190","198670"," L'Aedes aegypti, le Aedes aegypti qui est"
"198670","201130"," originaire de l'Afrique, qui est vecteur du"
"201130","202870"," Zika, non seulement du Zika virus, mais aussi"
"202870","204250"," du virus de la fièvre aux jeunes."
"204710","207430"," Et vous avez l'Aedes albopulptus, qui est"
"207430","209570"," originaire d'Asie, qui est vecteur du Zika"
"209570","211090"," virus, avec le virus de la dalle et"
"211090","211770"," du chikungunya."
"212830","218010"," Regardez ici, ces moustiques qui sont des vecteurs"
