"start","end","text"
"390","2490"," Chers étudiants, bonjour."
"3070","6170"," On va voir un autre quatrième cours de"
"6170","7170"," la néonatologie."
"9390","11070"," C'est les hectares néonatales. "
"11290","12030"," C'est quoi l'hectare ?"
"12030","13950"," L'hectare, c'est une coloration jaunâtre des"
"13950","14310"," tigements."
"15450","18610"," C'est un motif fréquent de consultation."
"19690","23930"," Pour cela, les objectifs de ce cours doivent"
"23930","24690"," être maîtrisés. "
"26030","28470"," L'étudiant doit faire une démarche diagnostique devant"
"28470","30650"," un hectare néonatale à partir du usage de"
"30650","33390"," la bilirubine et le contexte clinique."
"34170","36270"," Il doit décrire les caractéristiques d'un hectare"
"36270","38610"," pathologique par rapport à un hectare physiologique."
"39410","41990"," Il doit connaître les principales étiologies du hectare"
"41990","44530"," à bilirubine directe et à bilirubine indirecte. "
"45130","46970"," Il doit connaître le traitement symptomatique d'un"
"46970","48630"," hectare néonatale."
"51240","52440"," On a dit que le hectare, c'est"
"52440","53680"," une coloration jaune."
"53900","55940"," C'est un symptôme qui peut être rapporté"
"55940","57820"," par la maman, ou bien rapporté par le"
"57820","60220"," papa, ou bien rapporté par l'infirmier, ou"
"60220","61340"," bien par la sage-femme. "
"62660","66560"," Une coloration jaune correspond à un taux de"
"66560","68840"," la bilirubine qui est supérieur à 50 à"
"68840","71220"," 70 micromoles par litre."
"73700","76820"," A peu près 10 à 30 % des"
"76820","78800"," nouveaux-nés à terme présentent un hectare."
"79540","81140"," Il est plus fréquent chez les nouveaux-nés"
"81140","84300"," prématurés par rapport aux nouveaux-nés à terme. "
"85500","89860"," La majorité des hectares, ils sont à bilirubine"
"89860","92380"," non conjuguée, ou bien à bilirubine libre."
"94780","97740"," Mais ce qui est dangereux, deux choses."
"98560","100300"," C'est la teinte du cerveau et la"
"100300","100900"," teinte du fond. "
"101540","105380"," Si on a une bilirubine non conjuguée, ou"
"105380","109480"," bien directe, qui est augmentée, qui est importante,"
"109720","111500"," il y a un risque nucléaire."
"111500","113020"," Ça veut dire qu'il y a un"
"113020","116720"," risque d'atteinte des noyaux gris centraux."
"118740","122800"," On appelle ça une encéphalopathie hyperbilirubinique. "
"124880","126560"," Il y a un risque aussi de surdité,"
"127039","129380"," il y a un risque d'atteinte du"
