"start","end","text"
"880","4370"," Bonjour, les troubles de conduction, comme le titre"
"4370","7570"," du cours l'indique, concernent toutes les anomalies"
"7570","11170"," de la conduction de l'influx nerveux."
"12130","14290"," Ces troubles de conduction peuvent siéger à l "
"14290","16350","'étage auriculaire et on parlera à ce moment "
"16350","18290","-là de blocs sino-auriculaires."
"18830","22670"," Ils peuvent concerner la jonction auriculo-ventriculaire et"
"22670","25470"," ce sont les blocs auriculo-ventriculaires. "
"25470","29390"," Comme ils peuvent concerner des anomalies de conduction"
"29390","32830"," intra-ventriculaire et on parlera dans ce cas"
"32830","35610"," de blocs de branche droit ou de blocs"
"35610","36630"," de branche gauche."
"38310","42450"," Donc la définition correspond à un retard ou"
"42450","45830"," déficit de transmission de l'influx entre les"
"45830","48550"," oreillettes et les ventricules dû à des lésions"
"48550","49870"," des voies spécifiques."
"50470","52890"," Ça peut être le noeud auriculo-ventriculaire, ça"
"52890","54650"," peut être le tronc du faisceau de His"
"54650","56470"," ou l'une de ses branches ou même"
"56470","56930"," les deux. "
"57450","60950"," Donc la symptomatologie fonctionnelle est très intéressante et"
"60950","62010"," bien particulière."
"62510","65910"," L'électrocardiogramme est la clé du diagnostic positif."
"66890","70270"," Parfois, on a recours à un enregistrement de"
"70270","72870"," langue durée 24 heures ou plus quand il"
"72870","74870"," s'agit de troubles conductifs paroxystiques. "
"75850","80050"," Et le traitement repose essentiellement sur la stimulation"
"80050","80870"," cardiaque."
"82290","86990"," On se rappelle par cette diapositive des éléments"
"86990","89670"," qui constituent le tissu conductif."
"89910","92170"," On sait que l'influx nerveux naît au"
"92170","93070"," niveau du noeud sinusale. "
"94250","96310"," Il va se propager au niveau de l "
"96310","99070","'oreillette pour arriver au niveau du noeud auriculo "
"99070","102190","-ventriculaire, appelé également le noeud à chauffe-tavara."
"102190","104530"," Et par là, il va aller au niveau"
"104530","107410"," du tronc du faisceau de His qui lui "
"107410","110450","-même va se subdiviser en deux branches, la"
"110450","113390"," branche gauche et la branche droite."
"114010","118110"," La branche gauche elle-même se subdivise en"
"118110","122200"," branche gauche supérieure et en branche gauche inférieure. "
"125860","129360"," La symptomatologie clinique, c'est la syncope."
"129360","131280"," Cette syncope-là, c'est la perte de"
"131280","133860"," connaissance, on le sait, mais elle est particulière"
"133860","135400"," par ses caractéristiques."
"135540","137300"," On dit que c'est une syncope à"
"137300","141240"," l'emporte-pièce appelée type Adam-Stocks. "
"142300","144720"," Les caractéristiques, on va les voir maintenant."
"145000","148460"," C'est une perte de connaissance brutale, c "
"148460","150520","'est-à-dire elle n'est pas précédée"
"150520","152980"," de prodrome à la différence de d'autres"
"152980","156300"," malaises hypothymiques."
"156300","158640"," Elle est brutale, comme j'ai dit, non"
"158640","159720"," précédée de prodrome. "
"159800","162080"," Les prodromes, vous les connaissez, c'est-à "
"162080","165000","-dire elle n'est pas précédée de vertige,"
"165120","168500"," pas précédée de voile noirâtre devant les yeux,"
"169460","171060"," d'acouphène, de phosphène."
"171480","174620"," Donc, elle survient de manière brutale."
"175620","177700"," Donc, c'est très important à l'interrogatoire"
"177700","180300"," devant un patient qui présente une perte de"
"180300","183740"," connaissance de s'interroger sur les caractéristiques. "
"183740","184840"," Est-ce que c'est une perte de"
"184840","189520"," connaissance qui est totale, brutale et sans signe"
"189520","190500"," annonciateur?"
"190740","194120"," Ce sont les caractéristiques de la perte de"
"194120","197940"," connaissance en rapport avec le bloc auriculoventriculaire."
"199300","200920"," Donc, à quoi est-elle due?"
"201100","202880"," Eh bien, elle est due à une pause"
"202880","205880"," cardiaque ou bien à une bradycardie extrême."
"205880","209500"," Parfois, le bloc auriculoventriculaire se manifeste d'emblée"
"209500","212600"," par une mort subite, récupérée ou non, ou"
"212600","215060"," bien par des signes d'insuffisance cardiaque étant"
"215060","218640"," donné la bradycardie importante et la perte de"
"218640","221820"," l'asynchronisme entre les oreillettes et les ventricules. "
"223860","226960"," Donc, je vous ai dit que l'électrocardiogramme"
"226960","228980"," revêt une importance capitale."
"228980","231380"," Il permet à la fois de nous dire"
"231380","235420"," des éléments très importants, poser le diagnostic du"
"235420","238000"," bloc, quel est son degré, c'est-à "
"238000","239840","-dire un bloc de type 1, 2 ou"
"239840","243060"," 3, on verra, la topographie du bloc, c "
"243060","245800","'est-à-dire où siège l'anomalie de"
"245800","246260"," conduction."
"246740","248160"," Est-ce qu'elle siège au niveau du"
"248160","249100"," faisceau du hisse?"
"249200","251820"," Est-ce qu'elle est suprahyssienne, c'est "
"251820","254900","-à-dire au niveau du tissu conductif entre"
"254900","257360"," l'oreillette et les ventricules, ou bien elle"
"257360","260740"," est infrahyssienne, c'est-à-dire le tissu"
"260740","264200"," conductif en dessous du tronc du faisceau du"
"264200","264560"," hisse. "
"265000","267500"," L'électrocardiogramme nous renseigne également sur ce qu "
"267500","269420","'on appelle les foyers de suppléance."
"270040","273420"," Sachez que quand on a un blocage de"
"273420","276800"," la conduction, bien sûr, les ventricules doivent se"
"276800","277380"," contracter."
"277800","280920"," Pour ceci, il y aura naissance d'autres"
"280920","282520"," foyers de suppléance, c'est-à-dire des"
"282520","286180"," foyers ectopiques qui sont quiessants, ils sont au"
"286180","287120"," repos et calmes. "
"287580","289600"," Ils commencent à faire parler d'eux et"
"289600","292220"," ils commencent à créer un influx nerveux parce"
"292220","294900"," que celui-ci n'a pas pu traverser"
"294900","297640"," les voies de conduction normales et arriver au"
"297640","298680"," niveau des ventricules."
"299120","300740"," D'autres foyers vont se créer."
"300980","302640"," Ce sont les foyers de suppléance. "
"303140","308060"," Ces foyers de suppléance vont être, on va"
"308060","311920"," toujours parler de cette terminologie, suprahyssiens ou infrahyssiens."
"311920","315000"," Quand ils seront suprahyssiens, c'est-à-dire"
"315000","319240"," en dehors des tissus de conduction normales, quand"
