"start","end","text"
"260","3420"," Bonjour et bienvenue dans ce cours intitulé Trépanosomiase"
"3420","4960"," ou trépanosomose."
"5060","7300"," Et on commence tout d'abord par la"
"7300","13620"," trépanosomose humaine africaine, appelée également, communément appelée la"
"13620","14920"," maladie du sommeil."
"17580","22780"," Et cette trépanosomiase africaine, couramment appelée la maladie"
"22780","28420"," du sommeil, elle est due au développement chez"
"28420","36700"," l'homme de trépanosoma bruceille, qui est transmis"
"36700","40840"," par la pécure d'une mouche, la glycine,"
"41580","44180"," communément appelée la mouche 7C. "
"44640","47440"," Donc c'est une maladie à transmission vectorielle."
"48260","52240"," L'agent pathogène, c'est un flagellé, un"
"52240","56680"," protozoaire flagellé et qui est transmis par la"
"56680","58380"," pécure de la glycine."
"59060","63060"," Alors, bien sûr, il y a des sous "
"63060","65640","-espèces, mais ce n'est pas très important. "
"66200","70880"," Pour vous retenez que trépanosoma bruceille est l "
"70880","76360","'agent parasitaire de la maladie du sommeil, en"
"76360","79880"," l'occurrence la trépanosomiase humaine africaine."
"81220","84460"," Cette maladie est endémique dans pas mal de"
"84460","87280"," pays de la région de l'Afrique subsaharienne"
"87840","91140"," et l'évolution malheureusement le plus souvent est"
"91140","93300"," mortelle en l'absence du traitement."
"95720","99840"," Le parasite, c'est un trépanosome appartenant à"
"99840","102180"," la classe des flagellés, c'est un flagellé"
"102180","103380"," tessulaire. "
"103720","106640"," Je vous rappelle le flagellé, un autre flagellé"
"106640","111100"," tessulaire que nous avons déjà étudié, qui est"
"111100","112840"," l'Echmania."
"114080","117280"," Aujourd'hui, nous avons un autre flagellé et"
"117280","119760"," cette fois-ci qui peut se retrouver au"
"119760","122540"," niveau du sang, au niveau des ganglions, au"
"122540","125100"," niveau du liquide céphalo-rachidien et qui est"
"125100","126480"," très mobile cette fois-ci."
"127020","131980"," Donc, vous avez la forme mobile flagellée et"
"131980","136000"," qui est facilement repérable après réalisation d'un"
"136000","139120"," prélèvement sanguin parce qu'il est mobile à"
"139120","139680"," l'état frais. "
"140120","142000"," Il est fusiforme, il peut mesurer jusqu'à"
"142000","148920"," 42 microns, jusqu'à sur 3 à 4"
"148920","150700"," microns de large."
"151760","154460"," Voilà comment on peut le voir sur la"
"154460","156660"," photo, c'est ça les trépanosomes."
"157020","159840"," Ils sont extracellulaires, donc vous voyez qu'on"
"159840","162780"," les retrouve au niveau du sang, oui, mais"
"162780","166140"," pas à l'intérieur des globules rouges, non"
"166140","171380"," plus, et pas au niveau des leucocytes, mais"
"171380","173480"," on les retrouve au niveau du plasma. "
"174160","179580"," Donc, remarquez ici le protoseur flagellé, le trépanosome"
"179580","184740"," qui est fusiforme, mobile et extracellulaire, un genre"
"184740","188060"," de la maladie du sommeil, trépanosoma gruceyi."
"190300","191360"," Le vecteur."
"191440","193960"," Le vecteur, c'est une mouche qui est"
"193960","198040"," assez grande, appelée la mouche Tsetse, elle est"
"198040","200060"," grande, brune et furtive. "
"201060","203580"," Sa pécure est ressentie comme étant une aiguille"
"203580","205680"," chaude enfoncée dans la chair."
"205920","208800"," Donc, sa pécure ne peut pas passer inaperçue."
"210480","212200"," Le cycle, il est très simple. "
"212580","214880"," Donc, la mouche, au cours de son repas"
"214880","218460"," sanguin, elle va, bien sûr, prendre du sang,"
"218560","220120"," mais en même temps, elle va injecter le"
"220120","223180"," parasite qui n'est autre que des trépanosomes."
"223560","227120"," Ces derniers vont être véhiculés par le sang"
"227120","230700"," et par la lymphe pour passer dans la"
"230700","233480"," circulation générale et c'est comme ça qu "
"233480","236780","'il pourra, bien sûr, atteindre tous les organes"
"236780","239400"," de notre organisme."
"239660","241660"," Donc, à l'intérieur de l'hôte, ils"
"241660","246560"," vont se transformer pour être transportés tout d "
"246560","249000","'abord et puis se retrouver au niveau du"
"249000","251160"," sang, au niveau de la lymphe, mais aussi"
"251160","254300"," au niveau du LCR, le cycle parasitaire du"
"254300","258459"," trépanosome africain est représenté par des étapes extracellulaires"
"258459","261500"," comme nous l'avons déjà vu sur les"
"261500","261780"," photos. "
"264520","268180"," Donc, sur cette diapositive, nous remarquons, après un"
"268180","271900"," repas sanguin et une pécure par la glycine,"
"273300","276620"," il y aura bien sûr formation d'une"
"276620","279460"," inflammation, c'est ce qu'on appelle un"
"279460","284020"," chancre et à partir de cette lésion cutanée,"
"284600","289360"," on aura le passage par voie sanguine ou"
"289360","291540"," par voie lymphatique et donc c'est ce"
"291540","294120"," qui détermine la deuxième phase, c'est la"
"294120","297820"," phase lymphatique et sanguine et puis par la"
"297820","301640"," suite à cette phase succède la phase tardive"
"301640","304120"," qui est une phase neurologique avec toutes les"
"304120","306400"," conséquences sérieuses et graves."
"306820","308700"," Mais il ne faut pas oublier que la"
"308700","312920"," circulation du parasite se fait principalement au milieu"
"312920","316280"," sauvage, donc contre les animaux sauvages et la"
"316280","316780"," glycine."
"316980","319980"," Donc, vous avez les animaux et le vecteur,"
"320120","323300"," bien sûr, qui assure la transmission du parasite"
"323300","328020"," qui est trépanosoma brusséi, avec deux variétés, Rhodesian"
"328020","329460"," C et Gambien C, ce n'est pas"
"329460","330140"," très important. "
"330140","333780"," Retenez que le trépanosome africain, c'est trépanosoma"
"333780","334800"," brusséi."
"337100","339320"," Maintenant, nous arrivons au tableau clinique et on"
"339320","342280"," commence par la forme typique, c'est la"
"342280","343880"," forme de l'Afrique du Nord-Ouest, un"
"343880","348140"," trépanosoma Gambien C et qui est bien sûr"
"348140","355460"," caractérisé par une lésion, une lésion cutanée qui"
"355460","358620"," est bien sûr le résultat de l'inoculation"
"358620","361940"," par pécure, par la mouche Tsetse, c'est"
"361940","363800"," ce qu'on appelle le chancre d'inoculation,"
"364360","367560"," appelé également trépanome, qui peut être associé à"
"367560","368980"," des adénopathies satellites."
"370980","374180"," Puis par la suite survient la phase lymphatico "
"374180","377640","-sanguine et cette phase est caractérisée par une"
"377640","382320"," fièvre, des adénopathies cervicales, un prérut et des"
"382320","383420"," éruptions cutanées. "
"386100","389440"," Et puis par la suite, l'évolution va"
"389440","396360"," justement concerner les structures mélingo-encéphaliques et c "
"396360","399840","'est la phase mélingo-encéphalique qui survient après"
"399840","403320"," un délai très variable et caractérisé par des"
"403320","406940"," signes neurologiques très importants, à savoir le trouble"
"406940","410460"," sensitif, des troubles du sommet, d'où la"
"410460","413000"," nomination de maladies du sommet parce qu'il"
"413000","413940"," y a des troubles du sommet."
"414420","420020"," Le sujet va accuser une disparition du rythme"
"420020","423280"," circadiaire avec alternance d'insomnie et de somnolence"
"423280","426420"," paroxystique et on remarque que le sujet est"
"426420","428080"," tout le temps abattu et tout le temps"
"428080","432060"," endormi, associé à des troubles psychiques, des troubles"
"432060","434740"," de comportement et de l'humeur et même"
"434740","439060"," des troubles cérébelleux avec phénomène d'incoordination motrice."
"441860","446120"," Cette photo nous montre un sujet victime de"
"446120","447220"," la maladie du sommet. "
"449360","453320"," L'évolution malheureusement va aboutir à un état"
"453320","457320"," gravataire et cachectique du patient qui va malheureusement"
"457320","460760"," céder l'âme dans un état de coma"
"460760","467800"," et d'infection intercurrente de complications rénales et"
"467800","468220"," cardiovasculaires."
"470520","473760"," Le diagnostic repose sur des éléments d'orientation,"
"474320","478540"," notamment une forte concentration en anticorps et donc"
"478540","485720"," une hypergamma globulinémie qui est justement caractérisée par"
"485720","487500"," des IgM très importantes."
"488620","492200"," C'est un signe très fort de présent. "
"492780","495740"," Mais il faut bien sûr se baser sur"
"495740","498620"," la recherche du parasite, recherche du parasite au"
"498620","501680"," niveau du sang en réalisant un frottis ou"
"501680","502480"," une goutte épaisse."
"502960","504840"," Comme on peut le rechercher sur les ganglions,"
"505340","507200"," au niveau du LCR, c'est possible."
"507760","511580"," La recherche indirecte par la détection d'anticorps"
"511580","514460"," est possible également par différentes techniques, notamment l "
"514460","516700","'ELISA, l'IFI ou autres techniques. "
"518940","521480"," Le diagnostic de phase, est-ce que c "
"521480","524300","'est une phase lymphatique ou sanguine ou bien"
"524300","525920"," une phase neurologique ?"
"525920","526760"," Qu'est-ce qu'il faut faire ?"
"526760","529540"," Il faut réaliser une ponction lambaire."
"529700","532440"," Au niveau du LCR, on va rechercher le"
"532440","533460"," taux d'anticorps."
"533860","536560"," S'il est de type IgM trop élevé,"
"537680","541500"," c'est un témoin de la phase neurologique. "
"544800","547260"," Le traitement de la maladie du sommet est"
"547260","551420"," lent, il est difficile et malheureusement toxique."
"551420","554120"," En plus, il y a des résistances de"
"554120","556940"," la part des souches par rapport au traitement."
"557440","559060"," C'est ce qui rend vraiment très difficile"
"559060","560880"," la prise en charge de la maladie du"
"560880","561220"," sommet. "
"563240","567920"," La prophylaxe repose sur la lutte contre le"
"567920","570000"," vecteur, notamment la glucine."
"570120","570820"," C'est une mouche."
"571280","574100"," On peut mettre en place des pièges de"
"574100","577700"," la mouche et des écrans de couleur bien"
"577700","580600"," choisis imprégnés d'insecticides photo-stables. "
"581520","585720"," Il faut dépister et traiter tous les sujets"
"585720","588740"," présentant la maladie du sommet."
"589280","594860"," Nous arrivons à la trypanosomiase humaine américaine, communément"
"594860","598920"," appelée la maladie du chagas, qui est une"
"598920","602780"," maladie parasitaire due au développement chez l'homme"
"602780","605400"," de trypanosoma cruzi."
"607620","610740"," La transmission se fait par des réduits. "
"611080","614980"," Ce sont des punaises hématophages mâles et femelles"
"614980","616660"," qui sont à l'origine de la transmission"
"616660","617360"," de la maladie."
"617880","621460"," L'OMS compte plus de 13 000 personnes"
"621460","624480"," qui meurent chaque année à cause de la"
"624480","629140"," maladie du chagas, principalement dans l'Amérique latine."
"631280","635160"," Les vecteurs sont de grosses punaises hématophages et"
"635160","637920"," les deux sexes peuvent transmettre la maladie. "
"640460","646460"," Le parasite, trypanosoma cruzi, ne se multiplie qu "
"646460","647780","'à l'intérieur des cellules."
"648500","651040"," C'est tout à fait le contraire de"
"651040","654620"," trypanosoma brucei, l'agent de la maladie du"
"654620","655560"," sommet en Afrique."
"656020","659780"," Ici, trypanosoma cruzi se multiplie à l'intérieur"
"659780","661940"," des cellules et se forme un mastigote, comme"
"661940","665360"," le cycle de l'échmanie. "
"665660","668640"," Trypanosoma cruzi est éliminé avec les déjections de"
"668640","669500"," son vecteur."
"670020","671900"," Avec les déjections, ce n'est pas au"
"671900","675240"," niveau des pièces buccales, mais au niveau de"
"675240","675760"," la trempe."
"678000","681800"," Le cycle parasitaire est caractérisé par la pénétration"
"681800","684500"," de manière active à travers les muqueuses saines. "
"685500","687980"," C'est vrai que les punaises mâles et"
"687980","692400"," femelles sont des insectes hématophages."
"692540","695280"," Ils viennent piquer, mais ils n'injectent pas"
"695280","696120"," le parasite."
"696800","699560"," Le parasite est éliminé avec les déjections. "
"702260","706600"," Quand le sujet a mal, suite à sa"
"706600","707800"," piqûre, il va se gratter."
"708060","710440"," En se grattant la peau ou les muqueuses,"
