"start","end","text"
"2700","4180"," On a vu que l'arrivée de l "
"4180","7039","'intérieur était le tronc collecteur de sang dans"
"7039","8520"," la partie sous-diaphragmatique."
"8960","10620"," Il est fait par la convergence des deux"
"10620","12180"," vaginales qui sont mises au rendez-vous."
"12460","14460"," Et donc l'arrivée de l'intérieur est"
"14460","15560"," le tronc collecteur de sang dans la partie"
"15560","16200"," sous-diaphragmatique. "
"19760","20740"," Effectivement, très bien."
"20740","27740"," C'est le principal tronc veineux qui draine"
"27740","31619"," toute la partie sous-diaphragmatique, c'est-à "
"31619","34440","-dire les deux tiers du corps."
"37040","41460"," Il se termine en s'abouchant au niveau"
"41460","43620"," de l'oreille droite. "
"43620","50120"," Après avoir traversé le diaphragme, tout en décrivant"
"50120","56720"," un petit segment thoracique ou sous-diaphragmatique."
"57700","62020"," Maintenant, on va enchaîner avec les veines iliaques"
"62020","62620"," communes."
"64880","71780"," Avez-vous une idée sur une veine iliaque"
"71780","72640"," commune ?"
"79780","83840"," C'est une branche terminale, d'après les"
"83840","86360"," deux branches, la 24 intérieure. "
"94870","97410"," S'il vous plaît, pas de confusion entre"
"97410","99630"," ce qui est artériel et ce qui est"
"99630","100070"," veineux."
"100950","105310"," L'aorte dans deux branches terminales qui sont"
"105310","110310"," les artères iliaques, contrairement aux veines, parce que"
"110310","112750"," le retour n'est pas la même chose,"
"113070","118010"," c'est l'inverse."
"118430","124050"," La 24 intérieure est née des deux veines. "
"124050","126930"," C'est le point de départ plutôt de"
"126930","131390"," la 24 intérieure et non la terminaison de"
"131390","132290"," la 24 intérieure."
"132850","133730"," C'est le retour."
"134390","135870"," Est-ce que c'est clair ?"
"135870","136890"," S'il vous plaît, il ne faut pas"
"136890","139550"," faire de confusion entre ce qui est artériel"
"139550","140490"," et ce qui est veineux. "
"147370","150710"," Les veines iliaques assurent le drainage des deux"
"150710","152170"," membres inférieurs et du pelvis."
"155530","161510"," Les veines iliaques communes assurent le drainage veineux"
"161510","164350"," ou le retour veineux de tout ce qui"
"164350","166170"," est pelvis et membres inférieurs."
"167190","169610"," Il y a les deux veines, la veine"
"169610","173490"," iliaque interne qui assure le drainage et le"
"173490","176970"," retour veineux du pelvis, et la veine iliaque"
"176970","181050"," externe qui assure le drainage du membre inférieur. "
"181050","182670"," Est-ce que c'est clair ?"
"183550","186050"," C'est clair pour tout le monde ?"
"189050","190390"," Donc, c'est ce qu'on voit ici"
"190390","192490"," sur l'image."
"198250","202510"," Alors, la veine cave intérieure née par l "
"202510","206170","'union des deux veines iliaques communes et chaque"
"206170","213710"," veine iliaque commune née par la jonction ou"
"213710","217570"," l'union des deux veines iliaques internes qui"
"217570","222350"," assurent le retour veineux ou le drainage veineux"
"222350","225990"," du pelvis, et la veine iliaque externe qui"
"225990","228830"," permet le drainage et le retour veineux du"
"228830","229710"," membre inférieur."
"229710","231850"," D'accord ?"
"231850","235730"," On voit ici que la veine iliaque externe"
"235730","240770"," est plus volumineuse que la veine iliaque interne. "
"244950","247590"," Ce n'est pas le subject, il reçoit."
"247590","250770"," Il reçoit, s'il vous plaît, pas de"
"250770","252550"," confusion entre tout ce qui est artériel et"
"252550","252870"," veneux."
"252970","253770"," Ce n'est pas la même chose. "
"257540","260440"," Alors, les veines iliaques communes sont en nombre"
"260440","261000"," de deux."
"261600","265080"," Elles sont des branches d'origine de la"
"265080","266540"," veine cave inférieure."
"266800","268360"," Donc, c'est l'origine et pas la"
"268360","269120"," terminaison. "
"270460","273160"," Elles naissent de la réunion des veines iliaques"
"273160","276520"," externes et iliaques internes et drainent le pelvis"
"276520","277940"," et le membre inférieur."
"278880","280400"," C'est bon ?"
"282000","285060"," Alors, on passe aux veines iliaques."
"294340","299060"," Avant de passer aux veines iliaques externes, les"
"299060","301160"," veines iliaques naissent de la réunion des veines"
"301160","302700"," iliaques externes et internes. "
"302980","307700"," C'est au niveau de l'articulation sacro "
"307700","308220","-iliaque."
"312340","315660"," C'est au niveau de l'articulation sacro "
"315660","316180","-iliaque."
"316180","320640"," On voit la naissance de la veine iliaque"
"320640","321180"," commune. "
"322020","325560"," Donc, vous voyez, la jonction veine iliaque interne"
"325560","328280"," et veine iliaque externe, c'est au regard"
"328280","330200"," de l'articulation sacro-iliaque."
"338410","342130"," Elle se termine en fusionnant entre elles sur"
"342130","346970"," la partie droite de la vertèbre lamberte M5"
"346970","349550"," pour former la veine cave inférieure."
"349550","352570"," C'est en para, parce qu'on a"
"352570","354290"," dit la dernière fois que la veine cave"
"354290","358330"," inférieure c'est à droite de la colonne"
"358330","358990"," vertébrale. "
"359250","362930"," Le point de départ de la veine iliaque"
"362930","366050"," commune, c'est au niveau latéral droit de"
"366050","368990"," la colonne vertébrale et plus précisément au regard"
"368990","370410"," de M5."
"378100","381440"," Donc, pour la commune droite, il est situé"
"381440","385240"," derrière son artère homonyme qui est l'artère"
"385240","392040"," iliaque commune droite ou primitive droite et devient"
"392040","393840"," latéral à sa terminaison."
"395540","399740"," Elle répond en arrière au nerf obturateur et"
"399740","402100"," il reçoit la veine lamberte. "
"403100","404180"," À droite."
"407100","410980"," Est-ce que vous arrivez à imaginer la"
"410980","414480"," veine iliaque commune droite ?"
"414480","418540"," Normalement, il faut toujours se rappeler que les"
"418540","425440"," veines iliaques ont un rapport étroit avec leurs"
"425440","430280"," artères homonymes qui sont les artères iliaques communes."
"430280","436020"," De toute façon, ils ont le même trajet. "
"438940","442180"," Donc, les rapports anatomiques de la veine iliaque"
"442180","445340"," commune droite."
"448180","453340"," Toujours, c'est l'artère iliaque commune bien"
"453340","454120"," sûr droite."
"455120","458640"," En arrière, on trouve le nerf obturateur. "
"460320","465360"," Aussi, la veine lamberte droite qui se jette"
"465360","467680"," dans la veine iliaque commune droite."
"469160","473040"," Pour la gauche, il est situé aussi derrière"
"473040","475900"," son artère homonyme qui est l'artère iliaque"
"475900","479560"," commune gauche ou primitive gauche et se dirige"
"479560","482560"," obliquement à gauche et en dessous de son"
"482560","483020"," artère."
"483020","487440"," Elle répond en avant, en misécolant sigmoïde, au"
"487440","489060"," vaisseau misantérique supérieur. "
"489920","493620"," En latérale, elle répond au vaisseau gonadique et"
"493620","495260"," au nerf obturateur."
"495840","501660"," Et en arrière, c'est le N5, le"
"501660","503820"," corps vertébral du N5."
"504680","505840"," Est-ce qu'il y a des questions"
"505840","509520"," pour la commune avant de passer à l "
"509520","511159","'iliaque externe ?"
"518169","519570"," Ce n'est pas qu'il croise la"
"519570","520830"," veine lamberte, il le reçoit. "
"521490","524690"," La veine lamberte se jette dans la veine"
"524690","526030"," iliaque commune."
"537240","539080"," Kevin ?"
"539080","552490"," Je vais"
"552490","554590"," chercher une image pour vous montrer."
"572730","574510"," Malheureusement, il ne signe pas. "
"584990","586910"," Je ne sais pas si on peut considérer"
"586910","589410"," ça comme, il ne sait pas bien signer,"
"589490","591410"," une veine lamberte."
"606190","609970"," Donc, l'iliaque externe pour l'iliaque externe."
"612030","614690"," Quelle est l'origine de la veine iliaque"
"614690","615720"," externe ?"
"617190","621390"," Qui donne la veine iliaque externe ?"
"621390","624350"," C'est la veine sémorale commune, d'accord"
"624350","624740"," ?"
"625470","627290"," C'est la veine sémorale commune. "
"628570","631970"," La veine sémorale commune, d'où vient la"
"631970","633250"," veine sémorale commune ?"
"634790","638110"," Elle vient de l'union des deux veines,"
"638530","642770"," veine sémorale profonde et veine sémorale superficielle, pour"
"642770","645490"," former la veine sémorale commune."
"645550","650150"," Et la veine sémorale commune se termine en"
"650150","653450"," donnant la veine iliaque externe."
"654450","656230"," C'est quel niveau ?"
"656230","657610"," C'est juste ?"
"658670","662110"," On regarde du ligament inguinal. "
"664350","667750"," Alors, la fin ou la terminaison de la"
"667750","673430"," veine iliaque externe, c'est la veine cave"
"673430","674510"," inférieure."
"674690","683810"," Après avoir, c'est en signant à la"
"683810","685130"," veine iliaque interne."
"685130","688410"," Donc la veine iliaque externe s'unit avec"
"688410","691950"," la veine iliaque interne pour former le tronc"
"691950","693570"," de la veine cave inférieure. "
"696670","700130"," La veine iliaque commune."
"701430","705470"," Pour le trajet et les rapports, donc toujours"
"705470","711190"," l'artère iliaque externe, c'est un rapport"
"711190","711870"," anatomique."
"711870","714370"," Et toujours l'artère homonie, c'est un"
"714370","717410"," rapport anatomique très important, il ne faut pas"
"717410","717910"," l'oublier. "
"719950","723450"," Bien sûr, la différence entre l'homme et"
"723450","723930"," la femme."
"724170","726750"," Donc l'homme, on trouve le canal différent"
"726750","730250"," qui surcroît la veine à son origine."
"731330","735350"," Aussi on trouve comme rapport anatomique de la"
"735350","739510"," veine iliaque externe, des noeuds iliaque externes qui"
"739510","742150"," se trouvent sur la partie médiale et la"
"742150","745830"," partie intermédiaire de la veine iliaque externe. "
"747970","751830"," Les influences de la veine iliaque externe sont"
"751830","759190"," les veines satellites de leur artère homonie."
"759450","762370"," Donc bien sûr la veine épigastrique inférieure et"
"762370","764530"," la veine circonflexe iliaque profonde."
"764530","767750"," La dernière fois on a dit que l "
"767750","772430","'artère iliaque externe donne comme branches collatérales l "
"772430","777630","'artère circonflexe iliaque et l'artère épigastrique. "
"778230","782390"," Donc ici les influences de la veine iliaque"
"782390","788130"," externe ce sont les homonies de leur artère."
"788390","789530"," Est-ce que c'est clair ?"
"793180","799000"," Cette image pour mémoriser de façon définitive le"
"799000","804420"," rapport étroit entre l'artère iliaque et la"
"804420","805040"," veine iliaque."
"805200","806060"," C'est très important. "
"807540","812400"," On voit ici que l'artère iliaque à"
"812400","815820"," l'origine est en latéral de la veine"
"815820","822180"," iliaque externe et par la suite l'artère"
"822180","826080"," surmonte la veine, il devient en avant jusqu "
"826080","831960","'à la terminaison de la veine iliaque."
"832600","835860"," Donc l'artère iliaque c'est un élément"
"835860","839100"," anatomique, c'est un rapport anatomique très important."
"839760","847400"," Toujours comme implication clinique, si on veut par"
"847400","850660"," exemple accéder à la veine ou à l "
"850660","853540","'artère iliaque pour faire une chirurgie, par exemple"
"853540","855960"," un aneurysme de l'artère iliaque, toujours on"
"855960","858380"," doit faire attention à la veine ou l "
"858380","858840","'inverse. "
"859220","861740"," Si on veut réparer une lésion sur la"
"861740","864040"," veine iliaque, on doit faire attention pour ne"
"864040","866840"," pas léser l'artère iliaque."
"866840","870200"," Donc c'est un rapport anatomique très étroit."
"871300","872840"," Est-ce que c'est clair ?"
"873780","877480"," Si vous répondez l'examen de l'Ener"
"877480","879300"," ou je ne sais pas quoi et que"
"879300","882120"," vous n'hésitez pas à l'artère iliaque"
"882120","884960"," hormonique, c'est faux, c'est grave. "
"885340","891620"," Donc toujours cette image pour retenir ce rapport"
"891620","894160"," étroit entre veine et iliaque."
"894160","894840"," Ils sont"
"901720","912680"," parallèles,"
"914640","916920"," l'artère il croise."
"917160","919940"," Au début l'artère il est au latéral"
"919940","922480"," de la veine, par la suite comme s "
"922480","924820","'il la croise il devient antérieur. "
"926420","931560"," Donc la difficulté chirurgicale pour repérer la veine"
"931560","935420"," en bas de l'artère, si on veut"
"935420","939400"," disséquer et contrôler l'artère iliaque externe, on"
"939400","941620"," doit faire attention à la veine pour ne"
"941620","942660"," pas la léser."
"943700","944800"," C'est très important."
"948660","952920"," Pour la veine d'iliaque interne, c'est"
"952920","958200"," une petite veine qui ne dépasse pas 4"
"958200","961960"," cm de longueur et 1,5 cm de"
"961960","962960"," diamètre. "
"963460","964980"," Elle est née au regard bien sûr de"
"964980","968900"," l'articulation sacro-iliaque, puis elle s'unit"
"968900","971980"," à la veine d'iliaque externe pour former"
"971980","975000"," bien sûr la veine d'iliaque commune."
"975000","978120"," Ces rapports en arrière c'est le muscle"
"978120","981480"," périforme et l'articulation sacro-iliaque."
"982080","989700"," En avant, la veine d'iliaque interne droite"
"989700","993020"," répond à son artère, parce qu'entre la"
"993020","994380"," droite et la gauche il y a une"
"994380","996600"," petite différence. "
"996600","1002520"," Pour la veine d'iliaque interne droite, elle"
"1002520","1006520"," répond à son artère homonyme qui la sépare"
"1006520","1010900"," de l'interne, alors que la veine d "
"1010900","1013820","'iliaque externe gauche répond à l'interne et"
"1013820","1016020"," latéralement à l'artère homonyme."
"1032579","1035760"," Pour l'affluence de la veine d'iliaque"
"1035760","1039520"," interne, ce sont les veines de drainage du"
"1039520","1043359"," pluxus vaisseaux, notamment les veines rectales moyennes et"
"1043359","1048160"," la veine utérine, et les cosatérales parietales qui"
"1048160","1051460"," drainent la paroi périen et le périnée."
"1053100","1057120"," Vous pouvez les retenir comme vous pouvez les"
"1057120","1057560"," oublier. "
"1058520","1064480"," Essentiellement, les veines parietales qui drainent la paroi"
