"start","end","text"
"100","2720"," Oui madame, c'est bien, ça fait très"
"2720","11140"," bien, d'accord, donc je vous ai posé"
"11140","12560"," la question, je vous ai dit, est-ce"
"12560","14600"," que le tissu épithélial est un tissu qui"
"14600","16140"," est énervé ou vascularisé?"
"17560","17960"," Non."
"18660","21580"," Très bien, très bien, donc c'est à"
"21580","24440"," partir du corian, du tissu conjonctif qu'il"
"24440","27800"," va prendre tous ses nutriments, tous ses besoins."
"28680","31500"," Et on a dit que le B, donc"
"31500","34700"," le A c'est faux, le B c "
"34700","41340","'est correct parce que les cellules sont reliées"
"41340","43640"," les unes aux autres par des systèmes jonctionnels,"
"43800","45820"," donc elles sont juxtaposées et jointives. "
"46560","48280"," C aussi c'est correct parce qu'entre"
"48280","51580"," le corian et le tissu épithélial on trouve"
"51580","53180"," notre membrane basale."
"53680","55260"," Et puis je vous ai demandé c'est"
"55260","57360"," quoi le pôle apical, c'est quoi le"
"57360","59320"," pôle apical de la cellule?"
"62200","63220"," Qu'est-ce que ça veut dire pôle"
"63220","63780"," apical?"
"64120","65520"," C'est le pôle qui ne repose pas"
"65520","66440"," sur la membrane basale."
"67080","68720"," Très bien, donc c'est le pôle qui"
"68720","71000"," est supérieur, c'est le pôle qui est"
"71000","73460"," opposé au pôle basale, d'accord?"
"74580","77060"," Donc est-ce qu'il se situe à"
"77060","78360"," la base de l'épithélium?"
"82470","83290"," Non madame. "
"83750","85470"," Très bien, donc on ne va pas cocher"
"85470","85890"," le D."
"86550","89010"," Et le tissu épithélial est capable de se"
"89010","91390"," régénérer, bien sûr c'est un tissu qui"
"91390","95710"," est capable de se régénérer, notamment en cas"
"95710","99850"," bien sûr de renouvellement, en cas aussi d "
"99850","100430","'endommagement."
"101330","111070"," Alors on passe, l'épithélium de revêtement repose"
"111070","113150"," sur une membrane basale."
"116420","116760"," Oui madame. "
"117580","122440"," C'est un ensemble de cellules non jointives."
"123260","123440"," Faux."
"124120","124440"," Faux. "
"124520","125340"," Non c'est faux madame."
"125600","127900"," Très bien, il est classé selon des critères"
"127900","129960"," morphologiques."
"129960","131000"," Oui c'est vrai. "
"131340","137060"," Très bien, il tapisse la surface du corps"
"137060","138500"," ainsi que les cavités."
"139380","139820"," Juste."
"140160","140620"," Oui juste. "
"141360","145140"," Peut-être simple, stratifié ou pseudo-stratifié."
"145140","146320"," C'est juste."
"147080","149960"," Très bien, donc c'est A, A, C,"
"150260","151080"," D, E."
"153530","154590"," Oui madame. "
"155090","155710"," Très bien."
"157210","157910"," Allez-y."
"158770","162670"," Alors parmi les différenciations apicales des épithéliums de"
