"start","end","text"
"7260","9740"," Alors, on va parler des organes linfides et"
"9740","12180"," de l'immunité, comme vous le savez, c "
"12180","16900","'est un chapitre qui comporte deux chapitres que"
"16900","19020"," j'ai rassemblés au lien seul."
"20780","23100"," Alors organes et après on va voir les"
"23100","25100"," cellules de notre côté puisqu'il y a"
"25100","27400"," un rapport étroit entre les organes et bien"
"27400","29180"," évidemment ce qu'ils vont produire comme cellules."
"29180","31020"," Alors inutile de vous rappeler un petit peu"
"31020","32680"," ce qui est écrit sur la première plaque,"
"33080","37160"," pour rappeler effectivement que organes linfides et cellules"
"37160","38080"," de l'immunité font ce qu'on appelle"
"38080","39140"," le système linfide. "
"39980","42880"," Alors à la différence de système immunitaire, système"
"42880","46180"," immunitaire c'est organes, cellules, substances, molécules et"
"46180","49640"," tout ça, alors lorsqu'on parle système linfide"
"49640","50680"," c'est organes plus cellules."
"50680","53200"," Et puis dans les organes linfides, on va"
"53200","55100"," voir qu'il y a ce qu'on"
"55100","57840"," appelle les sites de production et de maturation"
"57840","61120"," initiales, qui sont les organes centraux."
"61560","62740"," Et puis il y a ce qu'on"
"62740","65760"," appelle les lieux d'éducation de la compétence"
"65760","68300"," de ces cellules de l'immunité qui, après"
"68300","70220"," le contact avec l'antigène, c'est là"
"70220","73160"," où les cellules vont interagir entre elles et"
"73160","77380"," pour, soi-disant, induire une réponse immunitaire après"
"77380","78560"," le contact avec l'antigène. "
"79080","80420"," On va du coup distinguer ce qu'on"
"80420","84300"," appelle des cellules qui sont organisées dans un"
"84300","86860"," tissu organe-influide et des cellules qui sont,"
"86920","91040"," soi-disant, éparpillées ou la diffusent."
"91300","93360"," Elles sont isolées dans les cellules ou les"
"93360","95440"," tissus, que ce soit dans la circulation sanguine"
"95440","97560"," ou dans toutes les cellules influides."
"99920","103340"," Lorsqu'on va regarder les objectifs, je vais"
"103340","105880"," m'arrêter rapidement sur ce qui est important"
"105880","108780"," à connaître à votre niveau comme objectif. "
"109920","112700"," Alors, mis à part la structure et surtout"
"112700","115100"," la fonction, moi, ce qui m'importe le"
"115100","119000"," plus, c'est en décrivant la structure, mais"
"119000","121120"," je vais dégager tout simplement les ondes dites"
"121120","124120"," fonctionnelles de ces organes-influides qui vont permettre"
"124120","126280"," de comprendre quel est leur rôle dans l "
"126280","128380","'organisation d'une réponse immunitaire de façon générale."
"128880","129500"," Ça, c'est d'une part."
"129600","131740"," D'autre part, c'est important de connaître"
"131740","135980"," les étapes de différenciation des B et de"
"135980","136960"," connaître leurs marqueurs. "
"136960","138900"," On va parler surtout des marqueurs qui sont"
"138900","142400"," dits spécifiques, qui n'existent que sur ces"
"142400","145500"," cellules et qui sont sur d'autres cellules,"
"145580","147300"," ce qui va vous permettre justement de connaître"
"147300","149500"," la différence entre les cellules en termes de"
"149500","151620"," marqueurs qui sont propres à une cellule et"
"151620","152600"," pas à l'autre."
"153400","155400"," Et puis, on va finir par parler des"
"155400","158380"," cellules dites présentatrices d'antigènes et, bien évidemment,"
"158540","160220"," des cellules dites effectrices."
"162800","165700"," Rapidement, je passe sur quelques notions fondamentales. "
"166180","169960"," Si vous regardez ici la moelleuseuse, vous savez,"
"170620","172560"," lorsqu'on dit la moelleuseuse, ça existe au"
"172560","174200"," niveau des eaux longues et des eaux plates."
"175280","177060"," C'est l'origine de toutes les cellules"
"177060","178700"," de l'organisme, mais à part certaines, on"
"178700","180000"," va voir après dans le détail."
"180660","184600"," Alors, la moelleuseuse, il fabrique des progéniteurs ou"
"184600","187480"," ce qu'on appelle des précurseurs des cellules"
"187480","188800"," qui vont devenir l'influide. "
"188800","190940"," Ça veut dire les lymphocytes T, les lymphocytes"
"190940","192460"," B et les cellules NK."
"193040","196660"," Et les progéniteurs, on va dire, de précurseurs"
"196660","197360"," myéloïdes."
"198260","201360"," Donc, on a deux composantes, un myéloïde et"
"201360","201820"," l'influide. "
"202240","206900"," Alors, lorsque la moelleuseuse va générer les futurs"
"206900","210660"," lymphocytes T, ces derniers vont quitter la moelleuseuse"
"210660","213540"," pour aller suivre leur maturation au niveau du"
"213540","213980"," thymus."
"213980","217600"," Donc le thymus va, soi-disant, participer à"
"217600","221020"," l'éducation et au développement initial de l "
"221020","223560","'influïdité, ce qu'on appelle le thymocyte."
"224060","226460"," Celui-ci va quitter le thymus pour aller"
"226460","229260"," dans la circulation pour les organes lymphides. "
"229660","232380"," Alors, les organes lymphides sont trop représentés par"
"232380","234100"," la moelleuseuse et le thymus."
"234140","237000"," Ils vont assurer d'une part la lymphopoèse,"
"237380","239420"," c'est-à-dire pour générer des précurseurs."
"239420","245280"," Deuxièmement, ils vont aider les lymphocytes, qu'ils"
"245280","247040"," soient T ou B, à développer ce qu "
"247040","249480","'on appelle le répertoire de reconnaissance. "
"250060","251780"," Cela veut dire quoi ?"
"251780","254320"," Les lymphocytes T et B ont besoin de"
"254320","258760"," récepteurs spécifiques qui leur permettent de reconnaître les"
"258760","259279"," antigènes."
"259740","260760"," Donc, c'est ce qu'on appelle le"
"260760","264720"," répertoire de reconnaissance qui se traduit par le"
"264720","266420"," TCR et le BCR."
"266420","267920"," C'est-à-dire le répertoire de reconnaissance"
"267920","271120"," qui doit se développer absolument au niveau des"
"271120","274660"," organes lymphides centraux, à savoir le thymus et"
"274660","275540"," la moelleuseuse. "
"275760","279380"," Troisièmement, comme fonction fondamentale des organes lymphides centraux,"
"280000","283540"," c'est d'aider, d'éduquer ces lymphocytes"
"283540","286220"," en cours de maturation à tolérer le soin."
"286220","287340"," C'est-à-dire qu'ils n'ont"
"287340","290900"," droit de quitter les organes lymphides centraux que"
"290900","295200"," s'ils se comportent normalement, de façon normale,"
"295640","297860"," avec un antigène du soin qu'ils auraient"
"297860","300680"," présenté au cours de cette maturation, au cours"
"300680","303240"," des étapes de l'embryogénèse chez le foetus,"
"303700","304400"," une utéro."
"304400","309660"," Donc, les antigènes du soin, avant qu'ils"
"309660","311500"," soient attribués à n'importe quel organe, système"
"311500","313700"," nerveux, la reine ou l'autre, il faut"
"313700","316220"," qu'ils aient passé devant ces lymphocytes T"
"316220","319120"," ou B en cours de maturation centrale pour"
"319120","321260"," les reconnaître et les tolérer à vie. "
"322100","323540"," Sinon, s'ils n'arrivent pas à les"
"323540","327420"," tolérer, ça veut dire que ces lymphocytes T"
"327420","329400"," ou B en cours de maturation doivent disparaître."
"329400","332180"," Parce que ce sont des mauvais lymphocytes qui"
"332180","334260"," sont dits auto-réactifs."
"334500","338480"," Ils ont un potentiel d'auto-réactivité qui"
"338480","340020"," va attaquer les antigènes du soin. "
"340200","341960"," Si jamais il va les rencontrer, donc ils"
"341960","343260"," n'ont pas intérêt à survivre."
"343600","347020"," Ils doivent disparaître au cours des étapes centrales"
"347020","347700"," de maturation."
"348430","351340"," Alors, je vais passer rapidement sur le schéma. "
"351640","352660"," Ce qui m'intéresse, ce n'est pas"
"352660","353260"," l'anatomie."
"353900","356120"," Inutile de vous rappeler que le thymus est"
"356120","360080"," un organe lympho-hépithélial qui existe au niveau"
"360080","361700"," du Médiastat antérieur."
"361900","362900"," C'est des choses que vous connaissez. "
"363460","365460"," Alors, ce qui m'importe ici, regardez lorsque"
"365460","371840"," vous voyez la description schématique anatomique du thymus,"
"371840","375140"," vous allez voir qu'il y a une"
"375140","378300"," certaine capsule, il y a des lobules, des"
"378300","381400"," travées qui déterminent des lobules, mais dans cette"
"381400","383780"," structure lobulaire, vous allez distinguer qu'il y"
"383780","386780"," a un cortex et une médulaire."
"387020","389080"," Entre les deux, il y a une zone"
"389080","390980"," qui est très importante d'un point de"
"390980","394180"," vue fonctionnel qui s'appelle la jonction cortico "
"394180","394800","-médulaire."
"394800","397240"," Alors, ce qui va vous frapper, vous vous"
"397240","399960"," interpeller ici, c'est que, regardez, lorsqu'on"
"399960","402540"," voit le cortex, il est très très riche"
"402540","403140"," en cellules. "
"403580","406780"," Ce sont les pro-thémocytes, les cellules qui"
"406780","410140"," venaient de la moelle osseuse pour venir se"
"410140","412460"," développer au niveau du thymus en tant que"
"412460","413440"," future lymphocytée."
"413880","415900"," Il y a une richesse ici en thémocytes."
"416460","419420"," Après, lorsqu'on descend vers la médulaire, il"
"419420","420160"," y en a très peu. "
"420160","421760"," Ça veut dire quoi ?"
"421760","423460"," Ça veut dire que sur le capital de"
"423460","426900"," thémocytes qui sont venus s'éduquer ici, sur"
"426900","429220"," leur maturation, donc il y a une grande"
"429220","435560"," partie, pratiquement 90% vont disparaître parce qu "
"435560","439060","'ils n'arriveront pas à suivre les étapes,"
"439160","441700"," à réussir les étapes de maturation."
"441840","442700"," Parce qu'il y a une étape qui"
"442700","445840"," se déroule au niveau du cortex, une deuxième"
"445840","447380"," étape qui a eu lieu au niveau de"
"447380","450060"," la jonction cortico-médulaire et après la médulaire"
"450060","453680"," va servir tout simplement à fournir aux thémocytes"
"453680","457000"," qui ont passé les deux étapes à se"
"457000","462040"," provisionner en cytokines, l'interleukine 3, l'interleukine"
"462040","464480"," 7, les facteurs de croissance qui leur sont"
"464480","466560"," nécessaires pour continuer leur maturation."
"466960","469160"," Après, une fois maturés, ils vont quitter le"
"469160","471520"," thymus pour aller dans la circulation. "
"476580","481920"," Pour faire la différence entre la présentation structurale"
"481920","483720"," du thymus, avec ça vous avez au niveau"
"483720","487380"," histologique une richesse, et au niveau de la"
"487380","488640"," médulaire il y a très peu parce que"
"488640","495060"," c'est lié à la disparition, à l "
"495060","499520","'apoptose, à la phagocytose des thémocytes qui n "
"499520","500580","'ont pas réussi leur maturation."
"500580","503200"," Ça c'est la chose la plus importante"
"503200","504380"," à noter à ce niveau-là."
"505100","512299"," Pour parler du rôle de ce thymus, je"
"512299","517179"," m'arrête sur les zones fonctionnelles, zones corticales,"
"517440","519559"," jonction cortico-médulaire et la zone médulaire. "
"519620","521059"," Vous avez dans le texte ce qui va"
"521059","523200"," vous permettre de retenir l'essentiel."
"523200","525100"," Au niveau de la zone corticale, il y"
"525100","530440"," a une multiplication des pro-thémocytes qui venaient"
"530440","533140"," d'arriver de la moelle osseuse."
"533760","535160"," Et au niveau de la jonction co-médulaire,"
"535560","536500"," il y a ce qu'on appelle une"
"536500","539460"," sélection de répertoires des thémocytes qui sont normales"
"539460","542080"," et qui vont pouvoir continuer leur maturation. "
"542080","544720"," Après, dans la médulaire, il y a des"
"544720","547340"," thémocytes qui sont déjà matures avec en présence"
"547340","550260"," ici des macrophages et des cellules dendritiques."
"550480","554980"," Surtout des macrophages qui vont absorber ou phagocyter"
"554980","556560"," l'ensemble des cellules qui n'ont pas"
"556560","557960"," réussi les étapes de maturation."
"558440","559780"," Bien évidemment, il y a les cytokines et"
"559780","560620"," les facteurs de croissance. "
"560620","563040"," Donc vous allez retenir après que les fonctions"
"563040","566040"," du thémus ce sont la différenciation centrale, le"
"566040","569340"," développement du TCR et l'élimination de tous"
"569340","571460"," les clones qui n'arrivent pas à respecter"
"571460","572980"," les antigènes du soin, qui ne les reconnaissent"
"572980","575040"," pas ou les reconnaissent de façon anormale, ils"
"575040","575560"," vont disparaître."
"575840","578240"," C'est pourquoi lorsqu'il y a une"
"578240","582880"," malformation anatomique ou la ombriologique au cours de"
"582880","585340"," la maturation du thémus, qui se traduit par"
"585340","588420"," exemple lors de l'absence du troisième arc"
"588420","590880"," bronchiaux que vous connaissez en embryologie, il y"
"590880","593160"," a une embryopathie fotale qui s'appelle syndrome"
"593160","596020"," de Dijorge qui est liée justement à l "
"596020","598200","'absence de ce troisième arc bronchiaux."
"598380","600000"," Donc il va se traduire tout simplement par"
"600000","601200"," l'absence de la faucetité. "
"601700","602500"," Et qu'il y a l'absence de"
"602500","605220"," la faucetité, on s'expose à un déficit"
"605220","607200"," immunitaire dit séversé."
"607200","608100"," Pourquoi ?"
"608100","609060"," Parce que s'il n'y a pas"
"609060","611460"," de la fauceté, vous imaginez que le système"
"611460","614540"," immunitaire est quasiment inefficace."
"614640","616440"," Il ne pourra pas permettre la survie de"
"616440","618540"," l'individu, de l'enfant, s'il n "
"618540","619200","'est pas greffé. "
"619340","620880"," Donc il faut absolument qu'il soit greffé"
"620880","624640"," pour pouvoir lui apporter des génésoidés, des precursors"
"624640","626380"," qui vont produire de nouveau de la fauceté."
"626480","629220"," Autrement, au l'absence de la fauceté, l "
"629220","630940","'individu ne peut pas survivre."
"630940","634080"," Donc il y a un individu qui ne"
"634080","636680"," passera pas les 6 mois au maximum, etc. "
"636980","638560"," L'absence de greffe."
"638780","640800"," La moelleuseuse, quant à elle, est l'origine"
"640800","642140"," du développement du lymphocyte B."
"642680","645500"," Sans vouloir rappeler ce qui est origine, etc."
"646040","647700"," Vous avez retenu comme quoi c'est les"
"647700","648560"," olores, les oplas. "
"649040","652540"," D'un point de vue anatomique, le texte"
"652540","653780"," ne va pas m'attarder là-dessus."
"653780","657440"," Au niveau de la partie molle de la"
"657440","661000"," moelleuseuse, de l'os qui contient la moelleuseuse,"
"661100","666780"," vous avez une cellule suche multipotente qui représente"
"666780","669400"," un pro-lymphocyte B."
"669780","672980"," Ce pro-lymphocyte B va entamer des contacts,"
"673120","675280"," une interaction avec une cellule principale de la"
"675280","677080"," moelleuseuse qui s'appelle le CRS."
"677560","680180"," La cellule reticulaire stromale, CRS. "
"680180","683480"," Cette cellule stromale va aider le lymphocyte B"
"683480","687040"," à maturer, à se différencier, pour finir par"
"687040","690560"," une étape de lymphocyte B mature naïf qui"
"690560","693080"," va se déverser dans un sinus veneux pour"
"693080","695460"," quitter la moelleuseuse et aller vers les organes"
"695460","696980"," lymphoïdes secondaires."
"697480","700120"," Autretemps, les cellules qui n'arrivent pas à"
"700120","704880"," assurer une continue rematuration, en bleu, foncées, vont"
"704880","707920"," être détruites par le macrophage qui est toujours"
"707920","709580"," là pour faire le ramassage de tout ce"
"709580","710940"," qui n'arrive pas à maturation."
"711580","715600"," Autrement dit, avec la maturation du lymphocyte B,"
"715700","717380"," on va assister au réarrangement des gènes, des"
"717380","721200"," immunoglobulines, à des cytokines, des facteurs de croissance"
"721200","724240"," qui vont assurer la maturation comme tout à"
"724240","725260"," l'heure pour le lymphocyte C."
"725400","726640"," Donc ça c'est un petit peu le"
"726640","729240"," mode de développement du lymphocyte B au niveau"
"729240","730080"," de la moelleuseuse. "
"730080","732020"," Les fonctions de la moelleuseuse sont faciles à"
"732020","732420"," imaginer."
"732600","736000"," Comme elle est l'origine du développement de"
"736000","738000"," l'ensemble des cellules d'organisme, elle va"
"738000","741020"," générer des précurseurs myeloïdes qui vont servir pour"
"741020","743420"," produire les polynucléaires, les monocytes de macrophages, les"
"743420","745760"," cylodendrites, les myeloïdes rouges des plaquettes, et bien"
"745760","750180"," évidemment surtout les précurseurs lymphoïdes avec des protéines,"
"750320","752200"," des probées et des précellules NK."
"754100","756800"," Lorsque la moelleuseuse n'est pas là, elle"
"756800","759300"," va exposer à l'absence du lymphocyte B."
"759680","761940"," Elle va générer donc du coup quoi ?"
"761940","763200"," La gamma-globuline. "
"763420","764560"," Comme on n'a pas de lymphocytes B,"
"764660","765940"," on n'aura pas de quoi produire les"
"765940","766680"," immunoglobulines."
"767060","769480"," Un individu qui n'a pas de lymphocytes"
"769480","771540"," B, il aura 0 immunoglobuline, ce qu'on"
"771540","773980"," appelle A-gamma, ou absence d'immunoglobuline."
"773980","777200"," Avec ça, on ne va pas avoir le"
"777200","778880"," développement de ce qu'on appelle des centres"
"778880","779700"," germinatifs. "
"780320","783440"," Sans jamais pouvoir appeler, lorsqu'on a au"
"783440","784740"," niveau des organes lymphoïdes, on va voir tout"
"784740","786640"," à l'heure, une zone qui va servir"
"786640","788760"," pour accueillir le lymphocyte B, qui a quitté"
"788760","791320"," la moelleuseuse, une zone d'XB."
"792020","793840"," Alors vous avez comme un peu l'ovaire,"
"794040","797380"," au niveau de l'ovaire on va distinguer,"
"797440","799400"," dans l'état normal, sans grossesse ou absence"
"799400","801600"," de picondation, il y a un vestige de"
"801600","806620"," follicule primaire qui va se transformer après en"
"806620","808400"," sac gestationné, etc."
"809220","814920"," Donc après la picondation, on aura ce sens"
"814920","815620"," qui va se développer. "
"815940","817220"," C'est exactement la même chose au niveau"
"817220","820320"," des organes lymphoïdes secondaires, il y a un"
"820320","824740"," follicule primaire, un nid ou un niche dans"
"824740","826380"," lequel va arriver un lymphocyte B."
"827000","828320"," Et une fois le lymphocyte B va arriver"
"828320","830680"," au niveau de ses organes lymphoïdes secondaires, ganglion"
"830680","833700"," lymphatique, rate, le lymphocyte B va commencer à"
"833700","838480"," se multiplier de nouveau pour permettre le développement"
"838480","842780"," de ce follicule qui va passer d'un"
"842780","844740"," follicule primaire à un follicule secondaire."
"844880","846260"," Et le follicule secondaire, c'est tout simplement"
"846260","847700"," ce qu'on appelle un centre germinatif."
"848160","849560"," Donc vous imaginez que s'il n'y"
"849560","852660"," a pas de lymphocyte B qui essaie de"
"852660","853600"," l'avoir le seul, on n'aura pas"
"853600","855820"," le développement de ce follicule secondaire, ou bien"
"855820","857680"," ce qu'on appelle le centre germinatif. "
"858120","862620"," Voilà un peu la différence entre l'impact"
"862620","864380"," de l'absence de lymphocyte B sur les"
"864380","866080"," organes lymphoïdes secondaires."
"866280","868280"," Autrement dit, pour vous donner un exemple, vous"
"868280","870620"," savez lorsque vous avez un enfant, par exemple,"
"871080","873680"," qui fait des infections des angines à répétition,"
"874200","876280"," vous touchez un petit peu au-dessous du"
"876280","877940"," montant, vous allez voir qu'il y a"
"877940","882500"," des petites lentilles, des petits gonglios réveillants, tout"
"882500","884020"," petits, ça veut dire qu'ils témoignent de"
"884020","886280"," la prolifération du gonglio lymphatique."
"886680","887700"," S'il n'y a pas de lymphocytes,"
"887780","888580"," on n'aura pas de gonglions. "
"889080","891740"," Mais les lymphocytes, c'est une réaction, c "
"891740","894860","'est ce qu'on appelle le développement du"
"894860","897400"," centre germinatif lié à un contact de lymphocytes"
"897400","900680"," B avec l'antigène, tout simplement."
"901580","907040"," Alors les organes lymphoïdes périphériques ou secondaires, normalement"
