"start","end","text"
"40","3640"," Si vous avez des questions concernant ce cours"
"3640","7160"," ou si vous avez besoin de certains éclaircissements"
"7160","10220"," pour certaines parties, donc j'ai pas reçu"
"10220","16290"," votre mail, donc on va essayer au cours"
"16290","19530"," de cette séance de regrouper nos questions."
"23980","26240"," La personne qui veut, je pense qu'il"
"26240","29520"," y a deux représentants dans votre groupe, donc"
"29520","32300"," si vous pouvez regrouper les questions que vous"
"32300","34440"," avez à propos de la première partie, si"
"34440","41700"," vous avez des parties qui nécessitent de revoir"
"41700","43760"," certaines notions, donc on est là pour ça,"
"44100","48720"," donc j'aimerais bien avoir vos questions au"
"48720","50620"," fur et à mesure du déroulement de cette"
"50620","50920"," séance."
"51000","52620"," Donc on va essayer de prendre une heure"
"52620","54500"," pour répondre à vos questions. "
"55000","56480"," Donc je vous laisse le temps."
"88890","90710"," Est-ce que quelqu'un peut poser une"
"90710","92470"," question ou dire un commentaire, comme ça je"
"92470","96330"," vois si on peut recevoir vos questions, s "
"96330","96590","'il vous plaît."
"97990","99490"," Vous pouvez activer vos micros. "
"99830","101750"," Celui qui va poser la question, il active"
"101750","104030"," son micro, il pose la question et après"
"104030","105370"," il la désactive."
"137500","138060"," Bonjour madame."
"140420","145120"," Alors j'ai madame Ikram qui pose une"
"145120","148060"," question concernant l'innervation et le contrôle de"
"148060","149540"," la déglutition, c'est ça ?"
"149540","152400"," Alors je vais vous demander à madame Ikram"
"152400","155920"," Nwiba d'activer son micro et de poser"
"155920","158940"," sa question, parce que là elle a mis,"
"159120","160320"," s'il vous plaît, un mot sur l "
"160320","162180","'innervation qui contrôle la déglutition. "
"162340","165160"," C'est exactement ce qui vous chagrine ou"
"165160","170000"," ce qui ne vous semble pas très clair"
"170000","172440"," concernant cette partie-là."
"173280","174000"," Je vous écoute."
"188760","189640"," Oui madame Ikram. "
"189640","194540"," Alors on avait parlé de la déglutition et"
"194540","196200"," on avait dit que la déglutition c'est"
"196200","197220"," en fait trois temps."
"197540","200200"," C'est un temps buccal, un temps pharyngé"
"200200","202280"," et un temps oesophagien."
"202920","205500"," Donc quand on parle de l'innervation qui"
"205500","208120"," contrôle, on va voir que l'innervation, elle"
"208120","211060"," est différente en fonction de la phase de"
"211060","212720"," la déglutition dont on parle. "
"213020","215880"," Donc on a d'abord la phase buccale"
"215880","217540"," qui est une phase volontaire."
"217540","219860"," Donc on comprend parfaitement que c'est un"
"219860","222360"," contrôle qui va passer par le système nerveux"
"222360","226820"," central, qui va emprunter les nerfs crâniens pour"
"226820","232160"," amener l'information au niveau central et qui"
"232160","235620"," va là aussi reprendre par d'autres paires"
"235620","239680"," crâniennes pour permettre d'abord l'arrêt de"
"239680","243540"," la mastication, ensuite le mouvement de la langue"
"243540","246100"," avec sa contraction d'avant en arrière."
"246100","249000"," C'est important qu'on va avoir la"
"249000","252320"," cinquième paire de nerfs crâniens qui va donc"
"252320","256180"," innerver cette mobilité de la langue et pour"
"256180","258399"," amener vers le voile du palais. "
"258920","260000"," Et c'est à ce moment-là qu "
"260000","263260","'il y a également l'intervention du nerf"
"263260","263540"," vague."
"263940","266140"," Mais tout ça, ça va se faire selon"
"266140","268940"," un contrôle volontaire du système nerveux central."
"269560","272920"," Une fois les aliments sont arrivés au niveau"
"272920","277300"," de la partie pharyngologique, c'est involontaire, mais"
"277300","280720"," c'est également les paires crâniennes qui vont"
"280720","282160"," prendre le relais. "
"282480","284180"," Et en particulier, là, c'est le nerf"
"284180","286220"," vague, la dixième paire de nerfs crâniens."
"286400","288540"," Il y a un peu aussi la neuvième"
"288540","290600"," paire qui intervient, mais c'est surtout le"
"290600","292760"," nerf vague qui va permettre tous ces mouvements"
"292760","295420"," de l'os yoïde, donc avec les muscles"
"295420","300240"," cricopharyngés, avec le mouvement pour l'ouverture et"
"300240","304740"," la surélévation de l'os yoïde qui va"
"304740","309200"," tirer sur le sphincter supérieur de l'os"
"309200","312180"," yoïde et ça va permettre son ouverture."
"312880","317640"," La partie osophagienne de la déglutition, l'innervation,"
"317840","319740"," là aussi, c'est surtout le nerf vague. "
"319860","322860"," Mais là, on va avoir l'intervention du"
"322860","326780"," système nerveux intrinsèque qui va permettre d'avoir"
"326780","329380"," tout l'ensemble des réflexes courts."
"329380","332020"," Donc vous voyez que l'innervation et le"
"332020","335380"," contrôle de la déglutition, il est variable en"
"335380","336300"," fonction du temps."
"337800","339420"," C'est-à-dire, est-ce qu'on"
"339420","341220"," parle du temps esophagien, est-ce qu'on"
"341220","343040"," parle du temps pharyngé ou on parle du"
"343040","347780"," temps buccal qui va permettre ces différentes parties"
"347780","351260"," et les contrôler et donc les coordonner. "
"351260","352640"," Oui, parce qu'on avait dit que la"
"352640","356840"," déglutition, c'est un ensemble d'actes stéréotypés"
"356840","362560"," et qui sont surtout organisés et contrôlés par"
"362560","363980"," cette innervation."
"364420","368420"," J'essaie de parler en général de ce"
"368420","370920"," contrôle parce que vous avez demandé juste un"
"370920","373800"," mot sur l'innervation qui contrôle la déglutition."
"373800","377280"," Donc, j'aimerais que Madame Ikram puisse comprendre"
"377280","380520"," que le contrôle, il est variable en fonction"
"380520","380980"," du temps. "
"381300","384160"," Les parties qui sont sous contrôle du système"
"384160","388660"," nerveux central avec le contrôle volontaire, c'est"
"388660","391980"," surtout la partie buccale et que là, il"
"391980","394860"," est parti pharyngolaryngé et esophagien."
"394960","398320"," C'est un contrôle autonome et indépendant de"
"398320","399180"," notre volonté."
"400340","401480"," Alors, est-ce que j'ai répondu à"
"401480","402540"," ta question, Madame Ikram?"
"417760","419320"," Alors, les autres, s'il vous plaît. "
"420240","421080"," Alors, c'est pour ça que j'avais"
"421080","425460"," demandé de m'envoyer les e-mails."
"426280","441240"," Mais bon, est "
