"start","end","text"
"340","1820"," On a vu la dernière fois ensemble le"
"1820","2740"," concept de la race."
"4820","7900"," Maintenant, on va passer à un autre chapitre"
"7900","12580"," qui concerne toujours les voies aériennes supérieures."
"12780","15560"," On verra les concepts du canon. "
"17300","19240"," Le canon, comme vous le savez, c'est"
"19240","23540"," la partie plus supérieure des voies aériennes supérieures."
"26060","28080"," Et c'est une zone qui a certaines"
"28080","30300"," caractéristiques."
"31500","32340"," C'est-à-dire que si on essaie"
"32340","39020"," de la comparer par rapport aux autres organes,"
"40920","42440"," c'est un espace qui est quand même"
"42440","42900"," profond. "
"45780","46920"," Donc, il n'y a pas d'examen"
"46920","48040"," direct du canon."
"48280","50020"," On a besoin d'étudier certains d'entre"
"50020","50240"," vous."
"50440","51860"," Ce qui fait qu'il y a un"
"51860","55360"," risque, il y a un retard de séquence. "
"56840","61300"," Donc, pour le praticien, pour le médecin qui"
"61300","65080"," a toujours le souci de faire un diagnostic"
"65080","67920"," précoce, il faudra essayer de rechercher des signes"
"67920","72160"," indirects, toujours à la clinique, pour pouvoir poser"
"72160","73280"," le diagnostic."
"73960","74660"," Donc, voilà ça."
"75460","77820"," C'est parmi les caractéristiques. "
"78040","80280"," C'est un problème de santé, au moins"
"80280","81000"," derrière l'asile."
"81000","82020"," On va le voir, parce que c'est"
"82020","84640"," un cancer qui a certaines caractéristiques qui sont"
"84640","86000"," des caractéristiques épidémiologiques."
"87080","90520"," Il n'a pas la même fréquence au"
"90520","94760"," niveau de tous les pays. "
"96420","97500"," Donc, on va voir que c'est plus"
"97500","98840"," fréquent au niveau du Maghreb."
"99320","101240"," Certains ont du Maghreb, en Asie et du"
"101240","101560"," Sud-Est."
"101860","103560"," Par contre, c'est le ciel d'alors"
"103560","104160"," profond. "
"105560","107300"," Par contre, on l'a dit, c'est"
"107300","109000"," comme un bac un petit peu difficile sur"
"109000","109340"," le plan clinique."
"110280","112580"," Et, deuxième chose, c'est un espace qui"
"112580","114300"," a des rapports cliniques très importants."
"115060","119080"," Donc, imaginez que le clavard, il a des"
"119080","120520"," rapports directs avec la base du crâne. "
"120680","123660"," Donc, si c'est facilement, il peut passer"
"123660","125980"," à travers la base du crâne, en endocrinien,"
"126700","128360"," ou bien avec un rapport ouvert à 32"
"128360","131480"," stages, ou l'oratique chronique épidémiologique, on avance"
"131480","132720"," et on se resserre, etc."
"132960","134340"," Pour ça, on ne le verra pas."
"134500","136720"," La deuxième particularité, c'est les facteurs de"
"136720","137200"," réussite. "
"138220","140440"," Ici, parmi les facteurs qu'on a, c "
"140440","141840","'est surtout un facteur virale."
"142300","143600"," Ce n'est pas comme le grand circulaire"
"143600","145140"," à l'axe, ou d'avant, ou d "
"145140","146600","'en haut à l'axe, où on a"
"146600","147480"," le clavard et l'alcool."
"147860","150220"," Là, c'est surtout, un facteur virale, c "
"150220","151160","'est l'épidémie d'alcool. "
"152620","154820"," Et, à partir de là, à partir de"
"154820","159140"," ces rapports anatomique, on aura une simple hématologie,"
"159240","161200"," qui va être très riche, qui va nous"
"161200","164460"," faire penser à l'alcool carbone."
"165200","168100"," Alors, un élément aussi qui est important, c "
"168100","169720","'est que, puisqu'on a vu la dernière"
"169720","171620"," théorie française de l'arax, les typologies qu "
"171620","173560","'on avait au niveau de l'arax, c "
"173560","175780","'est le carcinome épidermolique."
"176200","177120"," Ici, c'est un peu différent. "
"177940","181320"," On a un carcinome qui est indifférencé."
"181980","184640"," Lorsqu'on dit un carcinome indifférencé, en général,"
"185740","187620"," pour n'importe quel carcinome indifférencé, nous avons"
"187620","191100"," des carcinomes qui sont agressifs, qui donnent plus"
