"start","end","text"
"2630","6770"," Bonjour, le cours d'aujourd'hui est intitulé"
"6770","11130"," « Les modes de transmission des maladies héréditaires,"
"11530","14990"," qu'elles soient mendéliennes ou non mendéliennes »."
"17260","19700"," Les objectifs de ce cours sont les suivants."
"20740","24320"," Connaître la définition d'un gène, un locus,"
"25000","30400"," un allèle, un état homozygote, hétérozygote ou hémizygote."
"30400","35420"," Connaître la définition du génotype et phénotype. "
"36000","38220"," En fait, c'est un rappel de ce"
"38220","40880"," qu'on a vu en première année."
"43000","44980"," De même, vous devez être capable de donner"
"44980","49260"," la définition de l'arbre généalogique, connaître les"
"49260","55520"," symboles internationaux utilisés et être capable de dessiner"
"55520","58080"," et interpréter un arbre généalogique."
"59180","62980"," Ensuite, vous devez être capable de citer les"
"62980","66960"," caractéristiques de l'hérédité autosomique, qu'elles soient"
"66960","69060"," récessives ou dominantes. "
"70780","74640"," Citer les caractéristiques de l'hérédité liée à"
"74640","77780"," l'X, qu'elles soient récessives ou dominantes."
"79500","83440"," Citer les caractéristiques de l'hérédité holandrique."
"83440","88360"," Citez les caractéristiques de l'hérédité mitochondriale et"
"88360","91500"," enfin vous devez être capable de donner la"
"91500","93880"," définition des maladies multifactorielles. "
"97000","98760"," Le plan du cours est le suivant."
"99760","104940"," Après un rappel sur les notions fondamentales, on"
"104940","109240"," va aborder l'arbre généalogique, les différents modes"
"109240","113980"," de transmission mendélien, qu'il soit autosomique ou"
"113980","116760"," lié à l'X, récessif ou dominant."
"118420","125000"," Ensuite, on verra l'hérédité hollanderique et l "
"125000","126940","'hérédité non-mendélienne. "
"132680","136980"," Concernant le rappel sur les notions fondamentales qu "
"136980","139940","'on a déjà vu en première année, vous"
"139940","145860"," rappelez que le génotype est la constitution génétique"
"145860","152460"," du gamètre ou bien du zygote ou d "
"152460","157660","'un individu pour un ou plusieurs gènes ou"
"157660","158040"," loci."
"158780","161140"," Je rappelle que loci c'est le pluriel"
"161140","163240"," de locus et le locus c'est la"
"163240","167800"," position ou le site d'un gène sur"
"167800","168820"," un chromosome donné."
"169780","174880"," Alors que le phénotype c'est la manifestation"
"174880","179760"," apparente de la constitution du génome, que ce"
"179760","183840"," soit sous la forme de traits morphologiques, par"
