"start","end","text"
"2310","3990"," Chers étudiants, bonjour."
"4670","8070"," À présent, nous allons aborder ensemble les cours"
"8070","9930"," de la sémiologie rénale."
"11880","14320"," Pour commencer, nous allons voir ensemble une brève"
"14320","17020"," introduction à la sémiologie néphrologique. "
"18300","23200"," Cette introduction, à l'évidence, va souligner la"
"23200","26960"," particularité de l'observation clinique en néphrologie."
"27720","31220"," Même si, de base, l'observation clinique est"
"31220","36140"," la même, je ne ferai que vous rappeler"
"36140","39620"," ou bien souligner les éléments qui semblent être"
"39620","45480"," importants en néphrologie, sur lesquels vous devriez insister"
"45480","48640"," aussi bien à l'interrogatoire qu'à l "
"48640","49340","'examen clinique."
"51000","54840"," Donc, comme je disais, l'observation clinique en"
"54840","57920"," néphrologie, c'est une observation standard qui commence"
"57920","61260"," par l'identité du patient, son motif de"
"61260","64720"," consultation, l'interrogatoire, l'histoire de la maladie,"
"64880","68120"," l'examen physique, va se continuer par une"
"68120","75260"," conclusion clinique, sur laquelle va reposer des hypothèses"
"75260","77920"," diagnostiques que vous devriez être capables de les"
"77920","81280"," émettre et sur lesquelles nous allons demander une"
"81280","83640"," série d'examens paracliniques. "
"84880","87300"," Alors, c'est quoi le motif de consultation"
"87300","88200"," ?"
"88200","91160"," Tout d'abord, le motif de consultation dans"
"91160","94080"," une observation médicale se doit d'être toujours"
"94080","96340"," un signe fonctionnel ou un signe physique."
"96900","99080"," Un signe fonctionnel, c'est ce qui est"
"99080","102560"," rapporté par le patient, et un signe ou"
"102560","103440"," un signe physique."
"103540","105320"," Le signe physique, c'est quelque chose que"
"105320","108960"," vous arrivez vous-même à constater lors de"
"108960","110280"," l'examen clinique. "
"111110","114900"," Les étapes d'une consultation médicale, en général,"
"116320","120540"," doivent ramener le praticien ou l'étudiant, dans"
"120540","123780"," votre cas, d'être capable de s'orienter"
"123780","125240"," vers l'organe atteint."
"126040","128300"," Pour ce qui nous intéresse, c'est suspecter"
"128300","131660"," une atteinte de l'appareil urinaire, mais aussi"
"131660","136440"," particulièrement séparer ce qui est urologique de ce"
"136440","140220"," qui est néphrologique, puisque ce sont deux disciplines"
"140220","142340"," complètement différentes."
"142920","147820"," Cette suspicion, probablement, aura besoin d'être consolidée"
"147820","151220"," par un ensemble des examens cliniques et paracliniques,"
"151780","155640"," afin d'avoir une orientation diagnostique et une"
"155640","158380"," stratégie de prise en charge adéquate. "
"160660","164420"," Alors, la première étape de toute observation clinique"
"164420","166140"," est importante, c'est l'étape de l "
"166140","166720","'interrogatoire."
"166720","169700"," Bien sûr, c'est le premier contact du"
"169700","174320"," praticien avec le patient et il permet de"
"174320","177860"," recueillir un certain nombre d'informations qui concernent"
"177860","180740"," aussi bien le passé de ce patient que"
"180740","182020"," l'histoire actuelle."
"182620","185740"," Donc, les antécédents, il faut toujours cibler ce"
"185740","187440"," qu'on cherche, c'est-à-dire poser"
"187440","189860"," à la personne ce qu'elle est diabétique,"
"190020","190840"," hyper tendue. "
"190840","195020"," Ça, ça nous intéresse énormément en néphrologie, puisqu "
"195020","197960","'on sait que ces deux pathologies donnent des"
"197960","199040"," atteintes rénales."
"199720","202700"," On pose la question au patient s'il"
"202700","206280"," prend un traitement médicamenteux et lequel, parce qu "
"206280","209180","'un certain nombre de médicaments sont réputés d "
"209180","210180","'être néphrotoxiques."
"210840","213540"," On pose au patient des symptômes ou des"
"213540","216280"," signes fonctionnels qu'il aurait présentés dans le"
"216280","220660"," passé, des troubles de mixtion à type de"
"220660","223900"," polyurie, polacurie, oligurie, dysurie. "
"224120","226980"," On va voir ensemble la signification de chaque"
"226980","230400"," type de trouble urinaire."
"231160","233820"," Aussi, on pourrait poser au patient la notion"
"233820","237060"," d'antécédent de céphalée ou bourdonnement d'oreille"
"237060","239700"," qui peut être le signe d'une hypertension"
"239700","243100"," artérielle méconnue par le patient."
"244360","246920"," Chez une femme, le déroulement de la grossesse"
"246920","248620"," est quelque chose de très important. "
"248780","250720"," Il faudra s'enseigner si la patiente a"
"250720","253660"," un antécédent de préeclampsie, c'est-à-dire"
"253660","257660"," une perte fœtale quasi à terme, d'une"
"257660","262560"," hypertension artérielle gravidique, d'un syndrome odémateux massif"
"262560","264540"," au cours ou à la fin de la"
"264540","269300"," grossesse, car assez souvent, ces pathologies, quand il"
"269300","270940"," y a un terrain de maladies rénales sous "
"270940","276060","-jacentes, les grossesses se compliquent d'une préeclampsie"
"276060","277680"," ou d'asthéa gravidique."
"278920","281060"," Les douleurs sont quelque chose d'important à"
"281060","285760"," recueillir, ainsi que les antécédents de syndrome odémateux,"
"286140","288380"," qu'ils soient minimes ou modérés."
"288760","291760"," Sans oublier les signes de maladie générale, les"
"291760","296120"," signes cutanés et articulaires, puisque les maladies rénales,"
"296500","299020"," assez souvent, s'intègrent dans le cadre d "
"299020","300360","'une maladie de système. "
"300860","304060"," Ça, on le verra plus en détail en"
"304060","305780"," pathologie en 5e année."
"306660","309840"," Bien sûr, l'interrogatoire renseigne toujours sur les"
"309840","313140"," antécédents familiaux, qui est quelque chose de très"
"313140","318640"," important à retenir, car on peut se retrouver"
"318640","321440"," facilement en face d'un certain nombre de"
"321440","323900"," néphropathies dites héréditaires."
"324860","327440"," La suite de l'interrogatoire va s'axer"
"327440","329560"," sur l'histoire actuelle, ou ce qui a"
"329560","332600"," ramené le patient en consultation ou en hospitalisation. "
"333440","334820"," On procédera de la même façon."
"335460","338500"," Quel est le signe fonctionnel ou physique initial"
"338500","338820"," ?"
"338820","342220"," S'agit-il d'un signe fonctionnel à"
"342220","346580"," type de douleur, de syndrome odémateux, de troubles"
"346580","352060"," de mixtion, comme les troubles de mixtion précédemment"
"352060","353600"," cités ?"
"353600","359040"," S'agit-il de troubles urinaires ou bien"
"359040","363280"," de quelque chose d'ématuré, par exemple macroscopique,"
"363360","365940"," qui peut ramener le patient à consulter ?"
"365940","368740"," On se renseigne également sur les circonstances de"
"368740","373340"," survenue de ces troubles rénales, ou ces motifs"
"373340","374120"," de consultation."
"374440","375660"," Est-ce que c'était quelque chose qui"
"375660","379060"," est survenu en entra-infectieux ou en post "
"379060","379800","-infectieux ?"
"379800","382780"," Y avait-il au passé des ongines, une"
"382780","385380"," infection, une fièvre ?"
"385380","387840"," Et bien sûr, toujours on note s'il"
"387840","390960"," existe une altération d'état général associée. "
"392340","395100"," L'examen clinique en néphrologie, il faut savoir"
"395100","397080"," qu'il est assez souvent pauvre."
"398340","400440"," Ce qu'on cherche assez souvent, c'est"
"400440","401240"," le poids."
"401460","401940"," Pourquoi ?"
"401940","403780"," Parce qu'une prise de poids rapide ou"
"403780","406280"," une perte de poids rapide ne peut être"
"406280","409460"," que constituer une perte d'eau ou une"
"409460","411000"," prise d'eau, parce que ça se comprend"
"411000","411740"," rapidement. "
"412380","415140"," Une prise de la tension artérielle, une mesure"
"415140","415960"," de la température."
"415960","419060"," À l'inspection, on cherche toujours les œdèmes,"
"419180","421360"," que ce soit des œdèmes palpebrales ou des"
"421360","424500"," œdèmes des membres inférieurs, des cicatrices d'intervention"
"424500","425380"," antérieures."
"425960","427900"," À la palpation, on cherche la notion de"
"427900","430080"," contact lombaire ou balottement rénal. "
"431720","434960"," On inspecte les appareils génitals."
"435980","439060"," L'auscultation cardiaque est toujours de règle, ainsi"
"439060","441540"," que l'auscultation pulmonaire, à la recherche d "
"441540","443660","'un syndrome d'épanchement pleural."
"444470","447720"," Par la suite, nous allons procéder à une"
"447720","448880"," étude de la mixtion. "
"449300","452220"," Cette étude peut être aussi bien quantitative que"
"452220","453160"," qualitative."
"454440","458220"," L'examen clinique en néphrologie doit être aussi"
"458220","462600"," un examen clinique complet, avec un examen cardiovasculaire,"
"462700","464640"," pleuropulmonaire, neurologique."
"464640","469380"," Et bien sûr, tout examen complet doit se"
"469380","473020"," terminer par une bandelette urinaire, qui est le"
"473020","477480"," pilier standard de la classification des maladies rénales"
"477480","478360"," en néphrologie. "
"478720","480940"," On va voir ça ensemble dans la classification"
"480940","482540"," des maladies rénales."
"482900","483380"," Pourquoi ?"
"483380","487940"," Parce qu'au final, les symptômes physiques et"
"487940","490360"," fonctionnels de la maladie rénale sont pauvres."
"490360","494120"," Et en dehors d'une hypertension artérielle ou"
"494120","497240"," d'un syndrome démateux, on ne pourra trouver"
"497240","500260"," qu'une anomalie de sédiments urinaires à titre"
"500260","502680"," de protéinerie ou d'hématomie. "
"505120","506840"," J'ai parlé tout à l'heure de"
"506840","508020"," l'étude de la mixtion."
"508500","510640"," L'étude de la mixtion est une étape"
"510640","513600"," importante en néphrologie, parce que d'une part,"
"513700","516080"," ça va nous permettre de décrire ou de"
"516080","519720"," trouver une pathologie rénale sous-jacente, mais surtout"
"519720","523000"," d'orienter le patient et de savoir s "
"523000","526280","'il s'agit réellement d'un trouble urologique"
"526280","527640"," ou néphrologique."
"528040","529780"," Il faut savoir que d'une façon générale,"
"529900","534720"," la mixtion est un acte réflexe, volontaire, rapide,"
"535340","537140"," complet et indolore. "
"538120","542440"," L'existence d'une dysurie traduit une difficulté"
"542440","543080"," à uriner."
"543080","545980"," Un patient qui veut uriner mais qui a"
"545980","551840"," un début retardé est un écoulement lent avec"
"551840","554620"," un jet irrégulier de la mixtion."
"555600","560280"," La polyurie, elle, traduit ce besoin fréquent et"
"560280","563720"," répétitif d'aller uriner avec des urines qui"
"563720","565660"," sont peu abondantes. "
"566660","571540"," L'ainurisie, elle, correspond à une mixtion active,"
"572200","577680"," complète, mais inconsciente et involontaire qui se produit"
"577680","580820"," le plus souvent pendant le sommeil."
"581980","585040"," Donc, il est très important, quand on pose"
"585040","587500"," la question au patient, de savoir s'il"
"587500","592420"," est dysurique, polyacurique, ou il présente ou il"
"592420","594700"," a présenté une ainurisie."
"595540","600300"," L'analyse quantitative de la duresse consiste à"
"600300","602860"," savoir la quantité d'urine que le patient"
"602860","606120"," urine par 24 heures, pour savoir si le"
"606120","608780"," patient est polyurique, c'est-à-dire qu "
"608780","611780","'il a une duresse supérieure à 2,5"
"611780","614860"," litres par 24 heures, est-ce qu'il"
"614860","616960"," est oligurique, c'est-à-dire qu'il"
"616960","619540"," urine très peu, moins de 500 ml par"
"619540","622120"," 24 heures, ou bien c'est un patient"
"622120","626240"," complètement anurique, moins de 200 ml, c'est "
"626240","627900","-à-dire c'est une quantité de moins"
"627900","630760"," d'un verre par 24 heures, et là"
"630760","634500"," on est dans une urgence diagnostique et thérapeutique,"
"634900","638120"," parce que quand une personne est anurique, rapidement"
"638120","642620"," vont apparaître des complications hydro-électrolytiques. "
"644700","648640"," En dehors de l'analyse quantitative et qualitative"
"648640","651480"," de la mixtion, il faut aussi se renseigner"
"651480","653180"," sur l'aspect des urines."
"653800","655080"," Est-ce que c'est des urines troubles,"
"655520","657040"," est-ce que c'est des urines rouges,"
"657380","659220"," est-ce que c'est des urines mousseuses,"
"659720","661940"," est-ce que c'est des urines qui"
"661940","665480"," sont délavées, une couleur pâle, ou est-ce"
"665480","667460"," que c'est des urines très concentrées."
"667460","670260"," Ça, ça peut orienter vers un certain nombre"
"670260","672900"," de diagnostics ou de pistes. "
