"start","end","text"
"650","3570"," Bonjour, aujourd'hui nous allons traiter le cours"
"3570","6670"," examen clinique en traumatologie orthopédie."
"7510","9930"," Lors de cet examen, nous allons chercher les"
"9930","12890"," différents signes et manifestations cliniques qui vont nous"
"12890","15630"," permettre d'asseoir un diagnostic et établir une"
"15630","16670"," démarche thérapeutique."
"17330","19430"," Dans ce sens, nous allons, à la manière"
"19430","21270"," d'un détective, si vous aimez les films"
"21270","24930"," et romans policiers, faire notre enquête pour relever"
"24930","27250"," tous les éléments pouvant nous aider à faire"
"27250","31270"," une démarche diagnostique structurée, orientée et surtout méthodique"
"31270","31830"," et logique. "
"32990","35310"," Cet examen clinique doit bien sûr être adapté"
"35310","35990"," au contexte."
"36330","38590"," Nous n'allons pas examiner une fracture ouverte"
"38590","40470"," de jambe chez un polytraumatisé de la même"
"40470","43950"," manière qu'un patient présentant une gonarthrose évoluant"
"43950","45250"," depuis plusieurs années."
"46290","48530"," Et en final, cet examen devra être fait,"
"48850","50830"," autant que ce peut, dans un cadre calme,"
"50990","53830"," isolé, réconfortant pour le patient et à température"
"53830","54530"," acceptable. "
"54530","58210"," Car, comme vous allez le voir, nous sommes"
"58210","60550"," souvent amenés à dévêtir le patient pour bien"
"60550","61190"," l'examiner."
"62510","64850"," Les signes cliniques qui seront recueillis peuvent être"
"64850","67690"," classés en signes fonctionnels rapportés par le patient"
"67690","70810"," qui sont subjectifs, tels la douleur ou la"
"70810","73950"," fatigue, et en signes physiques relatés par le"
"73950","76450"," patient ou découverts par le médecin, tels une"
"76450","79570"," tumefaction, une chaleur, une limitation de la mobilité."
"80210","81650"," Ce sont des signes objectifs. "
"82450","84890"," Des signes cliniques, nous pouvons nous aider d "
"84890","87810","'examens paracliniques, tels la biologie, l'imagerie ou"
"87810","88890"," l'anatomopathologie."
"89730","92650"," Ce sont des examens dits complémentaires, qui doivent"
"92650","96170"," être placés après un examen clinique et qui"
"96170","99170"," doivent aider à confirmer ou à infirmer des"
"99170","101870"," hypothèses établies lors de l'examen clinique."
"102370","104750"," Ils ne doivent en aucun cas se substituer"
"104750","106650"," à cet examen clinique initial. "
"106650","110290"," En pratique, on n'interprète jamais un scanner"
"110290","112150"," ou une IRM ou n'importe quel examen"
"112150","115190"," complémentaire avant de voir et d'examiner le"
"115190","115550"," patient."
"116950","120470"," Cet examen clinique, nous allons devoir le transcrire"
"120470","123630"," sur le dossier médical écrit ou informatisé."
"124050","126330"," Il doit être daté et signé, comme ça"
"126330","128590"," on saura ce qu'a présenté le patient"
"128590","130970"," et quand, et aussi par qui cela a"
"130970","131470"," été noté. "
"132150","135070"," La symptomatologie pourrait varier dans le temps, des"
"135070","137310"," signes pourraient disparaître ou s'aggraver dans le"
"137310","137790"," temps."
"138570","141130"," Cet examen doit aussi être reproductible, c'est "
"141130","143590","-à-dire chercher des signes connus et reconnus"
"143590","144050"," de tous."
"144750","146870"," Il doit suivre, comme nous l'avons déjà"
"146870","150550"," vu, une démarche logique, car il devra probablement"
"150550","152990"," être reconduit par un autre collègue qui sera"
"152990","155410"," amené à prendre en charge votre patient en"
"155410","156030"," votre absence. "
"157110","160490"," Aussi, les signes négatifs sont aussi importants que"
