"start","end","text"
"2520","3120"," Bismillahirrahmanirrahim."
"3220","3960"," Bonjour tout le monde."
"4980","8480"," Alors l'autre fois, on a fait un"
"8480","12700"," cours de sémiologie du diabète sucré. "
"13260","17820"," Et aujourd'hui, on va attaquer un autre"
"17820","20180"," chapitre de la sémiologie."
"20860","22620"," Il s'agit de la sémiologie thérapeutique."
"24820","27820"," Alors, parmi les objectifs de ce cours, c "
"27820","32440","'est d'abord reconnaître un goitre, reconnaître un"
"32440","34960"," ondule théroïdien, reconnaître les signes cliniques d'une"
"34960","40240"," hyperthéroïdie et également reconnaître les signes cliniques d "
"40240","41520","'une hypothyroïdie. "
"43220","46740"," Alors, avant de commencer le cours, j'aimerais"
"46740","50440"," juste vous rappeler la régulation de la synthèse"
"50440","53060"," et de la sécrétion des hormones théroïdiennes."
"53360","57260"," Comme vous le savez, que ce soit la"
"57260","60360"," T4 ou bien la T3, ils sont synthétisés"
"60360","63420"," et sécrétés par la glande théroïde sous l "
"63420","65840","'action d'une autre hormone."
"67140","69760"," C'est la TSH qui est sécrétée par"
"69760","71560"," l'hypophyse antérieure. "
"72080","74560"," Et cette TSH est elle-même sous la"
"74560","77100"," dépendance d'un autre facteur, qui est la"
"77100","80840"," TRH, et qui est sécrétée au niveau hypothalamique."
"81420","84900"," Et comme vous le savez, ça c'est"
"84900","88300"," presque une règle générale en endocrinologie, c'est"
"88300","91160"," que chaque fois qu'on a une sécrétion"
"91160","94900"," d'une hormone par une glande endocrine périphérique,"
"95040","96540"," il y aura ce qu'on appelle un"
"96540","99960"," feedback négatif, aussi bien au niveau hypophysaire qu "
"99960","101520","'au niveau hypothalamique."
"102080","107340"," Et cette notion est très importante à comprendre"
"107340","112320"," pour qu'on puisse comprendre également les anomalies"
"112320","115240"," biologiques et hormonales qu'on peut avoir au"
"115240","119100"," cours des thyroïdes, que ce soit l'hypo"
"119100","120480"," ou l'hyperthyroïde. "
"122060","125240"," Alors on va commencer d'abord par la"
"125240","126760"," sémiologie des goitres."
"127900","129500"," Alors c'est quoi un goitre ?"
"129500","133640"," Un goitre correspond à une augmentation du volume"
"133640","134600"," de la thyroïde."
"134720","137300"," On a deux façons de faire, deux façons"
"137300","140500"," pour poser le diagnostic d'un goitre, soit"
"140500","143760"," cliniquement lorsque à la palpation la surface de"
"143760","146540"," chacun des lobes excède celle de la dernière"
"146540","149520"," phalange du pouce du patient, ou bien sur"
"149520","152920"," le plan échographique lorsque le volume thyroïdien qui"
"152920","154780"," est évalué par la somme de chacun des"
"154780","161720"," lobes excède 16 cm³ chez l'adolescent, quand"
"161720","167120"," il excède 18 cm³ chez la femme adulte"
"167120","171520"," et quand ça dépasse 20 cm³ chez l "
"171520","171620","'homme. "
"174400","176400"," Alors les goitres, il faut savoir que les"
"176400","178360"," goitres peuvent être congénitaux, c'est-à-dire"
"178360","183180"," qu'ils apparaissent à la naissance ou acquis"
"183180","184340"," au cours de la vie."
"185420","187380"," Ils peuvent être défus ou localisés."
"188400","191960"," Ils peuvent être normaux, hypo ou hyperfonctionnels, c "
"191960","194440","'est-à-dire avec un état de thyroïde"
"194440","197520"," ou bien en hypothyroïde ou bien associé à"
"197520","198340"," une hypothyroïde. "
"198760","200580"," Ils peuvent être bénins comme ils peuvent être"
"200580","201040"," malins."
"202820","207800"," Alors l'histoire naturelle des goitres se constitue"
"207800","209560"," fréquemment à la période de l'adolescence."
"211760","214860"," Ces goitres s'accentuent et s'organisent progressivement"
"214860","217640"," sous forme d'ondules au fil des années"
"217640","218420"," et des décennies. "
"219060","221300"," Et puis il faut savoir également que certains"
"221300","227920"," facteurs ou bien certaines conditions participent au développement"
"227920","232060"," de ces goitres, notamment les grossesses, les stress"
"232060","235180"," de la vie et également la carence en"
"235180","235460"," iode."
"237520","242600"," Alors sur cette diapo, vous avez un schéma"
"242600","246500"," qui montre l'évolution naturelle du goitre simple."
"248040","251180"," Alors au début, c'est la phase de"
"251180","251580"," latence. "
"252920","256860"," Puis elle sera suivie généralement par une phase"
"256860","258700"," de disgrâce esthétique."
"260420","264160"," Après, ça va être un goitre symptomatique, peut "
"264160","267400","-être avec une douleur, une dysphagie, avant d "
"267400","273520","'arriver au stade de complication, en particulier l "
"273520","275660","'apparition de néoplasie au sein de ce goitre."
"276960","282460"," Alors devant tout goitre thyruidien, il faut bien"
"282460","285840"," évidemment faire une exploration clinique, en commençant par"
"285840","290600"," l'interrogatoire et en précisant en particulier l "
"290600","290780","'âge. "
"291260","293500"," Il faut également préciser l'origine géographique."
"293720","296860"," Est-ce que le patient a vécu ou"
"296860","299680"," bien vit dans une zone de carence iodée?"
"300360","302980"," La présence ou non de pathologies thyruidiennes familiales"
"302980","305660"," et en particulier les cancers thyruidiens."
"306160","309440"," Il faut rechercher une notion d'antécédent d "
"309440","310620","'irradiation dans l'enfance. "
"312280","314060"," Aussi, il faut voir est-ce qu'il"
"314060","317500"," n'y a pas de syndrome compressif chez"
"317500","323060"," ce patient sous forme de dysphonie, de dysphagie"
"323060","324020"," ou bien de dyspnée."
"325360","328320"," Il faut également rechercher les signes d'hyper"
"328320","332020"," ou bien d'hypothyruidie, sans oublier d'évaluer"
"332020","335760"," le profil évolutif de ce goitre."
"336180","339360"," Est-ce qu'il est d'apparition récente"
"339360","343860"," ou bien il a rapidement augmenté de volume?"
"347160","351380"," Après cette anamnèse, on passe bien évidemment à"
"351380","352560"," l'examen de la thyruide. "
"353360","357420"," En commençant par l'inspection, la tête doit"
"357420","361640"," être en discrète extension et on recherche une"
"361640","365360"," éventuelle cicatrice, des signes inflammatoires en regard de"
"365360","368140"," l'air thyruidien, une thuméfaction qu'on peut"
"368140","373680"," voir à l'inspection, une éventuelle circulation collatérale"
"373680","377380"," et parfois on a recours à ce qu "
"377380","379540","'on appelle la manœuvre de Pamperton qui est"
"379540","382100"," illustrée sur cet diapositif."
"383860","385820"," L'objectif est la recherche de signes de"
"385820","389480"," compression veineuse qui vont être démasqués par cette"
"389480","390080"," manœuvre."
"390960","394900"," Après l'inspection, il faut faire une palpation"
"394900","400820"," de la thyruide et l'examinateur doit se"
"400820","404020"," placer en principe derrière le patient et le"
"404020","407600"," patient, de préférence, il faut qu'il soit"
"407600","414220"," assis sur une chaise, la tête fléchie et"
"414220","417320"," généralement on palpe avec la pulpe des doigts,"
"417860","420680"," bien sûr sans le pouce, et cette palpation"
"420680","423240"," se fait au repos, puis pendant un mouvement"
"423240","426960"," de déglutition, en faisant boire le sujet à"
"426960","431320"," petite gorgée, tout en sachant que la thyruide"
"431320","434120"," est mobile avec les mouvements de déglutition. "
"436000","438680"," Au cours de cette palpation, il faut déterminer"
"438680","441920"," le volume du couâtre, sa consistance, est-ce"
"441920","444340"," qu'il est souple, ferme ou dur, son"
"444340","448720"," homogénéité, est-ce qu'il est homogène, défuit,"
"449280","452140"," sans formation nodulaire ou bien il y a"
"452140","456440"," la présence de formation nodulaire, sa sensibilité, est "
"456440","458680","-ce qu'il est douloureux ou insensible, et"
"458680","461500"," également essayer de voir est-ce qu'il"
"461500","462680"," est plongeant ou non."
"462680","466340"," Sans oublier de rechercher un éventuel trill, qui"
"466340","470640"," est une sensation de frémissement, qu'on peut"
"470640","474360"," trouver surtout dans les couâtres vasculaires, dans le"
"474360","476040"," cadre de la maladie de base d'eau,"
"478740","482120"," sans oublier de rechercher la présence d'éventuelles"
"482120","487460"," adénopathies cervicales, et on termine l'examen clinique"
"487460","490360"," de la thyruide qui parle d'une auscultation"
"490360","492640"," à la recherche d'un souffle vasculaire."
"493300","496280"," Sur cette diapo vous avez deux photos, la"
"496280","502140"," photo qui est en haut montre les repères"
"502140","506160"," anatomiques pour la palpation de la thyruide, et"
"506160","508540"," la photo qui est en bas montre la"
"508540","511360"," technique de la palpation et de l'examen"
"511360","512720"," de la thyruide. "
"513720","517500"," A l'issue de cet examen, on peut"
"517500","521120"," classer les couâtres en fonction de la classification"
"521120","525780"," OMS. Un couâtre est classé stade 0 quand"
"525780","528600"," la thyruide est non palpable ou bien palpable,"
"528840","531040"," mais dont les lobes sont de volume inférieur"
"531040","533280"," à la phalange distale du poste du sujet"
"533280","534380"," examiné."
"536440","541240"," Un couâtre stade 1A correspond à une thyruide"
"541240","543860"," nettement palpable et dont les lobes ont un"
"543860","546840"," volume supérieur à la phalange distale du poste"
"546840","549900"," du sujet examiné, mais non visible lorsque la"
"549900","550780"," tête est en extension. "
"551860","556280"," Un couâtre stade 1B correspond à une thyruide"
"556280","558980"," nettement palpable et dont les lobes ont un"
"558980","562420"," volume supérieur à la phalange distale du poste"
"562420","565160"," du sujet examiné, mais cette fois-ci visible"
"565160","567840"," lorsque la tête est en extension, mais non"
"567840","569480"," visible en position normale."
"569480","572280"," Un couâtre stade 2 correspond à une thyruide"
"572280","574840"," nettement visible lorsque la tête est en position"
"574840","578920"," normale et un couâtre stade 3 correspond à"
"578920","581560"," une thyruide volumineuse visible à plus de 5"
"581560","581900"," mètres."
"582660","586400"," Et là vous avez des exemples de couâtres. "
"586620","590880"," Sur la photo qui est à gauche, il"
"590880","592220"," s'agit d'un couâtre stade 2."
"592820","594520"," Sur la photo qui est au milieu, il"
"594520","597560"," s'agit d'un couâtre homogène stade 2."
"598510","604520"," Pour la photo qui est à droite, elle"
"604520","607280"," correspond à un couâtre nodulaire stade 3."
"610480","613500"," Après l'examen clinique, il faut faire bien"
"613500","618260"," évidemment une exploration paraclinique et devant un couâtre"
"618260","621180"," d'allure simple, et quand on parle de"
"621180","622820"," couâtre d'allure simple c'est que c "
"622820","625720","'est un couâtre qui est défus, homogène, non"
"625720","628520"," fonctionnel, non inflammatoire."
"629140","631780"," Et devant ce type de couâtre, on demande"
"631780","634380"," généralement deux examens paracliniques."
"634480","636560"," Le premier c'est le dosage de l "
"636560","642460","'ATSH pour s'assurer que ce couâtre revient"
"642460","645020"," pour s'assurer de l'état de thyruidie. "
"645760","648460"," Et puis le deuxième examen paraclinique c'est"
"648460","650480"," une échographie cervicale."
"651480","656220"," Alors l'échographie cervicale, elle va préciser l "
"656220","661260","'échogénicité du couâtre, ses mensurations, et puis elle"
"661260","665840"," va rechercher également la présence d'éventuels nodules"
"665840","670400"," en précisant leur nombre, leur forme, leur situation,"
"670600","673380"," les limites, les classification, également le type de"
"673380","675980"," vascularisation au sein de ces nodules."
"675980","682880"," Ces caractéristiques vont nous permettre de classer les"
"682880","685920"," nodules en fonction de la classification Eutairades, sans"
"685920","689980"," oublier bien évidemment de rechercher des adénopathies à"
"689980","690840"," l'échographie. "
"692260","697180"," Vous avez là deux images échographiques, en coupe"
"697180","700900"," transversale à gauche et en coupe longitudinale à"
"700900","704760"," droite, qui montrent la présence de multiples nodules"
"704760","708060"," hypoécogènes, hétérogènes d'un couâtre multinodule."
"710630","713650"," Alors si on a un doute sur la"
"713650","717550"," présence d'un couâtre plongeant, on peut compléter"
