"start","end","text"
"2630","5410"," Bonjour chers amis, j'ai l'honneur de"
"5410","8730"," vous présenter aujourd'hui ce cours intitulé insuffisance"
"8730","10030"," respiratoire aiguë."
"10510","12570"," Comme vous le savez, c'est une pathologie"
"12570","17210"," qui fréquente, c'est une pathologie qui fréquente"
"17210","20110"," au milieu de réanimation et de soins intensifs,"
"20870","23030"," donc le but de ce cours est de"
"23030","26390"," préciser les modalités physiopathologiques de prise en charge"
"26390","29430"," ainsi que le diagnostic et le traitement."
"31330","33710"," Alors les objectifs de ce cours sont de"
"33710","37350"," comprendre les mécanismes des insuffisances respiratoires aiguës, l "
"37350","41330","'adaptation de la réserve cardio-respiratoire et gazométrique,"
"42010","44950"," connaître les conséquences cliniques et gazométriques, enfin de"
"44950","47590"," connaître les principes thérapeutiques. "
"50960","53680"," Comme vous le savez, le système respiratoire il"
"53680","55600"," assure le transport et la livraison de l "
"55600","59720","'oxygène au tissu, l'élimination du CO2, alors"
"59720","62180"," on considère deux étapes, une étape ventilatoire et"
"62180","66380"," une étape circulatoire, la fonction de ventilation représente"
"66380","69680"," la mécanique respiratoire, la fonction d'échange se"
"69680","71800"," fait à travers la membrane alvéolocapillaire et puis"
"71800","73840"," le transfert ou bien le transport est assuré"
"73840","77560"," essentiellement par l'hémoglobine et puis il y"
"77560","81240"," a une adéquation entre les débits ventilatoires alvéolaires,"
"81380","84240"," le débit sanguin capillaire pulmonaire, le rapport ventilation,"
"84460","87040"," c'est le fameux rapport ventilation perfusion et"
"87040","87820"," puis la diffusion."
"88120","90640"," On va voir tout ça en détail étape"
"90640","91320"," par étape."
"93580","97780"," La ventilation consiste en le renouvellement alvéolaire, donc"
"97780","99480"," il y a les voies aériennes supérieures et"
"99480","102460"," les voies aériennes inférieures et puis la pompe"
"102460","105940"," respiratoire joue un rôle très important en ce"
"105940","109000"," qui concerne la pression, les volumes, les débits"
"109000","110360"," et la résistance et puis il y a"
"110360","112280"," une régulation nerveuse qui se fait au niveau"
"112280","115740"," des centres bulbaires, les chémorécepteurs et les mécanorécepteurs. "
"117940","120040"," Alors comme vous voyez sur ce schéma, il"
"120040","122620"," y a les voies aériennes supérieures et les"
"122620","125740"," voies aériennes inférieures, les voies aériennes supérieures représentées"
"125740","127759"," par la trachée et puis la distribution au"
"127759","129800"," niveau de l'arbre branchique, les bronchioles, les"
"129800","134420"," bronchioles terminales jusqu'aux dernières étapes, ce sont"
"134420","136940"," les sacs alvéolaires, les conduits alvéolaires, donc les"
"136940","140760"," sacs alvéolaires, donc il y a les voies"
"140760","143300"," aériennes supérieures, donc il y a une résistance,"
"144040","145800"," donc c'est des zones où la résistance"
"145800","148420"," diffère au niveau des voies aériennes inférieures et"
"148420","150740"," puis la compliance, donc la résistance est un"
"150740","154000"," rapport entre la pression sur le débit, par"
"154000","156640"," contre la compliance est un rapport volume-pression,"
