"start","end","text"
"840","10470"," Le syndrome d'insuffisance hépatocellulaire Le syndrome d "
"10470","14030","'insuffisance hépatocellulaire est l'ensemble des manifestations cliniques"
"14030","17690"," et biologiques en rapport avec une diminution ou"
"17690","19530"," un arrêt des fonctions des hépatocytes."
"20850","24690"," Il faut s'aider en insuffisance hépatocellulaire aiguë"
"24690","27010"," et insuffisance hépatocellulaire chronique."
"29760","32840"," Les manifestations sont polymorphes et les causes sont"
"32840","36160"," multiples, dominées par des causes aiguës telles que"
"36160","39000"," l'hépatite aiguë et des causes chroniques telles"
"39000","40000"," que la cirrhose du foie. "
"42180","44760"," Il est nécessaire de connaître l'anatomie microscopique"
"44760","47380"," du foie pour comprendre les fonctions du foie."
"47780","49780"," Dans une coupe histologique du foie, on reconnaît"
"49780","52920"," les unités par enchimateuse hexagonale ou lobule, qui"
"52920","54340"," sont les unités fonctionnelles du foie."
"55560","57720"," On voit les hépatocytes qui sont agencés en"
"57720","59840"," travées de rémac, qui convergent vers le centre"
"59840","60400"," du lobule. "
"60400","62960"," A la périphérie, on a des espaces portes"
"62960","66980"," dont chacun contient une triade portale, un petit"
"66980","70000"," canal biliaire, une artériole branche l'artère hépatique,"
"70100","71560"," une vénule branche la veine porte."
"72180","75760"," Les ramifications de la vénule portale et celles"
"75760","78280"," de l'artériole hépatique vont assurer la vascularisation"
"78280","80240"," du lobule en se jetant dans les sinusoïdes."
"80800","83180"," Les sinusoïdes, ce sont des petits espaces vasculaires"
"83180","86040"," qui alternent avec les travées cellulaires et qui"
"86040","87820"," oufluent vers les veines centrolobulaires. "
"87820","92540"," Les veines centrolobulaires vont confluer elles-mêmes pour"
"92540","93920"," former les veines sucépatiques."
"98640","100340"," Le foie a de multiples fonctions."
"100900","103700"," Il a des fonctions d'homéostasie, dans l "
"103700","107160","'équilibre glycémique et dans la régulation des lipides. "
"107500","109040"," Il a des fonctions de synthèse, notamment de"
"109040","111400"," certaines protéines telles que l'alumine, les protéines"
"111400","113300"," d'inflammation, les facteurs de coagulation."
"114020","116740"," Dans la sécrétion biliaire, il a une fonction"
"116740","119840"," d'épuration, des médicaments, des métabolites liposolubles."
"119840","124940"," Il a aussi un rôle dans le métabolisme"
"124940","127240"," hormonal, notamment des oestroprogestatifs. "
"132890","137070"," Cela implique que toute attente hépatique, toute insuffisance"
"137070","140310"," hépatocellulaire aura des conséquences sur l'équilibre glycémique,"
"140950","143850"," sur le métabolisme des lipides, sur les fonctions"
"143850","146410"," de synthèse de certaines protéines, notamment les protéines"
"146410","149930"," de l'inflammation, sur la coagulation, sur la"
"149930","153230"," sécrétion biliaire, sur les fonctions d'épuration et"
"153230","155230"," sur le métabolisme hormonal."
"157570","160330"," Le diagnostic positif de l'insuffisance ou du"
"160330","163230"," syndrome d'insuffisance hépatocellulaire repose sur des critères"
"163230","163730"," cliniques."
"164070","165970"," Le signe le plus important qui est constant"
"165970","166710"," est l'asthémie. "
"167010","168950"," C'est une fatigue importante que le patient"
"168950","169710"," va vous décrire."
"170770","172410"," L'ictère est un signe qui est quasi"
"172410","174230"," constant mais qu'on ne retrouve pas à"
"174230","174790"," 100%."
"175610","178170"," Il y a également le fœtor hépaticus. "
"178590","182290"," Le fœtor hépaticus est une odeur fruitée, douçâtre"
"182290","186930"," de la laine que le patient va émettre."
"191690","195070"," L'élément le plus important est l'encéphalopathie"
"195070","195430"," hépatique."
"196170","198950"," L'encéphalopathie hépatique est un ensemble de manifestations"
"198950","203690"," neuropsychiatriques de stade variable et qui va renseigner"
"203690","206190"," sur le degré et la profondeur de l "
"206190","207590","'insuffisance hépatocellulaire. "
"208150","209810"," Ça va du stade 1 où il y"
"209810","210970"," a un astérixis."
