"start","end","text"
"390","3790"," Aujourd'hui, on va étudier l'exploration fonctionnelle"
"3790","7109"," rénale et ses principaux dysfonctionnements en biochimie clinique."
"7810","10350"," Dans une première partie, on va se limiter"
"10350","16530"," à la fonction glomerulaire pour voir en seconde"
"16530","21590"," partie l'exploration de la fonction tubulaire et"
"21590","23350"," les principaux dysfonctionnements."
"24370","26810"," En guise d'introduction, les altérations de la"
"26810","30570"," fonction glomerulaire peuvent être réversibles, c'est-à "
"30570","34770","-dire qu'on peut corriger les dysfonctionnements rénaux"
"34770","40070"," ou bien irréversibles lorsque les dommages produits sont"
"40070","41070"," irréparables. "
"41850","45110"," Ces altérations sont dues à des causes parfois"
"45110","45910"," pré-rénales."
"46350","47850"," Dans la majorité des cas, on va trouver"
"47850","49970"," des maladies chroniques telles que le diabète et"
"49970","53070"," les maladies cardiovasculaires ou bien elles vont être"
"53070","58070"," le retentissement de situations pathologiques surtout aiguës telles"
"58070","60150"," que la pancréatite ou le choc septique."
"61610","64690"," Les causes peuvent être d'origine rénale. "
"64890","66970"," On va trouver des pathologies telles que l "
"66970","70710","'hypoplasie ou des glomerulopathies qui se voient surtout"
"70710","74810"," chez l'enfant, parfois des tubulopathies et on"
"74810","77370"," peut avoir également des causes post-rénales telles"
"77370","79170"," que des malformations au niveau de l'arbre"
"79170","81570"," urinaire qui se voient surtout également chez l "
"81570","84090","'enfant ou bien la présence d'un obstacle"
"84090","87230"," qui va empêcher l'écoulement normal des urines"
"87230","89090"," et ça se voit lorsqu'il y a"
"89090","91770"," présence de calculs rénaux, ce qu'on appelle"
"91770","95090"," la litiase rénale ou une hypertrophie de la"
"95090","98030"," prostate qui peut être d'origine bénigne ou"
"98030","98830"," maligne."
"99870","103090"," Donc au niveau du laboratoire de biologie médicale,"
"103590","106090"," l'exploration de la fonction rénale est très"
"106090","109590"," courante avec un panel des examens qui est"
"109590","110390"," très très large."
"110390","113370"," En pratique, on peut déjà commencer par faire"
"113370","116670"," une recherche de protéinerie au niveau urinaire et"
"116670","119190"," donc ça permet de faire un dépistage d "
"119190","120210","'une atteinte rénale. "
"120570","122250"," C'est très très très important de le"
"122250","125150"," faire, même chez un patient qui ne présente"
"125150","126770"," aucune symptomatologie."
"127150","130410"," Donc lors d'une visite médicale, il est"
"130410","135010"," préférable de faire quand même ce dépistage de"
"135010","136630"," recherche de protéinerie."
"137550","140270"," Donc au niveau du laboratoire et surtout au"
"140270","142370"," niveau sanguin, on va pratiquer le dosage de"
"142370","144430"," la créatinine, de l'urée plasmatique. "
"145050","146790"," On peut faire également la mesure de l "
"146790","149650","'osmolalité et une estimation de débit de filtration"
"149650","153530"," glomerulaire à travers la concentration de la créatinine."
"154070","156790"," Donc parfois on est amené à utiliser le"
"156790","160170"," sang et les urines pour déterminer l'ionogramme"
"160170","161330"," sanguin et urinaire."
"162110","164170"," Donc on fait le dosage de la protéinerie"
"164170","165270"," et de l'albuminurie. "
"165270","167490"," On peut faire également la mesure du débit"
"167490","171310"," de filtration glomerulaire et une étude qualitative des"
"171310","174810"," protéines urinaires qui va nous renseigner sur le"
"174810","177690"," mécanisme de production de cette protéinerie qui est"
"177690","178410"," anormale."
"179070","181290"," En cas de besoin, on va faire une"
"181290","184550"," évaluation plus précise en demandant d'autres explorations"
"184550","187010"," qui vont nous permettre d'affiner le diagnostic."
"188710","191230"," Donc les objectifs fixés pour ce chapitre, c "
"191230","193970","'est de citer les paramètres à mettre en"
"193970","196250"," œuvre pour explorer la fonction glomerulaire et la"
"196250","199430"," fonction tubulaire en précisant leurs conditions préanalytiques. "
"200050","203010"," Retenir les valeurs physiologiques pour les paramètres courants"
"203010","204830"," tels que l'urée, la créatinine, le débit"
"204830","208570"," de filtration glomerulaire, la protéinerie et l'albuminurie."
"209050","212170"," Il faut savoir calculer le débit urinaire, le"
"212170","215530"," débit de filtration glomerulaire de la créatinine et"
"215530","218010"," identifier son unité."
"218010","222030"," Savoir calculer l'acclairance de la créatinine estimée"
"222030","225090"," par la formule de Cockcroft et Gold et"
"225090","228260"," donc interpréter la valeur de la créatinine. "
"229070","231830"," Savoir différencier une insuffisance rénale organique d'une"
"231830","235790"," insuffisance rénale fonctionnelle à travers le calcul du"
"235790","239350"," rapport créatinine urinaire sur créatinine plasmatique."
"240050","242550"," Savoir identifier les autres formules qui estiment le"
"242550","244270"," débit de filtration glomerulaire."
"244270","248030"," Savoir reconnaître les deux principaux profils de l "
"248030","249970","'électrophorese des protéines urinaires. "
"250730","254430"," Identifier l'intérêt d'une électrophorese associée à"
"254430","256620"," une minuflexation des protéines urinaires."
"256970","259310"," Définir le syndrome néphrotique."
"259490","263070"," Et enfin savoir préciser la simbiologie biochimique des"
"263070","265450"," insuffisances rénales aiguës et des insuffisances rénales. "
"266350","269670"," Au sommaire de ce chapitre, après quelques rappels,"
"269850","272890"," on va entamer l'étude des paramètres biochimiques"
"272890","275750"," de la fonction rénale au niveau du laboratoire"
"275750","280270"," de biochimie et on terminera par les principaux"
"280270","281510"," dysfonctionnements rénaux."
"283880","286460"," Alors comme prérequis pour ce chapitre de l "
"286460","291240","'exploration rénale, il faut prendre connaissance de votre"
"291240","293920"," cours de la physiologie rénale avec ses composantes"
"293920","296380"," en ce qui concerne la fonction glomerulaire et"
"296380","299760"," la fonction tubulaire et leurs facteurs de régulation."
"301720","304680"," Donc généralement et globalement, le rat va avoir"
"304680","306000"," trois principales fonctions. "
"306540","308300"," Il va jouer un rôle très très important"
"308300","313420"," dans le maintien de l'homéostasie hydroélectrolytique, puisqu "
"313420","317980","'il va participer activement dans l'équilibre hydroélectrolytique."
"318120","320580"," Il est le site d'action de deux"
"320580","322800"," hormones qui vont jouer un rôle très très"
"322800","326240"," important dans cet équilibre hydroélectrolytique, qui sont l "
"326240","328960","'hormone antidiurétique et l'aldosterone."
"328960","334020"," Également dans l'équilibre acido-basique, il va"
"334020","336540"," permettre à l'organisme de se débarrasser de"
"336540","339300"," tous les toxiques et les déchets, en particulier"
"339300","342800"," les déchets du métabolisme azoté, en éliminant deux"
"342800","345180"," composants qui sont l'urée et l'acide"
"345180","345560"," urique. "
"347120","349080"," Le rein va jouer également le rôle d "
"349080","352760","'une glande endocrine, puisqu'il va permettre une"
"352760","355600"," régulation de la pression artérielle à travers le"
"355600","357360"," système rénine angiotensif."
"357360","362200"," En sécrétant l'arénine, il va activer la"
"362200","365100"," production de l'angiotensine 2, qui est un"
"365100","367560"," puissant vasoconstricteur, et en même temps qui va"
"367560","370020"," stimuler la sécrétion de l'aldosterone."
"370860","375140"," Il va également participer au métabolisme phosphocalcique via"
"375140","378380"," la production de la vitamine T3, donc il"
"378380","381640"," va permettre l'hydroxylation en position 1 du"
"381640","390060"," 25-hydroxycholécalciférole, lequel un 25-hydroxycholécalciférole va jouer"
"390060","394720"," un rôle, surtout dans l'absorption intestinale du"
"394720","395060"," calcium. "
"396380","400880"," Enfin, le rein va sécréter l'héroïtine, qui"
"400880","404660"," est le principal facteur derrière la production des"
"404660","406720"," globules rouges, c'est le processus de l "
"406720","409100","'erythropoèse qui s'effectue au niveau de la"
"409100","409660"," moelle osseuse."
"410900","413540"," Nous arrivons à l'étude des paramètres biochimiques"
"413540","416760"," de la fonction rénale, et on va distinguer"
"416760","420400"," entre les marqueurs de la fonction glomérulaire et"
"420400","423780"," les marqueurs de la fonction tubulaire."
"433010","435510"," Tout d'abord, l'exploration biochimique rénale est"
"435510","438870"," demandée pour un dépistage, c'est-à-dire"
"438870","442230"," même chez une personne asymptomatique, on peut faire"
"442230","445410"," la demande de certains paramètres. "
"445770","446230"," Pourquoi ?"
"446230","448990"," Parce qu'une atteinte rénale peut rester longtemps"
"448990","451350"," muette avant de se dévoiler par des signes"
"451350","451810"," cliniques."
"452150","455570"," On peut également demander cette exploration chaque fois"
"455570","458530"," qu'on va suspecter un dysfonctionnement rénal chez"
"458530","460290"," une personne à risque, c'est-à-dire"
"460290","464210"," qui présente soit des signes cliniques révélateurs, soit"
"464210","467950"," une pathologie qui peut avoir un retentissement néfaste"
"467950","469830"," sur le fonctionnement rénal."
"470430","472570"," Donc une pathologie rénale, c'est une atteinte"
"472570","475950"," spécifique de la fonction glomérulaire et ou tubulaire,"
"475950","479690"," sachant que les désordres tubulaires isolés sont relativement"
"479690","480030"," rares. "
"481470","483970"," Il faut savoir également que l'insuffisance rénale,"
"483990","486870"," que ce soit aiguë ou chronique, est définie"
"486870","489810"," comme une perte globale des fonctions des néphrons"
"489810","494950"," qui constituent les éléments excréteurs rénaux."
"496970","499170"," Une chose à retenir, c'est que le"
"499170","502210"," processus de filtration étant essentiel dans la formation"
"502210","504690"," des urines, les tests de la fonction glomérulaire"
"504690","507410"," sont presque toujours requis dans l'exploration et"
"507410","509370"," la prise en charge de toute maladie rénale."
"509810","512429"," C'est-à-dire même en suspectant une"
"512429","516830"," tubulopathie, on va quand même aller évaluer la"
"516830","520630"," fonction glomérulaire avant de voir ce qui se"
"520630","523670"," passe au niveau de la fonction tubulaire. "
"529300","531260"," Donc nous allons commencer par les marqueurs de"
"531260","532420"," la fonction glomérulaire."
"532560","533640"," Il faut savoir qu'il y a des"
"533640","536800"," marqueurs qui sont couramment utilisés et des marqueurs"
"536800","538100"," qui sont moins usuels."
"538640","541000"," Parmi les marqueurs usuels, on va trouver la"
"541000","543320"," recherche et le dosage de la protéinerie et"
"543320","546220"," de l'albuminerie, la détermination de la créatinine,"
"546340","549160"," le débit de filtration glomérulaire qui peut être"
"549160","552860"," soit mesuré, soit estimé, la détermination également de"
"552860","555020"," l'urée et de l'acide urique, et"
"555020","558480"," à côté on va avoir des examens qui"
"558480","561340"," sont demandés dans certaines situations, tels que l "
"561340","564880","'électrophorese et l'immunofixation des protéines urinaires. "
"565340","568180"," D'autres sont moins utilisés parce qu'ils"
"568180","569920"," sont un petit peu coûteux, tels que la"
"569920","573880"," cystatine C et le ENGAL, l'Eutrophile Gelatinase"
"573880","575480"," Associated Lipocalline."
"575920","578460"," Donc une chose que je veux préciser ici,"
"578640","581000"," c'est que parmi ces marqueurs de la"
"581000","583600"," fonction glomérulaire, il existe des marqueurs qui peuvent"
"583600","585820"," évaluer également la fonction tubulaire."
"586280","588140"," C'est l'exemple de la protéinerie et"
"588140","591700"," de l'albuminerie, également de l'urée et"
"591700","596500"," de l'acide urique, et enfin l'électrophorese"
"596500","598620"," et l'immunofixation des protéines urinaires. "
"601120","603660"," Alors le premier marqueur de la fonction glomérulaire"
"603660","605480"," c'est la protéinerie, donc je ne vais"
"605480","607180"," pas m'étaler là-dessus parce que vous"
"607180","610380"," avez tout un chapitre sur les protéineries, il"
"610380","615600"," faut juste savoir qu'une protéinerie peut exister,"
"615760","617520"," c'est-à-dire qu'on a une"
"617520","620760"," protéinerie physiologique dès lors que sa concentration n "
"620760","622980","'excède pas 150 mg par 24 heures."
"623200","625700"," On va parler de protéinerie pathologique lorsqu'elle"
"625700","628340"," va dépasser 150 mg par 24 heures."
"631030","632730"," Alors là je vous ai mis quelques slides"
"632730","635070"," qui vont vous rafraîchir la mémoire à propos"
"635070","639710"," des conditions préanalytiques, comment faire la recherche en"
"639710","644610"," utilisant des bandelettes réactives, et les limites de"
"644610","647330"," l'utilisation de ces bandelettes puisqu'il va"
"647330","650370"," exister des faux positifs et des faux négatifs. "
"650570","652630"," L'essentiel c'est que lorsqu'on a"
"652630","656770"," détecté une protéinerie qui s'avère positive, on"
"656770","660650"," va faire impérativement un dosage au laboratoire, donc"
"660650","663410"," ce dosage qui va être beaucoup plus précis"
"663410","665910"," que la recherche à la bandelette réactive."
"667330","669570"," Le principe de dosage est basé surtout sur"
"669570","673550"," des techniques colorimétriques et il faut également souligner"
"673550","677550"," que ces dosages vont permettre de doser toutes"
"677550","679830"," les protéines qui existent dans les urines."
"681570","684270"," Le deuxième macro de la fonction glomérulaire c "
"684270","687290","'est l'albuminerie qui signe la présence d "
"687290","689470","'une atteinte glomérulaire même en absence d'une"
"689470","691050"," protéinerie positive. "
"692630","698050"," Donc le dosage va cibler surtout la molécule"
"698050","699950"," de l'albumine, donc c'est un dosage"
"699950","703770"," qui est basé sur une technique immunochimique, immunoturbidimétrique"
"703770","707370"," ou immunonéphilimétrique et les valeurs de référence vont"
"707370","710410"," être variables entre 15 à 30 mg par"
"710410","712850"," 24 heures si bien sûr on a réussi"
"712850","715530"," à collecter correctement les urines de 24 heures."
"716010","719910"," Actuellement, vu ces contraintes et toutes les erreurs"
"719910","722530"," qui entachent le recueil des urines de 24"
"722530","725690"," heures, on va préférer la détermination du ratio"
"725690","728410"," albuminerie sur créatine inurie."
"729330","732070"," A partir de la détermination de l'albuminerie"
"732070","735350"," de 24 heures ou de ce ratio albuminerie"
"735350","739850"," sur créatine inurie, on va définir trois stades. "
"740410","743170"," Le premier stade on va parler d'albuminerie"
"743170","747230"," physiologique optimale lorsque l'albuminerie n'excède pas"
"747230","749590"," 15 mg par 24 heures ou le ratio"
"749590","752690"," est inférieur à 1,13 mg par mmol."
"752690","756610"," On va parler d'albuminerie physiologique normale haute"
"756610","761090"," lorsque l'albuminerie varie entre 15 à 30"
"761090","763910"," mg par 24 heures ou lorsque le ratio"
"763910","767010"," se situe entre 1,13 à 3,4"
"767010","768150"," mg par mmol."
"769090","773610"," L'albuminerie est dite microalbuminerie aux pathologiques de"
"773610","777830"," faible débit lorsqu'elle est située entre 30"
"777830","780630"," à 300 mg par 24 heures ou lorsque"
"780630","783870"," le ratio varie entre 3,4 à 34"
"783870","785230"," mg par mmol. "
"785750","788950"," Au niveau du stade 3, on va parler"
"788950","792950"," de macroalbuminerie lorsque l'albuminerie est supérieure à"
"792950","795770"," 300 mg par 24 heures ou lorsque le"
"795770","801030"," ratio est situé entre 34 et 226 mg"
"801030","802230"," par mmol."
"802730","805270"," Et au-delà de 226 mg par mmol,"
"805370","807650"," on va parler carrément de syndrome néphrotique."
"808310","811190"," Le troisième paramètre qui va évaluer la fonction"
"811190","812630"," glomerulaire, c'est la créatine. "
"812890","814990"," C'est un produit de déshydratation de la"
"814990","818910"," créatine musculaire et sa production journalière est quasiment"
"818910","821330"," constante puisqu'elle ne dépend que de la"
"821330","822630"," masse musculaire de l'individu."
"823290","825950"," La créatine est intéressante dans la mesure où"
"825950","827790"," elle va renseigner sur l'intégrité de la"
"827790","830850"," fonction glomerulaire puisque c'est une substance qui"
"830850","832690"," filtre librement."
"833190","835450"," Elle est non réabsorbée et non sécrétée très"
"835450","837950"," légèrement au niveau des tubes contournés proximales. "
"838370","841410"," Pour faire la détermination de la créatine, on"
"841410","845090"," va faire un prélèvement sanguin en utilisant soit"
"845090","846270"," le sérum soit le plasma."
"846990","849470"," Pour faire la créatine urine, on va faire"
"849470","850730"," un prélèvement urinaire."
"851010","853210"," On va collecter les urines de 24 heures"
"853210","856870"," ou bien utiliser un échantillon lorsqu'il y"
"856870","859210"," a une contrainte à collecter les urines de"
"859210","860310"," 24 heures. "
"863160","865820"," Le dosage est basé sur des techniques colorimétriques"
"865820","868880"," dites déjà faites qui sont les plus répandues"
"868880","871100"," au niveau des laboratoires mais qui sont sujettes"
"871100","872500"," quand même à des imperférences."
"873040","875860"," Le principe c'est qu'en présence de"
"875860","879000"," l'acide pécrique, la créatine en milieu alcalin"
"879000","881720"," va donner naissance à un complexe rouge-oranger"
"881720","885460"," dont la densité optique va augmenter proportionnellement à"
"885460","888360"," la concentration de la créatine à une longueur"
"888360","889660"," d'onde de 500 nanomètres."
"890720","893160"," Donc à côté de ces techniques colorimétriques, on"
"893160","895580"," a des techniques enzymatiques qui sont plus spécifiques"
"895580","899320"," mais comme elles sont onéreuses et sont peu"
"899320","901620"," utilisées par les laboratoires, on va distinguer les"
"901620","904900"," deux méthodes soit à la créatine inase soit"
"904900","906880"," à la créatine desaminase. "
"907820","910300"," Donc les valeurs de référence de la créatine"
"910300","912960"," inase varient en fonction du sexe puisque chez"
"912960","915080"," l'homme on va trouver des valeurs un"
"915080","917680"," peu plus élevées de 60 à 120 micromoles"
"917680","921460"," par litre, chose qui est évidente puisque l "
"921460","924240","'homme a une masse musculaire plus développée que"
"924240","924720"," chez la femme."
"925220","926820"," Chez la femme on va trouver 50 à"
"926820","928480"," 90 micromoles par litre."
"928480","931320"," Donc au niveau urinaire, on a une concentration"
"931320","934180"," variable de 8 à 16 millimoles par 24"
"934180","934980"," heures. "
"935380","938440"," Attention, il faut savoir que certains médicaments comme"
"938440","942100"," l'asimétidine qui est un antihistaminique utilisé comme"
"942100","944800"," anti-ulcéreux ou la tréméthoprime qui est un"
"944800","947900"," antibiotique vont inhiber la sécrétion tubulaire de la"
"947900","951540"," créatine in et entraîner une augmentation de ces"
"951540","955040"," concentrations sanguines sans qu'il y ait une"
"955040","957160"," répercussion sur la fonction glomerulaire."
"958400","960960"," L'intérêt de la détermination de la créatine"
"960960","963240"," in urinaire et sanguine, c'est qu'on"
"963240","967840"," va pouvoir déterminer le ratio créatine in urinaire"
"968240","971120"," sur créatine in plasmatique qui va nous renseigner"
"971120","973400"," sur l'origine de l'insuffisance rénale, est "
"973400","974940","-ce que c'est organique lorsque le rapport"
"974940","976440"," est inférieur à 30, c'est-à-dire"
