"start","end","text"
"180","4280"," Ce cours va aborder une pathologie chronique, très"
"4280","7500"," fréquente, à savoir l'asthme de l'enfant"
"7500","8620"," et du nourrissant."
"10440","14640"," L'asthme est une maladie inflammatoire chronique caractérisée"
"14640","18800"," par son polymorphisme clinique éthiologique et évolutif."
"19800","25060"," La maladie connaît une augmentation de fréquence puisque"
"25060","28060"," l'asthme toucherait environ 300 millions dans le"
"28060","28380"," monde. "
"28380","31619"," Au Maroc, la prévalence est de 15 à"
"31619","34740"," 20% de la population, faisant de l "
"34740","37920","'asthme la première maladie inflammatoire chronique."
"38840","42100"," Et donc ceci impose un fardeau considérable aux"
"42100","44840"," patients, à sa famille et à la collectivité."
"45860","48500"," L'asthme pose plusieurs problèmes, un problème de"
"48500","52380"," sous-diagnostic, d'asthmophobie et de spréphobie. "
"53310","55680"," La prise en charge au long cours a"
"55680","58920"," pour objectif de contrôler l'asthme, c'est "
"58920","61800","-à-dire contrôler les symptômes, la survenue des"
"61800","64620"," exacerbations et la fonction respiratoire."
"65820","69180"," La corticothérapie inhalée est la pierre angulaire dans"
"69180","70180"," le traitement de fond."
"71180","74200"," L'asthme du nourrissant est une entité particulière"
"74200","76440"," qui répond à une certaine définition. "
"77380","82760"," L'éducation thérapeutique a une place très importante"
"82760","85420"," dans la prise en charge."
"85800","88760"," Elle doit être intégrée et adaptée au suivi"
"88760","89520"," de chaque patient."
"91000","96100"," L'asthme est une maladie inflammatoire chronique caractérisée"
"96100","100420"," par son polymorphisme clinique, éthiologique et évolutif. "
"101280","104460"," La maladie connaît une augmentation de fréquence."
"104460","108700"," L'asthme toucherait environ 300 millions dans le"
"108700","109040"," monde."
"110000","113040"," Au Maroc, la prévalence est de 15 à"
"113040","116360"," 20% de la population, faisant de l "
"116360","119580","'asthme la première maladie inflammatoire chronique. "
"120580","124260"," Et donc ceci impose un fardeau considérable aux"
"124260","127500"," patients, à sa famille et à la collectivité."
"128560","131160"," L'asthme pose plusieurs problèmes."
"131840","135460"," Un problème de sous-diagnostic, d'asthmophobie, de"
"135460","136280"," spréphobie. "
"137600","139540"," La prise en charge au long cours a"
"139540","142740"," pour objectif de contrôler l'asthme, c'est "
"142740","145860","-à-dire contrôler les symptômes, la survenue d "
"145860","148660","'exacerbations et la fonction respiratoire."
"149760","153700"," La corticothérapie inhalée est la pierre angulaire dans"
"153700","154600"," le traitement de fond."
"154600","159380"," L'asthme du nourrissant est une entité particulière"
"159380","162020"," qui répond à une certaine définition. "
"163020","166840"," L'éducation thérapeutique a une place essentielle dans"
"166840","168820"," la prise en charge d'un enfant asthmatique."
"169580","172740"," Elle doit être intégrée et adaptée au suivi"
"172740","173740"," de chaque patient."
"175060","180080"," Un thérapeute physiopathologique L'altération de l'épithélium"
"180080","184260"," pulmonaire favorise la pénétration des allergènes ou des"
"184260","188920"," antigènes, qui sont reconnus par les cellules dendritiques. "
"190260","193340"," Par la suite, il va y avoir une"
"193340","197620"," migration vers les ganglions médiacinaux et présentation de"
"197620","202360"," l'antigène aux cellules natives Thelper ou Th0,"
"203800","208060"," puis transformation des Th0 en Th2 sous l "
"208060","209420","'effet de l'interleukin 4."
"209420","212880"," En cas de réexposition, il y a une"
"212880","216580"," initiation de la réaction allergique et libération de"
"216580","219880"," l'interleukin 5 et de l'interleukin 13."
"221100","225360"," En parallèle, l'antigène ou l'allergène est"
"225360","229840"," présenté au lymphocyte P avec différenciation en plasmocyte,"
"230220","233420"," sécréteur, diminoglobuline, IgE."
"235630","239740"," Toujours dans le rappel physiopathologique, en plus de"
"239740","243200"," la réaction inflammatoire allergique, il y a un"
"243200","247960"," contrôle neurologique de la bronchomotricité, qui fait intervenir"
"247960","253800"," le système sympathique adrénergique, le système parasympathique cholinergique"
"253800","258079"," et le système non-adrénergique non-cholinergique. "
"259019","262860"," Le système parasympathique est une composante majeure de"
"262860","264940"," la résistance des voies aériennes."
"265880","270820"," Il a un tonus bronchoconstricteur permanent et possède"
"270820","275560"," des récepteurs extrabranchiques et des récepteurs intrabranchiques qui"
"275560","278960"," sont sensibles aux irritants physiques ou chimiques comme"
"278960","279440"," la fumée."
"280540","282420"," Chez l'asthmatique, il y a mise à"
"282420","285320"," nu des récepteurs par la désquamation de l "
"285320","290060","'hébutélion bronchique, d'où exagération des réflexes cholinergiques. "
"290700","292140"," C'est pour ça qu'on utilise les"
"292140","295480"," anticholinergiques qui ont un rôle dans la modulation"
"295480","297160"," de la réponse inflammatoire."
"298520","304040"," Le système adrénergique, par les récepteurs β2 adrénergiques"
"304040","308520"," dont l'activation inhibe la bronchoconstriction et les"
"308520","312360"," récepteurs α-adrénergiques dont l'activation favorise la"
"312360","313660"," bronchoconstriction."
"314220","319640"," Le système non-adrénergique non-cholinergique qui a"
"319640","324040"," un effet bronchoconstricteur par le biais de la"
"324040","329480"," substance P, noroquinine, et du calcitonine-gène-related "
"329480","335120","-peptide et un effet bronchorelaxant par le biais"
"335120","339340"," du vasoactif intestinal peptide et du monoxyde d "
"339340","339740","'azote. "
"339740","343200"," Tout d'abord quelques définitions."
"344420","347300"," La crise d'âne est un accès paroxystique"
"347300","352280"," de durée brève, les symptômes cèdent rapidement, spontanément"
"352280","356400"," ou après inhalation de bronchodilatateurs de courte durée"
"356400","356900"," d'action."
"358440","363000"," L'exacerbation correspond à la persistance des symptômes"
"363000","366900"," respiratoires au-delà de 24 heures, quel que"
"366900","369940"," soit le mode début, progressif ou brutal. "
"370680","374300"," L'asthme aigu-grave est une crise ne"
"374300","377760"," répondant pas au traitement ou dont l'intensité"
"377760","382780"," est inhabituelle dans son évolution ou sa symptomatologie."
"383520","387460"," Elle peut évoluer vers l'insuffisance respiratoire aiguë,"
"387700","391580"," d'où l'intérêt de rechercher systématiquement les"
