"start","end","text"
"1800","5260"," Bonjour chers étudiants, le cours d'aujourd'hui"
"5260","7520"," c'est l'abcès pulmonaire."
"12580","17760"," Le plan du cours comporte une introduction, études"
"17760","24620"," pathogéniques, études cliniques, diagnostics différentiels et le traitement"
"24620","26800"," de l'abcès pulmonaire."
"32190","36990"," L'abcès pulmonaire, c'est une supuration collectée"
"36990","42490"," dans une cavité néoformée, creusée dans le parenchyme"
"42490","46770"," par une infection aiguë non-tuberculeuse. "
"47970","50790"," Sans exclut de la définition de l'abcès"
"50790","55850"," pulmonaire, les supurations sur des cavités existantes c "
"55850","57970","'est-à-dire l'abcétation de bulles, de"
"57970","61930"," cavités du tuberculeuse ou de kystes aériens, de"
"61930","64910"," kystes didactiques, de cancers excavés ou de dilatations"
"64910","66310"," de branches kystiques."
"66310","75120"," On susconde sa fréquence."
"75660","78300"," L'abcès pulmonaire, il est rare. "
"78800","81380"," Sa fréquence est diminuée depuis l'ère des"
"81380","82320"," antibiotiques."
"84060","86800"," Les germes responsables sont de plus en plus"
"86800","89140"," souvent des germes résistants."
"90240","93820"," Trois notions essentielles à retenir. "
"94760","98300"," L'abcès survient sur un terrain fragile."
"99300","103580"," Le traitement médical précoce est efficace."
"104380","108500"," La fibroscopie branchique est indispensable en cas d "
"108500","109660","'abcès pulmonaire. "
"113720","117420"," On se concerne à l'éthiopathogénie."
"118280","120780"," Les agents pathogènes, c'est souvent un abcès"
"120780","122720"," d'origine bactérienne."
"123640","128080"," Il peut être des germes aïrubis ou anaïrubis. "
"128360","132120"," Les aïrubis ont des grammes négatifs, comme l "
"132120","136220","'éclepsie, l'apnémonia, le pseudomonas aïrogenosa, le bacillus"
"136220","140740"," proteus, les grammes positifs, le staphylococque doré."
"141060","143040"," Également des germes anaïrubis."
"143680","145620"," On oublie qu'il y a des abcès"
"145620","150900"," pulmonaires, peut-être d'origine amibienne, d'origine"
"150900","151820"," parasitaire. "
"151820","158030"," On a parlé que l'abcès survient sur"
"158030","159430"," un terrain fragile."
"159730","162310"," Ce sont les facteurs favorisants."
"162710","165450"," Le terrain est toujours particulier. "
"166330","171010"," L'éthylisme, le tabagisme, le diabète, une corticothérapie"
"171010","175350"," au long cours, un traitement immunosuppresseur, une réanimation"
"175350","176350"," respiratoire."
"176870","178910"," Également, on cherche une porte d'entrée qui"
"178910","182210"," doit être soigneusement recherchée."
"182210","186690"," Cette porte d'entrée peut être dentaire, sudnusienne"
"186690","187510"," ou cutanienne. "
"187910","189490"," Dans le cas dentaire, on cherche les germes"
"189490","190490"," anaïrubis."
"193300","197880"," L'inoculation du parenchyme, qui doit être responsable"
"197880","201520"," de l'abcès pulmonaire, se fait soit par"
"201520","204220"," voie bronchique, soit par voie vacculaire."
"205280","207340"," La voie bronchique, c'est la situation la"
"207340","208300"," plus fréquente. "
"208300","212460"," L'inhalation de particules septiques ou de regurgitations,"
"213120","215600"," et la fréquence de l'atteinte des cernes"
"215600","217120"," dorsales, de l'inhalation."
"217260","218000"," Donc, c'est pour soi qu'il y"
"218000","220240"," a une atteinte des segments dorsaux."
"221480","224700"," Par voie vasculaire, c'est une volonté rare. "
"225480","230380"," Il s'observe surtout au milieu hospitalier et"
"230380","234440"," provoque la formation d'abcès multiples."
"237480","241200"," L'étude clinique, on apprend comme type de"
"241200","246580"," description la forme typique de l'abcès pulmonaire."
"247200","248780"," On a trois phases. "
"249300","252560"," Phase de foyer fermé, c'est un tableau"
"252560","255980"," de pneumopathie aiguë-fibrile."
"256399","258800"," Il y a une phase de rupture de"
"258800","259240"," vomique."
"259380","261040"," La vomique, vous allez la voir dans le"
"261040","262720"," cas d'abcès ou au cas de kystidatique. "
"262720","269340"," Cette vomique peut être massive, fractionnée ou numulaire."
"270380","272680"," Il y a une phase de foyer ouvert"
"272680","276040"," où l'état général s'altère."
"276480","278920"," On aura une fièvre qui est oscillante. "
"279360","282820"," On aura également une expurtation plus longue parfois"
"282820","283840"," du sang."
"285180","289460"," L'image radiologique, les signes radiologiques et les"
"289460","294640"," quatre grands signes radiologiques sont l'image hydroaérique."
"296440","304110"," Avec une paroi, c'est l'image hydroaérique. "
"305010","308490"," Avec la paroi qui est fine, on recherchera"
"308490","311450"," une branche de drainage."
"311450","315230"," Et il y aura une variabilité du niveau"
"315230","317850"," lorsqu'on refait les examens."
"319430","321410"," Au cas d'abcès, il faut faire un"
"321410","321730"," bilan. "
"322230","324350"," Il va comporter un bilan au niveau de"
"324350","325170"," la porte d'entrée."
"325270","326830"," L'examen de la porte d'entrée, de"
"326830","328730"," la recherche de la porte d'entrée cutanée,"
"329310","331690"," oréelle ou surtout dentaire."
"331830","333930"," L'aspect du dent, l'état dentaire. "
"334930","338530"," Rechercher les facteurs favorisant le diabète, le coma"
"338530","340850"," éthylique, la pollution, le tabagisme."
"340850","342650"," Si il y a une option d'intervention"
"342650","343730"," chirurgicale raison."
"344970","350030"," Et rechercher les causes leucorégionales, un obstacle intrabranchique,"
"350210","352010"," donc l'intérêt de la fibroscopie. "
"352790","357150"," Rechercher une compression extrinsèque, une pneumonie, une dilatation"
"357150","359850"," des causes oréelles ou des causes digestives."
"361370","366430"," L'examen biologique, un bilan inflammatoire, la VSL,"
"366490","367010"," la pélapérocitonine."
"367010","370010"," Une numération de formules sanguines à la recherche"
"370010","371330"," d'une hyperleucocytose. "
"371910","376210"," Et rechercher une terre métabolique, particulièrement indiabète."
"376650","381550"," Sans oublier les examens microbiologiques, par des hémocultures,"
"382050","384730"," par l'examen cytobac des expectorations."
"385830","387990"," Par des prélèvements qu'on fait au cours"
"387990","389230"," de la brancoscopie. "
"390010","392030"," Rechercher une porte d'entrée éventuelle."
"392550","393910"," Prélèvement du pub pleural."
"393910","397270"," Sans oublier qu'il faut toujours éliminer une"
"397270","398030"," tuberculose. "
"398090","400870"," Donc rechercher les BK à l'examen direct"
"400870","402050"," et à la culture."
"405130","406310"," Très important."
"407510","412930"," Toute abscédation pulmonaire ou pleural justifie une fibroscopie"
"412930","416790"," branchique à la recherche d'une myoplasie branchique. "
"417090","420030"," Il faut retenir cet élément très très important."
"421330","425550"," L'évolution, comment surveiller l'évolution ?"
"425550","429030"," Les éléments de surveillance sont toujours cliniques, biologiques"
