"start","end","text"
"710","3610"," Bonjour, bienvenue dans cette capsule de la première"
"3610","5930"," séance de travaux pratiques de biochimie deuxième année"
"5930","6450"," médecine."
"6990","9050"," Nous allons voir ensemble une technique d'analyse"
"9050","11950"," qui est quantitative des plus usuelles dans les"
"11950","13810"," laboratoires d'analyse médicale."
"13910","16650"," C'est la spectrophotométrie avec une application sur"
"16650","19510"," l'exploration biochimique du LCR dans le cas"
"19510","20210"," du méningite. "
"21310","23830"," L'appareil utilisé est un spectrophotomètre dont le"
"23830","25630"," principe d'utilisation est simple."
"25630","28730"," On met notre échantillon à analyser qui est"
"28730","30830"," sous forme d'une solution diluée dans une"
"30830","33690"," cuve en quartz ou en verre, selon qu "
"33690","35730","'on en est respectivement en mode UV ou"
"35730","36110"," visible."
"37110","40270"," Placé dans le spectrophotomètre, notre échantillon ici en"
"40270","43050"," jaune sera traversé par une lumière émise par"
"43050","46650"," la source, traité par un monochromateur et une"
"46650","48910"," fois la lumière transmise, la mesure sera donnée"
"48910","49770"," par un détecteur. "
"51730","54330"," Revenons maintenant sur ces trois entités."
"55290","59470"," La source émet une lumière polychromatique avec des"
"59470","62130"," ondes de longueurs différentes comme mentionnées avant."
"62870","66230"," Chaque longueur lambda est caractérisée dans le visible"
"66230","69250"," par une nuance de couleur allant du violet"
"69250","69870"," au rouge. "
"70850","73350"," Ce fameux lambda est le premier paramètre que"
"73350","75650"," l'on règle au niveau du spectrophotomètre avant"
"75650","76350"," toute mesure."
"77590","79310"," Dans quel but ?"
"79310","83030"," C'est pour permettre au monochromateur de dévier"
"83030","85190"," à l'aide d'un prisme un seul"
"85190","88710"," rayon monochromatique avec la longueur d'onde spécifiée"
"88710","91530"," et qui correspond à une seule nuance de"
"91530","94230"," couleur qui va être absorbée au maximum par"
"94230","95150"," notre échantillon."
"96310","98350"," On peut se demander comment on détermine les"
"98350","99050"," longueurs d'ondes. "
"99770","102590"," Sachez que pour chaque soluté, la longueur d "
"102590","104330","'onde spécifique est toujours la même."
"104330","107410"," Pour la déterminer, il suffit de faire des"
"107410","110370"," mesures des absorbances à plusieurs longueurs d'ondes"
"110370","112830"," et de considérer la longueur qui donne une"
"112830","114350"," absorbance maximale."
"115270","117690"," L'exemple ici de la bêta-carotène mesurée"
"117690","120550"," à de 400 à 500 nm a montré"
"120550","125050"," une absorbance maximale à lambda égale à 448"
"125050","125670"," nm. "
"126690","128389"," Revenons à notre échantillon."
"129050","132010"," Celui-ci sera soumis à un faisceau incident"
"132010","135550"," d'intensité I0 qui sera transmis avec une"
"135550","138150"," intensité I inférieure à I0."
"139350","142750"," Le rapport I sur I0 est la transmittance. "
"143650","145290"," Elle est de 100%, c'est-à-dire,"
"145630","147510"," elle est égale à 1, quand le milieu"
"147510","149970"," est transparent, tel qu'une eau distillée, par"
"149970","152350"," exemple, dépourvue de toute solité."
"153150","155730"," Dans ce cas, I sera égale à I0."
"155730","159550"," Par contre, dans un milieu opaque, la lumière"
"159550","162630"," incidente sera complètement absorbée par le soluté. "
"163150","164910"," Il n'y aura pas de rayons transmis"
"164910","168270"," et donc la transmittance est alors nulle."
"169450","172970"," L'absorbance est mesurée par le détecteur et"
"172970","176170"," il est exprimé par moins logarithme décimal de"
"176170","177130"," la transmittance."
"178630","180190"," Voilà pour l'absorbance. "
"180590","182570"," Mais quel est le rapport avec la concentration"
"182570","183390"," en soluté?"
"183390","186630"," Eh bien, en pratique, si on mesure les"
"186630","190350"," absorbances d'un soluté donné à plusieurs concentrations,"
"190990","195210"," la courbe absorbance en fonction des concentrations aura"
"195210","195810"," cette allure."
"197150","200490"," Vous pouvez remarquer qu'à une concentration nulle,"
"200590","203430"," l'absorbance est nulle, ce qui confirme le"
"203430","204770"," cas de la transmittance totale."
"205310","208190"," Et à concentration très élevée, la transmittance est"
"208190","209930"," nulle et l'absorbance va tendre vers l "
"209930","210230","'infini. "
"211350","214010"," Ceci montre bien que la partie prise en"
"214010","217170"," compte pour une bonne mesure au spectrophotomètre est"
"217170","220390"," bien celle correspondant à la partie présentant une"
"220390","223330"," proportionnalité entre l'absorbance et la concentration."
"224290","227390"," Elle est évaluée généralement à des concentrations inférieures"
"227390","229110"," à 10-2 mol par litre."
"230230","232470"," Bire un blanc vert en traduit cela par"
"232470","234530"," une formule qui porte leur nom, A est"
"234530","236010"," égale à εLC. "
"236870","240670"," Je rappelle ici que l'absorbance, appelée également"
"240670","242950"," densité optique, est sans unité."
"243770","246250"," Le ε est un coefficient d'extinction molaire"
"246250","249310"," exprimé en mol-1 cm-1 L."
"249850","252970"," L est la distance parcourue par le faisceau"
"252970","255910"," à travers l'échantillon qui est généralement de"
"255910","257829"," 1 cm, c'est l'épaisseur de la"
"257829","258110"," cuve."
"259269","262050"," Le εL reste constant tant que l'on"
"262050","263950"," travaille à des dilutions faibles. "
"265350","267730"," Mais comment calculer la concentration?"
"268770","270950"," Pour ne pas avoir à chaque fois à"
"270950","273930"," déterminer le ε qui dépend de l'ANDA"
"273930","276390"," et également de la température, nous avons deux"
"276390","276850"," méthodes."
"279010","281030"," Ou bien on utilise un étalon."
"281610","283810"," Un étalon est un produit fourni par une"
"283810","288030"," entité internationale reconnue contenant le même produit à"
"288030","291150"," analyser mais à concentration précise et connue. "
"291150","294670"," Il suffit alors de mesurer son absorbance, A"
"294670","297510"," étalon est égal à εLC étalon."
"298230","300830"," De mesurer de la même manière l'absorbance"
"300830","303410"," de notre échantillon et par une simple règle"
"303410","306370"," de 3, on peut déduire la concentration inconnue"
"306370","307190"," de notre échantillon."
"309480","311560"," Ou bien, si on ne dispose pas de"
"311560","314140"," l'étalon, on peut préparer nous-même non"
"314140","316840"," pas un étalon mais une gamme d'étalonnage. "
"316840","320620"," Cela consiste à préparer des solutions du même"
"320620","324980"," soluté à analyser à des concentrations croissantes, de"
"324980","329320"," mesurer leur absorbance, c'est-à-dire de"
"329320","331860"," ces solutions-là, de tracer la courbe qui"
"331860","335220"," est une droite, absorbance en fonction de concentration"
"335220","338680"," et la détermination de la concentration de notre"
"338680","341060"," échantillon se fera graphiquement."
"341060","344660"," Nous connaissons bien l'absorbance de notre échantillon."
"344960","347080"," Nous allons faire la projection à partir de"
"347080","349760"," la courbe vers l'axe des concentrations et"
"349760","351820"," déterminer celle de notre échantillon. "
"352480","355260"," Rappelez-vous bien que cette loi de Beer "
"355260","358000","-Lambert n'est valable que pour des radiations"
"358000","358960"," monochromatiques."
"359940","361580"," Elle ne peut s'appliquer que pour des"
"361580","365040"," solutions bien homogènes et surtout bien diluées."
"365040","367580"," Dans le cas contraire, il faut diluer la"
"367580","370040"," solution à analyser et ne pas oublier de"
"370040","371880"," prendre en compte le facteur de dilution au"
"371880","374180"," moment du calcul de la concentration finale. "
"375240","377560"," Nous allons passer maintenant à l'application clinique."
"378440","379940"," Dans le cas d'une suspicion de la"
"379940","382800"," méningite chez un patient, on fait une ponction"
"382800","383360"," lombaire."
"384520","387740"," Le LCR récupéré sera alors soumis à plusieurs"
"387740","390240"," analyses dont celle biochimique. "
"390840","394300"," Il ne faut pas oublier l'étude macroscopique."
"395220","398000"," En effet, l'aspect du LCR peut renseigner"
"398000","400920"," sur la pathologie jusqu'à un pourcentage assez"
"400920","404200"," significatif, notamment pour la méningite bactérienne."
"404880","407800"," Pour l'étude biochimique, nous allons faire uniquement"
"407800","410180"," l'analyse de la protéine orachique qui renseigne"
"410180","412740"," sur la présence ou non de la méningite"
"412740","415200"," et l'analyse de la glucorachie qui nous"
"415200","417740"," renseigne sur le type de méningite, à savoir"
"417740","418920"," bactérienne ou virale. "
"418920","421480"," Je vous invite à consulter le protocole de"
"421480","424480"," la manipulation sur votre polycopier et à visualiser"
"424480","425200"," la manipulation."
"426980","429860"," Pour le protocole de la protéine orachique, c "
"429860","432040","'est bien détaillé sur votre polycope, nous aurons"
"432040","433860"," besoin de préparer trois tubes."
"434200","436700"," Un tube blanc, un tube pour l'étalant"
"436700","439620"," et un tube pour notre échantillon à analyser. "
"439840","442420"," Nous aurons besoin du réactif pour déclencher la"
"442420","446080"," réaction, à savoir l'acide suprosalicybique, bien sûr"
"446080","447800"," l'eau distillée pour le blanc et l "
"447800","450340","'étalant pour le tube d'étalant et notre"
"450340","451440"," échantillon SL."
"453780","458920"," Nous allons commencer par, selon le protocole, mettre"
"458920","463480"," 2 millilitres d'acide suprosalicybique dans chaque tube."
"476680","481840"," Puis, respectivement, nous allons ajouter 0,5 millilitres"
"481840","488330"," de l'eau distillée dans le tube blanc. "
"508470","514289"," De la même manière, 0,5 millilitres de"
"514289","514890"," l'étalant."
"528610","530930"," Il ne faut pas oublier de rincer les"
"530930","533590"," pipettes entre chaque utilisation."
"534530","535890"," Et enfin, notre SL. "
"558380","562780"," Une petite agitation de la sorte sur la"
"562780","563360"," pointe des mains."
"569620","574100"," Et nous allons laisser reposer 10 minutes à"
"574100","574460"," température..."
"576480","579620"," Alors, les 10 minutes passées, passons maintenant à"
"579620","580000"," la maison."
"580000","585100"," Nous allons commencer par mettre l'appareil spectrophotomètre"
"585100","586960"," à l'encontre d'une bande à papier. "
"587260","590180"," Ici, pour les protéines, pour la protéorégie photo,"
"590520","593440"," on va utiliser 660 nanomètres."
"599790","604450"," L'étape suivante, on va mettre le blanc"
"604450","606610"," au niveau de l'appareil."
"606910","609710"," Nous allons remplir ces lieux qui présentent deux"
"609710","612690"," passes transparentes et deux passes de pattes pour"
"612690","613510"," pouvoir manipuler. "
"614570","618850"," Donc, on va mettre dans chaque tube une"
"618850","620210"," partie de notre blanc."
"623430","626810"," Sans oublier de bien expliquer la paroi transparente"
"626810","629150"," pour ne pas avoir d'impecté qui risque"
"629150","631890"," d'absorber la lumière."
"640920","643080"," Très bien, donc, une fois enlevé les deux"
"643080","646020"," tubes avec la solution du blanc de l "
"646020","649220","'eau distillée et le réactif, on remet l "
"649220","650380","'appareil à zéro. "
"651420","652900"," Et là, qu'est-ce qu'on fait"
"652900","653400"," ?"
