"start","end","text"
"3210","6290"," Chers étudiants, pour notre deuxième cours sur les"
"6290","11950"," adénomes hypophysaires, nous avons exploré un autre type"
"11950","13710"," d'adénome hypophysaire."
"14870","19310"," Après le prolactinome, nous allons voir l'adénome"
"19310","23790"," somatotrope, qui est responsable du tableau clinique d "
"23790","24710","'achromégalie."
"27660","33140"," Par rapport à ce cours, nos objectifs seront"
"33140","37300"," de reconnaître les signes cliniques qui accompagnent le"
"37300","38800"," tableau d'achromégalie. "
"39720","43080"," Il faut qu'on soit capable de faire"
"43080","47760"," le diagnostic positif de l'achromégalie, en plus"
"47760","51420"," de la clinique, en s'appuyant sur les"
"51420","57100"," explorations hormonales, afin de porter le diagnostic positif"
"57100","61420"," de l'achromégalie, et puis réaliser l'imagerie"
"61420","70220"," adéquate pour visualiser l'adénome hypophysaire somatotrope responsable"
"70220","71280"," de cette achromégalie."
"72540","77260"," Enfin, il y a des explorations complémentaires qui"
"77260","80640"," visent à rechercher les complications liées à l "
"80640","81280","'achromégalie."
"82280","88560"," Une fois que le diagnostic d'adénome somatotrope"
"88560","92060"," ou d'achromégalie est porté, il faut être"
"92060","97160"," en mesure de définir les principes de prise"
"97160","102100"," en charge et les principales options thérapeutiques que"
"102100","103900"," nous devons proposer aux patients. "
"103900","104720"," ..."
"104720","111580"," de l'axe somatotrope comme base de connaissances"
"111580","117060"," indispensables par rapport à la régulation de l "
"117060","119920","'axe somatotrope et à la physiologie de l "
"119920","120800","'hormone de croissance."
"121420","125040"," Nous commençons par ce bref historique en vous"
"125040","126300"," parlant tout de suite."
"126300","129820"," Je vous montre la photographie de la première"
"129820","133360"," patiente qui a été publiée dans un journal"
"133360","140400"," britannique et qui a été diagnostiquée achromégale et"
"140400","142800"," qui a été photographiée. "
"143480","150840"," Cela montre le changement complet de phénotype, de"
"150840","154640"," morphotype, le changement de son visage, la dysmorphie"
"154640","155700"," qu'on observe."
"157680","163700"," L'achromégalie a été diagnostiquée dans le XXe"
"163700","165960"," siècle et c'est une pathologie qui reste"
"165960","169820"," rare et qui est liée à l'hyperproduction"
"169820","172580"," d'hormones de croissance au GH par un"
"172580","176780"," adénome hypophysaire au niveau de l'antéhypophyse aux"
"176780","179620"," dépenses de la cellule somatotrope."
"180700","186220"," Pour le latin, l'achromégalie signifie mégalie pour"
"186220","190680"," grossissement ou élargissement et les extrémités c'est"
"190680","191200"," acral. "
"191700","194560"," Nous allons voir qu'à part l'élargissement"
"194560","198460"," des extrémités, nous allons avoir des modifications qui"
"198460","200940"," ne vont pas être visibles et qui vont"
"200940","205820"," concerner les organes, les distorsions osseuses, etc."
"206140","208580"," Nous allons le voir dans la partie clinique."
"210880","214180"," Clinique vraie de patients que nous suivons au"
"214180","215720"," service d'endocrinologie. "
"216360","219460"," Je commence par présenter l'observation de ce"
"219460","223360"," patient de 66 ans qui est venu au"
"223360","226800"," service, qui nous a été adressé par un"
"226800","230940"," médecin de Lille pour un syndrome dysmorphique très"
"230940","233560"," évocateur pour nous d'achromégalie."
"233560","238800"," C'était évident pour les cliniciens."
