"start","end","text"
"970","3290"," Donc, bonjour nos chers étudiants."
"3550","5270"," Le cours d'aujourd'hui s'intitule les"
"5270","7109"," accidents vasculaires cérébraux."
"7830","9510"," C'est un sujet d'actualité. "
"10610","14250"," D'une part, vu la fréquence, une grande"
"14250","18010"," proportion de patients vont faire un AVC, comme"
"18010","19850"," on va le voir tout à l'heure,"
"19990","21170"," et il faut savoir que c'est la"
"21170","24310"," première cause d'handicap des malades neurologiques."
"25030","27510"," De d'abord quelques définitions, l'accident vasculaire"
"27510","30530"," cérébral est une anomalie fonctionnelle ou une lésion"
"30530","33770"," du système nerveux central provoquée par une pathologie"
"33770","35950"," des artères ou des veines, à l'exclusion"
"35950","37890"," des lésions traumatiques ou tumorales."
"38770","42810"," Les accidents vasculaires cérébraux regroupent les infarctus cérébraux,"
"43510","47250"," les hémorragies cérébrales, les thromboflébites cérébrales. "
"48350","51570"," Un AVC constitué, c'est en général, quand"
"51570","55430"," ça dépasse une heure, le déficit est brutal,"
"55950","58390"," il reste stable sur les premières heures ou"
"58390","59290"," même va s'aggraver."
"59890","61130"," Il pourra aussi récupérer."
"61750","64710"," Nous aborderons en détail les accidents vasculaires ischémiques"
"64710","67970"," et on parlera très sommairement des accidents vasculaires"
"67970","70790"," hémorragiques qui seront abordés par des collègues neurosurgeons. "
"72210","75950"," L'accident ischémique transitoire, c'est un problème"
"75950","80190"," de déficit neurologique ou rétinien d'origine ischémique"
"80190","82730"," et dont l'ensemble des signes cliniques régressent"
"82730","84510"," totalement en moins d'une heure."
"85010","86290"," Et là, il n'y a aucune lésion"
"86290","87310"," sur la neuroradiologie."
"88350","91990"," En 2002, un groupe d'experts américains ainsi"
"91990","94930"," que l'ANAES, une société de neurologie vasculaire"
"94930","98250"," française, ont proposé une nouvelle définition de l "
"98250","101270","'accident ischémique transitoire qui est défini comme un"
"101270","104250"," épisode bref de dysfonction neurologique due à une"
"104250","107330"," ischémie focale cérébrale ou rétinienne dont les symptômes"
"107330","109950"," cliniques durent typiquement moins d'une heure sans"
"109950","111530"," preuve d'infarctus aiguë. "
"111930","114430"," Cette nouvelle définition repose sur une durée inférieure"
"114430","116570"," à une heure et sur la détection des"
"116570","119990"," signes d'ischémie cérébrale sur les explorations neuroradiologiques"
"119990","122590"," TDM ou IRM, au mieux sur l'IRM."
"126020","127979"," Sur le plan épidémiologique, quelques chiffres."
"128100","129960"," Il faut savoir que l'accident vasculaire cérébral,"
"130100","132800"," c'est la troisième cause de mortalité et"
"132800","134880"," la première cause d'handicap dans le monde. "
"135700","138180"," Les soins de l'AVC sont coûteux, aussi"
"138180","139760"," bien dans les pays développés que dans les"
"139760","140540"," pays émergents."
"141260","143740"," Les accidents hémorragiques sont les plus coûteux, mais"
"143740","146720"," leur prévalence est faible comparativement aux accidents ischémiques."
"147400","149760"," Et l'accident ischémique transitoire a un risque"
"149760","152320"," de survenue d'un AVC, par exemple un"
"152320","154520"," patient qui fait un AIT, il a 10"
"154520","157060"," à 20% à un an de faire"
"157060","158480"," un accident constitué. "
"159100","160920"," D'où l'intérêt de faire un bon"
"160920","164560"," bilan et un bilan complet exhaustif des accidents"
"164560","166360"," ischémiques transitoires parce que c'est un signal"
"166360","169060"," d'alarme qui permettra de trouver la cause"
"169060","171460"," et d'éviter l'accident ischémique constitué."
"172000","173980"," Et le coût moyen d'un AVC en"
"173980","176160"," France est de 18 000 euros sur les"
"176160","176980"," 12 premiers mois."
"177720","179440"," C'est vraiment un coût énorme. "
"179800","180620"," Et là, en fait, il y a cette"
"180620","182400"," étude qui résume tous ces chiffres là."
"182980","184320"," Et ce qu'il faut retenir en termes"
"184320","186020"," de chiffres, c'est que devant un accident"
"186020","189280"," ischémique constitué, le un tiers des patients va"
"189280","191860"," mourir, le un tiers va garder des séquelles"
"191860","194340"," toute sa vie et un seul tiers va"
"194340","195100"," récupérer."
"195360","196900"," D'où l'intérêt de faire très attention"
"196900","203360"," afin de ne laisser pas ces deux tiers"
"203360","206160"," soit mourir, soit rester handicapé toute leur vie. "
"207560","210200"," Quels sont les principaux facteurs de risque cardiovasculaire?"
"210520","212720"," Le principal, c'est l'hypertension artérielle et"
"212720","215000"," les maladies cardiaques, rythmiques et ischémiques."
"215340","217540"," Il y a aussi l'hyperlipidémie, le tabagisme,"
"217640","219800"," le diabète qui ont un rôle pluméré."
"220340","221660"," Et là, il y a de nouveaux facteurs"
"221660","223960"," de risque comme le rôle délétère de l "
"223960","228260","'atmosphère, de certaines particules dans l'atmosphère au"
"228260","229780"," cours des saisons chaudes. "
"230960","234120"," Le rôle des syndromes métaboliques, donc la précarité"
"234120","237200"," socio économique, le rôle de la migraine associée"
"237200","239960"," au tabagisme et à la contraception, surtout chez"
"239960","240980"," la jeune femme."
"241580","244120"," Le rôle préventif du traitement immédiat des accidents"
"244120","248220"," ischémiques transitoires par l'association anti agrégant, IEC"
"248220","250920"," et statine et le rôle préventif secondaire des"
"250920","253100"," statines après un premier AVC ou un premier"
"253100","253480"," AIT."
"255970","258589"," Et là, il y a même, bien sûr,"
"258610","260209"," comme on l'avait dit pour la migraine,"
"260709","261990"," donc c'est aussi un facteur de risque"
"261990","263110"," qui est important. "
"263690","265390"," Il y a aussi certains facteurs génétiques qui"
"265390","269010"," ont été identifiés et donc tout ceci doit"
"269010","270090"," être bien connu."
"270970","273230"," En résumé, donc devant un tableau d'accidents"
"273230","277510"," vasculaires cérébrales constitué, le scanner ou l'IRM"
"277510","278950"," va faire un peu la part des choses"
"278950","281090"," entre l'ischémique et l'hémorragique et on"
"281090","283690"," voit que l'ischémique ou l'infarctus est"
"283690","287570"," 85%, donc presque la majorité et ne reste"
"287570","289930"," que 15% pour l'hémorragique et dans"
"289930","292130"," l'ischémique, l'athérosclérose vient en tête avec"
"292130","295370"," 30%, 20% pour les embolies, tout ce"
"295370","298550"," qui est fragment d'un thrombus ou d "
"298550","300790","'un problème cardiaque valvulaire qui va migrer, s "
"300790","302870","'arrêter au niveau des artères cérébrales."
"303410","306890"," Les lacunes, c'est surtout l'arthérosclérose, les"
"306890","309090"," artérioles, en général, c'est lié à l "
"309090","311010","'hypertension ou au diabète et il y a"
"311010","313470"," 15% de causes inexpliquées dans l'ischémique. "
"313870","315630"," Pour l'hémorragique, que ce soit les hémorragies"
"315630","318770"," sous-arachnoïdiennes, ça peut être une malformation artérielle,"
"318830","321390"," par exemple, 5% de tous les AVC"
"321390","323890"," et ça peut être des hématomes intracérébraux."
