"start","end","text"
"1029","5930"," ...situation, sa morphologie, sa population, sa biodiversité et"
"5930","8110"," sa structure."
"8710","12570"," On va dessiner ici les rapports de cet"
"12570","13170"," organe."
"14290","18670"," On va étudier sa vascularisation, les neurones artériels,"
"19310","23150"," la fatigue et on va donc continuer par"
"23150","24750"," un chapitre de radiomanagement. "
"35130","35550"," ..."
"53870","57290"," Alors, sans trop tarder, qu'est-ce que"
"57290","61910"," vous connaissez de cet organe, d'estomac ?"
"63750","64150"," ..."
"71490","73650"," C'est un organe creux."
"73990","75070"," Il fait partie du tube digestif."
"75870","77250"," Parce que le tube digestif, il y a"
"77250","77710"," deux parties. "
"78230","79310"," Il y a le tube et il y"
"79310","79910"," a les anexes."
"80710","82830"," Alors le tube, ça commence dès les ovales."
"83410","85510"," La bouche, normalement, elle fait partie du tube"
"85510","86250"," digestif aussi. "
"86370","87610"," C'est pas un tube, c'est une"
"87610","89110"," cavité, d'accord ?"
"89110","91290"," Alors le tube digestif, ça commence de la"
"91290","92730"," bouche, du client, c'est-à-dire au"
"92730","96010"," niveau des ovales cervicales et ça se termine"
"96010","98970"," avec l'anus, d'accord ?"
"98970","99430"," ..."
"105890","108530"," Il ne permet pas la destruction, d'accord"
"108530","108630"," ?"
"108630","109450"," La dégradation."
"109710","111390"," La destruction, ça veut dire qu'il va"
"111390","112130"," le chasser."
"112130","116110"," C'est la dégradation, le malaxage qui aide"
"116110","121730"," à malaxer le bol, c'est-à-dire"
"121730","122090"," l'animal. "
"122910","123690"," ..."
"142230","143730"," Donc elle a dit que c'est une"
"143730","144590"," poche musculaire."
"145190","147570"," Déjà, le fait de parler d'une poche"
"147570","151010"," musculaire, ça veut dire que tout ce qui"
"151010","152610"," est musculaire, ça sert à quoi ?"
"152610","156150"," Ça sert vraiment à la contraction, à faire"
"156150","158690"," malaxer, à dégrader, comme vous avez dit."
"159210","160390"," Donc il a la forme d'un gis. "
"160530","162690"," C'est comme un gis, ou bien..."
"162690","162910"," ..."
"167590","170730"," C'est comme un gis, et donc ça"
"170730","172710"," sert, comme tu l'as dit, au passage"
"172710","173950"," et au malaxage."
"177390","178190"," ..."
"193870","197770"," Donc, la notion nouvelle ici, je ne vais"
"197770","199730"," pas répéter ce qui a été dit."
"200590","202950"," Il a parlé de sécrétion, c'est-à "
"202950","204070","-dire la sécrète de l'acide. "
"204610","206750"," Et cet acide, il va nous aider à"
"206750","208370"," dégrader les animaux."
"211270","211710"," ..."
"216550","219450"," Alors, une musculise, ça, je ne peux pas"
"219450","220070"," te garantir."
"220410","222310"," Parce que généralement, une musculise, c'est au"
"222310","223450"," niveau des qualités cardiaques. "
"223630","226350"," Donc c'est quand même une musculation qui"
"226350","226730"," est striée."
"229590","230150"," ..."
"242230","245150"," Donc on a dit que l'estomac, ça"
"245150","246750"," se trouve au niveau de la région épigastrique."
"248070","251890"," Vous connaissez la répartition des compartiments au niveau"
"251890","253390"," de la domaine. "
"253390","257390"," Donc il y a 9 compartiments, épigastrique, couvastrique,"
"257570","259190"," plomb de droite, plomb de gauche, plomb de"
"259190","261089"," droite, plomb de gauche, plomb de droite, plomb"
"261089","261470"," de gauche."
"261810","265430"," Alors, l'estomac, il occupe la région épigastrique."
"265650","267750"," Il occupe une petite partie de la région"
"267750","268430"," pénibulée. "
"268870","269110"," Oui."
"275530","276010"," ..."
"278150","278490"," ..."
"283670","286170"," Oui, sa surface interne n'est couverte pas"
"286170","286850"," par une muqueuse."
"286890","288590"," D'ailleurs, tout le tube digestif est couvert"
"288590","289690"," par une muqueuse à l'intérieur. "
"290270","292050"," Donc il y a toujours, dans tout le"
"292050","294390"," tube digestif, retenez-le, il y a 4"
"294390","294810"," tunées."
"295790","297050"," Il y a la muqueuse de l'intérieur"
"297050","297690"," et de l'extérieur."
"297870","299310"," Il y a la muqueuse, il y a"
"299310","301830"," la sonuqueuse, il y a la musculeuse et"
"301830","303070"," il y a la serreuse. "
"303070","304890"," Alors la serreuse, c'est pour les organes"
"304890","307870"," qui sont péritonisés, qui sont entourés par le"
"307870","308290"," péritone."
"308770","310630"," Pour les organes qui ne sont pas péritonisés,"
"311170","313530"," la serreuse est remplacée par l'adventis."
"314530","315530"," L'osophage, par exemple. "
"315750","317030"," L'osophage n'est pas péritonisé."
"317510","319590"," C'est sa partie, l'osophage abdominal qui"
"319590","320230"," est péritonisé."
"320970","323310"," L'osophage cervical et l'osophage thoracique ne"
"323310","324910"," sont pas péritonisés, donc ils sont entourés par"
"324910","325430"," l'adventis. "
"326070","328450"," Lorsqu'il devient abdominal, c'est là où"
"328450","331190"," la serreuse ou le péritone se reflète sur"
"331190","332530"," l'organe et ça donne la serreuse."
"333070","335150"," Au niveau de l'anus aussi, du rectum."
"335410","339470"," Le rectum péritonisé contient une serreuse. "
"339790","341730"," Le rectum périnéal et l'anus, ils ne"
"341730","344190"," contiennent pas de serreuse, ils contiennent un adventis."
"345930","348690"," Alors tu as dit la muqueuse, il sert"
"348690","349350"," à la sécrétion."
"349470","349850"," Tout à fait. "
"350870","352950"," La muqueuse, il sécrète des acides."
"354170","356170"," L'estomac est un organe qui est situé"
"356170","358710"," dans l'étage supra-mésochonique et c'est"
"358710","360590"," un organe qui est très inerte."
"360590","361730"," C'est pourquoi il ne sert qu'à"
"361730","362510"," se prier que ça fait mal. "
"363270","364170"," Très bien, bravo."
"364610","367070"," Il a déjà classé, il a fait sortir"
"367070","369730"," cette notion de supra ou sus-mésochonique."
"370670","373730"," L'abdomen chirurgien, on le divise en deux. "
"374510","377590"," Etage sus-mésochonique et étage sous-mésochonique."
"378070","379610"," L'étage sus-mésochonique, c'est tout ce"
"379610","381870"," qui est au-dessus du côlon et de"
"381870","382290"," nos écolons."
"382850","385170"," C'est l'osophage abdominal, c'est l "
"385170","386750","'estomac, c'est le dieu de l'âme,"
"387050","388350"," une partie du dieu de l'âme. "
"388350","390870"," Le premier, le deuxième, une partie du troisième"
"390870","392390"," et le quatrième, parce qu'une partie du"
"392390","394390"," troisième est un petit peu sous-mésochonique."
"395030","397770"," L'intestin grêle et le côlon sont sous "
"397770","400170","-mésochoniques, donc l'estomac est sous-mésochonique."
"401270","404590"," Il est caractérisé par son innervation, c'est"
"404590","406090"," pour ça que tu as raison, c'est"
"406090","408450"," pour ça que les ulcères ça fait mal. "
"408870","410610"," Les ulcères ça fait une douleur."
"411010","412430"," La douleur ça vient d'où ?"
"412430","414350"," Ça vient de l'irritation de ses nerfs."
"414350","417510"," On va détailler cette innervation par la suite. "
"417850","419410"," C'est bon ?"
"419410","421510"," Je peux passer à mon père ?"
"425710","428550"," Ça commence par anorelphie, c'est le cardiaque."
"428730","430550"," Ça se termine par la parfaite proximité."
"432050","434530"," Ça se termine par l'opioid, donc il"
"434530","435690"," y a deux origines, c'est le cardiaque"
"435690","435990"," et l'opioid. "
"436890","438630"," Très bien, vous avez des connaissances qui sont"
"438630","441650"," pas mal, donc on va essayer de voir"
"441650","443210"," dans notre tour."
"443210","446690"," Dans notre tour, on va suivre ce plan."
"447350","449790"," On va commencer par une définition de l "
"449790","453610","'organe, une configuration et une description de l "
"453610","457970","'organe, la structure de l'organe, les configurations"
"457970","463510"," internes, les moyens d'électricité, les rapports, la"
"463510","467850"," vascularisation, et deux chapitres qui sont supplémentaires, c "
"467850","471210","'est la radioanatomie et les techniques d'exploration"
"471210","471770"," de l'estomac. "
"471770","474470"," D'ailleurs, ce plan va être un plan"
"474470","481230"," typique pour toutes les présentations."
"485790","488510"," Alors, comme vous l'avez dit, c'est"
"488510","493490"," une énorme poche musculaire située au niveau de"
"493490","497650"," la région épigastrique Il a un orifice supérieur"
"497650","500410"," qui s'appelle le cardiaque et qui est"
"500410","505910"," situé au niveau de la douzième vertèbre dorsale"
"505910","506670"," ou thoracique."
"507730","511070"," Il a un orifice intérieur qui s'appelle"
"511070","513169"," le pylore et il est situé au niveau"
"513169","513830"," de l1. "
"514309","516230"," Pourquoi c'est si proche ?"
"516230","519610"," Parce que normalement, on a l'orifice du"
"519610","524210"," cardiaque, et l'estomac va décrire une courbe"
"524210","527550"," vers la partie supérieure ou la partie soudiafragmatique,"
"527670","529410"," c'est la région qu'on appelle la"
"529410","532890"," grosse tiburosité, et après, il va descendre, c "
