"start","end","text"
"2530","6790"," Chers étudiants, chers étudiants, Bienvenue à ce premier"
"6790","9750"," cours d'hématologie cellulaire dans le cadre de"
"9750","12530"," votre module de formation en hématologie."
"13030","15090"," Il s'agit d'un premier cours d "
"15090","17210","'une série de six que vous allez étudier"
"17210","19350"," avec moi-même, votre professeur Saïr."
"20030","22510"," Toujours dans le cadre du module d'hématologie,"
"23230","25310"," vous allez suivre les cours de l'hémostase"
"25310","29090"," avec notre éminent maître, professeur Chakour, et ceux"
"29090","32330"," de l'immunohématologie avec un enseignant de référence"
"32330","35210"," en la matière, qui est notre professeur Eïssa"
"35210","35530"," Amr. "
"36430","38030"," À noter que pour chacun de ces cours,"
"38130","40530"," vous allez avoir accès sur la plateforme TEA"
"40530","44090"," à une présentation préalablement enregistrée qui fait lieu"
"44090","46990"," du cours magistral, suivi d'une séance interactive"
"46990","49550"," sur Teams dans laquelle nous allons revenir sur"
"49550","52430"," les points essentiels, voir des cas cliniques et"
"52430","53950"," aussi répondre à vos questions."
"53950","56970"," Ceci suppose bien sûr que vous avez déjà"
"56970","60610"," étudié les présentations magistrales avant la séance interactive."
"61350","64269"," Aussi, vous êtes sollicité à assister à toutes"
"64269","67930"," ces séances interactives qui sont complémentaires et indispensables"
"67930","68750"," à votre formation. "
"69490","72810"," Donc, ce premier cours va porter sur l "
"72810","73710","'hématopoïèse."
"78960","88120"," Chers étudiants, pour ce cours, nous allons adopter"
"88120","89000"," le plan suivant."
"89000","92240"," Nous allons commencer par une introduction suivie de"
"92240","93140"," quelques rappels. "
"93740","95700"," Ensuite, nous allons voir le déroulement de l "
"95700","99080","'hématopoïèse avec les compartiments, la cinétique et la"
"99080","99840"," régulation."
"100600","102480"," Par la suite, nous allons voir l'exploration"
"102480","105760"," de l'hématopoïèse, les applications, avant de conclure."
"110020","113100"," L'hématopoïèse est l'ensemble des processus physiologiques"
"113100","116220"," aboutissant à la production continue et régulée des"
"116220","120660"," cellules sanguines, que nous appelons aussi éléments figurés"
"120660","121140"," du sang. "
"121140","124920"," Les cellules sanguines sont en effet de trois"
"124920","125420"," types."
"126100","129419"," On distingue les globules rouges appelées aussi érythrocytes"
"129419","130420"," ou hémacytes."
"131000","133880"," Ces globules rouges sont très riches en hémoglobines,"
"134140","135680"," d'où la couleur rouge du sang. "
"136780","140060"," Par la suite, on distingue les globules blancs"
"140060","143640"," qui sont appelés aussi leucocytes et les plaquettes"
