"start","end","text"
"1380","6720"," Bonjour, on va finir les cours de neurosensorialité"
"6720","7700"," par la vision."
"8340","9820"," On va voir comment est-ce que le"
"9820","13420"," message photique va se transformer en un message"
"13420","14040"," électrique."
"14660","16940"," La traduction du message photique. "
"31130","33590"," Vous voyez là les objectifs que vous pouvez"
"33590","35230"," voir."
"36600","39840"," Donc la vision c'est la capacité qu "
"39840","45860","'on a à transformer et à distinguer différentes"
"45860","48960"," formes, la position d'un objet, est-ce"
"48960","50300"," qu'elle est mobile ou est-ce qu "
"50300","53900","'elle est statique, la distance, la couleur, la"
"53900","54640"," luminosité."
"55780","58200"," Il faut imaginer que toutes les images vont"
"58200","60720"," tomber sur un plan horizontal qui est la"
"60720","61120"," rétine. "
"62140","64920"," Mais même si ça tombe sur un plan"
"64920","67480"," horizontal qui est la rétine, on est tout"
"67480","69800"," de même capable de dire que c'est"
"69800","75860"," tridimensionnel, qu'un objet est bidirectionnel ou bien"
"75860","76920"," tridimensionnel."
"77380","79100"," Est-ce qu'il est proche, est-ce"
"79100","79660"," qu'il est loin?"
"80280","81460"," Est-ce qu'il s'approche, est-ce"
"81460","82160"," qu'il s'éloigne?"
"82740","83860"," Est-ce qu'il est mobile, est-ce"
"83860","85040"," qu'il est statique?"
"85040","88560"," Donc tout ça c'est la capacité de"
"88560","91280"," la vision, du système visuel."
"91880","94060"," Et en général ce qui permet de faire"
"94060","95180"," ça c'est le cerveau. "
"95720","99400"," Mais l'œil a un rôle important pour"
"99400","103160"," capter et pour transférer de façon correcte les"
"103160","105360"," différents messages qui vont par la suite être"
"105360","106940"," interprétés par le cerveau."
"112630","115050"," Donc l'œil c'est un appareil photographique,"
"115650","118770"," capteur et n'interprète pas bien sûr."
"118770","122150"," Sa fonction c'est de recevoir et de"
"122150","126030"," transformer les vibrations électromagnétiques en un signal électrique. "
"126670","128570"," Et pour faire ça il a donc des"
"128570","130550"," récepteurs spécialisés pour cette fonction."
"161360","163780"," Maintenant quels sont les mécanismes de transduction du"
"163780","164260"," message?"
"164960","167740"," Pour que le message soit enregistré, il faut"
"167740","170060"," qu'il tombe sur des photorécepteurs qui sont"
"170060","173400"," des cellules localisées au niveau de la rétine."
"173400","177760"," La particularité de ces cellules photoréceptrices c'est"
"177760","181900"," qu'elles contiennent des pigments visuels. "
"181980","185160"," C'est des substances qui sont photosensibles, qui"
"185160","187260"," peuvent être excitées par la lumière."
"188480","190260"," Vous le savez peut-être, mais il y"
"190260","192040"," a un certain nombre de substances, si on"
"192040","194560"," les expose à la lumière, elles vont commencer"
"194560","196820"," à brûler, elles vont commencer à être excitées,"
"196920","198380"," à changer de couleur, etc."
"199920","202700"," Ça c'est très connu dans la nature"
"202700","208280"," et heureusement dans notre système visuel, plus spécifiquement"
"208280","212960"," dans ces cellules photoréceptrices, on a ces pigments,"
"213140","214740"," ces substances chimiques. "
"218660","228500"," Voilà donc les différents récepteurs, les cônes et"
"228500","231260"," les bâtonnets qui se localisent sur la partie"
"231260","232740"," profonde de la rétine."
"234820","239280"," Là c'est la corruïde, là c'est"
"239280","243100"," la rétine et là c'est l'humeur"
"243100","243560"," vitrée."
"243560","246560"," Donc la lumière vient par là et elle"
"246560","251280"," va dépasser ces couches-là qui sont transparentes,"
"251360","253420"," qui ne peuvent pas absorber la lumière. "
"254640","257180"," La lumière va partir jusqu'à la partie"
"257180","261019"," profonde de la rétine et elle va être"
"261019","263260"," absorbée par les cônes et les bâtonnets."
"263680","264820"," Pourquoi elle va être absorbée?"
"264920","270800"," Parce que ces cellules-là contiennent des molécules"
"270800","271660"," photosensibles."
"271660","275540"," Faites attention à ces dispositions particulières entre le"
"275540","279700"," nerf optique et la cellule photoréceptrice. "
"280200","282000"," Jusqu'à présent on avait vu que la"
