"start","end","text"
"390","4710"," Bonjour, c'est Dr Reis Hanen, enseignante d "
"4710","5850","'anatomie pathologique."
"6390","8730"," Aujourd'hui, on va étudier le cancer du"
"8730","9070"," poumon."
"10990","13310"," Alors, je vais commencer par une observation d "
"13310","15890","'un patient âgé de 60 ans qui a"
"15890","18410"," commencé dans un tabagisme à 20 paquets à"
"18410","20710"," nez et qui s'est présenté en consultation"
"20710","25070"," pour une toux, douleur thoracique et hémoptésie évoluant"
"25070","25630"," depuis un an. "
"26630","31430"," Alors, déjà, sur la radiographie standard, on voit"
"31430","33850"," qu'il y a une image d'allure"
"33850","42720"," tumorale au niveau pulmonaire thoracique et en plus"
"42720","48400"," de cette image qui existe en regard du"
"48400","54980"," sternum, existe une autre image scanographique postérieure pulmonaire"
"54980","57860"," qui est suspecte d'être tumorale."
"58420","61600"," Alors, la biopsie va intéresser le site le"
"61600","62400"," plus proche."
"64930","69410"," Une biopsie, scanoguidée, du processus tumorale le plus"
"69410","71170"," accessible a été réalisée. "
"72210","74050"," Alors, ces prélèvements ont été mis dans du"
"74050","78390"," formol, ils ont été mis après dans des"
"78390","82150"," cassettes et puis on a préconisé du fait"
"82150","85130"," que le matériel est exaigu, des lames blanches."
"85130","86430"," Pourquoi ces lames blanches?"
"86730","90210"," Pour éviter la consommation du matériel, c'est "
"90210","93670","-à-dire que lorsque cette biopsie va passer"
"93670","96390"," dans l'automate de déshydratation et puis elle"
"96390","98810"," va être enrobée, quand on va faire la"
"98810","102230"," coupe, on va faire en même temps que"
"102230","106170"," les matériaux niosines pour voir la lésion, 6"
"106170","109930"," lames blanches ou 7 pour éviter la déperdition"
"109930","110790"," du matériel."
"114290","115550"," Alors, qu'est-ce qu'on voit?"
"115550","118710"," On voit qu'il s'agit d'une"
"118710","125170"," prolifération tumorale maligne agencée en apes diffuse, en"
"125170","130390"," quelques petits massifs cribriiformes, en cellules isolées, en"
"130390","136130"," petits travées, en structures glanduliformes, avec des atypies"
"136130","138490"," cytonucléaires, regardez des noyaux qui sont de taille"
"138490","143510"," variable, hyperchrome, quelques mitoses et un cytoplasme qui"
"143510","146310"," est peu abondant et une stromaréaction qui est"
"146310","150250"," fibreuse et discrètement inflammatoire. "
"151330","156090"," Alors, au fort grossissement, on met en évidence"
"156090","161530"," les atypies cytonucléaires marquées et quelques structures qui"
"161530","163590"," rappellent des fentes glanduliformes."
"164210","166890"," Alors là, le diagnostic à évoquer, c'était"
"166890","171890"," une prolifération tumorale carcinomateuse, peut différencier infiltrantes,"
"171950","174670"," probablement de différenciation glandulaire."
"175130","178730"," Il existe un algorithme qui est intéressant lorsqu "
"178730","181330","'on ne sait pas si la tumeur est"
"181330","184770"," épidermoïde, c'est un carcinome épidermoïde, ou un"
"184770","185730"," adénocarcinome. "
"186330","188230"," Dans le poumon, c'est les deux tumeurs"
"188230","190950"," les plus fréquentes, l'adénocarcinome et le carcinome"
"190950","191550"," épidermoïde."
"191630","195430"," On sait que le carcinome épidermoïde exprime le"
"195430","202380"," P40 et la TTF1, alors que l'adénocarcinome"
"202380","204440"," pulmonaire exprime le TTF1."
"204700","207920"," Si le TTF1 est positif et P63 ou"
"207920","210440"," P40 sont négatifs, c'est la même chose,"
"210540","211700"," c'est un adénocarcinome. "
"211900","214380"," Si le TTF1 est négatif et le P40"
"214380","217280"," est positif ou P63, c'est un carcinome"
"217280","218080"," épidermoïde."
"218560","221040"," Et s'il y a un problème des"
"221040","223120"," deux, les deux sont positifs ou les deux"
"223120","225720"," sont négatifs, c'est un carcinome branchique non"
"225720","233070"," apticellule NOS, sans autre identification ou indication."
"234610","238090"," Alors, notre prolifération tumorale, déjà on a utilisé"
"238090","243660"," la deuxième lame blanche, parce que la première"
"243660","245880"," nous a servi pour faire l'hématéiniosine. "
"246340","250580"," La deuxième va servir pour faire le TTF1."
"250640","252660"," Le TTF1, on note que les cellules tumorales"
"252660","255800"," expriment au niveau nucléaire le TTF1."
"255800","261800"," Alors, au niveau, pour la P63, la troisième"
"261800","264380"," lame blanche, le P63 est négatif. "
"264560","267920"," Et donc, le diagnostic, c'était celui d "
