"start","end","text"
"1571110","1572930"," J'attends vos réponses."
"1615820","1618280"," Vous n'évoquez rien du tout ?"
"1627330","1628630"," Une crise d'asthme modérée."
"1630890","1631230"," D'accord. "
"1631430","1632930"," Pourquoi, à votre avis, vous avez classé cette"
"1632930","1634230"," crise d'asthme en étant une crise d "
"1634230","1636210","'asthme modérée ?"
"1675350","1676070"," Oui."
"1676210","1677950"," Alors, comment vous allez juger cette crise d "
"1677950","1679150","'asthme ?"
"1679150","1680590"," Il y a une proposition de réponse que"
"1680590","1681030"," vous avez mise."
"1681150","1682050"," C'est une crise modérée. "
"1682290","1684290"," Maintenant, ma question, quel sont vos arguments en"
"1684290","1687430"," faveur de classer cette crise qu'en étant"
"1687430","1689350"," modérée ?"
"1713550","1716730"," Alors, les différents éléments, elles sont déjà asthmatiques."
"1732270","1734970"," Alors, le fait que la patiente soit asthmatique"
"1734970","1736310"," n'est pas forcément en faveur d'une"
"1736310","1736950"," crise modérée."
"1736950","1740010"," Ça veut dire que la patiente est asthmatique. "
"1740330","1740610"," Point bas."
"1741870","1744570"," Mais, pour évaluer la crise et la notifier"
"1744570","1748310"," qu'elle est modérée sur cet argument-là,"
"1748490","1748610"," non."
"1749930","1753070"," Maintenant, oui, la saturation est de 91%. "
"1753070","1755090"," Oui, la fréquence, les données de la fréquence"
"1755090","1756790"," cardiaque, la fréquence respiratoire."
"1757550","1759630"," C'est une personne qui continue, qui arrive"
"1759630","1761750"," à parler, qui arrive à articuler, même si,"
"1762310","1764610"," je vous ai marqué ici, elle répondait, mais"
"1764610","1766470"," elle arrêtait, elle s'arrêtait de temps en"
"1766470","1766590"," temps."
"1766690","1768770"," Mais, en tout cas, c'est quand même"
"1768770","1772150"," une personne avec laquelle on arrive à communiquer. "
"1774550","1777670"," Donc, c'est une crise de sévérité modérée,"
"1778270","1782960"," mais pas très importante."
"1783660","1784520"," C'est ce que vous avez mis."
"1784660","1786360"," On a un 2P qui est plus de"
"1786360","1788980"," 60%, une saturation qui est plus de 90%. "
"1788980","1790400"," Donc, la crise ici est modérée."
"1791840","1793580"," Est-ce qu'il y a des facteurs"
"1793580","1796140"," favorisant, à votre avis, est-ce qu'il"
"1796140","1799680"," y aurait des facteurs favorisant à la survenue"
"1799680","1800440"," de cette crise?"
"1806210","1807530"," On remet la vignette."
"1811320","1811820"," Le train. "
"1812460","1814160"," Alors, argumentez votre réponse."
"1816720","1818120"," Pourquoi le train a-t-il fait ça"
"1818120","1820060"," sur cette patiente?"
"1847990","1850510"," Alors, le tabagisme, il va entretenir l'inflammation."
"1850710","1853150"," C'est aussi un facteur de risque de"
"1853150","1855150"," survenue d'une crise. "
"1855310","1857350"," Et aussi, parce qu'il diminue l'efficacité"
"1857350","1858670"," de la corticothérapie inhalée."
"1859530","1861690"," Donc, il rend le traitement moins efficace."
"1862590","1864450"," Donc, c'est un facteur qui pourrait favoriser"
"1864450","1866650"," la survenue d'une exacerbation. "
"1879260","1880160"," Est-ce qu'il y a un autre"
"1880160","1884780"," argument qui pourrait justifier aussi la survenue de"
"1884780","1885280"," cette crise?"
"1887540","1889260"," Un chat domestique."
"1890900","1891980"," C'est possible."
"1892200","1894760"," Si on est exposé, encore une fois, à"
"1894760","1895700"," cette allergène. "
"1896060","1896460"," Tout à fait."
"1896580","1902660"," Une exposition allergénique importante pourrait expliquer cette aggravation."
"1903540","1903960"," Quoi d'autre?"
"1906840","1908260"," Antécédent d'un grave. "
"1911240","1913580"," Ça fait partie d'une autre facteur."
"1913760","1917060"," C'est-à-dire, ça fait partie des"
