"start","end","text"
"1350","4170"," Bonjour, nous allons voir le développement psycho-affectif"
"4170","5690"," et social du nourrissement."
"11910","14630"," Pour les objectifs du cours, il faut définir"
"14630","17550"," les principales caractéristiques de la communication mère-enfant,"
"18710","21490"," décrire les principales compétences sensorielles et sociales du"
"21490","23130"," nouveau-né qui entrent en jeu dans la"
"23130","26390"," communication mère-enfant, expliquer la notion de dyade"
"26390","28630"," et de phase symbiotique, définir la théorie d "
"28630","30650","'attachement du nourrisson à sa mère selon Bowlby,"
"31470","34150"," expliquer le processus d'individuation et de séparation"
"34150","37070"," selon Malheur, décrire les différents niveaux d'interaction"
"37070","39490"," mère-enfant et les différentes étapes de prise"
"39490","41490"," de conscience de l'enfant de son état"
"41490","41930"," de sujet."
"46870","50130"," Le développement psycho-affectif est inscrit dans le"
"50130","54070"," patrimoine génétique, donc l'expression des processus maturationnels"
"54070","57310"," apparaît étroitement impliquée dans l'interaction de l "
"57310","58490","'organisme avec le milieu. "
"61930","65190"," Le vécu des mamans durant la grossesse a"
"65190","69610"," une importance majeure dans le développement psycho-affectif"
"69610","75670"," du foetus déjà, durant la grossesse et du"
"75670","77550"," nouveau-né après l'accouchement et durant les"
"77550","78510"," premières semaines de vie."
"79030","82230"," La présence psychique et l'intégrité psychique de"
"82230","84890"," la maman jouent un rôle primordial dans les"
"84890","89330"," relations précoces et sur le développement ultérieur du"
"89330","89730"," nourrissement."
"93670","96310"," La grossesse est considérée comme une période très"
"96310","98810"," vulnérable, une période de transparence psychique. "
"99450","101570"," Au cours de la période, tous les événements"
"101570","104410"," antérieurs dans le passé de la mère vont"
"104410","108310"," refaire leur surface, ce qui la rendra encore"
"108310","110110"," plus vulnérable sur le plan psychique."
"111510","113410"," Il y a aussi les angoisses et les"
"113410","117390"," préoccupations maternelles vis-à-vis de son rôle"
"117390","119890"," de mère, vis-à-vis de son enfant."
"122900","126020"," Une autre source qui pourrait être une source"
"126020","127600"," d'angoisse, c'est les attentes de la"
"127600","130920"," maman vis-à-vis de l'enfant, l "
"130920","134840","'enfant imaginaire, imaginé par l'enfant, et son"
"134840","137700"," adaptation avec l'enfant réel, qui peut parfois"
"137700","141200"," être très différent, ce qui peut engendrer des"
"141200","142660"," perturbations chez la maman. "
"143280","147860"," L'échographie gestationnelle peut aussi angoisser la mère,"
"147860","153440"," puisque l'image de l'enfant allégographique ne"
"153440","156000"," correspond pas à la réalité, et pourrait être"
"156000","160240"," la cause de plusieurs interprétations de la maman,"
"160540","162780"," et plusieurs peurs vis-à-vis de son"
"162780","163080"," enfant."
"172570","174650"," Les interactions entre la mère et l'enfant"
"174650","178130"," sont très importantes, surtout les interactions précoces."
"179070","181310"," Déjà, à la naissance, il existe un lien"
"181310","182930"," entre la maman et le nouveau-né. "
"182930","186970"," La mère peut construire un lien d'attachement"
"186970","188450"," d'emblée avec le nouveau-né."
"189710","193270"," Ce dernier peut faciliter la tâche, puisque lui "
"193270","198650","-même peut stimuler la maman, et encourager son"
"198650","202350"," attention et les soins qu'elle va lui"
"202350","202930"," produire."
"207300","209260"," Selon Minécote, un nouveau-né ne peut pas"
"209260","211540"," exister sans sa mère, ce qui souligne l "
"211540","214520","'importance de la relation mère-enfant. "
"215300","217380"," Le potentiel inné de l'enfant ne peut"
"217380","219060"," s'exprimer que grâce aux soins de la"
"219060","220820"," maman, c'est-à-dire que c'est"
"220820","222880"," elle qui va le stimuler, qui va l "
"222880","226140","'encourager, le motiver, pour que lui aussi soit"
"226140","232480"," un acteur positif dans l'établissement du lien."
"235640","241100"," Plusieurs facteurs peuvent favoriser l'établissement d'une"
"241100","242920"," bonne relation entre la maman et l'enfant."
"242920","246040"," Par exemple, la disponibilité affective de la mère,"
"246140","249540"," la souplesse de ses réponses, sa stabilité, sa"
"249540","252280"," continuité, sa cohérence dans la relation. "
"257540","259600"," Les compétences du nouveau-né sont aussi très"
"259600","261160"," importantes dans l'établissement."
"262240","264180"," Les états de vigilance, c'est-à-dire"
"264180","267640"," l'état d'éveil du nouveau-né, au"
"267640","269620"," cours duquel le bébé a des capacités à"
"269620","272520"," percevoir et discriminer les informations de l'environnement,"
"273020","274720"," sont très importants."
"274720","277080"," C'est durant ces états d'éveil et"
"277080","280520"," de vigilance que le bébé exerce un contrôle"
"280520","283760"," et une influence sur son environnement, d'où"
"283760","285440"," la valeur affective de la relation. "
"287660","290100"," Les compétences sensorielles du nouveau-né sont aussi"
"290100","290680"," importantes."
"292100","294900"," Visuelle, c'est-à-dire que le nouveau "
"294900","297680","-né aura des perceptions qui existent dès la"
"297680","298120"," naissance."
"298840","303800"," L'accommodation va apparaître et être parfaite en"
"303800","305020"," trois mois et demi. "
"306280","311780"," Une bonne acuité visuelle favorise l'interaction du"
"311780","316180"," nouveau-né avec son environnement et l'encourage"
"316180","318140"," à interagir de bonne qualité."
"319060","323440"," Les compétences auditives également sont importantes, puisqu'il"
"323440","325260"," va reconnaître la voix de sa maman en"
"325260","328120"," premier lieu, puis les différentes voix humaines et"
"328120","329480"," les bruits de son entourage."
"330780","336160"," Les compétences olfactives, le bébé reconnaît déjà l "
"336160","338780","'odeur de sa mère à la naissance, ce"
"338780","341820"," qui l'aide à la reconnaître et aide"
"341820","344720"," aussi à l'établissement du lien précoce. "
"349830","353550"," Le toucher est aussi un élément important, puisque"
"353550","357090"," la première expérience du nouveau-né dès la"
"357090","359670"," naissance, c'est le corps à corps avec"
"359670","362070"," sa maman, ce qui va lui permettre de"
"362070","364110"," toucher la peau de sa maman ou de"
"364110","364750"," la sentir."
"365370","368870"," C'est un élément très important pour commencer"
"368870","371610"," à établir le lien dès la naissance."
"377900","380260"," Dès la douzième heure de naissance, le nouveau "
"380260","382220","-né possède déjà des compétences sociales. "
"383000","388580"," On observe un rythme coordonné des mouvements du"
"388580","392100"," nouveau-né selon la voix humaine, une interaction"
"392100","394140"," spécifique à la voix de sa maman."
"395060","397220"," Le nouveau-né commence déjà à réagir au"
"397220","400640"," stimuli extérieur et il va rapidement être capable"
"400640","401720"," d'imiter les autres."
"405520","407680"," La diade mère-enfant se construit très tôt"
"407680","410040"," par la série d'échanges entre les deux. "
"411000","413040"," Les échanges se font au moment des soins,"
"413360","415520"," au moment des tétés, c'est un stade"
"415520","416300"," très important."
"416760","418400"," Même si le nouveau-né ne distingue pas"
"418400","420820"," encore la différence entre lui et sa mère,"
"421260","422280"," on va dire qu'ils sont dans un"
"422280","423320"," état fusionnel."
"424080","425320"," Les soins jouent le rôle d'un mot"
"425320","426720"," auxiliaire de l'enfant. "
"430360","433220"," Le maternage et les soins apportés au nouveau "
"433220","436220","-né l'aident à développer ses perceptions sensorielles."
"437500","439900"," Le sourire est le prototype des relations sociales"
"439900","441340"," du bébé avec son entourage."
"441780","443300"," C'est l'indice du fonctionnement de la"
"443300","444220"," diade mère-enfant. "
"450530","452510"," La théorie de l'attachement a été établie"
"452510","454210"," par John Bolvi."
"454650","456490"," Pour lui, l'attachement est la propension à"
"456490","458570"," établir des liens forts avec des personnes particulières,"
"459650","462330"," notamment les principales figures d'attachement."
"462570","465570"," L'attachement existe dès la naissance et se"
"465570","467050"," maintient tout au long de la vie. "
"467630","469910"," C'est-à-dire qu'il souligne vraiment"
"469910","473450"," l'importance des liens précoces et de la"
"473450","475790"," qualité de l'attachement parce que c'est"
"475790","478530"," une chose qui va durer toute la vie"
"478530","481190"," et qui va influencer le comportement et la"
"481190","483370"," personnalité de l'individu."
"484110","486050"," Tout l'attachement se développe à partir du"
"486050","490230"," comportement inné, du horizon, les pleurs, la chuchot,"
"490450","491490"," l'agrippement."
"492650","496090"," Ceci lui permet de maintenir la proximité physique"
"496090","498850"," et l'accessibilité à la figure d'attachement,"
"499010","500430"," qui est principalement la mère. "
"501970","503870"," En fonction de la qualité de l'attachement,"
"504510","507750"," l'enfant va se sentir protégé, réconforté."
"508290","513090"," Il va se consoler auprès de sa figure"
"513090","515429"," d'attachement quand il va sentir ou percevoir"
"515429","516470"," une menace extérieure."
"519020","521340"," On distingue l'attachement sécure de l'attachement"
"521340","522120"," non-sécure. "
"522120","526600"," L'attachement sécure se développe quand les réponses"
"526600","529880"," de l'entourage sont adéquates aux besoins de"
"529880","530500"," l'enfant."
"531000","533840"," L'enfant va développer une base de sécurité,"
"534020","536360"," une image de lui-même positive et de"
"536360","538020"," nouvelles compétences peuvent apparaître."
"538540","541480"," Puisque les réponses sont adéquates, l'enfant se"
"541480","542920"," sent digne d'être aimé. "
"544100","546420"," Il a une certaine estime de soi qui"
"546420","549920"," va se développer et il sera capable de"
"549920","553080"," se séparer de façon saine de sa figure"
"553080","556120"," d'attachement pour aller explorer l'environnement."
"557940","561200"," Pour l'attachement non-sécure, il se produit"
"561200","563200"," quand les réponses de l'entourage aux besoins"
"563200","565300"," de l'attachement sont inadéquates."
"565680","567400"," Par exemple, on aura des mères qui sont"
"567400","570300"," rejetantes ou des mères violentes vis-à-vis"
"570300","570860"," de l'enfant. "
"571260","574280"," L'enfant va se sentir mal aimé, il"
"574280","576320"," va être dans l'évitement."
"576320","579340"," On aura un attachement qui est angoissé et"
"579340","581640"," ambivalent, évitant ou désorganisé."
"582160","585080"," Ceci va impacter l'image de soi de"
"585080","588900"," l'enfant, ce qui va conduire vers des"
"588900","590820"," troubles psychiques par la suite. "
"593730","597150"," Comme on avait expliqué, l'enfant va faire"
"597150","600650"," des demandes, il va exprimer à partir des"
"600650","600910"," cris."
"602130","604070"," Il va s'attendre à avoir des réponses"
"604070","605250"," de son entourage."
"605250","610150"," Quand les réponses sont cohérentes, quand la figure"
"610150","612750"," d'attachement est contenante, quand elle est rassurante,"
"613430","615450"," l'enfant va se sentir stable et en"
"615450","615970"," sécurité. "
"616690","619590"," Il pourra ainsi explorer le monde et construire"
"619590","622410"," ses connaissances en toute sécurité."
"626720","629300"," Pour les niveaux d'interaction mère-enfant, dans"
"629300","633880"," la préoccupation maternelle primaire, il s'agit de"
"633880","635940"," la capacité d'empathie qu'a la mère"
"635940","637260"," envers son enfant."
"638700","641460"," Elle le regarde grâce à ses capacités d "
"641460","641980","'empathie. "
"642760","647940"," Elle ressent et perçoit la signification des mots"
"647940","649100"," et des gestes de ses enfants."
"651980","653310"," On a les interactions comportementales."
"657840","661600"," Elles signifient les comportements réciproques entre la maman"
"661600","662760"," et son nourrisson. "
"663120","665320"," Par exemple, le nourrisson qui va regarder la"
"665320","669480"," maman, qui va lui sourire, qui va crier,"
"669920","670700"," qui va l'attraper."
"670700","673800"," Et en retour, c'est la réponse comportementale"
"673800","676180"," de la maman qui va s'en suivre."
"679580","682760"," Pour les interactions corporelles et cutanées, ils signifient"
"682760","687440"," l'ensemble des échanges médiatisés par la façon"
"687440","690040"," dont l'enfant est tenu, la façon dont"
"690040","692280"," la maman étient son enfant, la façon dont"
"692280","694480"," elle le porte, la façon dont elle le"
"694480","697400"," change, dont elle lui fait des soins corporels. "
"698040","700180"," Il y a aussi la qualité des contacts"
"700180","702340"," peau à peau qui sont très importants."
"702340","705280"," Au moment des soins, les caresses, les chatouillements,"
"705380","706840"," les bisous que va donner la maman à"
"706840","707340"," son bébé."
