"start","end","text"
"1160","4320"," Le cours d'aujourd'hui est intitulé équilibre"
"4320","7320"," synovasique dans l'organisme humain."
"9620","13380"," En guise d'introduction, l'équilibre synovasique ou"
"13380","15740"," l'homéostasie est une des fonctions essentielles de"
"15740","19200"," l'organisme humain qui vise à réguler les"
"19200","20560"," variations du pH du plasma."
"22140","24500"," Il faut noter que la concentration d'ions"
"24500","27200"," H+, dans l'organisme, est très faible,"
"28600","35440"," elle représente 0,00004 mEq par litre. "
"35440","40420"," C'est une valeur infiniment petite par rapport"
"40420","46640"," à la concentration des autres cations et ions,"
"46800","50040"," tel que le sodium qui représente 135 mEq"
"50040","53440"," par litre et le potassium qui représente 5"
"53440","54720"," mMol par litre."
"57480","62140"," Il faut rappeler des notions de base sur"
"62140","69000"," les principes de l'acide et des bases."
"69540","74160"," Pour Bronsted, l'acide est une molécule ou"
"74160","77100"," un ion ou un radical capable de libérer"
"77100","78020"," l'ion H+. "
"79140","81060"," Donc il va donner des protons."
"81700","83860"," Pour la base, c'est une molécule ou"
"83860","86400"," un ion, c'est un radical capable de"
"86400","87400"," capter l'ion H+."
"88020","89880"," Donc c'est un accepteur de protons. "
"92260","95540"," Dans une solution, tel que le plasma ou"
"95540","98300"," le sang, il y a toujours le couple"
"98300","99620"," acide et base."
"100560","102300"," D'ailleurs, il y a les cations et"
"102300","106360"," les anions, il y a les ions négatifs"
"106360","108420"," et les ions positifs."
"111340","114640"," La réaction se fait d'une réaction d "
"114640","119200","'équilibre entre l'acide pour donner une base"
"119200","122720"," et un proton H+. "
"122720","125260"," A et B sont dits des acides et"
"125260","126040"," des bases conjuguées."
"126040","129060"," Donc c'est des exemples d'acides."
"129240","132760"," Il peut être neutre, comme un HCl. "
"133700","138340"," Il peut être un anion, le CO3H-, il"
"138340","140900"," peut être un cation, un H4+."
"141660","145880"," Pour les bases, également, il peut être neutre,"
"145940","149320"," tel que l'ammoniaque NH3+, un H "
"149320","151040","+, pour donner un NH4+."
"154770","163110"," Donc ici, la base c'est l'ammoniaque,"
"163270","164690"," c'est un H4+. "
"173840","176520"," Et puis, il peut être un anion, tel"
"176520","179740"," que le CO3H-."
"182340","183960"," En folie, c'est des molécules qui peuvent"
"183960","187760"," être à la fois, jouer un rôle d "
"187760","189500","'acide ou de base, selon le milieu."
"191050","201030"," Exemple, la molécule de"
"201030","204850"," PO4H3 ou le phosphate. "
"207690","212750"," Le PO4H3 est un acide qui va se"
"212750","219090"," transformer en ion phosphate, PO4H2-+, un"
"219090","219790"," H+."
"219790","222230"," Également, l'eau est un ampholyte."
"223870","226430"," Il peut capter un ion H+, et"
"226430","228210"," il peut libérer un ion H+. "
"228790","231690"," On les appelle donc des ampholytes ou des"
"231690","232430"," amphoteres."
"234150","238170"," On signale également des protéines qui jouent les"
"238170","241450"," deux rôles, un rôle acide et un rôle"
"241450","241890"," basique."
"247390","250570"," Le pH d'une solution est une expression"
"250570","253090"," de la concentration des ions H+, libres"
"253090","255050"," dans cette solution. "
"255970","258910"," Donc l'expression pH, c'est le potentiel"
"258910","262930"," d'érogène, qui est une mesure de la"
"262930","264570"," concentration de l'ion H+."
"264570","269250"," Le pH est également le logarithme décimal de"
"269250","270790"," la concentration de H+."
"270790","274030"," C'est à dire que la concentration de"
"274030","276330"," H+, est égale à 10 à la"
"276330","279190"," puissance moins pH molle par litre. "
"280690","285130"," L'eau pure est généralement très faiblement dissociée."
"285810","290610"," Les molécules de H2O vont donner H3O+,"
"290610","292130"," plus 1OH-."
"294450","299010"," Et donc l'eau pure est considérée neutre,"
"299110","301930"," car la concentration de H+, égale à"
"301930","304490"," celle de la concentration de H-, égale"
"304490","306230"," à 10-7 mol par litre. "
"307970","311430"," Donc un pH neutre, c'est un pH"
"311430","312990"," qui est égal à 7."
"313610","315830"," Pour un pH inférieur à 7, c'est"
"315830","317130"," une solution acide."
"317970","320030"," Si le pH est supérieur à 7, c "
"320030","321910","'est la solution basique."
"323390","326650"," Quelques exemples, les solutions d'urée et du"
"326650","328810"," glucose sont une solution neutre. "
"330070","336850"," Donc le pH égale à 7, c'est"
"336850","338710"," parce qu'il n'y a pas de"
"338710","339870"," libération de H+."
"339870","343410"," La solution de HCl est une solution acide,"
"344070","346050"," alors que la solution de NH est une"
"346050","346870"," solution basique."
"348690","351830"," La notion de force des acides et des"
"351830","352030"," bases. "
"352190","354430"," Donc un acide peut être faible comme il"
"354430","356850"," peut être fort, et de même pour les"
"356850","357090"," bases."
"358630","362150"," Un acide qui possède un proton, plus facilement"
"362150","363770"," il est plus ou moins fort."
"365030","370870"," Et lorsque la base fixe un proton plus"
"370870","372370"," ou moins facilement, il est plus ou moins"
"372370","372710"," fort. "
"373330","380970"," Donc le couple acide-basique peut être composé"
"380970","382530"," d'un acide fort et d'une base"
"382530","385150"," faible réciproquement."
"385990","391190"," Donc cette réaction évolue dans les deux sens."
"394600","400570"," Ce qui nous permet d'écrire selon l "
"400570","402490","'équation d'équilibre. "
"402790","407290"," A1H plus A2- peut donner A1-"
"407290","409070"," plus A2H."
"409730","412830"," Un acide 1 plus une base 2 va"
"412830","415450"," donner une base 1 plus un acide 2."
"415450","418690"," Et donc on peut schématiser tout ça dans"
"418690","424430"," une équation de constante d'équilibre égale la"
"424430","425090"," base 1."
"425830","427450"," C'est à dire la deuxième partie de"
"427450","431390"," cette équation fois l'acide 2 plus l "
"431390","433560","'acide 1 fois la base 2."
"439740","443020"," La constante d'acidité de même."
"443020","451060"," Lorsqu'on met un acide en dissolution dans"
"451060","451380"," l'eau. "
"451880","455300"," On va avoir un acide AH plus l "
"455300","456340","'eau plus H2O."
"457020","458720"," Il va nous donner un A- plus"
"458720","461200"," H3O+."
"461200","463880"," Donc la constante d'équilibre qui est la"
"463880","466540"," constante d'acidité. "
"475200","477360"," Puisque H2O est une constante."
"479480","484040"," Puisque la solution est dédiguée."
"492040","495740"," Donc la constante d'acidité KA est A "
"495740","496960","-H3O+. "
"501740","504500"," Donc on peut définir le pKA qui est"
"504500","506900"," moins log de KA."
"508020","510980"," Et donc on revient à la notion qu "
"510980","515299","'un acide est d'autant plus fort que"
"515299","519000"," son KA est grand."
"519000","524240"," Et son pKA est négatif au plus petit. "
"527410","528810"," Le cas de l'eau pure."
"529930","532170"," La dissociation est très faible."
"533410","536430"," Donc deux H2O vont nous donner un OH3O+. "
"537530","539810"," Ils auront autant de H plus que de"
"539810","540350"," OH moins."
"541630","545710"," Et donc par la suite le KA égale"
"545710","547730"," la concentration de H3O+."
"547730","549910"," Par la concentration de H moins. "
"550750","554110"," Égale 10-14 mol carré litre moins 2"
"554110","555850"," à 25°C."
"559590","562570"," Or on a H3O plus égale H moins"
"562570","564650"," égale 10-7 mol par litre."
"565250","566830"," Donc on peut convertir au pH. "
"569650","575170"," Le pH c'est moins logarithme de H3O+."
"576010","581290"," Qui est égale à moins log de 10 "
"581290","584190","-7 qui est égale à 7 pour l "
"584190","584570","'eau pure."
"587570","591130"," Ceci va nous inciter à parler du mélange"
"591130","592930"," d'un acide et d'une base. "
"593710","596630"," Et également des courbes de titrage."
"598170","603250"," Les courbes de titrage ou les courbes de"
"603250","603810"," titration."
"604490","607930"," C'est les variations de pH en fonction"
"607930","610110"," de l'acidité ou de la basicité de"
"610110","611210"," la solution ajoutée. "
"612410","614250"," Ils permettent de doser à partir de la"
