"start","end","text"
"1290","4390"," Bonjour, dans cette deuxième partie de l'exploration"
"4390","7050"," de la cortico-surénelle, nous allons voir l "
"7050","11490","'étude des minéralocorticoïdes et des androgènes cortico-surénaliens"
"11490","12330"," au laboratoire."
"14060","18190"," Au chapitre des minéralocorticoïdes, on va voir successivement"
"18190","22490"," leurs régulations, leurs actions physiologiques, l'exploration au"
"22490","25590"," laboratoire et on terminera par les anomalies de"
"25590","26370"," sécrétion."
"28510","32830"," La régulation des minéralocorticoïdes est sous le contrôle"
"32830","34850"," du système rénine angiotensine. "
"35830","37410"," La rénine, c'est une hormone qui est"
"37410","41070"," sécrétée par les cellules juxtaglomerulaires rénales après une"
"41070","43670"," baisse de la tension artérielle ou une hyponatrine."
"43670","47050"," La rénine, en effet, va activer la réaction"
"47050","51090"," de transformation de l'angiotensine angène en angiotensine"
"51090","54010"," de type 1 et puis l'angiotensine 1"
"54010","57370"," est transformée en angiotensine 2 sous l'action"
"57370","60710"," de l'enzyme de conversion d'origine pulmonaire."
"61550","66710"," L'angiotensine 2 exerce une action stimulatrice de"
"66710","69710"," la zone glomerulée et le résultat, c'est"
"69710","73710"," une sécrétion de l'aldostérone qui va stimuler"
"73710","76370"," la réabsorption de sodium qui va être échangé"
"76370","79570"," contre soit le potassium, soit les protons H+. "
"80710","83430"," Et d'autre part, on peut avoir également"
"83430","86730"," une action, une stimulation directe de la zone"
"86730","89230"," glomerulée pour la synthèse et la sécrétion de"
"89230","91970"," l'aldostérone de la part, suite à une"
"91970","94270"," hypercaliémie et de la part de l'ACTH."
"95810","99590"," On peut également avoir une inhibition qui est"
"99590","103050"," exercée par l'hypocaliémie, les puptiles natriurétiques et"
"103050","103550"," la dopamine."
"107210","110250"," Donc le rôle principal de l'aldostérone, c "
"110250","114190","'est de maintenir l'homéostasie électrolytique au niveau"
"114190","117470"," du tube contourné distal, au niveau du tube"
"117470","120730"," collecteur et accessoirement au niveau de la branche"
"120730","121730"," ascendante de LA. "
"121730","127169"," Donc, il favorise l'absorption du sodium et"
"127169","129530"," l'excrétion des protons H+, et du"
"129530","132950"," potassium par stimulation de la pompe à sodium "
"132950","134730","-potassium ATPase dépendante."
"136370","139510"," L'aldostérone a également une action extra-rénale"
