"start","end","text"
"460","3080"," Aujourd'hui, on va aborder le deuxième cours"
"3080","4840"," qui est le syndrome de masse rénale."
"6220","8060"," Les objectifs de ce cours."
"9060","11500"," Au bout de ce cours, l'étudiant doit"
"11500","14340"," être capable de définir l'apport et les"
"14340","16940"," limites de techniques d'imagerie dans le syndrome"
"16940","20580"," de masse rénale, définir le syndrome de masse"
"20580","22860"," rénale à l'échographie et de préciser l "
"22860","26040","'apport de l'imagerie dans le diagnostic éthiologique"
"26040","26940"," des masses rénales. "
"28160","31060"," Pour cela, on va aborder le plan suivant,"
"31220","34900"," donc toujours une introduction suivie par la clinique,"
"35920","39400"," les moyens d'exploration radiologique et puis les"
"39400","40860"," diagnostics éthiologiques."
"41040","42060"," Avant de conclure."
"45130","47820"," La problématique du syndrome de masse rénale, c "
"47820","52460","'est de distinguer entre un kyste ou un"
"52460","56280"," cancer rénal et là, l'échographie trouve tout"
"56280","60160"," son intérêt, notamment quand elle est couplée au"
"60160","60480"," Doppler. "
"61700","64840"," La tomodensitométrie est réservée au cas où le"
"64840","67680"," diagnostic est difficile ou en cas de tumeur"
"67680","71140"," de petite taille inférieure à 3 centimètres ou"
"71140","73000"," dans le cadre du bilan d'extension de"
"73000","75660"," masse de nature solide ou mixte."
"76480","78080"," L'IRM, quant à elle, a une bonne"
"78080","82780"," résolution spatiale et elle permet de faire l "
"82780","85600","'extension, le diagnostic d'une extension veineuse de"
"85600","88400"," cancer d'urin vers la veine rénale ou"
"88400","89680"," la veine cave inférieure."
"90400","95020"," Des panxions biopsies rénales peuvent être réalisées par"
"95020","98940"," guidage échographique ou scanographique si le diagnostic est"
"98940","99380"," incertain. "
"101710","103250"," Alors, quel est le rôle de l'imagerie?"
"103890","106710"," L'imagerie permet de faire le diagnostic positif,"
"107550","109950"," de donner les éthiologies d'une masse rénale,"
"110230","112050"," de faire le bilan d'extension en cas"
"112050","115830"," de cancer rénal, d'assurer la surveillance post "
"115830","119690","-thérapeutique et enfin de guider des panxions biopsies"
"119690","120150"," rénales."
"121310","125610"," Cliniquement, une masse rénale se manifeste le plus"
"125610","128590"," fréquemment par l'hématurie, qui est en général"
"128590","132910"," une hématurie totale, par des douleurs lombaires, une"
"132910","135370"," masse lombaire, un contact lombaire."
"136150","138710"," Également, on peut avoir un varicocèle du côté"
"138710","142370"," gauche, de la fièvre, des douleurs osseuses ou"
"142370","145530"," carrément la masse rénale peut être asymptomatique. "
"147690","150810"," Pour les moyens d'exploration, l'échodoplaire est"
"150810","152570"," réalisé en première intention."
"153930","157310"," Cet échodoplaire permet la distinction entre les masses"
"157310","158770"," kystiques et les masses solides."
"159830","161730"," Alors, la sémiologie de base d'une masse"
"161730","162250"," rénale. "
"164130","166650"," Et tout d'abord, une masse donne une"
"166650","169790"," déformation du contour rénal à l'échographie."
"170530","173470"," Elle peut donner une augmentation globale ou localisée"
"173470","176750"," du volume du rein, une modification de l "
"176750","177790","'écostructure du rein."
"178850","181150"," Elle donne aussi le signe de l'éperon"
"181150","186590"," qui signale la situation rénale d'une masse"
"186590","190410"," et le refoulement des structures vasculaires. "
"190670","191850"," Et là, c'est le rôle du Doppler."
"192550","195290"," Et en dernier, un syndrome de masse rénale"
"195290","198850"," donne une compression des organes de voisinage."
"200470","203170"," Sur cette image, vous avez une déformation du"
"203170","203930"," contour du rein. "
"205250","207910"," Là, vous avez une modification de la structure"
"207910","208370"," du rein."
"209050","211430"," Vous avez des masses rénales hyper écogènes comme"
"211430","213610"," le montre la flèche jaune et blanche."
"214650","217430"," Ici, vous avez une augmentation globale du volume"
"217430","217950"," rénal. "
"219570","221010"," Et là, on a le signe de l "
"221010","222950","'éperon qui est sous forme d'un triangle"
"222950","227430"," qui signifie le parenchyme rénal normal qui entoure"
"227430","229550"," la masse rénale au centre."
"230330","234990"," Le Doppler permet de voir le refoulement des"
"234990","238330"," structures vasculaires autour de cette masse hypo écogène"
"238330","239250"," au centre du rein."
"240530","244070"," Bien sûr, une masse rénale donne une compression"
"244070","245870"," des organes de voisinage. "
"246170","248650"," Ici, une masse du rein droit avec compression"
"248650","249190"," du foie."
"251010","254850"," Deuxièmement, l'échographie nous renseigne sur la nature"
"254850","255510"," de la masse."
"255950","258130"," Quand il s'agit d'un cas simple,"
"258230","260910"," normalement, c'est une masse à contenu anécogène"
"260910","263630"," qui donne un renforcement postérieur et qui a"
"263630","267270"," une paroi fine avec des contours réguliers et"
"267270","268910"," sans vascularisation au Doppler. "
"269570","272050"," Lorsque ces signes sont rassemblés à l'échographie,"
"272390","275090"," aucune autre investigation n'est indiquée."
"275990","280150"," Ici, un kyste anécogène du pôle inférieur du"
"280150","282850"," rein avec une paroi fine et des contours"
"282850","285810"," réguliers et regardez en arrière du kyste le"
"285810","286910"," renforcement postérieur."
"288550","295110"," Les kystes atypiques sont diagnostiqués quand le contenu"
"295110","297770"," du kyste est écogène, quand il y a"
"297770","300210"," des cloisons intrakystiques et quand on a un"
"300210","303490"," épicissement de la paroi, des calcifications de la"
"303490","306250"," paroi ou carrément des végétations intrakystiques. "
"306870","309410"," Et là, il faut compléter l'examen par"
"309410","311410"," d'autres explorations qu'on verra par la"
"311410","311730"," suite."
"313290","316850"," Quant aux masses solides qui peuvent être malines"
"316850","319790"," ou bénines, ils ont à l'échographie une"
"319790","322230"," écostructure hypo ou hyper écogène."
"322770","325930"," Ils peuvent être homogènes ou hétérogènes, mais sans"
"325930","329510"," renforcement postérieur, avec des contours nets ou flous,"
"330070","332110"," une vascularisation intratumorale. "
"332590","334270"," Et là, tout l'intérêt du scanner pour"
"334270","335770"," le bilan lésionnel précis."
"337670","340290"," Ici, vous avez un syndrome de masse polaire"
"340290","344150"," supérieure du rein droit, une masse d'écostructure"
"344150","345990"," tissulaire avec des contours réguliers."
"349680","351900"," Pour les masses mixtes, en général, ils ont"
"351900","355280"," une écostructure hétérogène, des limites discontinues. "
"356140","358380"," Le renforcement postérieur, cette fois ci, est moins"
"358380","360940"," marqué que pour les masses purement liquidiennes."
"361680","363280"," Il peut s'agir d'un kystre manié,"
"363460","366060"," d'un cancer nécrosé, d'un abcès rénal"
"366060","366920"," ou d'un hématome."
"367300","368860"," Et là aussi, l'intérêt de faire un"
"368860","369160"," scanner. "
"370840","373340"," Le deuxième examen dans l'exploration des masses"
"373340","377140"," rénales et la tomodensitométrie, cet examen permet de"
"377140","379840"," faire une étude morphologique précise de la masse."
"380340","382680"," Il permet aussi de différencier les kystres des"
"382680","383460"," masses solides."
"384240","386760"," Il permet de prédire l'origine bénigne ou"
"386760","388700"," maligne de la masse et à la fois"
"388700","391040"," de faire le bilan d'extension loco régionale"
"391040","391800"," et à distance. "
"392680","395120"," Le principe de cet examen, c'est de"
"395120","398280"," savoir la densité de la masse avant et"
"398280","400240"," après injection de produits de contraste."
"401460","403880"," Ces indications, ce sont les tumeurs solides à"
"403880","406660"," l'échographie et les masses dont la nature"
"406660","408420"," n'a pu être formellement précisée à l "
"408420","410300","'échographie, notamment les masses mixtes."
"412000","414280"," Pour les kystres simples, en scanner, ce sont"
"414280","417660"," des masses qui sont arrondies, bien limitées, avec"
"417660","419740"," une paroi fine et une densité qui est"
"419740","422880"," liquidienne entre 0 et 20 unités Hansfield. "
"423680","426180"," Ces masses kystiques, bien sûr, sont non modifiées"
"426180","428440"," par l'injection de produits de contraste."
"429120","431920"," L'indication du scanner, ce sont les kystres"
"431920","434340"," atypiques qu'on a déjà détaillés à l "
"434340","435360","'échographie."
"437370","440390"," Ici, une image purement kystique de la lèvre"
"440390","444010"," postérieure du rein droit qui ne séroyose pas"
"444010","445990"," après injection de produits de contraste et qui"
"445990","450550"," refoule les piélons et les cavités piélo-calicielle"
"450550","452350"," sur l'image d'en bas à droite. "
"453770","457410"," Ici, vous avez une polykystose rénale bilatérale."
"458770","460930"," Là, vous avez un kystre atypique à l "
"460930","461550","'échographie."
"461750","464350"," Quand on fait le scanner, remarquez la paroi"
"464350","467150"," de ce kystre qui est épaissie irrégulière, qui"
"467150","470450"," séroyose après injection de produits de contraste et"
"470450","474070"," qui infiltre la graisse périrénale et le fascia"
"474070","476210"," aux alentours. "
"477690","479990"," Quant aux masses solides, sur le scanner, ils"
"479990","483250"," ont une densité tissulaire entre 30 et 40"
"483250","484330"," unités Hansfield."
"484950","487930"," Elles sont hétérogènes et elles séroyosent après injection"
"487930","488830"," de contraste."
"489770","492270"," Sur ces images, vous avez sur le rein"
"492270","494910"," droit une masse qui est isodense et qui"
"494910","498270"," séroyose de façon hétérogène après contraste et qui"
"498270","499970"," est le siège de nécrose centrale. "
"502210","504070"," Sur cette image là, c'est une énorme"
"504070","508690"," masse du rein gauche qui, de nature tissulaire,"
"508770","511789"," qui séroyose de façon hétérogène par le contraste"
"511789","514070"," et qui est le siège de nécrose centrale."
"515950","518990"," Cette masse présente une extension à la veine"
"518990","520630"," rénale et aux îles."
"523020","525120"," Le troisième examen, c'est l'imagerie par"
"525120","526260"," résonance magnétique. "
"526800","529960"," Quant au kyste simple, ils sont en hyposignale"
"529960","532720"," T1, hypersignale T2 et ne se modifient pas"
"532720","534660"," après injection de produits de contraste."
"536040","538420"," Comme sur cette image à gauche, l'image,"
"538420","541440"," l'image kystique du rein droit est en"
"541440","546400"," hyposignale T1, à droite, donc une volumineuse masse"
"546400","548840"," kystique qui est en hypersignale T2."
"548960","551080"," Remarquez également la présence d'un micro kyste"
"551080","553700"," sur le rein contralatéral qui est en hypothéa,"
"553860","556380"," hyper T2, comme le montrent les deux flèches"
"556380","557680"," bleues et blanches. "
"558720","560720"," Les masses solides sur l'IRM sont en"
"560720","565660"," hyposignale T1, en hypersignale T2 et présentent un"
"565660","568960"," rayassement de signal après injection de gadolinium."
"571230","574130"," Alors, le quatrième examen est l'arbre urinaire"
"574130","575030"," sans préparation."
"575230","580250"," Cet examen trouve ses indications donc de moins"
"580250","581530"," en moins utilisées. "
"581890","584310"," Mais si réalisé, ce qui peut nous montrer"
"584310","586050"," dans le cadre d'un syndrome de masse,"
"586170","587950"," c'est une déformation des contours du rein,"
"588510","591670"," une brosselure, une soufflure, une augmentation diffuse de"
"591670","594270"," la taille du rein, un effacement des contours"
"594270","597770"," du rein, des bords externes du psoas, un"
"597770","600910"," refoulement des clartés digestives et des calcifications en"
"600910","602290"," projection de l'air rénal."
"606670","609910"," L'urographie intraveineuse est moins utilisée, de moins"
"609910","610990"," en moins utilisée."
"611710","615150"," Elle prouve pratiquement son indication réduit à un"
"615150","620270"," cliché d'arbre urinaire sans préparation post-uroscanaire"
"620270","622330"," avec injection de produits de contraste. "
"622810","625290"," La sémiologie de base d'un syndrome de"
"625290","629810"," masse rénale allurographie intraveineuse montre une déformation des"
"629810","632090"," contours du rein qui peut être localisé ou"
"632090","635810"," diffuse, une déformation des cavités piélocalicielles à type"
"635810","640710"," de refoulement, écrasement, étirement ou carrément une amputation"
"640710","644750"," ou dernièrement, une déformation du tiers supérieur de"
"644750","645290"," l'urterre."
"651420","654020"," Remarquez à droite comme à gauche une masse"
"654020","656980"," qui refoule à gauche le pied long vers"
"656980","660280"," le haut et les cavités piélocalicielles vers l "
"660280","660720","'extérieur."
"661080","663400"," A droite, le rein droit, syndrome de masse"
"663400","667120"," médiorénale refoule les cavités piélocalicielles de part et"
"667120","667400"," d'autre. "
"670380","673520"," Les limites de l'urographie intraveineuse ne permettent"
"673520","676260"," pas de savoir la nature kystique ou solide"
"676260","678700"," de la masse et les masses de moins"
"678700","680800"," de 3 centimètres ne sont pas détectées."
"682180","685320"," Les autres examens pour l'exploration d'un"
"685320","688160"," syndrome de masse rénale sont l'artériographie, qui"
"688160","691540"," est exceptionnellement réalisée à but diagnostique et qui"
"691540","694880"," trouve son indication à visée thérapeutique lorsqu'on"
"694880","698200"," veut faire une embolisation d'une masse vasculaire."
"699480","705120"," La radiologie interventionnelle trouve ses indications lorsqu'il"
"705120","707380"," s'agit de kyst atypique ou quand il"
"707380","710880"," s'agit de lésions infectieuses, des lésions secondaires,"
"710960","713740"," notamment les métastases et les lymphomes ou lorsqu "
"713740","716300","'il s'agit de volumineuses masses rétropéritoniales d "
"716300","717500","'origine indéterminée. "
"717920","720400"," Et dans ces cas là, on aura recours"
"720400","722520"," à des biopsies, à des drainages."
"724540","727040"," Le diagnostic éthiologique des masses rénales."
"727280","728580"," Tout d'abord, il y a les masses"
"728580","729160"," kystiques. "
"730160","732660"," De ce fait, il faut savoir la classification"
"732660","734260"," de bosniaque."
"734260","736640"," Le type 1, ce sont des kysts simples"
"736640","740460"," bénins dont le contenu est liquidien pur, la"
"740460","743780"," paroi fine et les contours sont réguliers et"
"743780","744780"," sans vascularisation."
"748030","750570"," Le type 2, ce sont des kysts atypiques"
"750570","752630"," bénins, mais remaniés. "
"753390","755510"," A l'imagerie, ce sont des kysts hyper"
"755510","759850"," denses, sièges parfois de cloison, de calcification, mais"
"759850","762190"," fines et sans vascularisation."
"763550","766110"," Le type 3, ce sont des kysts, cette"
"766110","767130"," fois-ci, suspects."
"767670","769770"," Ce sont en général des kysts unis au"
"769770","774210"," multiloculé, à limite irrégulière, avec une paroi des"
"774210","777510"," cloisons et des calcifications épaisses, mais régulières. "
"778250","780270"," La paroi et les cloisons sont cette fois "
"780270","783530","-ci vascularisés, comme le montrent l'image, les"
"783530","784410"," deux images d'en bas."
"786090","789310"," Le type 4 correspond à un cancer kystique."
"790070","792170"," L'image, c'est en général une partie"
"792170","793210"," de l'organisme qui a une masse unie"
"793210","795930"," au multiloculé, qui est le siège de végétation,"
"796110","798270"," comme le montrent l'image, les deux images"
"798270","800230"," d'en bas, qui est le siège de"
