"start","end","text"
"220","2740"," On reprend les cours de gynécologie aujourd'hui,"
"3180","5840"," précisément d'obstétrique, parce qu'on va parler"
"5840","9240"," d'obstétrique, et on va parler des grossesses"
"9240","10560"," multiples, d'accord?"
"14300","15420"," C'est quoi les grossesses multiples?"
"16300","19500"," La définition est que c'est un développement"
"19500","24080"," simultané de deux ombrions ou plus, ça peut"
"24080","27900"," être n'importe quel nombre, dans la cavité"
"27900","28340"," utérine."
"28940","31659"," Ça va être deux ombrions ou plus, puis"
"31659","34400"," deux foetus ou plus, pour aboutir à des"
"34400","36520"," grossesses à terme multiples."
"36900","38940"," La fréquence, c'est la jumellaire, c'est "
"38940","40580","-à-dire avec deux ombrions. "
"41440","44040"," Trois ombrions et plus, ça s'appelle des"
"44040","48120"," grossesses multiples de haut grade, parce qu'il"
"48120","50280"," y a des risques maternels et fataux qui"
"50280","52380"," sont élevés, ça fait des grossesses de très"
"52380","53520"," haut risque en général."
"54580","56780"," Et il faut savoir que les grossesses multiples,"
"56780","59120"," c'est pas simple, parce qu'il y"
"59120","62620"," a beaucoup de complications spécifiques à ces grossesses"
"62620","62960"," multiples."
"63200","64880"," À côté de toutes les complications qu'une"
"64880","68200"," grossesse normale peut avoir, vont se rajouter d "
"68200","70940","'autres complications spécifiques à la jumellité. "
"72820","75440"," Et comme j'ai dit ça, je pense,"
"75500","76800"," la dernière fois dans la surveillance de la"
"76800","79640"," grossesse, qu'au premier trimestre, et surtout quand"
"79640","81620"," c'est une grossesse jumellaire, il y a"
"81620","84500"," un très grand intérêt de déterminer ce qu "
"84500","86060","'on appelle la choréonicité."
"86060","86960"," On en a parlé."
"87640","88500"," C'est-à-dire, est-ce qu'il"
"88500","90720"," y a un seul placenta, est-ce qu "
"90720","92140","'il y a deux ou plus, est-ce"
"92140","93620"," qu'il y a une seule cavité amniotique"
"93620","95720"," ou plusieurs cavités amniotiques, parce que c'est"
"95720","100360"," ça qui va déterminer le degré du risque"
"100360","101520"," de cette grossesse. "
"102300","104520"," Et ça va être surtout des risques fataux,"
"104580","105940"," pas des risques maternels."
"106880","108580"," Pour la fréquence, c'est une fréquence qui"
"108580","110900"," est variable dans le monde, mais globalement, c "
"110900","112660","'est quand même assez fréquent puisqu'on peut"
"112660","116500"," avoir une jumellaire par 89 naissances, ce qui"
"116500","118260"," est assez fréquent quand même."
"118960","122840"," Et l'augmentation a été faite aussi par"
"122840","126020"," tout ce qui est moyens de procréation médicalement"
"126020","127720"," assistée, lié à la PMA. "
"128919","131080"," Procréation médicalement assistée, c'est-à-dire à"
"131080","134020"," toutes ces techniques nouvelles, qui ne sont plus"
"134020","136380"," aussi nouvelles que ça, mais qui existent pour"
"136380","140480"," aider les couples infertiles à concevoir."
"143040","146040"," Les plus fréquemment utilisées, c'est l'induction"
"146040","148180"," de l'ovulation, c'est-à-dire la"
"148180","153240"," simulation par des hormones pour avoir des ovules,"
"153700","155000"," et avoir une ovulation."
"155140","157000"," Le problème quand on fait la simulation, c "
"157000","158880","'est qu'on peut simuler plus qu'un"
"158880","161580"," ovocite, et donc on aura une fécondation de"
"161580","163140"," plus d'un ovocite, et comme ça on"
"163140","164160"," va avoir la jumellité. "
"164760","169460"," Les techniques aussi de fécondation in vitro, c "
"169460","174820","'est-à-dire prendre des ovules de chez"
"174820","178020"," la femme, les mettre sur des boîtes de"
"178020","180800"," culture, et puis faire une fécondation in vitro"
"180800","184380"," dans des boîtes, dans le laboratoire, et puis"
"184380","187380"," on va remettre les ombrions chez la maman"
"187380","188700"," au niveau de son utérus."
"188820","191600"," Parfois on remet deux ombrions, et autrefois il"
"191600","192920"," y avait des gens qui remettaient plus que"
"192920","195780"," deux ombrions, dans l'espoir qu'un au"
"195780","198320"," moins prenne, c'est-à-dire fasse la"
"198320","198900"," nidation."
"199360","200360"," Ce qui arrive, c'est qu'on va"
"200360","203340"," avoir la nidation de plusieurs ombrions, ça va"
"203340","205760"," faire un processus gémellaire, mais aussi il paraît"
"205760","207040"," que même s'il y a la nidation"
"207040","210100"," d'un seul oeuf, il se peut qu "
"210100","212620","'il fasse une multiplication plus tard, et qu "
