"start","end","text"
"390","2810"," Chères étudiantes, chers étudiants, bonjour."
"3010","4750"," Aujourd'hui, nous allons traiter le cours de"
"4750","6010"," l'érythropoïèse."
"7550","8950"," Vers la fin de ce cours, vous allez"
"8950","12050"," être capables de définir l'érythropoïèse, de décrire"
"12050","14630"," les étapes de maturation du globule rouge, de"
"14630","17230"," lister les facteurs de régulation et de reconnaître"
"17230","20370"," les moyens d'exploration de l'érythropoïèse et"
"20370","23730"," de discuter quelques applications médicales de l'érythropoïèse. "
"27520","29640"," Commençons tout d'abord par une introduction."
"30960","33460"," L'érythropoïèse est le processus par lequel la"
"33460","36160"," moelle osseuse assure la production des globules rouges"
"36160","38520"," à partir d'une cellule-souche hématopoétique."
"39620","41700"," Il s'agit d'un processus physiologique de"
"41700","43400"," remplacement des globules rouges lisées. "
"44120","46240"," Comme on a déjà vu, un globule rouge"
"46240","48780"," normal possède une durée de vie de 120"
"48780","49260"," jours."
"50520","53280"," Et on note une augmentation de l'érythropoïèse"
"53280","55940"," au cours des pertes excessives, en cas d "
"55940","59120","'hémorragie ou d'hémolyse par exemple, ou aussi"
"59120","61080"," en cas d'augmentation de besoin, comme par"
"61080","62360"," exemple en cas d'hypoxie."
"63840","66080"," Le rôle principal d'un globule rouge est"
"66080","68000"," de fixer l'oxygène dans les poumons pour"
"68000","71100"," le transporter vers les tissus, et dans le"
"71100","74260"," sens inverse, transporter le CO2 produit par le"
"74260","76860"," métabolisme tissulaire vers les poumons. "
"78080","80200"," Au niveau de la moelle osseuse, l'érythropoïèse"
"80200","82120"," résulte en effet de deux événements distincts."
"82860","85080"," Le premier étant l'engagement de la cellule "
"85080","87920","-souche hématopoétique vers la lignée érythroblastique."
"88560","92160"," Et le deuxième étant la maturation par acquisition"
"92160","95800"," de caractères morphologiques de la lignée érythroblastique. "
"95920","98700"," Donc en gros, la cellule-souche hématopoétique va"
"98700","101340"," s'engager, ou bien se différencier dans la"
"101340","104460"," lignée érythroblastique, sous l'influence, comme on va"
"104460","106060"," le voir par la suite, de facteurs de"
"106060","107280"," croissance spécifiques."
"107800","109820"," Et elle va ensuite subir une maturation."
"110180","112180"," Par exemple, il y a l'apparition de"
"112180","114500"," l'hémoglobine dans les érythroblastes qui va se"
"114500","117240"," manifester par une acidophilie progressive. "
"117600","120320"," Donc c'est une maturation par acquisition de"
"120320","122880"," caractères morphologiques de la lignée érythroblastique."
"123760","126720"," Passons maintenant au compartiment de l'érythropoïèse."
"127699","129860"," Ici, je vous présente le schéma général de"
"129860","131900"," l'hématopoïèse, comme on a déjà vu dans"
"131900","132880"," le cours précédent. "
"133680","136120"," Nous avons au sommet la cellule-souche hématopoétique,"
"136980","140380"," qui va donner naissance au CFUGMN, qui est"
