"start","end","text"
"1100","4180"," Bonjour, notre cours d'aujourd'hui s'intitule"
"4180","7180"," « Les abcès hépatiques »."
"7660","11620"," Comme objectif d'apprentissage, on doit connaître les"
"11620","17600"," principaux facteurs éthiopathogéniques des abcès hépatiques, connaître aussi"
"17600","21420"," les principaux tableaux cliniques de l'abcès hépatique,"
"22500","25820"," connaître les différentes éthiologies de ces abcès hépatiques"
"25820","31540"," et connaître les principes du traitement de ces"
"31540","32480"," abcès du foie."
"33800","37520"," Comme prérequis, vous devez savoir connaître l'anatomie"
"37520","40600"," du foie et la sémiologie de l'abcès"
"40600","41260"," hépatique."
"42200","45220"," Pour cela, on va adopter le plan suivant. "
"45880","48000"," On va commencer par un rappel anatomique qui"
"48000","51040"," est important, la définition de l'abcès hépatique,"
"51620","56380"," l'épidémiologie, une physiopathologie pour comprendre le mécanisme"
"56380","60720"," et les germes responsables, l'anatomopathologie pour connaître"
"60720","63819"," aussi les différentes lésions de ces abcès hépatiques,"
"64600","68580"," comment poser le diagnostic positif, savoir aussi poser"
"68580","72920"," les diagnostics éthiologiques, connaître les complications et quels"
"72920","74520"," sont les diagnostics différentiels."
"75280","80880"," Et après, on va voir les traitements de"
"80880","84400"," cette pathologie, les pronostics et après on va"
"84400","84880"," conclure."
"86020","89180"," Alors, comme rappel anatomique, comme vous le savez,"
"89320","90860"," le foie, c'est un organe qui est"
"92380","96540"," intra-abdominal, central, qui assure plusieurs fonctions. "
"96840","99100"," Parmi ces fonctions, il y a des fonctions"
"99100","100820"," de l'homéostasie de l'organisme."
"102060","105320"," Il fait plusieurs synthèses, par exemple la synthèse"
"105320","107820"," des protéines, l'albumine par exemple."
"108800","111180"," Il métabolise aussi le glucose. "
"111180","115780"," Il permet la dégradation de plusieurs médicaments et"
"115780","117880"," aussi, il a un rôle d'excrétion."
"118080","120160"," Par exemple, l'excrétion de la bilirubine qui"
"120160","122740"," va jouer un rôle très important dans la"
"122740","123220"," digestion."
"124340","127199"," Les voies biliaires qui sont donc l'ensemble"
"127199","130620"," des conduits qui transportent la bile et qui"
"130620","133960"," sont sécrétées par le foie vers l'intestin"
"133960","137440"," ou la bile vers l'intestin ou la"
