"start","end","text"
"390","5130"," Le présent cours est intitulé le syndrome néphrotique"
"5130","6250"," de l'enfant."
"7350","10170"," Et si vous remarquez, je n'ai pas"
"10170","14190"," dit le syndrome néphrotique de l'enfant, mais"
"14190","17510"," j'ai dit les syndromes néphrotiques de l "
"17510","17770","'enfant."
"18070","20010"," Et on va voir pourquoi, parce qu'il"
"20010","21830"," y a plusieurs antidotes. "
"22870","24610"," A la fin de ce cours, vous devez"
"24610","27950"," être capable de définir le syndrome néphrotique."
"28910","32310"," Devant un syndrome néphrotique, il faut réunir les"
"32310","34730"," arguments en faveur du néphrose lipoïdique."
"35070","37750"," Et dans le cours sur les protéineries, j "
"37750","41350","'ai longuement parlé de la néphrose lipoïdique en"
"41350","44490"," tant qu'éthiologie la plus fréquente du syndrome"
"44490","45670"," néphrotique chez l'enfant. "
"46290","48190"," Il faut connaître les complications d'un syndrome"
"48190","48730"," néphrotique."
"48870","50390"," C'est très important parce qu'elles sont"
"50390","53330"," graves et peuvent engager le pronostic vital de"
"53330","53750"," l'enfant."
"54450","57570"," Il faut savoir traiter une néphrose lipoïdique simple"
"57570","59370"," et en suivre l'évolution. "
"59870","61290"," Pourquoi je dis simple ?"
"61290","63849"," Parce que quand le syndrome néphrotique, c'est "
"63849","65690","-à-dire en dehors de la néphrose lipoïdique,"
"66290","69650"," le syndrome néphrotique cortico-résistant, ou bien la"
"69650","73390"," néphrose lipoïdique cortico-dépendante à forte dose qui"
"73390","75750"," devient très difficile à gérer, ce n'est"
"75750","78990"," plus l'affaire d'un médecin généraliste, mais"
"78990","80110"," plutôt d'un médecin chirurgien."
"81920","85740"," Alors le syndrome néphrotique, il est secondaire à"
"85740","88860"," l'hyperperméabilité de la membrane basale globulaire aux"
"88860","89360"," protéines."
"89700","92020"," Et on a vu les différents mécanismes qui"
"92020","94080"," peuvent engendrer ça sur le cours de la"
"94080","94880"," protéinerie. "
"95560","99840"," Le syndrome néphrotique, c'est une définition biologique"
"99840","104940"," qui est faite de protéinerie supérieure à 50"
"104940","108060"," mg par kilo par 24 heures chez l "
"108060","111720","'enfant et on parle de 1000 g par"
"111720","116100"," kilo, l'hypoprotidémie inférieure à 60 g par"
"116100","119580"," litre et l'hypoalbuminémie inférieure à 30 g"
"119580","120280"," par litre."
"120800","124600"," Donc protéinerie et hypoprotidémie et hypoalbuminémie."
"126240","129520"," Alors pourquoi j'ai dit les syndromes néphrotiques"
"129520","129699"," ?"
"129699","131400"," Parce qu'en fait, il y a plusieurs"
"131400","135340"," types et la classification des syndromes néphrotiques est"
"135340","139840"," représentée par les syndromes néphrotiques primitifs dans la"
"139840","143140"," néphrose lipoïdique dans 87 % des cas. "
"143140","146880"," Dans 10 % des cas, les syndromes néphrotiques"
"146880","147450"," sont secondaires."
"148680","152820"," Les syndromes néphrotiques congénitaux et infantiles ne représentent"
"152820","154380"," que 3 % des cas."
"155260","157860"," On dit qu'un syndrome néphrotique et congénital,"
"158020","160540"," quand il est présent dès la naissance ou"
"160890","164840"," moins de 3 mois, il est infantile quand"
"164840","166720"," il apparaît entre l'âge de 3 mois"
"166720","167140"," et 1."
"167880","171860"," Et dans ces syndromes néphrotiques infantiles, il y"
"171860","175840"," a les syndromes néphrotiques infantiles primitifs, tel le"
"175840","178780"," syndrome néphrotique finlandais qui est le plus fréquent,"
"179200","183500"," la sclérose mésangiale, et les syndromes néphrotiques infantiles"
"183500","184380"," secondaires. "
"185080","187420"," J'insiste sur les embryophotopathies."
"187600","189000"," Elles ne sont pas les seules à donner"
"189000","191720"," un syndrome néphrotique secondaire, mais parce qu'elles"
"191720","192640"," sont curables."
"193080","196140"," Il y a certaines embryophotopathies qui sont curables,"
