"start","end","text"
"50","2270"," Ça veut dire que le germe passe par"
"2270","4190"," voie sanguine, donc il y a une phase"
"4190","7950"," de septicémie où le microbe ou le germe,"
"8010","10890"," les deux le sentent et par le sent,"
"11090","13710"," il va aller se localiser au niveau de"
"13710","16250"," la métaphyse d'un os, le plus souvent"
"16250","17050"," un os lent."
"18690","22310"," Donc, l'ostéomyélite, la contamination de l'os"
"22310","25150"," se fait toujours par voie hématogène, ce n "
"25150","28430","'est pas par voie directe, par inoculation directe,"
"28510","32950"," non, c'est une inoculation par voie, par"
"32950","33970"," voie hématogène."
"46910","54010"," C'est-à-dire qu'au"
"54010","63950"," niveau de la métaphyse d'un os, il"
"63950","64050"," y a une phase de septicémie où le"
"64050","64150"," microbe ou le germe passe par voie directe,"
"64150","64250"," par voie hématogène. "
"89640","94300"," Donc, je répète ici que l'ostéomyélite ou"
"94300","97260"," la désinfection post-articulaire, leur diapositive par diapositive,"
"97260","97360"," c'est-à-dire qu'il y a"
"97360","97460"," une phase de septicémie où le microbe ou"
"97460","97560"," le germe passe par voie directe."
"123530","127130"," Donc, il y a une phase de septicémie"
"127130","127230"," où le microbe ou le germe passe par"
"127230","127330"," voie directe."
"129340","130540"," La question. "
"139000","142600"," Ici, j'ai mis un schéma pour vous"
"142600","146420"," expliquer pourquoi le germe se localise au niveau"
"146420","148680"," de la métaphyse et pas la diaphyse."
"148820","151140"," C'est pas le cartilage de croissance, c "
"151140","152220","'est pas au niveau des pipices."
"152220","155140"," Pourquoi j'ai choisi la métaphyse des olans?"
"157260","161780"," Parce que la métaphyse est largement vascularisée. "
"162340","164200"," Il y a beaucoup de sang qui arrive"
"164200","166800"," au niveau de la métaphyse de l'os,"
"167260","169300"," ce qui veut dire que le germe est"
"169300","170160"," au niveau du sang."
"170980","173740"," Donc, quand il y a une quantité importante"
"173740","176340"," de sang qui arrive au niveau des régions,"
"176520","177180"," ça veut dire qu'il y a une"
"177180","178540"," quantité importante de germes."
"180870","182470"," Ça, c'est la première raison. "
"182910","185250"," C'est la métaphyse qui est largement vascularisée."
"185870","189810"," Deuxième raison, parce qu'au niveau de la"
"189810","192370"," métaphyse, il y a un ralentissement circulatoire."
"193250","197570"," Des larges sinézoïdes qui permettent un ralentissement circulatoire. "
"198370","200150"," Il y a une quantité importante de germes"
"200150","201930"," qui arrive au niveau de la métaphyse."
"202090","205190"," Et en plus, quand ce sang arrive au"
