"start","end","text"
"390","3710"," Bonjour, on va commencer cette partie de bactériologie"
"3710","5890"," dans laquelle on va traiter les familles d "
"5890","6770","'intérêt médical."
"7630","9890"," Aujourd'hui, on va commencer avec le premier"
"9890","11430"," genre qui est les Neisserias."
"12190","15129"," Les Neisserias appartiennent à la famille des Neisseriasae"
"15129","16790"," qui comportent plusieurs espèces. "
"17290","20250"," Pour la plupart, ce sont des pathogènes opportunistes."
"20870","23630"," Deux espèces qui sont pathogènes obligatoires pour l "
"23630","27150","'homme qui sont Neisseria meningitis et Neisseria gonorée."
"27150","28850"," Et c'est deux espèces qu'on va"
"28850","30530"," traiter aujourd'hui dans ce cours. "
"32050","34070"," A la fin de ce cours, vous allez"
"34070","37390"," être capable de décrire les caractéristiques bactériologiques et"
"37390","41550"," épidémiologiques des espèces, de connaître leurs pouvoirs pathogènes,"
"41750","45010"," les modes de diagnostic au laboratoire et les"
"45010","47970"," modes de traitement et de prophylaxie des infections"
"47970","50510"," à Neisseria meningitis et Neisseria gonorée."
"51970","54510"," Pour cela, nous allons adopter le plan suivant."
"54510","58210"," Après l'introduction, nous allons traiter les caractères"
"58210","61150"," bactériologiques des Neisseria meningitis et gonorée. "
"61550","64330"," On va voir leur épidémiologie, leurs pouvoirs pathogènes,"
"64570","67650"," les méthodes diagnostiques au laboratoire, puis les modes"
"67650","69570"," de traitement et de prophylaxie."
"70750","73410"," On va commencer par Neisseria meningitis."
"76680","80280"," Neisseria meningitis présente un problème de santé publique"
"80280","82960"," parce qu'il est responsable d'infections invasives"
"82960","86700"," graves qui sont transmissibles entre les individus et"
"86700","88560"," peuvent être responsables d'épidémies. "
"88900","91160"," Parmi ces infections, il y a les meningites"
"91160","94900"," cérébrospinales purulentes qui sont une maladie à déclaration"
"94900","95840"," obligatoire."
"96440","98880"," À côté des meningites, on peut avoir des"
"98880","102200"," bactéries émises avec purpura fulminans."
"102420","104840"," Donc la prise en charge de ces infections"
"104840","106220"," doit être rapide. "
"106800","110620"," Le diagnostic, le traitement et la prophylaxie doivent"
"110620","113820"," être instaurés le plus rapidement possible pour éviter"
"113820","117100"," les séquelles neurologiques et les grands taux de"
"117100","117740"," mortalité."
"118420","120820"," Le diagnostic au laboratoire, direct."
"121820","125120"," On va commencer par les caractères bactériologiques de"
"125120","125800"," cette bactérie. "
"126400","128699"," En ce qui concerne sa morphologie, ce sont"
"128699","130800"," des cocci à grammes négatifs."
"131060","132420"," Si c'est en grammes négatifs, ça veut"
"132420","134980"," dire qu'ils ont un peptidoglycane fin avec"
"134980","136660"," une membrane externe."
"136660","139820"," Aux frottis, on les voit groupés en deux,"
"140200","142300"," accolés par leur face plane sous forme de"
"142300","143360"," grains de café. "
"143880","146100"," Ils sont intra-extracellulaires, ça veut dire qu "
"146100","147620","'on les trouve à l'intérieur comme à"
"147620","149980"," l'extérieur des polynucléaires neutrophiles."
"150420","152180"," Ils sont immobiles et capsulés."
"152800","156520"," Cette capsule détermine 12 déterminants antigéniques. "
"156840","158700"," Dans six, ce sont les plus répandus dans"
"158700","162220"," le monde, à savoir le sérogroupe B, C,"
"162700","165820"," A, Y, X et W135."
"167520","172260"," En ce qui concerne ses caractéristiques culturelles, les"
"172260","174240"," Neisserias sont des germes exigeants."
"174420","175620"," Ça veut dire qu'ils ne poussent que"
"175620","178300"," sur des milieux enrichis, enrichis par du sang"
"178300","179500"," frais ou du sang cuit. "
"179920","182880"," Ils sont aérobits stricts et après incubation, ils"
"182880","185000"," sont dans des colonies grisâtres de petites tailles"
"185000","187060"," qui ne dépassent pas un millimètre et à"
"187060","188020"," bord irréguliers."
