"start","end","text"
"1410","5330"," Assalamu alaikum, chers étudiants, aujourd'hui nous allons"
"5330","7730"," traiter les traumatismes de l'épaule."
"10090","13350"," Nous allons commencer par un cas clinique, il"
"13350","15250"," s'agit d'un patient de 24 ans"
"15250","17650"," qui se présente aux urgences pour une douleur"
"17650","19830"," de l'épaule droite et une appendance fonctionnelle"
"19830","23590"," survenue suite à une chute sur la main"
"23590","26570"," droite coude en extension lors d'un accident"
"26570","27730"," de sport."
"28210","31810"," Alors quels seront les objectifs devant un traumatisme"
"31810","32650"," de l'épaule?"
"33110","35470"," Donc devant chaque traumatisme de l'épaule il"
"35470","38230"," faut connaître l'anatomie de la ceinture scapulaire,"
"39150","43450"," il faut savoir examiner l'articulation de l "
"43450","47190","'épaule et de la ceinture scapulaire, interpréter une"
"47190","50010"," radiographie de l'épaule, il faut décrire les"
"50010","53650"," lésions élémentaires et donc les formes cliniques, les"
"53650","57410"," différents types de traumatismes qui peuvent survenir au"
"57410","60870"," niveau de l'épaule et bien évidemment comment"
"60870","65310"," prendre en charge ces traumatismes ainsi que leurs"
"65310","65950"," complications. "
"68690","71110"," Les traumatismes de l'épaule ce sont l "
"71110","75530","'ensemble des lésions osseuses, tendineaux musculaires et vasculonerveuse"
"75530","79830"," qui peuvent atteindre l'articulation de l'épaule."
"80370","84010"," Ce sont des lésions qui sont fréquentes suite"
"84010","86050"," à des accidents de la voie publique voire"
"86050","87750"," des accidents de sport."
"88490","90270"," Elles se voient aussi bien chez le sujet"
"90270","93830"," âgé suite à des traumatismes minimes du fait"
"93830","96990"," de l'ostéoporose ou chez l'adulte jeune"
"96990","99530"," suite à des traumatismes à haute énergie. "
"100530","104290"," Le diagnostic est clinique donc un examen clinique"
"104290","107670"," minutieux est confirmé par les radiographies."
"108570","110970"," Leur traitement n'est pas univoque, il peut"
"110970","114410"," être fonctionnel, orthopédique ou chirurgical."
"117310","120390"," Le complexe articulaire de l'épaule est formé"
"120390","123610"," de trois articulations et de deux espaces de"
"123610","124030"," glissement. "
"125570","129789"," Les articulations qui forment la ceinture scapulaire ou"
"129789","132690"," l'épaule, c'est l'articulation glénohumérale entre"
"132690","135530"," la cavité glénoïde de la scapula et la"
"135530","140690"," tête humérale, la sternocostoclaviculaire donc entre la clavicule"
"140690","145130"," et le sternum et l'acromioclaviculaire donc entre"
"145130","148550"," l'acromion de la scapula et la clavicule."
"148950","152170"," Les espaces de glissement sont définis par l "
"152170","158250","'articulation scapulothoracique et l'articulation sous-acromiodeltoïdienne."
"159890","162270"," L'articulation de l'épaule, c'est l "
"162270","165170","'articulation la plus mobile et la plus instable. "
"165770","169650"," Elle doit concilier entre mobilité et stabilité et"
"169650","172870"," du fait du faible emboîtement de la tête"
"172870","176690"," par rapport à la cavité glénoïde qui la"
"176690","180190"," rend très instable, c'est pour cela que"
