"start","end","text"
"1160","4420"," Bonjour, chers étudiants, le cours d'aujourd'hui,"
"5240","6620"," c'est les pleurises."
"10050","14450"," Les objectifs pédagogiques sont au début définir une"
"14450","18910"," pleurise, décrire les mécanismes de constitution d'une"
"18910","24310"," pleurise, savoir différencier entre un épanchement pleural exudatif"
"24310","29850"," et transudatif, réunir les arguments du diagnostic positif"
"29850","34830"," et différentiel d'une pleurise, énumérer les principales"
"34830","38390"," étiologies d'une pleurise selon l'aspect du"
"38390","43570"," liquide, réunir les arguments du diagnostic étiologique d "
"43570","53390","'une pleurise sérophibineuse, hémorragique, périlante, échineuse, identifier les"
"53390","56610"," principes du traitement d'une pleurise."
"58820","63819"," Le plan du cours comporte en première définition,"
"66060","68200"," en deuxième, la physiopathologie, c'est-à-dire"
"68200","70820"," comment la construction de l'épanchement pleural, le"
"70820","73840"," diagnostic positif de l'épanchement pleural liquidien, le"
"73840","77680"," diagnostic différentiel, le diagnostic étiologique, le traitement avant"
"77680","79180"," de conclure. "
"86170","90350"," En définition, l'épanchement pleural, ou la pleurise,"
"90550","92570"," c'est la présence d'une quantité anormale"
"92570","95430"," de liquide dans la cavité pleurale, qui résulte"
"95430","98170"," d'un déséquilibre entre la formation et l "
"98170","99610","'évacuation du liquide pleural."
"100010","101330"," C'est un syndrome fréquent."
"102090","104210"," Les causes sont multiples, mais elles sont dominées"
"104210","109190"," par les infections, en particulier la tuberculose, les"
"109190","110790"," néoplasies, les cardiopathies. "
"111490","114430"," Pour le traitement, elle comporte trois volets, l "
"114430","118650","'évacuation de l'épanchement, une kinésithérapeute respiratoire, sans"
"118650","119990"," oublier le traitement étiologique."
"120750","127850"," Un rappel physiopathologique, la pleure est une cavité"
"127850","131110"," virtuelle, où règne une pression négative."
"132130","134570"," Une faible quantité anormale est produite en 5"
"134570","136730"," à 20 cc par la pleure paritale et"
"136730","138230"," réservée par les circuits lymphatiques. "
"139290","141870"," Le liquide pleural permet aux fouilles paritales et"
"141870","143470"," viscérales de glisser l'un contre l'autre"
"143470","144790"," au cours des cycles respiratoires."
"146010","148710"," L'épanchement pleural est la conséquence d'un"
"148710","151550"," déséquilibre entre la production du liquide et sa"
"151550","152350"," résorption."
"168480","173240"," À retenir, lorsque la pleure est pathologique, il"
"173240","174640"," s'agit d'un exudat. "
"175340","180000"," Un transudat résulte d'un déséquilibre mécanique entre"
"180000","183720"," les pressions hydrostatiques et encotiques vasculaires."
"184080","186100"," La pleure, dans ce cas, est normale."
"195900","200660"," En ce qui concerne le diagnostic positif, on"
"202030","206410"," prend comme type de description un épanchement pleural"
"206410","207910"," de moyenne abondance. "
"209090","211290"," Les signes cliniques et les séquences de découverte"
"211290","214430"," sont soit des signes fonctionnels, il s'agit"
"214430","220490"," de douleurs thoraciques, ou de toux sèche ou"
"220490","223550"," disciplinée, en fonction de l'importance de l "
"223550","227990","'épanchement, soit à l'occasion de manifestations trompeuses,"
"227990","233190"," par exemple, soit une découverte fortuite, une découverte"
"233190","235970"," radiologique pour une pathologie X."
"241270","245330"," L'examen clinique, c'est l'examen respiratoire"
"245330","247470"," à l'horachage qu'on appelle, sur le"
"247470","250290"," plan sémiologique, le syndrome pleural."
"251130","254750"," À la palpation, on a une diminution ou"
"254750","257510"," abolition des vibrations vocales."
"258310","260850"," À la percussion, une matité franche. "
"260850","265110"," Et à l'auscultation, une diminution ou abolition"
"265110","267250"," des murmures vésiculaires."
"267870","269830"," On peut également, c'est moins fréquent de"
"269830","274830"," voir, des frottements pleurales ou des souffles pleuraux."
"276050","280810"," L'examen général, on recherchera systématiquement une fièvre,"
"281470","284870"," une altération de l'état général, sans oublier"
"284870","288090"," l'examen des airs ganglionnaires. "
"288090","294170"," L'examen complémentaire important, c'est la radiographie"
"294170","295110"," thoracique."
"295570","297270"," C'est un élément d'orientation."
"297830","301970"," Il affirme le diagnostic en montrant une opacité"
"301970","313020"," de tonalité hydrique, basi-thoracique, concave"
"313020","318120"," en haut et en dedans, qui efface la"
"318120","319980"," coupole diaphragmatique. "
"321360","326440"," La radiographie thoracique permet également d'évaluer l "
"326440","330400","'abondance de l'épanchement, soit de faible, de"
"330400","334120"," moyenne ou de grande abondance, chercher des signes"
"334120","336500"," de compression, c'est-à-dire refoulement du"
"336500","338960"," médiacin, du contrôle latéral ou de la trachée,"
"339580","341880"," et rechercher s'il y a d'anomalies"
"341880","345800"," thoraciques associées qui vont orienter vers telle ou"
"345800","346540"," telle pathologie."
"349380","355380"," La tomodensitométrie thoracique n'est pas systématique, mais"
"355380","359540"," lorsqu'elle est indiquée, elle peut montrer une"
"359540","365200"," opacité homogène d'équilibre bien visible sur les"
"365200","378400"," fenêtres médiastinales et"
"378400","383160"," permet également de distinguer un processus expansif pleuroparital"
"383160","387240"," d'un abcès pulmonaire, rechercher également des anomalies"
"387240","390900"," thoraciques associées et repérer s'il y a"
"390900","394040"," une pleurysie cloisonnée ou la panxionnée."
"402380","405820"," L'échographie thoracique, c'est un examen peu"
"405820","412160"," invasif qui utilise du ultrasound, permet de confirmer"
"412160","418420"," l'origine liquidienne de l'opacité, aspect anécogène,"
"418680","423120"," c'est-à-dire liquidien, diagnostiquer une pleurysie"
"423120","428480"," ankystée, différencier entre un épanchement liquidien et un"
"428480","433620"," épanchement pleural, permettre également de distinguer entre une"
"433620","435920"," atélectasie et un épanchement pleural. "
"436860","439920"," L'échographie est utile si on a suspicion"
"439920","444340"," de kysthytatique et permet également de guider la"
"444340","444860"," panxion."
"449340","454520"," La panxion pleurale, c'est l'examen qui"
"454520","457580"," confirme le diagnostic de pleurysie."
"457580","460160"," Tout d'abord, il faut mettre en condition"
"460160","465040"," votre patient, contrôler le bilan des moustaches, le"
"465040","469860"," patient assis au bord du lit, tête rentrante,"
"470460","474620"," une asepsie rigoureuse et repérer le site de"
"474620","475640"," panxion. "
"479330","481430"," Le siège de la panxion au niveau de"
"481430","484630"," l'espace intercostal, il faut raser le bord"
"484630","488070"," supérieur de la côte inférieure pour éviter le"
"488070","490430"," pas qui va à l'armoire, éviter les"
"490430","492430"," hémorragies, éviter les douleurs."
