"start","end","text"
"900","6440"," Bonjour, c'est Dr. Reis Hanen, enseignante d'anatomie pathologique."
"7180","12220"," C'est un plaisir de se réunir encore en quatrième année des études médicales"
"12220","18320"," pour s'intéresser à l'anatomie pathologique spéciale ou bien l'anatomie pathologique 2."
"19400","23660"," L'année dernière, on a étudié ensemble l'anatomie pathologique générale"
"23660","28540"," qui s'intéresse aux différentes lésions à la fois dégénératives,"
"28540","34560"," inflammatoires, tumorales, malformatives de l'ensemble des cellules du corps humain."
"34880","40600"," Et maintenant, on va s'intéresser aux pathologies d'organes. "
"40860","45600"," Et on va commencer notre série de pathologies d'organes par les tumeurs hépatiques."
"49960","56080"," On va commencer notre cours par un cas clinique que vous risquez de rencontrer"
"56080","63080"," dans votre pratique aux urgences ou bien dans une consultation de ville."
"63819","71180"," Il s'agit d'un patient âgé de 60 ans qui est diabétique de type 2 depuis 15 ans, chose fréquente,"
"71360","76440"," tabagique à 20 paquets années et qui présente depuis une année une altération de l'état général"
"77020","79400"," avec des douleurs abdominales et une stéatorée. "
"80500","89480"," Vous passez un coup de sonde et vous trouvez au niveau hépatique un foie qui est multinodulaire"
"89480","98560"," sur un parenchyme hépatique d'allure non-cirrhotique et un coup de sonde au niveau de l'air pancréatique"
"99060","103360"," on note l'existence d'une masse d'allure tumorale."
"104670","111900"," Alors, la TDM abdominale a été demandée, ça confirme les données de l'échographie"
"112310","119030"," et on trouve effectivement un foie qui est multinodulaire avec des nodules de taille variable"
"119030","126170"," d'allure secondaire radiologiquement avec au niveau pancréatique une lésion qui est équivalente"
"126170","128889"," à celle qu'on a vu au niveau échographique."
"128889","135890"," Et donc là, devant ce foie multinodulaire et cette lésion pancréatique, une biopsie hépatique"
"136530","142950"," du fait de sa facilité de réalisation a été demandée après bien sûr un bilan des mostazes"
"142950","144030"," qui s'est révélé normal. "
"145550","151290"," Alors, cette biopsie hépatique, je pense que vous vous rappelez de ce schéma qui rappelle"
"151290","155670"," le processus de réalisation du diagnostic en anatomie pathologique."
"155670","161030"," Cette biopsie a été mise dans du formol, a été envoyée au service d'un Anapath."
"161390","168870"," Au service d'un Anapath, un enregistrement de cette biopsie avec un numéro d'enregistrement"
"168870","177410"," qui lui a été fourni et puis elle a été mise dans une cassette, c'est une cassette"
"177410","183670"," en plastique perforée et puis elle a séjourné toute une nuit dans l'automate de déshydratation"
"183670","186930"," puis elle a été enrobée, coupée au microtome. "
"187350","194010"," On arrive à la coupe au microtome et regardez là, là c'est l'inclusion des biopsies"
"194010","200170"," dans une cassette perforée, elle a séjourné dans l'automate de circulation, le lendemain"
