"start","end","text"
"1029","7570"," Bonjour, l'œil rouge constitue un ensemble d "
"7570","11570","'étiologies qui se résume sur le plan clinique"
"11570","13510"," en un œil rouge."
"14410","19430"," Un œil rouge nécessite un bilan étiologique, un"
"19430","21490"," diagnostic précis."
"23290","27270"," Nous allons aborder ce cours en étudiant les"
"27270","29690"," objectifs qui sont les objectifs à adopter pour,"
"30090","38030"," devant un œil rouge, une introduction, un diagnostic"
"38030","43370"," positif, un diagnostic étiologique, avant de conclure. "
"44630","46790"," Donc quels sont les objectifs pour ce cours"
"46790","47110"," ?"
"47110","48750"," C'est d'énumérer les étiologies d'un"
"48750","50570"," œil rouge, c'est ça le plus important,"
"50950","53350"," s'orienter vers une étiologie par un interrogatoire,"
"53350","58670"," par un examen non spécifique, et définir le"
"58670","59670"," degré d'urgence."
"60410","62830"," Cet œil rouge doit être pris en charge"
"62830","65670"," tranquillement ou doit être adressé le plus vite"
"65670","69070"," possible à un ophtalmologiste."
"69910","73070"," Citer les examens réalisés en urgence et expliquer"
"73070","79030"," le pronostic de certaines pathologies qui sont liées"
"79030","79870"," à cet œil rouge. "
"81630","83570"," L'œil rouge est un symptôme qui est"
"83570","88390"," fréquent en ophtalmologie, son diagnostic positif est simple,"
"89830","93170"," les signes d'accompagnement doivent être bien étudiés,"
"94010","97470"," et l'examen clinique précis permettra de s "
"97470","99690","'orienter vers une étiologie."
"100850","103050"," Il traduit une pathologie qui peut être bénigne,"
"103170","106010"," comme la convoctivite, mais parfois grave, qui peut"
"106010","110350"," menacer le pronostic fonctionnel, comme le glaucoma, qui"
"110350","112270"," est une urgence répétitive."
"114700","119800"," Le diagnostic positif va se faire en s "
"123870","131420","'intéressant à l'examen méthodique de l'œil"
"131420","134600"," et de la région palpébrale de façon bilatérale"
"134600","135480"," et comparative. "
"136880","139780"," La conjonctive, on doit regarder la rougeur, est "
"139780","141300","-ce qu'elle est diffuse, la rougeur est "
"141300","143070","-ce qu'elle est focalisée, au pourtour de"
"143070","144670"," la cornée ou dans les cul-de-sac"
"144670","145830"," conjonctivaux."
"147050","148450"," La cornée, est-ce qu'il y a"
"148450","150290"," une perte de transparence, est-ce qu'il"
"150290","152210"," y a un corps étranger, et la pupille,"
"152290","154090"," est-ce qu'elle est en mignosis ou"
"154090","157910"," est-ce qu'elle est en dilatation."
"158070","161390"," Le tonus oculaire doit être aussi apprécié. "
"161790","164550"," Alors l'interrogatoire est un élément très important"
"164550","166770"," dans le diagnostic d'un œil rouge."
"167610","171290"," Antécédents ophtalmologiques et généraux, chirurgie, traumatisme, installation"
"171290","177070"," de collires, lentilles, de campas, infection ORL, simultanée,"
"178330","181710"," allergie, les circonstances d'apparition brutale ou après"
"181710","186010"," un stress, un glaucome aigu, progressive, c'est"
"186010","189330"," une inflammation, accidentelle c'est un traumatisme, contexte"
"189330","193650"," épidémique, une conjoncture, les signes fonctionnels associés, est "
"193650","195010","-ce qu'il y a une douleur oculaire,"
"195790","199750"," c'est témoin d'une gravité, l'agglutination"
"199750","202770"," matinale décène par des sécrétions, la baisse de"
"202770","205850"," l'acuité visuelle, la photophobie, le spasme palpébral,"
"206010","208830"," le larmement, qui sont des signes irritatifs, et"
"208830","211850"," la rougeur observée par l'entourage."
"213970","216870"," L'examen clinique va s'intéresser d'abord"
"216870","220530"," à l'acuité visuelle, à chiffrer, inspection, la"
"220530","222430"," topographie de la rougeur, est-ce qu'elle"
"222430","224570"," est au niveau des culs de ses conjonctivaux,"
"224970","225970"," est-ce qu'il y a une hemorragie"
"225970","227710"," sous-conjonctivale, est-ce qu'il y a"
"227710","230670"," un cercle péricératique qui témoigne d'un glaucomégion,"
"230750","233690"," d'une kératite ou d'une uveïte, l "
"233690","236110","'examen de la conjonctive bulbaire plus palpébrale à"
"236110","239490"," la recherche d'un corps étranger, le segment"
"239490","242170"," antérieur va s'intéresser à la corne, est "
"242170","248620","-ce qu'elle est opaque, ulcération, grâce au"
"248620","250920"," test à la fluorescine et la sensibilité. "
"251020","254240"," La chambre antérieure, on va apprécier sa profondeur,"
"254540","257220"," on va apprécier le contenu, est-ce qu "
"257220","258519","'il y a un épopéon, est-ce qu "
"258519","259680","'il y a un éphéma, est-ce qu "
"259680","263720","'il y a un tendal, l'iris, on"
"263720","267780"," va chercher la forme de la pupille, le"
"267780","270360"," réflexe photomoteur et le tonus oculaire."
"272910","274950"," Il faut chercher les signes de gravité, et"
"274950","276630"," quels sont les signes de gravité ?"
"276630","283100"," Les signes de gravité peuvent être une baisse"
"283100","286400"," de l'acuité visuelle, douleur oculaire, un cercle"
"286400","289480"," péri-kératique, un test à la fluorescine positive,"
"289820","293280"," un épopéon, un éphéma, une hépertonie oculaire, une"
"293280","295540"," anomalie de la pupille, le port de lentilles"
"295540","299760"," de contact, traumatisme ou un post-opératoire, c "
"299760","303620","'est d'une gravité énorme, symptômes systémiques, nausées,"
"303740","306160"," vomissements, encéphalées sévères."
"307720","313120"," Alors, nous allons classer cet œil rouge en"
"313120","315640"," différentes étiologies. "
"316880","318920"," On va parler de l'œil rouge indolore"
"318920","321460"," sans baisse de l'acuité visuelle, puis on"
"321460","324440"," va parler de l'œil rouge douloureux sans"
"324440","327100"," baisse de l'acuité visuelle, pour enfin terminer"
"327100","330280"," avec l'œil rouge douloureux avec baisse de"
"330280","331000"," l'acuité visuelle."
"331000","334940"," Nous allons partir des choses les plus bénies"
"334940","337240"," vers les choses les plus graves qui s "
"337240","339680","'accompagnent d'une douleur et d'une baisse"
"339680","340840"," de l'acuité visuelle."
"341380","344940"," Alors, l'œil rouge indolore sans baisse de"
"344940","347160"," l'acuité visuelle, nous commençons par l'hémorragie"
"347160","347840"," sous-conjonctive. "
"348840","351200"," C'est une infection qui est banale, sans"
"351200","354960"," gravité, placard rouge en nappe, localisé ou étendu"
"354960","356040"," sous le vent de la conjonctive."
"356860","359060"," L'état de la corne, la chambre antérieure"
