"start","end","text"
"2120","6820"," J'espère que la préparation va dans le"
"6820","14740"," bon sens que vous voulez, bon courage."
"16260","19780"," Aujourd'hui, on va traiter un chapitre très"
"19780","23700"," important chez la femme concernant la pathologie du"
"23700","23880"," sein."
"27040","32300"," Beaucoup de pathologies peuvent toucher la glande mammaire,"
"33480","40420"," glande exocrine dont les rôles sont la nutrition"
"40420","46360"," du nouveau-né, de l'enfant. "
"47360","50140"," C'est également un organe qui a une"
"50140","58100"," symbolique très importante chez la femme, que ce"
"58100","61400"," soit pour le désir sexuel, que ce soit"
"61400","63739"," pour l'esthétique."
"65360","68040"," C'est un organe très important chez l "
"68040","68160","'homme."
"69800","72740"," Pourquoi ce chapitre est important à connaître?"
"74060","78680"," La grande crainte du médecin, c'est de"
"78680","83900"," se retrouver face à une femme qui a"
"83900","85240"," un cancer du sein. "
"86420","88260"," C'est ça la grande crainte, le cancer"
"88260","88720"," du sein."
"91940","95740"," Sa vision de la part de la population"
"95740","97540"," féminine est très péjorative."
"97780","102060"," C'est un synonyme de la mort, d "
"102060","104500","'autant plus que ce cancer est très fréquent,"
"105940","106840"," très très fréquent. "
"107660","111260"," On peut dire qu'une femme sur 8"
"111260","115040"," ou bien une femme sur 9 va faire"
"115040","116680"," un cancer du sein au cours de sa"
"116680","119340"," vie, va vraiment faire un cancer du sein."
"121060","124440"," D'où l'importance de cette pathologie."
"125120","127240"," L'autre chiffre qui est important à connaître,"
"127440","129639"," c'est que sur les nouveaux cas de"
"129639","133420"," cancer du sein chez la femme, lorsqu'on"
"133420","136040"," prend une année, par exemple 2020 au Maroc,"
"136920","140180"," 38% des cancers découverts chez la femme,"
"140580","143620"," 38% de tous les cancers découverts chez"
"143620","144840"," la femme, ce sont des cancers du sein. "
"145960","148480"," C'est le premier cancer chez la femme,"
"149320","152040"," une femme sur 8, ça c'est plus"
"152040","153640"," de un tiers des nouveaux cas de cancer,"
"153800","154740"," ce sont des cancers du sein."
"155520","158080"," Même si on prend l'homme et la"
"158080","163600"," femme, pour les statistiques, un cancer sur 5"
"163600","164500"," c'est un cancer du sein."
"164660","166320"," Jusqu'à 20% de tous les cancers,"
"167020","168460"," si on prend les deux sexes. "
"169260","171280"," Si on prend que la femme, 38%"
"171280","173720"," de nouveaux cas de cancer sont des cancers"
"173720","174220"," du sein."
"175220","180080"," L'autre chose à comprendre, c'est que"
"180080","186320"," le diagnostic précocement, la guérison est supérieure à"
"186320","187580"," 95%."
"188220","192340"," Si le diagnostic est au tout début, le"
"192340","198740"," traitement est facile, pas très agressif et le"
"198740","200460"," pronostic est excellent. "
"200460","203660"," Si on le trouve dans les formes très"
"203660","206540"," très précoces, c'est ça l'objectif du"
"206540","207180"," dépistage."
"207580","210960"," D'ailleurs le mois d'octobre, c'est"
"210960","215560"," le mois du cancer du sein, décrété par"
"215560","222080"," l'OMS comme le mois de sensibilisation pour"
"222080","226460"," prévenir contre la survenue du cancer du sein."
"230830","232470"," Donc, heureusement qu'il n'y a pas"
"232470","234290"," que le cancer du sein qui intéresse le"
"234290","235230"," sein, il y a d'autres pathologies. "
"235790","237370"," On va les voir rapidement, mais on va"
"237370","244490"," essentiellement axer notre cours sur les particularités diagnostiques"
"244490","247590"," et thérapeutiques du cancer du sein."
"248570","250170"," Je vais commencer ce cours par un cas"
"250170","253070"," que je viens de prendre en charge très"
"253070","255070"," récemment, mais pas deux semaines."
"255810","257769"," Une femme qui a palpé un ondule au"
"257769","258690"," niveau de son sein droit. "
"261410","263770"," Parmi les circonstances de découverte, vous avez trouvé"
"263770","265810"," une découverte à l'autopalpation."
"268410","270090"," Elle a 38 ans, elle est très jeune."
"270910","271430"," Elle a deux enfants. "
"271690","273850"," Elle a 38 ans et elle a palpé"
"273850","276090"," une boule au niveau de son sein que"
"276090","278330"," j'ai entourée avec un marqueur."
"280400","284160"," C'est une boule au niveau des cadrans"
"284160","285100"," supérieurs."
"285100","286920"," Toujours quand on trouve une masse, il faut"
