"start","end","text"
"3720","5720"," Alors, toujours classer l'épithélium."
"5900","8520"," Regardez, on a un épithélium qui a plusieurs"
"8520","9080"," couches."
"9760","11220"," Lorsqu'on a plusieurs couches, qu'est-ce"
"11220","13940"," qu'on prend en considération pour classer, pour"
"13940","15760"," qu'il donne la forme de l'épithélium"
"15760","16540"," ?"
"16540","19580"," Voilà, ça c'est la lame basale, toujours"
"19580","22240"," l'épithélium qui repose sur une membrane basale"
"22240","24840"," qui le sépare du tissu conjonctif sous-acide. "
"34980","36040"," Très bien, bravo."
"37200","40840"," Effectivement, c'est un épithélium qui est pavimenteux,"
"41280","43600"," donc qui va juger au niveau de la"
"43600","43860"," forme."
"44080","46680"," C'est la couche la plus superficielle qui"
"46680","48920"," va nous donner la forme. "
"49660","52620"," La couche la plus superficielle, il est pavimenteuse,"
"53160","55820"," et on a un épithélium qui est stratifié."
"56160","58820"," Donc c'est un épithélium qui est pavimenteux,"
"59020","59660"," stratifié."
"59780","60140"," Très bien. "
"65310","67890"," Toujours les mêmes gens qui répondent très bien."
"68290","69290"," Kinza, bravo Kinza."
"72140","73320"," Très bien, Issa Mohamed. "
"73420","74560"," Oussama, très bien."
"85540","87360"," Alors toujours classer l'épithélium."
"88060","90820"," Donc on aura, voilà, il faut bien voir"
"90820","91460"," s'il vous plaît. "
"92280","93840"," Il faut répondre rapidement."
"94480","97100"," L'essentiel c'est de répondre juste."
"117260","118520"," Très bien, bravo. "
"119640","120620"," Bravo, très bien."
"120620","123540"," L'épithélium qui est pseudo-stratifié, oui, mais"
"123540","124980"," qu'il y a des cils, très bien."
"125100","126720"," Il est pseudo-stratifié, cilier. "
"126880","127780"," Bravo, très bien."
"135480","136540"," Toujours les mêmes."
"139850","140250"," Très bien. "
"141050","143130"," Alors il y a Kinza qui est toujours"
"143130","143770"," la première."
"152370","155330"," Alors, regardez bien cette gronde là."
"156710","157230"," Regardez. "
"159070","160770"," Le canal, il est là."
"161870","164270"," Il est formé, il est ramifié, il est"
"164270","166410"," formé de plusieurs doses."
"167770","169890"," Donc, qu'il s'agit qu'une gronde. "
