"start","end","text"
"1480","5800"," Chers étudiants, chères étudiantes, nous allons aborder aujourd "
"5800","9860","'hui un problème de santé publique qui est"
"9860","11840"," la tuberculose de l'enfant."
"14170","17870"," Pour aborder ce sujet très important, nous avons"
"17870","22990"," des objectifs pédagogiques terminaux et intermédiaires, comme vous"
"22990","24690"," le constatez sur cette slide."
"28520","32040"," Plusieurs particularités distinguent la tuberculose de l'enfant"
"32040","33360"," par rapport à l'adulte. "
"33360","36400"," La maladie se développe dans les suites immédiates"
"36400","39860"," d'une primo-infection, avec comme conséquence le"
"39860","44280"," caractère post-bastulaire du fait de l'importance"
"44280","46700"," des atteintes ganglionaires au cours de la tuberculose"
"46700","47180"," de l'enfant."
"48000","50260"," Ainsi, la preuve bactériologique est rare."
"50860","54100"," Par conséquent, le diagnostic de la tuberculose chez"
"54100","56800"," l'enfant ne repose le plus souvent que"
"56800","61580"," sur un faisceau d'arguments épidémiologiques, cliniques et"
"61580","62600"," paracliniques. "
"63260","66980"," Le risque de tuberculose résistant est moins important"
"66980","69120"," chez l'enfant par rapport à l'adulte"
"69120","71080"," et le risque de passage de la tuberculose"
"71080","74760"," infection à la tuberculose maladie est plus important"
"74760","78840"," chez l'enfant et va varier en fonction"
"78840","81260"," de l'âge, plus fréquent bien sûr chez"
"81260","81900"," le plus jeune."
"82720","87140"," Enfin, le risque de développer une forme grave,"
"87280","89800"," que ce soit une forme disséminée, une méningite,"
"90360","93660"," est plus important chez l'enfant, tout particulièrement"
"93660","94980"," chez le nourrissant."
"97990","103450"," Sur le plan épidémiologique, la forme ganglionaire reste"
"103450","107190"," la plus fréquente des formes de tuberculose de"
"107190","107570"," l'enfant. "
"111060","115040"," Ce tableau vous illustre les principaux facteurs du"
"115040","118280"," risque de transmission de la tuberculose chez l "
"118280","118560","'enfant."
"119100","121440"," Comme vous le constatez, il y a des"
"121440","124700"," facteurs liés au cas source, des facteurs liés"
"124700","127639"," à l'enfant exposé et des facteurs liés"
"127639","129199"," aux conditions d'exposition."
"130100","133020"," Il faut noter qu'une exposition cumulative de"
"133020","135300"," 8 heures dans un local où séjourne un"
"135300","140520"," adulte contagieux peut suffire largement pour contaminer un"
"140520","140900"," enfant. "
"144380","147040"," La connaissance de l'histoire naturelle permet de"
"147040","150780"," bien comprendre la grande variation d'expression clinique"
"150780","153100"," de l'infection tuberculose chez l'enfant."
"153100","157060"," L'infection tuberculose se transmet essentiellement par voie"
"157060","157740"," aérienne."
"158540","161600"," La lésion primaire ou l'ondule primaire dans"
"161600","164720"," le parenchyme du poumon va souvent disparaître, parfois"
"164720","165640"," se calcifier. "
"166440","168620"," Plus rarement, il va augmenter de taille et"
"168620","171560"," se tendre au parenchyme et ou à la"
"171560","175580"," plèvre adjacente, expliquant la survenue parfois d'épanchements"
"175580","178740"," pleureaux dans les pré-moins infections tuberculoses de"
"178740","179040"," l'enfant."
"179040","182760"," Dans ce site initial, les béquins sont drainés"
"182760","185320"," par les macrophages vers les ganglions régionaux."
"186080","187480"," C'est à ce stade que le risque"
"187480","190920"," de dissémination hématogène est le plus souvent important,"
"191640","194220"," entraînant des lésions soit focales, soit de type"
"194220","196520"," miliaire, dont différentes viscères. "
"197680","200580"," Le développement de la réponse immunitaire spécifique en"
"200580","202640"," 2 à 6 semaines permet le plus souvent"
"202640","204640"," d'empêcher cette évolution."
"205320","207800"," L'infection reste latente sans signe clinique ni"
"207800","208480"," radiologique."
"208480","213060"," Dans une minorité des cas, la multiplication vacilaire"
"213060","216400"," est mal contrôlée et une maladie clinique tuberculose"
"216400","220460"," dite tuberculose maladie apparaît en règle dans l "
"220460","222620","'année qui suit l'infection initiale. "
"223680","226300"," Celle-ci apparaît dans la moitié des cas"
"226300","229600"," de façon précoce en moins de 2 ans,"
"230160","234020"," dans l'autre moitié plus tardivement, parfois après"
"234020","235320"," plusieurs décades."
"235320","240200"," L'hypertrophie ganglionaire caractérise la maladie observée lors"
"240200","242980"," de la prémonfection tuberculose patente."
"243860","246880"," Ces ganglions régionaux peuvent comprimer les voies aériennes"
"246880","252040"," adjacentes, entraînant atélectasie, emphyseme et peuvent aussi se"
"252040","255720"," casifier et se fistuliser dans les branches ou"
"255720","258920"," dans la trachée, faisant courir le risque d "
"258920","261019","'un accident asphyxique aigu. "
"264060","267540"," Le diagnostic de la tuberculose sur l'enfant"
"267540","269440"," repose sur trois ordres de données."
"270240","274620"," Des données anamnistiques, des données cliniques non spécifiques"
"274620","278720"," plus ou moins évocatrices et des données paracliniques"
"278720","281900"," qui seront la clé du diagnostic à condition"
"281900","284060"," de les interpréter dans le contexte."
"284060","288700"," Je citerai l'entraînement à la tuberculine, au"
"288700","294280"," tiste aigra, la radiographie thoracique, la bactériologie tant"
"294280","298000"," que possible et les investigations pertinentes pour la"
"298000","300700"," recherche d'une tuberculose de poumon ou d "
"300700","303500","'une tuberculose extra-pulmonaire. "
"306090","309770"," L'anamnèse doit être méthodique et inclure la"
"309770","313750"," recherche d'éventuels contacts avec des personnes ayant"
"313750","317030"," la tuberculose ainsi que des symptômes cohérents avec"
"317030","317970"," cette maladie."
"320120","323120"," Dans la plupart des cas, les enfants manifestant"
"323120","327740"," une tuberculose symptomatique développent des signes chroniques sans"
"327740","330580"," rémission, c'est-à-dire des symptômes qui"
"330580","334060"," persistent plus de deux semaines sans amélioration soutenue"
"334060","338500"," ni résolution après traitement approprié incluant d'autres"
"338500","339920"," diagnostics potentiels."
"339920","343340"," Ces symptômes les plus communs sont des manifestations"
"343340","347220"," cliniques qui peuvent être pulmonaires, extra-pulmonaires ou"
"347220","348120"," multifocales. "
"348980","352440"," Devant des signes suspects de tuberculose extra-pulmonaire,"
"352600","356220"," il faut toujours rechercher une localisation pulmonaire."
"356220","359580"," Autre questionnement de rigueur sur la perte du"
"359580","362440"," poids, le retard de croissance qui constitue un"
"362440","365220"," élément clé du diagnostic de la tuberculose d "
"365220","368080","'enfant, il est important de consulter la corps"
"368080","370280"," de croissance d'enfant s'il y en"
"370280","370680"," a un."
"373100","376900"," Les signes cliniques, toux, fièvre, perte de poids,"
"377140","381380"," hémoptysis, souvent au nocturne, manque de sensibilité, de"
"381380","385300"," spécificité pour le diagnostic de la tuberculose. "
"385300","388700"," Au stade d'examen clinique, il n'existe"
"388700","392680"," pas de caractéristiques spécifiques qui puissent confirmer qu "
"392680","394880","'on est né en présence d'une tuberculose"
"394880","395500"," pulmonaire."
"397770","401310"," Toujours sur le plan clinique, vous pouvez avoir"
"401310","404250"," un amigressement très important au corps d'une"
"404250","405890"," tuberculose avancée."
"406710","408850"," Vous pouvez avoir sur le plan cutané ce"
"408850","412570"," qu'on appelle un érythème nouveau révélateur et"
"412570","415970"," ce sont des nodules dermo-épidermiques en regard"
"415970","416770"," de tibia. "
"418980","423960"," Sur ce tableau, les signes cliniques des tuberculoses"
"423960","427820"," extra-pulmonaires sont cités en fonction de la"
"427820","434440"," localisation ganglionaire, méningée, osteoarticulaire, serreuse ou cutanée."
"437900","440820"," Le nourrissant est le plus souvent symptomatique que"
"440820","441800"," l'enfant plus grand."
"442640","444960"," Le risque de développer une forme grave, que"
"444960","446860"," ce soit une forme disséminée, que ce soit"
"446860","448380"," une méningite est plus important. "
"449480","452140"," Dans les formes à localisation pulmonaire, les complications"
"452140","454540"," tracubranchiques sont les plus fréquentes."
"454540","459540"," La fistulisation ganglionaire doit être redoutée en cas"
"459540","463960"," de poussée fibrile ou diminution brutale de volume"
"463960","464780"," ganglionaire."
"465640","468140"," Il peut réaliser un tabloïd asphyxique par inondation"
"468140","471120"," des voies aériennes en cas de fistulisation d "
"471120","473480","'une adénopathie latérotrachiale. "
"474100","477760"," Même sous traitement, les adénopathies peuvent augmenter de"
"477760","481260"," volume, provoquer des troubles de ventilation et se"
"481260","481940"," fistuliser."
"483250","488530"," Après l'anamnèse, la clinique, vous allez voir"
"488530","492590"," que la présentation radiologique va être très variable."
"495100","497820"," Nous allons voir l'aspect radiologique de la"
"497820","500440"," forme la plus fréquente du tuberculose de l "
"500440","503720","'enfant qui est la prémonfection tuberculose. "
"504380","507660"," Il faut savoir que la radiothoraxe est l "
"507660","510800","'examen de référence pour le diagnostic de la"
"510800","512559"," tuberculose de l'enfant."
"512559","518039"," L'atteinte ganglionaire, mydiastinale ou hilare représente la"
"518039","521799"," lésion caractéristique de cette forme du tuberculose."
"522400","524300"," Elle est plus importante chez le jeune enfant"
"524300","525060"," et le nourrissant. "
"525880","529120"," Des localisations multiples sont observées dans presque tous"
"529120","529580"," les cas."
"530300","535100"," Les localisations préférentielles sont sous-carinaires, hilares, droites"
"535100","537540"," et aux gauches et paratrachiales droites."
"537540","542460"," Des localisations précarinaires et mydiastinales antérieures peuvent également"
"542460","543440"," être présentes. "
"544320","548720"," Des adénopathies paratrachiales gauches sont possibles, mais moins"
"548720","549360"," fréquentes."
"550560","553560"," Les adénopathies peuvent se compliquer d'une compression"
"553560","555920"," des voies aériennes adjacentes et des troubles de"
"555920","558020"," ventilation des segments pulmonaires d'aval."
"558020","562780"," L'atteinte plurale est une complication plus fréquente"
"562780","565460"," de la prémoinfection tuberculose. "
"569690","574450"," Des calcifications peuvent aussi également être constatées au"
"574450","577350"," sein des opacités, comme vous le constatez sur"
"577350","578010"," ces images."
"579210","581790"," A côté de la forme la plus fréquente"
"581790","584750"," de la prémoinfection tuberculose, nous pouvons constater par"
"584750","590890"," exemple des images du miliaire diffuse bilatéral, comme"
"590890","592810"," vous le constatez sur ces clichés."
"595490","599650"," Nous pouvons constater aussi des cavernes, essentiellement au"
"599650","603370"," niveau de l'apexe, mais surtout chez l "
"603370","603890","'adolescent. "
"606590","609990"," Entre un interrogatoire, un bon examen clinique, une"
"609990","612810"," radiographie de thorax bien faite, la réalisation d "
"612810","615050","'un trait de la molécule barcule est indispensable."
"615970","618570"," Nous devons toujours mesurer le diamètre transversal de"
"618570","620830"," l'induration de la papule, c'est-à "
"620830","623910","-dire l'induration, et non pas son diamètre"
"623910","626590"," vertical, ni la rayole rouge qui l'entoure."
"627630","631070"," Et puis, il est positif au-delà de"
"631070","633070"," 5 mm lorsqu'il s'agit d'un"
"633070","637610"," enfant dénutri ou VIH immunodéprimé par exemple. "
"638570","641290"," Il est positif au-delà de 10 mm"
"641290","643370"," que l'enfant soit vacciné ou non par"
"643370","643990"," le BCG."
"646840","650560"," Les tests EGRA, comme l'intradermo à la"
"650560","653740"," tubercule, visent à identifier les sujets qui présentent"
"653740","655580"," une infection tuberculose latente."
"656620","658780"," Les tests EGRA sont des tests réalisés sur"
"658780","662000"," des prélèvements sanguins qui permettent d'identifier in"
"662000","665660"," vitro la présence d'une réponse immune adaptative"
"665660","670620"," dirigée contre les antigènes peptiques spécifiques de Mycobacterium"
"670620","671000"," tuberculosis. "
"671000","675100"," Ces tests mesurent la libération d'un différent"
"675100","679840"," gamma par les lymphocytes T après stimulation par"
"679840","680840"," ces antigènes."
"683770","688310"," Sur ce tableau, nous avons essayé de comparer"
"688310","692310"," l'intradermo réaction à la tuberculine et les"
"692310","694050"," tests sanguins tests EGRA."
"694390","697070"," Vous pouvez le regarder tranquillement. "
"699470","705070"," Après l'anamnèse, la clinique, la radiographie thoracique"
"705070","708230"," et l'intradermo à la tuberculine, nous allons"
"708230","713450"," revoir tranquillement la place de la bactériologie dans"
"713450","714870"," la tuberculose de l'enfant."
"714870","721530"," Les échantillons cliniques pour la bactériologie les plus"
"721530","727370"," appropriés sont les expectorations, plutôt les aspirations gastriques"
"727370","730770"," et d'autres prélèvements en fonction du site"
"730770","733210"," présumé atteint par la maladie."
"733210","738370"," Les échantillons obtenus doivent être rapidement acheminés au"
"738370","743730"," laboratoire pour un test expert, un examen direct"
"743730","744750"," et aux cultures. "
"745690","748710"," Alors ce test expert est une méthode moléculaire,"
"748810","752010"," c'est une mini-PCR, méthode moléculaire d "
"752010","756710","'identification de Mycobacterium tuberculosis et de son pourfait"
"756710","759210"," de résistance à la réfampicille."
"759210","764210"," Ce fameux test expert peut servir, en pratique"
"764210","767750"," courante, de test de remplacement pour l'analyse"
"767750","772950"," de certains échantillons anticorrespiratoires, notamment les ganglions d "
"772950","777330","'autres tissus d'enfants suspects de tuberculose extra "
"777330","778030","-pulmonaire."
"779470","782750"," Le tubage gastrique doit se faire à l "
"782750","785030","'hôpital au réveil et avant que l'enfant"
"785030","786090"," ne se lève de son lit. "
"786970","789570"," Deux prélèvements seront faits pendant deux jours de"
"789570","790950"," suite au lit de malade."
"791850","795550"," Les échantillons obtenus doivent rapidement être acheminés au"
"795550","799670"," laboratoire pour un examen direct culture expert."
"799670","805350"," L'identification des bacilles permet de confirmer le"
"805350","807050"," diagnostic de la tuberculose. "
"807830","810930"," Toutefois, cet argument formel fait souvent défaut chez"
"810930","811410"," l'enfant."
"811930","813950"," Nous avons bien dit qu'il y a"
"813950","817270"," un caractère volontiers pas aussi bacillaire de la"
"817270","818410"," tuberculose chez l'enfant."
"818410","821570"," La qualité du recueil des prélèvements et leurs"
"821570","826570"," manipulations doit être optimale afin d'augmenter les"
"826570","830850"," chances de détection des bacilles assidueux alcoolo-résistants. "
"832010","840590"," Les enfants présentant rarement une expectoration spontanément, l "
"840590","844090","'aspiration gastrique représente alors le mode préférentiel de"
"844090","847990"," recueil des sécrétions issues des voies aériennes et"
"847990","848390"," d'hygiène."
"848410","852470"," L'aspiration de contenu gastrique est au mieux"
"852470","855390"," réalisée après 8 à 10 heures de jeûne"
"855390","858210"," lorsque l'enfant est encore allaité."
"858690","860550"," C'est pour ces raisons, encore une fois,"
"860990","864390"," que l'aspiration gastrique devrait être réalisée au"
"864390","866890"," mieux au milieu hospitalier. "
"870000","873580"," Et finalement, tout doit être entrepris pour confirmer"
"873580","877440"," un diagnostic de tuberculose chez un enfant par"
"877440","880840"," tout prélèvement possible et tout moyen de laboratoire"
"880840","881500"," accessible."
"882240","884480"," Il convient d'effectuer des prélèvements appropriés d "
"884480","888020","'échantillons sur des sites suspects d'infection pour"
"888020","891580"," pouvoir procéder à des examens bactériologiques."
"892720","897500"," Il faut savoir que seule la bactériologie apporte"
"897500","901040"," la certitude diagnostique dans la tuberculose de l "
"901040","901320","'enfant. "
"901920","905120"," L'examen est stéopathologique, même s'il a"
"905120","907740"," un grand intérêt dans l'orientation du diagnostic,"
"909040","911960"," il ne permet pas pour autant la confirmation"
"911960","914420"," du diagnostic de la tuberculose de l'enfant."
"917390","921070"," L'endoscopie branchique, bien que cet examen n "
"921070","923710","'est pas recommandé pour le diagnostic ordinaire de"
"923710","926570"," la tuberculose chez l'enfant, il peut montrer"
"926570","929030"," quand même une réduction du calibre branchique par"
"929030","933550"," une compression extrinsèque d'une adénopathie, il peut"
"933550","936170"," montrer un granulome à l'intérieur de la"
"936170","940330"," branche, comme il peut montrer du casium qui"
"940330","942330"," va obstruer une branche souche."
"945560","950400"," Le tableau va vous montrer des examens paracliniques"
"950400","953800"," demandés en fonction des sites pour le diagnostic"
"953800","957440"," des formes courantes de tuberculose extra-pulmonaire chez"
"957440","962620"," l'enfant, notamment les adénopathies périphériques, la tuberculose"
"962620","967620"," osteoarticulaire, la tuberculose plurale, la tuberculose intra-abdominale"
"967620","970700"," et plus rarement la tuberculose péricardique. "
"973550","977790"," La tuberculose osteoarticulaire peut se présenter avec deux"
"977790","982310"," aspects classiques, c'est le mal de pote,"
"982510","987790"," la tuberculose des vertèbres et puis la tuberculose"
"987790","990590"," de la hanche, par exemple la coxalgie."
"992160","995760"," La tuberculose neuro-mélangée est parmi les localisations"
"995760","999080"," les plus graves, elle va se présenter avec"
"999080","1003500"," un tableau de mélingo-encéphalite et puis sur"
"1003500","1007400"," l'imagerie cérébrale on peut constater des accidents"
"1007400","1011740"," vasculaires cérébraux, des tuberculomes, des nodules et de"
"1011740","1012540"," l'hydrocéphalie."
"1013980","1019420"," La tuberculose ganglionaire périphérique, notamment cervicale, reste une"
"1019420","1020940"," localisation fréquente. "
"1023020","1027380"," La localisation intra-abdominale, il peut y avoir"
"1027380","1036280"," une présentation pélétoniale, une présentation héliocécale faisant le"
"1036280","1039859"," diagnostic différentiel avec la maladie de Crohn ou"
"1039859","1043660"," une forme pseudo-tumorale avec des ganglions posant"
"1043660","1046859"," le diagnostic différentiel avec un lymphome."
"1049070","1053890"," La tuberculose cutanée existe chez l'enfant, qu "
"1053890","1056910","'en voulons constater avec ses deux formes, d "
"1056910","1061830","'alors le pic et une présentation sous forme"
"1061830","1064350"," de gomme disséminée chez ce garçon de 3"
"1064350","1064510"," ans."
"1067480","1070180"," Le traitement de la tuberculose de l'enfant"
"1070180","1073300"," repose globalement sur les mêmes principes que celui"
"1073300","1074260"," de l'adulte. "
"1075620","1079020"," Élimination rapide de mycobactéries pour diminuer la morbidité,"
"1079140","1081640"," la mortalité et la transmission de la maladie"
"1081640","1084480"," dans les cas contagieux, c'est pourquoi il"
"1084480","1088140"," faut avoir aussi des antibacillaires bactéricides."
"1089720","1093160"," L'élimination totale des mycobactéries pour éviter le"
"1093160","1095320"," rechute, c'est pourquoi il faut un traitement"
"1095320","1096040"," prolongé."
"1096040","1099680"," La prévention du développement de résistance, c'est"
"1099680","1103740"," pourquoi il faut associer les antibacillaires et éviter"
"1103740","1105300"," les monothérapies. "
"1107140","1110580"," Enfin, la nécessité d'obtenir une meilleure information"
"1110580","1114400"," sur la pharmacocinétique des médicaments antibacillaires chez les"
"1114400","1117820"," enfants est soulignée par les variations des recommandations"
"1117820","1121940"," nationales concernant les dosages des médicaments chez les"
"1121940","1122280"," enfants."
"1123900","1127860"," Ainsi, les objectifs du traitement sont remplir le"
"1127860","1129980"," cycle la transmission d'Ondéca dans la source"
"1129980","1134560"," principale et la tuberculose pulmonaire, guérir le malade"
"1134560","1137360"," quelle que soit la localisation de la tuberculose"
"1137360","1139680"," et enfin éviter les séquelles."
"1144440","1147300"," Le traitement est divisé en une phase intensive"
"1147300","1150300"," initiale et une phase de continuation. "
"1151140","1153560"," Le but de la phase intensive est d "
"1153560","1156140","'éliminer rapidement la majorité des bacilles et de"
"1156140","1159040"," prévenir l'émergence de la résistance à l "
"1159040","1161240","'égard des antibacillaires."
"1161760","1165140"," La phase intensive associe au moins trois antibacillaires"
"1165140","1168760"," et utilise un plus grand nombre d'antibacillaires."
"1169500","1171720"," Le but de la phase de continuation est"
"1171720","1173320"," d'éradiquer les bacilles dormants. "
"1173990","1177140"," On utilise en général moins de médicaments parce"
"1177140","1179880"," que le risque d'acquérir une résistance aux"
"1179880","1181180"," antibacillaires est faible."
"1182020","1185360"," La plupart des bacilles ayant déjà été éliminées."
"1186480","1189120"," Au cours des deux phases, les antibacillaires peuvent"
"1189120","1191020"," être administrés chaque jour. "
"1192280","1196320"," Les règles sont Une posologie adéquate tenant compte"
"1196320","1199560"," du terrain et du poids Une prise unique"
"1199560","1202960"," le matin à jeun de tous les antibacillaires"
"1202960","1205900"," une heure avant le repas ou trois heures"
"1205900","1206920"," après le repas."
"1208000","1217800"," Durée suffisante de traitement Les formulations combinées sont"
"1217800","1220120"," rapportées sur ce tableau."
"1224460","1228200"," Sur ce tableau là nous indiquons les posologies"
"1228200","1232620"," journalières des antibacillaires de première ligne chez l "
"1232620","1233820","'enfant et l'adolescent. "
"1241400","1243980"," A partir d'un poids de 25 kg,"
"1244420","1247020"," l'enfant peut être traité en suivant les"
"1247020","1251420"," posologies et les formulations recommandées pour l'adolescent"
"1251420","1253140"," et l'adulte sur ce tableau."
"1256820","1260660"," Sur votre cours, et pour ne pas vous"
"1260660","1264960"," surcharger, je vais vous exposer uniquement sur ce"
"1264960","1270760"," tableau les schémas thérapeutiques préconisés pour traiter les"
"1270760","1274380"," nouveaux cas de tuberculose chez l'enfant."
"1275460","1277860"," Vous pouvez les regarder tranquillement. "
"1280260","1283720"," Là et dans le même sens, vous avez"
"1283720","1287860"," les schémas thérapeutiques préconisés pour traiter les nouveaux"
"1287860","1290560"," cas de tuberculose chez l'adolescent."
"1291180","1294080"," Comme vous l'avez bien constaté, il y"
"1294080","1296940"," aura une différence entre l'enfant et l "
"1296940","1297320","'adolescent."
"1301360","1304260"," La surveillance de l'efficacité thérapeutique est une"
"1304260","1305400"," étape très importante. "
"1306800","1309960"," Les effets indésirables de traitement de tuberculose sont"
"1309960","1312040"," beaucoup plus rares chez l'enfant que chez"
"1312040","1315880"," l'adulte, raison pour laquelle des examens sanguins"
"1315880","1320520"," ne sont pas forcément nécessaires, sauf en présence"
"1320520","1324720"," d'autres maladies avec une éventuelle atteinte hépatique."
"1325640","1327240"," L'information à la famille de l'enfant"
"1327240","1331380"," est non seulement obligatoire, mais surtout est essentielle"
"1331380","1333840"," dans la prise en charge de la tuberculose"
"1333840","1334360"," de l'enfant."
"1334360","1338540"," Les enfants tuberculeux doivent avoir une bonne alimentation"
"1338540","1342080"," et doivent avoir une activité normale. "
"1343480","1345380"," La durée de l'isolement doit prendre en"
"1345380","1348540"," compte la durée de traitement tibacilaire, la régression"
"1348540","1352820"," des signes cliniques, la négativation des examens directs"
"1352820","1356640"," et l'environnement familial et social permettant la"
"1356640","1358180"," poursuite de traitement."
"1359020","1362700"," La charge baccalaureale va diminuer très rapidement une"
"1362700","1364800"," fois que le traitement est débuté."
"1366160","1369820"," Enfin, l'observance thérapeutique est un problème qui"
"1369820","1373260"," se pose autant chez l'enfant que chez"
"1373260","1374120"," l'adulte. "
"1374280","1377420"," Chez l'enfant, la perte du poids ou"
"1377420","1381340"," phénomène plus fréquent, l'incapacité de prendre du"
"1381340","1385100"," poids normalement est particulièrement inquiétante."
"1385100","1387800"," Il s'agit souvent de premiers sinon de"
"1387800","1390560"," seuls signes d'échec de traitement."
"1394080","1398760"," Après l'étude de la prémonfection tuberculose patente,"
"1399280","1402840"," je vais vous familiariser avec le diagnostic de"
"1402840","1404960"," l'infection tuberculose latente. "
"1405820","1408560"," Comme vous l'avez bien remarqué, dans la"
"1408560","1412440"," tuberculose patente, vous avez soit l'IDR ou"
"1412440","1415980"," l'EGRA positive avec la présence de signes"
"1415980","1419860"," cliniques et ou des images radiologiques pathologiques, ce"
"1419860","1424020"," qui détermine la tuberculose active ou la tuberculose"
"1424020","1424680"," patente."
"1424680","1429060"," Alors que lorsque vous avez une intradermo ou"
"1429060","1432880"," un EIGRA positif avec l'absence de signes"
"1432880","1437300"," cliniques et une radiographie thoracique normale, c'est"
"1437300","1441180"," ce qu'on appelle une infection tuberculose latente."
"1442870","1448250"," Comme la tuberculose active, pour faire le diagnostic"
"1448250","1450670"," de la tuberculose latente, nous allons faire donc"
"1450670","1454350"," appel à l'intradermo réaction à la tuberculose"
"1454350","1455910"," ou au test EIGRA. "
"1456670","1459610"," Malgré leurs limites, ces deux tests restent des"
"1459610","1464050"," outils précieux pour diagnostiquer l'infection tuberculose latente"
"1464050","1468250"," et identifier les personnes les plus susceptibles de"
"1468250","1471270"," bénéficier d'un traitement pour l'infection tuberculose"
"1471270","1472290"," latente."
"1474050","1479170"," Avant de démarrer le traitement, il faut d "
"1479170","1485130","'abord, un, éliminer une tuberculose maladie, deux, évaluer"
"1485130","1491370"," les effets secondaires possibles et enfin évaluer le"
"1491370","1493850"," risque de mauvaise observance."
"1493850","1497770"," Ce traitement dont nous avons parlé de la"
"1497770","1501950"," tuberculose latente, ce traitement préventif, va être indiqué"
"1501950","1505090"," chez tous les sujets contacts, chez les enfants"
"1505090","1508370"," moins de 5 ans et chez les enfants"
"1508370","1509550"," atteints de VIH. "
"1512460","1516520"," Les posologies de l'osinéaside recommandées pour le"
"1516520","1519140"," traitement préventif de la tuberculose chez l'enfant"
"1519140","1522420"," et l'adolescent sont les mêmes que celles"
"1522420","1526220"," de traitement curatif et sont illustrées sur ce"
"1526220","1529060"," tableau pour les enfants ayant un poids moins"
"1529060","1530040"," de 25 kg."
"1532380","1536840"," Sur ce deuxième tableau, nous avons individualisé les"
"1536840","1539340"," enfants ayant un poids plus de 25 kg"
"1539340","1540980"," et l'adolescent."
"1544530","1549430"," La prévention de la tuberculose de l'enfant"
"1549430","1552950"," et de l'adolescent va reposer sur un"
"1552950","1553990"," certain nombre d'éléments. "
"1553990","1557230"," D'abord, la vaccination par le BCG chez"
"1557230","1561670"," l'enfant, la lutte contre la transmission de"
"1561670","1564270"," l'infection de tuberculose et notamment à domicile"
"1564270","1567870"," mais aussi au milieu de soins, le dépistage"
"1567870","1570570"," systématique et la prise en charge précoce de"
"1570570","1573490"," la tuberculose active chez les sujets à risque,"
"1573490","1576730"," notamment chez les groupes cibles de traitement de"
"1576730","1580850"," l'infection tuberculose latente et enfin le traitement"
"1580850","1584150"," d'infection tuberculose latente chez les groupes à"
"1584150","1587010"," haut risque qui risquent de passer de l "
"1587010","1590490","'infection latente à la tuberculose maladie."
"1593400","1597220"," Le BCG est un vaccin vivant atténué obtenu"
"1597220","1599800"," à partir de Mycobacterium bovis."
"1600660","1602280"," La vaccination d'un nouveau-né par le"
"1602280","1605420"," BCG va assurer une protection contre les formes"
"1605420","1609100"," les plus sévères de tuberculose telles que la"
"1609100","1612160"," milière, l'aménagerie de tuberculose auxquelles les enfants"
"1612160","1614020"," sont très vulnérables au bas âge. "
"1614750","1616900"," Le BCG n'est cependant qu'un des"
"1616900","1619980"," moyens dans la lutte contre la tuberculose qui"
"1619980","1623100"," passe avant tout par le dépistage précoce de"
"1623100","1626020"," tuberculose de l'adulte, le traitement et la"
"1626020","1628120"," recherche active des cas secondaires."
"1629100","1632100"," La tuberculose de l'enfant est pratiquement toujours"
"1632100","1635220"," due à une contamination à partir d'un"
"1635220","1636460"," adulte bacillifère."
"1639200","1641540"," Concernant la technique de la vaccination et pour"
"1641540","1644220"," réussir un bon BCG, il faut bien suivre"
"1644220","1648040"," les recommandations du fabricant concernant la mise en"
"1648040","1651300"," solution du vaccin, la protection contre la lumière,"
"1651660","1654020"," le type de soing et d'aiguille et"
"1654020","1655220"," la dose administrée. "
"1656740","1659860"," Toutes ces informations existent sur la notice d "
"1659860","1660460","'emballage."
"1661220","1665420"," L'injection doit être strictement intradermique et de"
"1665420","1669240"," préférence au niveau de la région de muscle"
"1669240","1671340"," deltoïde de bras gauche."
"1675340","1679320"," Une lésion soignante est couramment observée au site"
