"start","end","text"
"1160","3840"," Le cours d'aujourd'hui s'intitule «"
"3840","6300"," Les troubles de l'hémostase »."
"6300","8760"," Dans un premier temps, on définit ce que"
"8760","10160"," c'est que l'hémostase."
"10880","14020"," Il se définit par un processus complexe de"
"14020","17720"," réaction aboutissant à la reconstitution de la circulation"
"17720","20320"," sanguine après une brèche vasculaire."
"21020","25700"," Pour rappel de la physiologie, il y a"
"25700","29800"," trois étapes par lesquelles elle passe à l "
"29800","30380","'hémostase. "
"30820","33840"," Première, c'est l'hémostase primaire qui dure"
"33840","37280"," entre 3 à 5 minutes et qui aboutit"
"37280","39480"," à la formation de l'agrégat plaquetteur."
"39620","42920"," Deuxième étape, c'est l'hémostase secondaire qui"
"42920","44940"," dure entre 5 à 10 minutes et qui"
"44940","47700"," va aboutir à la consolidation de l'agrégat"
"47700","48960"," par la fibrille."
"48960","54580"," La troisième étape, c'est la fibrinolyse qui"
"54580","61380"," permet de dégrader le caillot après la reconstitution"
"61380","64200"," de la brèche et le retour à une"
"64200","65660"," circulation sanguine normale. "
"65960","70120"," Cette étape dure entre 48 à 72 heures."
"71220","74040"," Pour l'hémostase primaire, on sait que c "
"74040","77280","'est un ensemble d'interactions qui fait intervenir"
"77280","82340"," deux principaux éléments qui sont la paroi vasculaire"
"82340","86260"," et les plaquettes en présence de deux facteurs"
"86260","86960"," plasmatiques."
"86960","90740"," La paroi vasculaire et spécialement l'endothéliane qui"
"90740","94260"," est sensible à la thrombogénèse et les plaquettes"
"94260","98040"," avec toutes leurs activités d'attaisons, d'activations,"
"98280","100340"," de sécrétions et par la suite l'agrégation. "
"100340","103980"," En présence du facteur de vent vibrant et"
"103980","107100"," du facteur de fibrinogène qui vont aboutir à"
"107100","110640"," la formation du clou plaquetaire ou du caillot"
"110640","115600"," blanc qui généralement n'est pas stable, qui"
"115600","118200"," nécessite d'être stabilisé par la suite par"
"118200","119420"," l'hémostase secondaire."
"119420","122580"," Sur ce schéma, on voit bien quand on"
"122580","126300"," a une lésion vasculaire, il y a mise"
"126300","130620"," à nu de l'endothéliane et le contact"
"130620","134500"," avec le sous-endothéliane qui généralement est des"
"134500","135160"," thrombogènes."
"135160","138700"," Donc avec une sécrétion d'ADP, il va"
"138700","142040"," y avoir une adhésion des plaquettes qui va"
"142040","144980"," arriver au niveau de la brèche, puis bien"
"144980","147060"," sûr il va y avoir une étape de"
"147060","151180"," sécrétion plaquetaire et par la suite avec la"
"151180","155700"," présence d'ADP, une agrégation plaquetaire qui est"
"155700","157260"," réversible, c'est ce qu'on appelle le"
"157260","158440"," clou plaquetaire. "
"158900","161660"," Et en fait à ce niveau se terminent"
"161660","163160"," les hémostases primaires."
"164160","169040"," La deuxième étape qui est l'hémostase secondaire,"
"169220","171720"," c'est un ensemble de réactions enzymatiques qui"
"171720","176940"," se fait en cascade pour aboutir à la"
"176940","180980"," consolidation du thrombus plaquetaire en fibrine qui est"
"180980","181940"," insoluble."
"181940","184100"," Donc c'est la transformation de l'état"
"184100","186740"," physique du son d'un état filhuide à"
"186740","189880"," un état de gel en passant par différentes"
"189880","192440"," étapes qui sont finement régulées par des mécanismes"
"192440","194480"," d'amplification et d'inhibition qu'on va"
"194480","195760"," voir sur le schéma. "
"195760","199800"," Alors la coagulation ou l'hémostase secondaire se"
"199800","201480"," fait par deux voies."
"201660","204620"," La voie exogène quand il y a sécrétion"
"204620","208620"," du facteur tissulaire avec la présence du calcium"
"208620","212040"," va activer le facteur 7 et qui va"
"212040","215840"," par la suite activer le facteur 10 et"
"215840","218980"," par la suite former le complexe prothrombinase."
"218980","220300"," On va voir ce qu'il va faire. "
"220980","224780"," Ce complexe prothrombinase aussi peut être activé par"
"224780","229160"," la voie endogène qui nécessite la présence d "
"229160","231360","'activation de pré-calécrine."
"231620","235500"," Calécrine une fois activée va activer le facteur"
"235500","238860"," 13 et le facteur 13 lui-même une"
"238860","242000"," fois activé va activer le facteur 11."
"242000","245700"," Le facteur 11 activé va activer le facteur"
"245700","248560"," 9 par la suite qui va en présence"
"248560","251180"," du calcium va activer le facteur 10. "
"251340","255200"," En facteur 10 activé en présence du facteur"
"255200","258920"," 5 et du facteur 8 activé bien sûr"
"258920","264780"," va transformer le facteur 2 en fibrinogène, en"
"264780","269140"," thrombine et la thrombine activée va transformer le"
"269140","270980"," pré-fibrinogène en fibrine."
"270980","276580"," Cette fibrine en présence du facteur 13 activé"
"276580","281340"," va venir consolider la fibrine et la rendre"
"281340","282340"," insoluble."
"282660","284600"," C'est en fait la phase où on"
"284600","291780"," l'appelle caillot rouge ou fibrine stable qui"
"291780","292660"," est insoluble. "
"292660","300260"," La troisième étape qui intervient après la réparation"
"300260","302400"," de la brèche vasculaire, c'est normalement un"
"302400","306340"," processus physiologique qui permet la disparition du caillot"
"306340","311080"," sanguin pour maintenir une perméabilité vasculaire, nécessite l "
"311080","316040","'activation de la plasmine à partir du plasminogène"
"316040","319860"," qui vient dégrader la fibrine en produit de"
"319860","321340"," dégradation de fibrine."
"321340","326440"," Toutes ces étapes se font généralement à l "
"326440","329360","'état physiologique chez tout le monde."
"330780","335260"," Quand on a un problème d'hémostase à"
"335260","339360"," n'importe quelle étape suscitée, on va avoir"
"339360","342220"," comme expression clinique de l'hémorragie. "
"342220","347220"," Mais toute hémorragie ne veut pas dire toujours"
"347220","349060"," un trouble de l'hémostase."
"349400","351720"," C'est pour ça que ça nécessite une"
"351720","357280"," exploration et une démarche diagnostique vraiment stéréotypée à"
"357280","359620"," partir de recherches de certains éléments à l "
"359620","362440","'anamnèse avec des éléments qu'on cherche à"
"362440","365100"," l'examen clinique et par la suite à"
"365100","370260"," définir certains bilans pour déterminer les étiologies qui"
"370260","372040"," sont en fait très fréquentes."
"372220","375540"," C'est un phénomène qui est fréquent en"
"375540","378680"," pédiatrie et qui nécessite vraiment une démarche diagnostique"
"378680","379220"," rigoureuse. "
"380220","383900"," A l'étape de l'interrogatoire, quels sont"
"383900","386120"," les éléments qu'on peut rechercher et qui"
"386120","390980"," peuvent orienter vers le trouble concernant l'une"
"390980","393660"," ou l'autre étape de l'hémostase ?"
"393660","397580"," On cherche d'abord les antécédents hémorragiques personnels,"
"398100","401140"," à savoir la date de début, le type"
"401140","404800"," de saignement qui peut déjà orienter vers une"
"404800","409880"," étape, on va voir après, le caractère spontané"
"409880","412220"," ou provoqué, par exemple à l'occasion de"
"412220","414420"," ponctions, de prélèvements ou à l'occasion d "
"414420","418000","'une chirurgie, l'hémorragie chez la jeune fille"
"418000","421840"," et leur abondance et surtout, des fois, un"
"421840","424700"," antécédent de traitement pour un inmuni ou traitement"
"424700","425400"," par le fer."
"426380","429700"," Les antécédents hémorragiques familiaux, ça nous permet de"
"429700","433680"," déterminer ou de dessiner un art généalogique s "
"433680","435420","'il y a un cas dans la famille"
"435420","439400"," et aussi l'interrogatoire permet de préciser s "
"439400","440720","'il y a une prise récente d'un"
"440720","442380"," certain médicament comme des antiplaquettés."
"443780","447100"," A la phase clinique ou à l'examen"
"447100","451260"," clinique, on devrait déterminer quel type d'hémorragie"
"451260","454460"," on a, que ce soit des hémorragies cutanéomyqueuses,"
"454580","457780"," à savoir un purpura, que ce soit pétéchiale"
"457780","462720"," ou équimotique ou des hémorragies myqueuses, épistaxis ou"
"462720","466720"," autres, des équimoses, des hémorragies articulaires ou les"
"466720","470820"," martroses, l'hémorragie et l'été en post "
"470820","473220","-ponction ou à l'occasion d'une chirurgie"
"473220","475460"," et puis surtout préciser s'il n'y"
"475460","478720"," a pas les signes hémorragiques de gravité, à"
"478720","479730"," savoir les troubles neurologiques. "
"480730","483670"," Aussi on peut chercher des signes d'anémie"
"483670","487790"," ou d'une carence martiale, des signes d "
"487790","490790","'une pathologie sous-jacente qui peuvent déterminer déjà,"
"490870","493830"," qui peuvent orienter vers une pathologie ou un"
"493830","496250"," trouble de l'hémostase acquis, à savoir dans"
"496250","499730"," le cadre d'une insuffisance hépatique, insuffisance rénale"
"499730","502890"," ou là le contexte est vraiment parlant."
"502890","507890"," Ou on peut avoir juste l'examen à"
