"start","end","text"
"580","2260"," Chers étudiants, bonjour."
"2880","4840"," J'ai le plaisir de présenter aujourd'hui"
"4840","6700"," les ectoparasitoses cutanées."
"7220","10400"," Ce cours intéressera les peaux et la gale"
"10400","13780"," humaine, qui constituent des motifs fréquents de consultations"
"13780","14660"," en dermatologie. "
"15300","18940"," Ces deux dermatoses parasitaires, cosmopulites et contagieuses, ont"
"18940","20260"," une incidence croissante."
"20980","23400"," Les peaux atteignent les enfants au nage scolaire,"
"23460","25660"," mais aussi les adultes dans des situations de"
"25660","26320"," précarité."
"27100","29720"," La gale évolue par épidémie, notamment dans les"
"29720","32020"," maisons de retraite et les hôpitaux gériatriques. "
"32720","36060"," Les difficultés diagnostiques et thérapeutiques sont variables selon"
"36060","37580"," l'âge et le terrain des patients."
"38280","40220"," Sur le plan prise en charge, le Bénizoua"
"40220","42800"," de Bénizé, le Restomaroc, le traitement de référence"
"42800","45400"," de la gale, les péritrines et le malatium"
"45400","47920"," offrent un large panel thérapeutique en matière de"
"47920","48640"," pédiculose."
"52210","54150"," Au terme de ce cours, vous devriez être"
"54150","57610"," capables de diagnostiquer une gale et une pédiculose,"
"57610","60110"," et bien sûr, de savoir traiter une gale"
"60110","61090"," et une pédiculose. "
"63110","65070"," Nous allons commencer par la gale."
"65550","67390"," La gale humaine est due à la contamination"
"67390","70510"," de la peau par un acarien du genre"
"70510","72750"," Sarkox cavilli, varité hominis."
"73170","75810"," La réaction de l'organisme contre les Sarkox"
"75810","78350"," et leur déjection expliquent la plupart des signes"
"78350","78930"," cliniques. "
"79550","81450"," C'est une infection mondiale liée aux conditions"
"81450","83950"," d'hygiène régimentaires et à la promiscuité."
"84430","86410"," Il faut noter que la transmission est inter "
"86410","88930","-humaine et peut être par contact direct ou"
"88930","89310"," indirect."
"90750","93930"," Les modalités de la transmission sont étroitement liées"
"93930","95570"," aux caractéristiques de l'acarien. "
"95930","98410"," C'est un acarien femelle qui est responsable."
"99030","101350"," Celui-ci a une bonne mobilité pour des"
"101350","103610"," températures de 25 à 30 degrés Celsius."
"104290","106370"," Il peut se déplacer facilement à la surface"
"106370","108590"," de la peau de plusieurs centimètres par heure"
"108590","110990"," et il est tué très rapidement par des"
"110990","113170"," températures de 55 degrés Celsius. "
"113670","116690"," Il perd sa mobilité en dessous de 20"
"116690","119630"," degrés Celsius et meurt en 12 à 24"
"119630","119910"," heures."
"120530","122390"," La période d'incubation est de l'ordre"
"122390","123330"," de trois semaines."
"123690","126090"," Elle est plus courte en cas de réinfestation. "
"126570","128630"," Le cycle parasitaire a une durée de l "
"128630","130850","'ordre de 20 jours mais en règle générale"
