"start","end","text"
"10","3230"," Bonjour, donc le cours d'aujourd'hui est"
"3230","4450"," intitulé l'acné."
"6640","10160"," Les objectifs de ce cours, c'est donc"
"10160","12180"," après ce cours, l'étudiant doit être capable"
"12180","14500"," de diagnostiquer l'acné, donc l'acné il"
"14500","18260"," est de diagnostic clinique, facile, reconnaître les formes"
"18260","22820"," graves de l'acné, donc les acnés sévères,"
"23060","27580"," l'acné mondialoquistique et l'acné fulminance, expliquer"
"27580","31000"," les mécanismes physiopathologiques de l'acné, traiter les"
"31000","34520"," formes non graves, citer les principes du traitement"
"34520","35580"," des formes graves."
"38920","45450"," L'acné est une pathologie fréquente, c'est"
"45450","49350"," une maladie fréquente de follicules pylosébacées, ce que"
"49350","52190"," vous voyez ici, donc vous avez la glande"
"52190","58090"," sébacée, vous avez le canal sébacé, donc là"
"58090","60750"," c'est une pathologie des follicules pylosébacées. "
"61550","63870"," Il touche, l'acné touche 80% des"
"63870","69650"," adolescents, mais uniquement 10% de ces adolescents"
"69650","73890"," nécessitent un avis, une prise en charge médicale."
"74050","77170"," Les formes graves représentent 1%, les formes graves,"
"77210","79070"," on parle des formes graves, surtout donc l "
"79070","83090","'acné mondialoquistique, on appelle donc l'acné conglobata"
"83090","85350"," et l'acné fulminance."
"87940","92180"," Donc le pic de fréquence chez les filles,"
"92320","95940"," il est de 14 à 16 ans, et"
"95940","97960"," chez les garçons c'est entre 16 et"
"97960","98600"," 17 ans. "
"100180","102860"," Il faut savoir que l'acné peut persister"
"102860","105860"," chez les femmes après un certain âge, donc"
"105860","107920"," après 25 ans jusqu'à 40 ans, et"
"107920","109260"," ça touche 20% des femmes."
"112130","116430"," L'acné est une maladie, en général c "
"116430","118090","'est une maladie bénigne, mais il faut faire"
"118090","118530"," attention."
"119430","122330"," L'acné peut retentir sur la qualité de"
"122330","122510"," vie. "
"124410","127090"," Donc il y avait des cas de suicide"
"127090","131510"," chez les adolescents acnéiques, donc il faut faire"
"131510","134110"," attention, il ne faut pas sous-estimer cette"
"134110","140330"," maladie, donc il faut écouter vos patients et"
"140330","141290"," il faut les traiter."
"144180","146400"," Sur le plan physiopathologique, il y a trois"
"146400","147960"," éléments qui sont importants."
"148880","151740"," Il y a la séborée, l'hyper séborée,"
"152120","153620"," donc là c'est la glande sévacée qui"
"153620","157400"," secrète le sébum, on parle d'hyper séborée,"
"158120","160560"," et puis vous avez le trouble de la"
"160560","167000"," kératinisation infendibulaire, et ce canal sévacé sera bouché,"
"167300","171440"," il y aura fermeture, et après il y"
"171440","174580"," aura stagnation du sébum et du kératinocyte, et"
"174580","179720"," une inflammation folliculaire secondaire, où il y a"
"179720","182240"," l'intervention de la flore bactérienne, surtout du"
"182240","184060"," proprio bactérium acnéis. "
"186850","189270"," L'élément le plus important, c'est l "
"189270","192330","'hyper sécrétion sévacée, donc faite par la glande"
"192330","200870"," sévacée, stimulée par la dihydrotestostérone, dihydrotestosterone, c'est"
"200870","203950"," un dérivé de la testostérone, donc sous l "
"203950","206790","'enzyme 5-alpha-riductase, qui va transformer la"
"206790","209950"," testostérone en dihydrotestosterone, et il y aura une"
"209950","212130"," stimulation de l'hyper sécrétion sévacée."
"212530","214790"," L'origine de la testostérone, vous avez la"
"214790","218230"," dihydro-épiandrosterone, et la testostérone secrétée par les"
"218230","220890"," testicules chez le sujet masculin et les ovaires"
"220890","224610"," chez la femme, les urinales sécrètent la dihydro "
"224610","225950","-épiandrosterone."
"230170","234060"," Pour récapituler, voici les étapes de la physiopathologie"
"234060","234700"," de l'acné. "
"235140","237100"," Donc première étape, l'hyper sévorée."
"237620","239620"," L'hyper sévorée, c'est à cause de"
"239620","242640"," cette glande sévacée qui va sécréter le sébum"
"242640","248280"," de façon importante, donc de façon importante, et"
"248280","252840"," cette sécrétion, elle est due à l'augmentation"
"252840","257820"," du nombre et de la sensibilité des récepteurs"
"257820","261480"," au dihydrotestostérone, mais également au niveau de la"
"261480","263520"," glande sévacée, il y a d'autres récepteurs,"
"263680","266940"," surtout les récepteurs au neuromédiateur, surtout la substance"
"266940","271480"," P, donc ce qui explique qu'en général,"
"272240","274720"," les adolescents font beaucoup de poussées d'acné"
"274720","277140"," pendant les périodes de stress, par exemple pendant"
"277140","278340"," les périodes d'examen."
"279040","281080"," C'est à cause de ces récepteurs au"
"281080","282260"," neuromédiateur. "
"283340","287040"," Donc la deuxième étape, c'est l'obstruction"
"289100","293160"," de l'infandibulant, du canal infandibulaire."
"294020","296440"," Donc cette obstruction est due à un trouble"
"296440","301200"," de la kératinisation, à une production excessive des"
"301200","305380"," kératinocytes, et il y aura une obstruction avec"
"305380","309540"," formation des micro-quistes qu'on appelle les"
"309540","310680"," micro-comédons."
"312990","315930"," Donc cette obstruction est secondaire à des modifications"
"315930","320270"," qui atteignent les kératinocytes, vous avez des modifications"
"320270","325570"," des intégrines, il y aura une production importante"
"325570","330810"," d'un interleukin 1α par les kératinocytes, ce"
"332380","336720"," qui va augmenter le chimiotaxisme du polynucléaire. "
"337340","339720"," Il y a également une diminution de la"
"339720","341820"," concentration de l'acide lénolique."
"344340","347220"," Donc tout ceci aboutit à l'obstruction et"
"347220","349200"," à la formation des micro-comédons."
"351990","355330"," La troisième étape, c'est l'étape inflammatoire. "
"356270","360750"," Cette inflammation est secondaire à la flore bactérienne"
"360750","364350"," qui existe au niveau du follicule pylocépaceae, donc"
"364350","366610"," sur tout le proprio bactérium acnes."
"367250","369870"," Il y a également des enzymes qui entretiennent"
"369870","373770"," cette inflammation, vous avez la lipase, les métalloprothéases,"
"374770","378930"," et vous avez donc des cytokines qui vont"
"378930","381210"," aggraver cette réaction inflammatoire."
"384810","389930"," Donc vous avez, pour récapituler, la stimulation androgénique"
"389930","394190"," qui va donner une sécrétion de la glande"
"394190","398110"," sébastée de sébum, une hyper-séborée, associée à"
"398110","402110"," une kératinisation infondibulaire, et puis vous avez l "
"402110","403690","'étape de l'inflammation où il y a"
"403690","407310"," l'intervention des coriognes bactéries anaerobes, sur tout"
"407310","409550"," le proprio bactérium acnes, et actuellement on a"
"409550","412130"," identifié d'autres coriognes bactéries. "
"413250","416330"," Il y a l'intervention des enzymes, la"
"416330","421390"," lipase, les métalloprothéases, l'activation des compléments, il"
"421390","425150"," y a donc une activation du chimiotaxisme du"
"425150","427730"," neutrophil, tout ceci va donner donc une inflammation."
"432930","436270"," Donc à partir de la physiopathologie, on va"
"436270","438870"," comprendre les présentations cliniques des patients."
"440630","443090"," Donc le patient, qu'est-ce qu'il"
"443090","444650"," aura comme lésion élémentaire?"
