"start","end","text"
"380","2320"," Dans le cadre des cours de sémiologie en"
"2320","8380"," relation avec l'appareil auditif, nous avons déjà"
"8380","11800"," vu les surdités, nous allons traiter maintenant un"
"11800","16860"," certain nombre de symptômes qui peuvent accompagner la"
"16860","18740"," surdité, en particulier les autalgies."
"20440","22620"," Les objectifs de ce cours sont tout d "
"22620","27040","'abord, comment définir une autalgie, deuxièmement savoir mener"
"27040","30660"," un examen, une anamnèse devant une autalgie."
"31860","34480"," Troisièmement, savoir mener un examen clinique devant une"
"34480","40740"," autalgie, comment différencier entre autodynie et autalgie réflexe,"
"41320","44000"," et enfin citer les différentes étiologies des autodynies"
"44000","45940"," et des autalgies réflexes. "
"46860","47860"," Alors, c'est quoi une autalgie?"
"48180","50440"," Par définition, c'est une douleur tout simplement"
"50440","51720"," ressentie au niveau de l'oreille."
"52180","54160"," Ces étiologies sont diverses."
"54160","56120"," Ça peut être des lésions au niveau de"
"56120","59260"," l'oreille ou une lésion au niveau de"
"59260","61820"," la sphère ORL avec un examen de l "
"61820","62920","'oreille tout à fait normal. "
"63580","66060"," C'est ce qui nous permet d'emblée"
"66060","72080"," de différencier entre autodynie où l'autalgie est"
"72080","74520"," associée à une lésion au niveau de l "
"74520","78520","'oreille et une autalgie réflexe où l'autalgie"
"78520","82220"," s'accompagne avec un examen de l'oreille"
"82220","83440"," tout à fait normal."
"84240","87720"," Et à ce moment là, le plus souvent,"
"87820","91560"," la lésion siège au niveau de la sphère"
"91560","92560"," ORL."
"94890","97990"," Pour traiter ce cours, nous avons déjà parlé"
"97990","98750"," de l'introduction. "
"98870","102350"," Nous allons traiter les données anamnistiques devant une"
"102350","103070"," autalgie."
"104510","107050"," Comment mener un examen clinique d'une autalgie?"
"108030","111290"," Et quels sont les étiologies des autalgies?"
"112730","116250"," L'anamnèse d'un patient présentant une autalgie"
"116250","118330"," doit s'acquérir de son âge et de"
"118330","118970"," son sexe."
"119110","121330"," Parce qu'une autalgie chez un enfant a"
"121330","123670"," des étiologies bien particulières par rapport à l "
"123670","124670","'autalgie chez l'adulte. "
"126760","131640"," Les antécédents, plus particulièrement les antécédents autologiques d "
"131640","136120","'autites moyennes chroniques, qui peut justifier la réapparition"
"136120","139120"," de la douleur lors d'une surinfection."
"141330","144150"," La présence d'une maladie de la sphère"
"144150","147410"," ORL, plus particulièrement la maladie néoplasique au niveau"
"147410","150410"," du larynx ou du pharynx qui sont déjà"
"150410","150810"," traités."
"153200","157460"," Et les antécédents généraux du patient, en particulier"
"157460","160260"," l'existence ou non d'un diabète chez"
"160260","160740"," le patient. "
"163420","165480"," Est ce que le patient présente des habitudes"
"165480","170500"," et des intoxications, plus particulièrement les intoxications tabagiques"
"170500","171200"," et alcooliques?"
"171820","174960"," Et l'usage de coton-tige pour le"
"174960","177060"," nettoyage des conduits auditifs externes."
"180070","183610"," Ensuite, on va s'intéresser à la douleur"
"183610","185150"," ou symptômes d'autalgie."
"186410","193000"," Pour rechercher les circonstances d'apparition, leur intensité,"
"195390","197770"," leur type, leur ancienneté. "
"199870","204170"," Leur unilatéralité ou bilatéralité et leur évolution dans"
"204170","204510"," le temps."
"204710","206110"," Est ce que c'est une autalgie qui"
"206110","208190"," est apparue et s'aggrave dans le temps?"
"208350","209890"," C'est une autalgie qui est apparue et"
"209890","213010"," qui est en train de diminuer ou bien"
"213010","214250"," qui est récidivante?"
"214430","216990"," Et bien sûr, en fonction des différentes situations,"
"217110","218790"," on a des étiologies particulières."
"221840","224100"," Mais le plus important sur le plan anamnistique,"
"224200","226660"," c'est la recherche des signes accompagnateurs, plus"
"226660","229420"," particulièrement l'existence d'un prurite auriculaire. "
"230700","234860"," Justifiant un grattage au niveau de l'oreille,"
"237260","242060"," des otorhées, une hypoacousie ou une surdité."
"243600","251310"," Des acouphènes, des vertiges et des signes accompagnateurs"
"251310","254630"," en dehors de l'appareil auditif, plus particulièrement"
"254630","260690"," en rapport avec une dysphagie, une dysphonie et"
"260690","262430"," l'existence d'un syndrome fébrile."
"264000","267360"," Tous ces signes accompagnateurs vont nous orienter d "
"267360","272680","'emblée sur l'appareil où pourrait exister une"
"272680","273240"," anomalie. "
"273560","275360"," Et bien sûr, qui va nous permettre de"
"275360","280440"," distinguer entre autodynie et entre autalgie réflexe."
"281140","285240"," L'examen clinique du patient sera focalisé sur"
"285240","289580"," l'examen otologique avec l'examen du pavillon"
"289580","291180"," de l'oreille qui peut être tout à"
"291180","291660"," fait normal."
"291660","295040"," Nous avons mis là une photo d'une"
"295040","298960"," situation anormale avec la présence déjà de l "
"298960","301580","'explication de l'autalgie par la présence d "
"301580","305100","'une tumefaction hématique. "
"305740","307260"," C'est ce qu'on appelle l'othématome"
"307260","308700"," du pavillon de l'oreille."
"309660","313500"," Un examen otoscopique qui va permettre de visualiser"
"313500","318920"," le conduit auditif externe et la membrane tympanique"
"318920","321840"," et qui va nous permettre de juger de"
"321840","325700"," leur normalité ou de leur pathologie."
"327360","328880"," Expliquons l'othalgie. "
"328880","333520"," L'examen clinique doit s'intéresser par la"
"333520","335700"," suite à l'examen de la cavité buccale"
"335700","339020"," et du pharynx à la recherche d'une"
"339020","342960"," lésion justifiant une douleur projetée au niveau de"
"342960","343300"," l'oreille."
"343440","344880"," Le cadre des autalgie réflexe."
"344880","348460"," Un examen de l'hypopharynx et du larynx"
"348460","350000"," par la laryngoscopie indirecte. "
"350600","352360"," Comme vous voyez sur cette photo du bas"
"352360","355420"," où le médecin peut visualiser grâce au miroir"
"355420","359060"," laryngé, les cordes vocales, le larynx, la margine"
"359060","359640"," laryngée."
"359780","364740"," Bien sûr, l'hypopharynx pour voir est ce"
"364740","366200"," qu'il y a une lésion justifiant cette"
"366200","366800"," otalgie."
"366800","370620"," L'examen du cavum qui pourrait se faire"
"370620","373880"," par la nasophibroscopie à travers les fosses nasales"
"373880","375460"," et à travers les courants. "
"375520","379120"," On peut aller rejoindre et examiner le cavum"
"379120","380820"," qui va nous permettre d'avoir une idée"
"380820","383100"," de l'existence ou pas d'une lésion."
"383600","385720"," L'examen de l'articulé dentaire."
"386660","389260"," Qui, en cas d'anomalie, peut nous expliquer"
"389260","392460"," l'existence de douleurs au niveau des articulations"
"392460","393800"," temporomandibulaires. "
"394140","397360"," Dans le cadre du syndrome algodistrophique des ATM"
"397360","400820"," et on terminera par l'examen des percraniennes,"
"400900","403540"," en particulier de la cinquième, septième, neuvième et"
"403540","404540"," dixième percranienne."
"404540","411460"," Les éthiologies des otalgies vont nous permettre de"
"411460","414560"," différencier en deux grandes situations, à savoir les"
"414560","415880"," otalgies primitives."
"416180","417680"," Ce qu'on appelle aussi les otodynies. "
"418720","421980"," Dans ce cadre là, l'otalgie est associée"
"421980","426280"," à une lésion au niveau de l'oreille,"
"427000","429480"," plus particulièrement au niveau du pavillon de l "
"429480","432560","'oreille ou au niveau du conduit auditif externe"
"432560","434140"," ou au niveau de l'oreille moyenne."
"435140","437700"," Au niveau du pavillon de l'oreille, la"
"437700","443080"," lésion peut être d'origine traumatique, à savoir"
"443080","447860"," par exemple la présence d'un otématome, d "
"447860","451340","'origine infectieuse telle que la péricondrite du pavillon"
"451340","454840"," de l'oreille ou une lésion tumorale, qu "
"454840","456620","'elle soit bénigne ou maligne."
"463320","466560"," Le conduit auditif externe peut être aussi le"
"466560","469080"," siège de lésions dans le cadre des otodynies. "
"469880","473360"," Ces lésions peuvent être traumatiques, par l'usage"
"473360","476860"," de cotons-tiges, par exemple, infectieuses dans le"
"476860","480120"," cadre des otites externes, qu'elles soient simples"
"480120","485240"," ou malignes ou nécrosantes, par la présence aussi"
"485240","487740"," d'un furoncle du conduit auditif externe ou"
"487740","491580"," d'un zona de la région de Ramsey "
"491580","492240","-Hind."
"493260","497480"," Vous voyez sur cette photo du haut, vous"
"497480","501100"," avez une otite externe avec une inflammation de"
"501100","504640"," la région de Ramsey-Hind, bien sûr, pouvant"
"504640","506540"," faire évoquer un zona."
"507660","510620"," Ou secondaire à une lésion tumorale du conduit"
"510620","512900"," auditif externe, vous comprenez très bien qu'avec"
"512900","516220"," l'examen otoscopique, on peut visualiser l'étiologie"
"516220","518799"," de cette otalgie dans le cadre de l "
"518799","519240","'otodynie. "
"520299","522760"," Les lésions de l'oreille moyenne qui peuvent"
"522760","526180"," expliquer une otodynie peuvent être d'origine infectieuse,"
"526280","529080"," telles que les otites moyennes aiguës."
"529460","531560"," Par exemple, ici, vous voyez une otite moyenne"
"531560","535200"," aiguë ou congestive avec une inflammation au niveau"
"535200","540620"," du manche, du marteau et du shrapnel, ou"
"540620","543460"," une otite moyenne chronique en phase de réchauffement"
"543460","544560"," par surinfection."
"544560","549640"," D'origine traumatique telle que les perforations tympaniques"
"549640","554600"," post-traumatiques, au cours duquel on retrouve une"
"554600","558660"," perforation à bord rectiligne avec un nématome de"
"558660","559740"," la membrane tympanique. "
"561080","565100"," Et la possibilité relativement rare des tumeurs de"
"565100","567160"," la caisse du tympan qui peuvent justifier cette"
"567160","567680"," otodynie."
"569760","574460"," Les deuxièmes étiologies des otalgies sont représentées par"
"574460","578960"," les otalgies réflexes, au cours duquel l'examen"
"578960","582180"," otoscopique et l'examen du pavillon sont tout"
"582180","583000"," à fait normal."
"583000","587770"," La cause de ces otalgies réflexes peuvent se"
"587770","592620"," situer au niveau de la cavité buccale, au"
"592620","595540"," niveau duquel on peut retrouver une carie dentaire. "
"596920","600320"," Ou une lésion de la langue, plus particulièrement"
"600320","602060"," un cancer de la langue qui peut se"
"602060","605050"," manifester comme premier symptôme par une otalgie réflexe."
"606050","609950"," Des lésions au niveau du loropharynx, plus particulièrement"
"609950","616570"," une inflammation des amygdales palatines suite à une"
"616570","617050"," angine."
"617690","621410"," Ou une tumeur de cet amygdale palatine relatant"
"621410","623410"," d'une otalgie réflexe unilatérale. "
"623410","629050"," Une lésion de l'hypopharynx du larynx recherchant"
"629050","631810"," une tumeur maligne, comme vous voyez sur cette"
"631810","633730"," photo du bas, où on voit au niveau"
"633730","636790"," de la margine laryngée l'existence d'une"
"636790","641130"," lésion tumorale étendue au sinus périforme."
"642270","646030"," Le premier symptôme dans ce cadre là, ça"
"646030","649770"," peut être une otalgie réflexe avec parfois un"
"649770","651230"," accrochage alimentaire."
"652510","657410"," Au niveau du cavam, on recherchera comme éthiologie"
"657410","659830"," de ces otalgie réflexe une tumeur. "
"660090","661470"," Le plus souvent, il s'agira d'une"
"661470","662330"," tumeur maligne."
"663230","668570"," Et au niveau de l'articulation temporomandibulaire, le"
"668570","671790"," syndrome algodistrophique de l'ATM donnant un craquement"
"671790","675350"," au niveau de l'articulation temporomandibulaire peut être"
"675350","677610"," à l'origine d'otalgie réflexe avec des"
"677610","679370"," douleurs projetées au niveau de l'oreille."
"681640","685260"," Le rachis cervical peut être une cause d "
"685260","687880","'une otalgie réflexe dans le cadre du rachis"
"687880","692280"," arthrosique, où la compression du nerf d'Arnold"
"692280","694860"," peut être secondaire à une névralgie d'Arnold. "
"695980","699520"," Et enfin, les différentes névralgies faciales peuvent être"
"699520","702080"," à l'origine de douleurs projetées au niveau"
"702080","704840"," de l'oreille, justifiant d'une otalgie réflexe."
"706120","709120"," En conclusion, devant une otalgie, vous concevez très"
"709120","711160"," bien qu'avec les données anamnistiques et l "
"711160","713900","'examen clinique centré sur l'otoscopie et l "
"713900","716680","'examen de toute la sphère ORL, va nous"
"716680","719800"," permettre de différencier entre les deux grandes situations,"
"719960","721520"," otodynie et otalgie réflexe."
"721520","725000"," Otodynie, où l'appareil auditif présente une lésion,"
"725820","729380"," ou dans le cadre de l'otalgie réflexe"
"729380","731500"," où l'appareil auditif ou l'otoscopie est"
"731500","733340"," tout à fait normal, le pavillon est normal. "
"734420","737120"," Et une fois que nous aurions différencié entre"
"737120","739260"," les deux situations, on pourra à ce moment"
"739260","743140"," là se pencher sur les étiologies qui vont"
"743140","745660"," être dans le cadre de l'otodynie essentiellement"
"745660","748420"," représentées par des lésions du pavillon, du conduit"
"748420","749660"," ou de l'oreille moyenne."
"749660","752300"," Et dans le cadre des otalgie réflexe, toutes"
"752300","754500"," les lésions de la sphère ORL et plus"
"754500","757400"," particulièrement de la cavité buccale, de l'oropharynx,"
"757460","760460"," de l'hypopharynx, larynx, du cavum, mais aussi"
"760460","765120"," de l'articulation temporomandibulaire ou du rachis cervical"
"765120","769120"," et qui peuvent justifier d'une douleur projetée"
"769120","770040"," au niveau de l'oreille."
"771300","772120"," Je vous remercie. "
"772120","775480"," Bonjour, après avoir vu les."
"776740","781040"," Les surdités et les otalgies, nous allons s "
"781040","784740","'intéresser à un cours en relation avec les"
"784740","790440"," autorées qui va nous permettre de définir ses"
"790440","790860"," objectifs."
"792420","795060"," Tout d'abord, comment définir une autorée?"
"797230","800370"," Deuxièmement, savoir mener une anamnèse devant une autorée. "
"803060","806700"," Troisièmement, savoir mener un examen clinique devant une"
"806700","807160"," autorée."
"808160","812520"," Et quatrièmement, citer les différentes étiologies des autorées."
"814120","816080"," C'est quoi la définition d'une autorée?"
"816220","817920"," C'est tout simplement l'issue du liquide"
"817920","819500"," par le conduit auditif externe. "
"819700","823980"," Vous le voyez sur cette photo où le"
"823980","828300"," conduit auditif externe laisse couler un liquide qui"
"828300","830540"," peut être de nature différente en fonction des"
"830540","831000"," situations."
"831000","836000"," Pour traiter ce cours, après l'introduction, nous"
"836000","838900"," allons nous intéresser aux données anamnestiques d'une"
"838900","839360"," autorée."
"840540","842180"," L'examen clinique d'une autorée. "
"842340","844780"," Et enfin, on va citer un certain nombre"
"844780","846020"," d'étiologies des autorées."
"848180","851300"," L'anamnèse s'intéressera plus particulièrement à l "
"851300","852660","'âge et du sexe du patient."
"855190","858570"," Deuxièmement, aux antécédents du patient en particulier, l "
"858570","861490","'existence d'une otite moyenne aiguë récidivant, justifiant"
"861490","864070"," un épisode otitique récent. "
"864070","867770"," Et qui expliquait l'existence d'un écoulement"
"867770","870110"," par rupture de la membrane tympanique."
"870930","873670"," Une notion de mise en place d'aérateur"
"873670","876170"," transtympanique, justifiant une surinfection."
"877370","881070"," Une chirurgie de l'oreille moyenne, plus particulièrement"
"881070","883710"," une chirurgie d'une otite moyenne chronique simple"
"883710","885410"," ou cholestéatomateuse. "
"885510","887970"," Et bien sûr, les habitudes d'usage du"
"887970","888890"," coton tige."
"890460","893640"," Le caractère de l'autorée doit être précisé."
"894300","896900"," Est ce que sa nature est serreuse, muqueuse,"
"897660","899380"," purulente ou sanglante?"
"900580","901840"," Son abondance. "
"903760","905500"," Est ce qu'elle est minime ou très"
"905500","906000"," importante?"
"907080","908620"," Son odeur, est ce qu'elle est fade"
"908620","910280"," ou fétide?"
"910440","913040"," Parce que lorsqu'il s'agira d'une"
"913040","917300"," autorée fétide, il pourrait nous faire orienter vers"
"917300","918740"," le diagnostic d'otite cholestéatomateuse."
"920440","922300"," Son ancienneté, est ce qu'elle est récente"
"922300","924060"," ou est ce qu'elle est très ancienne?"
"925120","927160"," Sa permanence, est ce qu'elle est récidivante"
"927160","927720"," dans le temps?"
"927920","929960"," Son unilatéralité ou bilateralité?"
"930900","934000"," Et surtout ses circonstances déclenchantes, est ce qu "
"934000","935880","'elle est spontanée ou est ce qu'elle"
"935880","936580"," est provoquée?"
"936900","939320"," Et dans le cadre des autorées provoquées, on"
"939320","943700"," recherchera la notion de baignade ou de traumatisme"
"943700","946440"," du conduit auditif externe ou de l'oreille"
"946440","946860"," moyenne."
"948740","951040"," On s'intéressera aussi à la recherche de"
"951040","955640"," signes accompagnateurs, plus particulièrement le prurite auriculaire, les"
"955640","959120"," otalgies, les hypoacousies, les acouphènes et les vertiges. "
"960160","962740"," La présence ou pas d'un syndrome fibrile."
"963700","968720"," Et la présence d'une paralysie faciale périphérique"
"968720","971640"," pouvant bien sûr nous orienter dans un certain"
"971640","974720"," nombre de situations vers des étyologies bien particulières."
"976670","979970"," L'examen clinique s'intéressera à l'examen"
"979970","980950"," de l'autorée. "
"981170","981970"," Est ce qu'il s'agit d'une"
"981970","984610"," autorée serreuse et auquel cas ça va être"
"984610","988990"," une autorée incolore, inodore et fluide?"
"989970","992850"," Une autorée muqueuse ou l'autorée est gluante,"
"993290","994510"," incolore ou jaune clair?"
"995930","999930"," Une autorée franchement purulente ou l'autorée devient"
"999930","1002010"," jaune ou verdâtre et dont l'odeur doit"
"1002010","1002870"," être précisée?"
"1003050","1004470"," Est ce qu'elle est fade ou fétide?"
"1004470","1008190"," Et bien sûr, l'autorée sanglante ou seulement"
"1008190","1009230"," teinté de sang."
"1010510","1014150"," L'examen clinique du patient s'intéressera à"
"1014150","1016070"," l'examen du pavillon de l'oreille."
"1016810","1020490"," Ce qui parle plus particulièrement de la présence"
"1020490","1023290"," ou l'absence de la douleur à la"
"1023290","1024750"," mobilisation du pavillon. "
"1025650","1028670"," Qui pourrait nous expliquer l'existence d'une"
"1028670","1031390"," inflammation au niveau du conduit auditif externe et"
"1031390","1035050"," plus particulièrement comme éthiologie notite externe diffuse."
"1036530","1041530"," L'examen otoscopique examinera le conduit auditif externe"
"1041530","1044270"," à la recherche d'une inflammation ou d "
"1044270","1045530","'un furoncle du conduit."
"1046550","1048830"," L'examen de la membrane tympanique à la"
"1048830","1051010"," recherche d'une perforation tympanique. "
"1051010","1052730"," Comme c'est le cas à ce moment"
"1052730","1057570"," là avec issue de sérosité."
"1058790","1061130"," Ou bien dans le cas d'une notite"
"1061130","1064930"," moyenne aiguë perforée avec issue de liquide purulent."
"1067160","1071540"," Les éthiologies des autorées vont être totalement différentes"
"1071540","1075140"," en fonction de leur nature. "
"1075140","1078880"," Dans le cas des autorées muqueuses ou purulentes,"
"1079020","1082840"," l'éthiologie peut siéger au niveau de l "
"1082840","1086020","'oreille externe ou au niveau de l'oreille"
"1086020","1086520"," moyenne."
"1086680","1089820"," Au niveau de l'oreille externe, l'éthiologie"
"1089820","1093980"," qu'on peut rencontrer est une notite externe."
"1093980","1098300"," Qu'elle soit bactérienne ou mucosique avec une"
"1098300","1102400"," inflammation diffuse de la paroi du conduit auditif"
"1102400","1106840"," externe et la présence de sécrétion à son"
"1106840","1107520"," niveau. "
"1108940","1111920"," L'existence d'un furoncle du conduit auditif"
"1111920","1115480"," externe peut justifier l'autorée muqueuse ou purulente."
"1115480","1119620"," Au niveau de l'oreille moyenne, on peut"
"1119620","1122480"," avoir comme éthiologie d'autorée muqueuse ou purulente,"
"1122580","1124900"," une notite moyenne aiguë perforée, comme c'est"
"1124900","1129940"," le cadre sur cette photo du bas vers"
"1129940","1132340"," la gauche, c'est une notite moyenne aiguë"
"1132340","1133980"," collectée et perforée."
"1135180","1138940"," Une notite moyenne chronique cholestéatomateuse avec des sécrétions"
"1138940","1144400"," purulentes fétides, comme c'est le cas dans"
"1144400","1147020"," cette photo du bas de la droite. "
"1148260","1150560"," Ou un cancer de l'oreille moyenne qui"
"1150560","1154480"," est relativement beaucoup plus plus rare dans le"
"1154480","1157700"," cadre des éthiologies des autorées muqueuses ou purulentes."
"1159400","1162600"," Dans le cadre des autorées sanglantes, on retrouvera"
"1162600","1166640"," essentiellement les éthiologies traumatiques au niveau du conduit"
"1166640","1170240"," auditif externe par une plaie qui peut être"
"1170240","1173140"," secondaire à l'usage des côtes ou tiges,"
"1173280","1173840"," par exemple."
"1174960","1179000"," Une pervoration traumatique du tympan, vous voyez ici"
"1179000","1183900"," avec des bords rectilignes, un hématome de la"
"1183900","1184800"," membrane tympanique. "
"1186500","1188820"," Ils peuvent être d'origine infectieuse au niveau"
"1188820","1191440"," de l'oreille moyenne, tel que par exemple,"
"1191700","1194540"," les otites grippales avec flictènes qui vont, lors"
"1194540","1198740"," de leur rupture, donner un saignement à l "
"1198740","1201120","'attente d'une autorée sanglante ou dans le"
"1201120","1205420"," cadre des otites moyennes chroniques, plus particulièrement cholestéatomateuse"
"1205420","1210340"," avec polypes qui saignent souvent secondaire à des"
"1210340","1211980"," processus inflammatoires."
"1214770","1216610"," Dans le cadre de ces autorées sanglantes, on"
"1216610","1219330"," peut trouver comme éthiologie les tumeurs du conduit"
"1219330","1221650"," auditif externe ou de l'oreille moyenne de"
"1221650","1223510"," façon beaucoup plus rare."
"1224830","1227710"," Devant une autorée aqueuse, c'est-à-dire"
"1227710","1231770"," représentée par un liquide clair, inodore. "
"1234730","1237310"," Ces autorées aqueuses peuvent être secondaires à un"
"1237310","1240450"," issue du liquide céphalorachidien par le conduit auditif"
"1240450","1240910"," externe."
"1240930","1242450"," À ce moment-là, on va parler des"
"1242450","1246630"," autolichorées qui peuvent être d'origine traumatique dans"
"1246630","1249090"," le cadre des traumatismes crâniens avec fractures du"
"1249090","1253110"," rocher, faisant communiquer les espaces sous-arachnoïdiens avec"
"1253110","1256690"," les cavités de l'oreille moyenne et le"
"1256690","1260050"," conduit auditif externe ou d'éthiologie tumorale au"
"1260050","1261270"," niveau de la base du crâne et qui"
"1261270","1263630"," font communiquer la base du crâne avec les"
"1263630","1265090"," cavités de l'oreille moyenne et le conduit"
"1265090","1268810"," auditif externe, justifiant l'existence du liquide céphalorachidien"
"1268810","1270590"," au niveau du conduit auditif externe."
"1271350","1273730"," Donc, en conclusion, devant une autorée. "
"1275070","1278710"," La conduite à tenir va être différente en"
"1278710","1279870"," fonction de sa nature."
"1280050","1281790"," Est-ce qu'elle est séreuse, muqueuse, purulente"
"1281790","1282530"," ou sanglante?"
"1283190","1286450"," Les données anamnistiques et l'examen clinique centré"
"1286450","1290390"," sur l'examen otoscopique va le plus souvent"
"1290390","1295590"," nous permettre de différencier les différentes étiologies de"
