"start","end","text"
"5000","7920"," Bonjour, aujourd'hui on va voir le cours"
"7920","10200"," de la méningoencephalie tubarculeuse."
"10980","13100"," Les objectifs de ce cours sont de poser"
"13100","16400"," le diagnostic d'une méningoencephalie tubarculeuse en se"
"16400","19680"," basant sur des éléments cliniques et biologiques, de"
"19680","23120"," traiter et surveiller une méningoencephalie tubarculeuse et de"
"23120","25920"," révéler les complications possibles au cours de l "
"25920","28400","'évolution d'une méningoencephalie tubarculeuse."
"29540","33100"," La méningoencephalie tubarculeuse est une forme très sévère"
"33100","34220"," de la tuberculose. "
"35000","36960"," Elle produit ou laisse des séquelles neurologiques dans"
"36960","38140"," 50% des cas."
"38740","40340"," Elle peut survenir à tous les âges, avec"
"40340","43400"," prédilection des enfants et sur terrain d'immunodépressions,"
"43560","45820"," dont essentiellement l'infection par le virus d "
"45820","47060","'immunodéficience humaine."
"47580","51020"," La confirmation microbiologique qui était rare et souvent"
"51020","55900"," tardive a peut-être été améliorée par la"
"55900","60280"," biologie moléculaire, mais cette confirmation rare ou tardive"
"60280","62460"," ne doit jamais retarder la prise en charge"
"62460","64620"," dès la suspicion du diagnostic. "
"65600","68180"," Dans le monde et en 2015, il y"
"68180","70820"," avait 10,5 millions de cas de tuberculose"
"71300","74600"," dont 1,8 million de décès."
"75700","79880"," Parmi les premiers facteurs de mortalité chez les"
"79880","82600"," personnes infectées par le VIH, c'était la"
"82600","85700"," tuberculose qui était responsable de 35% des"
"85700","89540"," décès de séropositives en cette année."
"89540","92500"," Au Maroc, on compte à peu près 30"
"92500","97360"," 000 cas de tuberculose chaque année et à"
"97360","100040"," peu près la moitié de ces cas de"
"100040","103860"," tuberculose sont des localisations extra-pulmonaires. "
"104260","106740"," On trouve que la majorité qui est de"
"106740","110760"," 63% sont âgés entre 15 et 45,"
"110900","112900"," c'est-à-dire des jeunes et des"
"112900","115500"," gens actifs."
"116880","119500"," La majorité des cas, qui est de 87 "
"119500","121860","% des cas, appartiennent à 6 régions du"
"121860","126360"," Maroc, Casablanca, Stade, Rabassa, Liknetra, Tangier, Tétouan, Al "
"126360","129580","-Husseïma, Fes, Meknes, Marrakech, Safi, Issous, Massa."
"130640","135440"," La mylingo-encéphalie tuberculose représente 1% de"
"135440","137300"," toutes les formes de tuberculose. "
"138680","142000"," Alors comment se développe une mylingo-encéphalie tuberculose"
"142000","142620"," ?"
"142620","145620"," Le Mycobacterium tuberculosis gagne les méninges par voie"
"145620","147740"," sanguine à partir d'un foyer tuberculeux."
"148140","151860"," Il va réaliser souvent une mylingite postprimaire qui"
"151860","154640"," va se développer par la dissémination hématogène à"
"154640","156960"," partir d'un foyer de la primo-infection,"
"157520","158620"," qui est souvent pulmonaire."
"159100","161640"," Le délai de survenue après primo-infection est"
"161640","163280"," de 6 mois à 2 ans chez l "
"163280","165820","'adulte avec un maximum de 5 ans, mais"
"165820","167480"," il est de moins de 3 mois chez"
"167480","167840"," le nourrisson. "
"167840","171760"," Plus rarement, on peut avoir une mylingite tardive"
"171760","175920"," qui va se développer lors d'un réveil"
"175920","178460"," d'un foyer mylingo-encéphalique datant de la"
"178460","183140"," dissémination initiale, ou bien secondaire à une dissémination"
"183140","187260"," hématogène guéliolaire ayant pour point de départ le"
"187260","187920"," foyer primaire."
"189540","192020"," Le risque de développer une mylingite est d "
"192020","194620","'autant plus grand que la tuberculose est contractée"
"194620","196280"," dans les premières années de la vie."
"197800","201320"," Ce risque-là va baisser avec l'âge,"
"201420","204080"," avec une recrudescence à la puberté. "
"204680","209280"," Aussi, plus la lésion pulmonaire initiale est importante"
"209280","211740"," et sévère, comme c'est le cas d "
"211740","215420","'une infection pulmonaire étendue comme une millière, le"
"215420","217820"," risque est plus grand de développer une mylingo "
"217820","219020","-encéphalite tuberculose."
"219020","223280"," Aussi, les mauvaises conditions d'hygiène, comme la"
"223280","229080"," promiscuité, l'insalubrité, la malnutrition, le diabète, l "
"229080","231580","'infection par le virus de l'immunodéficience humaine"
"231580","233320"," qui augmente le risque de 20 à 30 "
"233320","237940","% à 30 fois de survenue de tuberculose."
"238400","242480"," Aussi, le fait de recevoir des immunosuppresseurs et"
"242480","246180"," l'alcoolisme, tout ça augmente le risque de"
"246180","248260"," développer une mylingo-encéphalite tuberculose. "
"249680","254100"," La mylingo-encéphalite tuberculose donne des lésions anatomopathologiques"
"254100","254900"," de trois types."
"255160","257680"," On a d'abord l'excudaminingé qui prédomine"
"257680","260060"," à la base du cerveau, qui va entourer"
"260060","263140"," l'origine des nerfs crâniens et être responsable"
"263140","267460"," de paralyser des nerfs crâniens, qui peut envoyer"
"267460","270160"," le plexus corruïde, il peut s'étendre aussi"
"270160","272280"," vers les citernes et les hémisphères."
"272280","277780"," Aussi, comme deuxième lésion anatomopathologique, on a les"
"277780","282620"," lésions vasculaires avec possibilité de multiples infarctus, d "
"282620","284300","'accidents vasculaires cérébraux. "
"285180","288020"," Aussi, comme troisième type, on a les troubles"
"288020","291820"," de l'hydraulique cérébrale, soit par défaut de"
"291820","295540"," résorption de liquide céphalorachidien, soit un blocage de"
"295540","299800"," sa circulation de ce liquide céphalorachidien avec la"
"299800","301700"," possibilité d'hydrocéphalie."
"304490","307490"," Le tableau clinique de l'améningon en céphalie"
"307490","312670"," tubarculose est caractérisé par la survenue avec installation"
"312670","314990"," très progressive des signes cliniques."
