"start","end","text"
"3660","4820"," Est-ce que vous m'entendez?"
"8260","10100"," C'est quoi la primo-infection tuberculose?"
"10220","13260"," La primo-infection tuberculose ou on l'appelle"
"13260","14920"," également tuberculose infection."
"21200","25220"," La primo-infection tuberculose c'est l'ensemble"
"25220","30800"," des manifestations immunologiques, cliniques ou radiologiques au rapport"
"30800","34100"," avec un premier contact du corps avec le"
"34100","35740"," BK, du poumon avec le BK."
"36540","38960"," C'est ça la primo-infection tuberculose. "
"40720","43900"," Donc, lors du premier contact avec le BK."
"44480","47240"," Oui, oui, Marwa, c'est bien."
"47720","50520"," Donc c'est souvent des manifestations immunologiques en"
"50520","55000"," premier, peut-être cliniques et peut-être radiologiques. "
"55140","57760"," Mais les manifestations surtout immunologiques."
"58080","60720"," J'insiste sur ce terme immunologique."
"61000","63060"," Il faut cocher ce terme immunologique. "
"64340","67780"," Deuxième question, quelles sont les formes de primo "
"67780","68440","-infection?"
"68620","70420"," Il y a deux formes de primo-infection."
"76750","77190"," Il y a deux formes."
"77590","79550"," Quelles sont ces deux formes?"
"83310","85050"," Il y a deux formes de primo-infection. "
"85590","87870"," Il y a une primo-infection et l "
"87870","88810","'autre primo-infection."
"90430","91810"," C'est quoi votre réponse?"
"95390","96730"," Les primo-infections connoisseuses."
"97330","100630"," Il y a la primo-infection latente et"
"100630","102610"," la primo-infection patente. "
"102610","105150"," Donc, il y a la primo infection latente"
"105150","107310"," et la promotion patente."
"107530","108090"," C'est correct."
"109130","111970"," La deuxième, quelle est la plus fréquente des"
"111970","112090"," deux?"
"112450","115070"," Quelle est la forme la plus fréquente des"
"115070","115330"," deux?"
"117660","119760"," La latente ou la patente?"
"126010","127949"," La plus fréquente, c'est la latente. "
"128070","129310"," C'est 90%."
"129310","131150"," Pratiquement 90%."
"131150","134830"," La primo infection tuberculeuse, il est latente. "
"135090","138070"," Donc, la forme clinique du primo infection la"
"138070","140470"," plus fréquente, c'est la forme latente."
"142310","144110"," Au Maroc, chez qui on voit la primo"
"144110","145430"," infection tuberculeuse?"
"145730","146810"," Est-ce qu'on la voit chez l "
"146810","148710","'enfant ou chez l'adulte?"
"151200","154820"," La primo infection tuberculeuse chez l'homme, est "
"154820","157620","-ce qu'on la voit au Maroc chez"
"157620","158720"," l'enfant?"
"159080","164910"," Et si on était un pays développé, qu "
"164910","167690","'elle sera, elle touche qui?"
"168420","171210"," Par exemple, au pays scandinave, au Danemark, au"
"171210","173750"," Canada, je ne sais pas, c'est plus"
"173750","175990"," l'adulte, l'adulte âgé."
"176030","177390"," C'est le sujet âgé. "
"178530","179610"," Il y a l'adulte qui est en"
"179610","181570"," état de santé, il est sujet âgé."
"181930","186490"," Mais au Maroc, la primo infection touche surtout"
"186490","187630"," l'enfant."
"188270","189950"," Surtout l'enfant. "
"191740","193420"," Donc, on rappelle qu'il y a deux"
"193420","194780"," formes de primo infection."
"195300","198400"," La primo infection latente la plus fréquente."
"199040","202320"," La primo infection patente avec des manifestations cliniques. "
"202900","207640"," Et au Maroc, la primo infection tuberculeuse touche"
"207640","210560"," essentiellement l'enfant."
"211260","213560"," Donc, dans la primo infection, vous avez un"
"213560","215700"," premier contact du BK avec le corps."
"216220","218600"," Il va être à l'origine d'un"
"218600","220400"," complexe primaire. "
"220960","224760"," Par quoi est constitué ce complexe primaire?"
"225840","228760"," Le complexe primaire dans la primo infection."
"229440","231280"," On parle de primo infection patente, surtout."
"232420","235540"," Le complexe primaire est composé par quoi?"
"236340","238840"," Par deux atteintes d'organes différents. "
"240800","243340"," Par ce qu'on appelle, ce qu'on"
"243340","243780"," appelle."
"245870","248130"," Donc, le complexe primaire, il est formé par"
"248130","248350"," quoi?"
"250030","253910"," Par le chancre d'onucléation et l'adénopathie"
"253910","254610"," satellite."
"254770","259589"," Donc, la primo infection patente, on aura des"
"259589","261830"," manifestations cliniques et radiologiques. "
"261990","264250"," Et parmi les manifestations radiologiques, on a ce"
"264250","266850"," qu'on appelle le complexe primaire qui est"
"266850","269510"," formé par le chancre d'onucléation et l "
"269510","271710","'adénopathie satellite."
"272470","274390"," Bravo, on a suivi bien."
"274970","277230"," Donc, nous avons ces questions. "
"280100","282760"," La forme patente, est ce que c'est"
"282760","283960"," la forme la plus fréquente?"
"286720","288380"," Est ce qu'il est souvent symptomatique?"
"289380","290760"," Plutôt la primo infection latente."
"291460","292680"," Est ce que c'est la forme la"
"292680","293400"," plus fréquente?"
"294500","296080"," Est ce qu'il est souvent symptomatique?"
"297080","298680"," Tout, surtout l'adulte au Maroc."
"299680","301620"," Peut être révélé par un érythème nouveau. "
"302300","304020"," La radiographie thoracique est normale."
"304580","308120"," Quel, quel, quel éthème vous avez coché?"
"308220","309220"," Quelle réponse vous avez coché?"
"309220","312940"," La primo infection latente est la forme la"
"312940","313740"," plus fréquente."
"314640","316280"," Souvent symptomatique. "
"316840","319500"," Touche surtout l'adulte au Maroc."
"319900","322160"," Peut être révélé par un érythème nouveau."
"322620","324920"," La radiographie thoracique est anormale. "
"332820","335180"," Le A, le B, le C, le D,"
"335440","335740"," le E."
"342660","346620"," Le complexe primaire, on le voit surtout dans"
"346620","347780"," les formes patentes."
"351880","353300"," Dans les formes patentes."
"354960","358380"," Les anomalies cliniques ou radiologiques, on les voit"
"358380","360000"," surtout dans les formes patentes. "
"363640","365640"," Le A, vous avez une seule réponse."
"368300","372240"," Donc la primo infection latente est la forme"
"372240","376100"," la plus fréquente parce qu'il représente 90%."
"376800","379760"," Elle est souvent asymptomatique. "
"379960","382040"," Elle est souvent asymptomatique."
"382520","385660"," Et touche surtout l'enfant au Maroc."
"386180","388340"," Il peut être révélé par un érythème nouveau. "
"388540","390440"," C'est la primo infection patente."
"390600","392720"," Les signes cliniques, vous avez la patente."
"393340","395500"," La radiographie thoracique, elle est normale. "
"396980","399280"," Donc vous avez la réponse A."
"399600","400680"," C'est la réponse A."
"403650","406130"," Donc on revient pour la primo infection patente."
"407790","408970"," Est ce que c'est la forme la"
"408970","409610"," plus fréquente?"
"409610","414120"," Est-ce qu'il peut réaliser un tableau"
"414120","416460"," qui va simuler la fièvre syphoïde?"
"417060","420440"," Ce qu'on appelle un tableau de pseudotyphique"
"420440","421540"," de l'endosie."
"422660","425340"," Est-ce qu'il peut être une chiato "
"425340","426120","-conjonctivite?"
"426260","427780"," Peut-être un signe révalateur. "
"429120","433120"," La primo infection patente peut être découverte radiologique."
"433800","435920"," Est-ce qu'il est souvent asymptomatique?"
"439310","442030"," La primo infection patente, est-ce qu'il"
"442030","442790"," est fréquente?"
"443650","446630"," Est-ce qu'il réalise un tableau pseudotyphique?"
"447430","450790"," La chiato-conjonctivite est un signe révalateur."
"451350","453050"," Il peut être découverte radiologique. "
"453190","454950"," Il est souvent asymptomatique."
"455290","456450"," Donc quelles réponses vous avez?"
"456770","457810"," Les réponses que vous avez?"
"464100","466380"," Oui, Marois, oui, Menel, oui."
"467340","467820"," Quoi d'autre?"
"469400","469920"," Oui. "
"470880","474260"," Donc, c'est le BLCD, donc si on"
"474260","474560"," en fait."
"476200","480000"," La primo infection, elle est moins fréquente que"
"480000","481720"," la primo infection latente."
"482660","486260"," Il réalise un tableau aigu qui représente un"
"486260","490160"," tableau pseudotyphique de l'endosie avec de la"
"490160","495460"," fièvre, des douleurs, des troubles digestifs, mais on"
"495460","498500"," n'avait pas la dissociation pour et fière"
"498500","501100"," et la langue n'est pas chargée et"
"501100","502500"," la sérologie de la fièvre et des troubles"
"502500","503340"," fluides est négative. "
"504020","506240"," Et les d'autres qui sont évocateurs, il"
"506240","506660"," y a deux."
"507140","510860"," La chiato-conjonctivite flectinulaire et l'irritem nouveau"
"510860","513419"," dans la forme primo infection patente."
"513919","517020"," L'irritem nouveau et la chiato-conjonctivite sont"
"517020","521240"," des signes évocateurs et traduits des phénomènes émino "
"521240","522299","-allergiques. "
"523000","525300"," On va dire traduits émino-allergiques."
"526780","529760"," La primo infection et la tuberculose maladie, c "
"529760","530200","'est autre chose."
"530260","532240"," La tuberculose maladie, c'est autre chose. "
"532380","534880"," La primo infection, c'est un premier contact"
"534880","538240"," de BK avec l'organisme."
"538380","543580"," Donc, ce sont surtout des manifestations éminologiques, cliniques"
"543580","544660"," et radiologiques après."
"545340","547840"," Après, on va voir la tuberculose maladie. "
"548060","549540"," On va faire une synthèse de la primo"
"549540","552040"," infection, de la tuberculose maladie, de la tuberculose"
"552040","552420"," aiguë."
"552420","556340"," On va faire un tour de table et"
"556340","558300"," pour bien comprendre."
"558600","561020"," Donc, si vous parlez de primo infection patente,"
"561380","562500"," elle est moins fréquente. "
"562640","563540"," Elle représente 10%."
"563980","568100"," Elle peut réaliser un syndrome qui peut simuler"
"568100","571380"," la fièvre typhoïde, un syndrome pseudotyphique, oui."
"572040","576140"," Des phénomènes émino-allergiques comme l'irritem nouveau"
"576140","580280"," et la chiato-conjonctivite flectinulaire est très évocatrice"
"580280","582060"," de la primo infection patente. "
"582420","585700"," Elle peut être de découverte radiologique."
"586120","589700"," Donc, la radio est anormale en cas de"
"589700","591920"," primo infection patente."
"592440","596140"," Elle est souvent symptomatique, contrairement à la primo"
"596140","597820"," infection latente. "
"598240","599560"," Est-ce que vous avez des questions jusque"
"599560","599780"," là?"
"600820","602360"," Est-ce que vous avez des questions?"
"603480","605040"," Il faut bien se concentrer sur ce que"
"605040","605320"," je dis."
"605860","608100"," Ce sont des mots, j'insiste de le"
"608100","608360"," dire."
"608360","612200"," Il faut bien, bien, bien se concentrer et"
"612200","614060"," bien retenir ce que je dis. "
"615400","618240"," Voici le complexe primaire."
"618460","621540"," Le complexe primaire, il est formé par ici,"
"622000","624140"," par le champ d'inoculation ici en bas"
"624140","626040"," et par les aides à neuropathie."
"628020","630160"," Voyez que le champ d'inoculation n'a"
"630160","634520"," pas de sièges particuliers, contrairement à la tuberculose"
"634520","637260"," ou les lésions qui siègent au niveau des"
"637260","637680"," semelles. "
"637680","639280"," Voici le champ d'inoculation."
"639700","643320"," Vous avez un champ d'inoculation avec des"
"643320","644020"," aides à neuropathie."
"644220","645400"," Il est ici comme ça. "
"646020","648720"," Et là, le champ et l'aide à"
"648720","653000"," neuropathie constituent ce qu'on appelle le complexe"
"653000","653500"," primaire."
"653780","657000"," Donc, le complexe primaire est constitué par le"
"657000","660480"," champ d'inoculation associé à des aides à"
"660480","662060"," neuropathie satellites."
"664600","666460"," Si vous avez des questions, n'hésitez pas"
"666460","667980"," à les mentionner pour que je vous réponde"
"667980","669260"," au fur et à mesure. "
"673210","676230"," Voici sur le plan radiologique plus sophistiqué, c "
"676230","679010","'est-à-dire sur les scanners, parce que"
"679010","681170"," les lésions en primo-infection, rarement qu'on"
"681170","684830"," les voit, on les voit surtout sur les"
"684830","685230"," scanners."
"685590","688010"," Vous voyez ce champ d'inoculation."
"694820","696980"," Le champ d'inoculation, celui-là. "
"700330","702090"," Vous voyez ce champ d'inoculation."
"702370","705310"," Et vous avez ces adénopathies avec une écrosse"
"705310","705890"," centrale."
"705890","707070"," Vous avez ce champ noir. "
"707330","709010"," C'est une écrosse centrale."
"717970","721830"," Donc, on va passer aux prochaines."
"722690","726030"," Lorsqu'on parle de la primo-infection tuberculeuse,"
"726650","730530"," vous devez ressortir le terme intradermoréaction à la"
"730530","731430"," tuberculine. "
"732630","734970"," Intradermoréaction à la tuberculine."
"735730","739050"," Donc, la primo-infection, son diagnostic se fait"
"739050","743370"," par l'intradermoréaction à la tuberculine."
"743650","748170"," Donc, lorsque vous voyez chapitre d'intradermoréaction de"
"748170","752670"," primo-infection, c'est l'intradermoréaction à la"
"752670","753370"," tuberculine. "
"753490","754930"," Il y a des tests de production de"
"754930","755730"," l'interferon gamma."
"755970","757570"," Ce sont des tests qui ont pratiquement l "
"757570","759810","'équivalent de l'intradermoréaction à la tuberculine."
"760210","762030"," Il permet de doser ou de rechercher l "
"762030","765230","'interferon gamma produit par les cellules mononucléaires. "
"765690","768930"," Donc, comment réaliser une intradermoréaction à la tuberculine"
"768930","769030"," ?"
"769030","769870"," C'est très facile."
"770410","772450"," C'est avoir 0,1 millilitre de la"
"772450","775870"," solution, une seringue à la face antérieure de"
"775870","778570"," l'avant-bras et vous avez une lecture"
"778570","780150"," 72 heures."
"780510","782010"," Vous recherchez quoi ?"
"782010","784070"," Par l'intradermoréaction à la tuberculine. "
"784690","788270"," Qu'est-ce que vous cherchez par l "
"788270","789630","'intradermoréaction à la tuberculine ?"
"789630","790930"," Qu'est-ce qui vous permet de chercher"
"790930","791810"," ?"
"796700","798380"," Qu'est-ce qui vous permet de chercher"
"798380","801180"," l'intradermoréaction à la tuberculine ?"
"803240","806460"," Lorsque vous réalisez l'intradermoréaction, vous cherchez quelque"
"806460","806820"," chose."
"806940","809480"," C'est quoi ce qui est enrougé ?"
"809480","810880"," On va mesurer cette induration."
"811460","813060"," Oui, c'est le masse, c'est bravo. "
"813560","816320"," L'hypersensibilité retardée."
"816420","820200"," On cherche l'hypersensibilité retardée et la lecture"
"820200","822240"," se fait à 72 heures."
"822420","825920"," Vous devez attendre 72 heures pour avoir le"
"825920","826780"," résultat. "
"827440","829760"," Est-ce que les valeurs de la positivité"
"829760","832660"," de l'intradermoréaction au Maroc sont équivalentes à"
"832660","840180"," celles en France, par exemple ?"
"840180","840760"," Les valeurs."
"842240","845260"," En France, c'est supérieur à 5 mm."
"845380","847000"," Au Maroc, c'est supérieur ou égal à"
"847000","847920"," 6 mm. "
"848200","849720"," Donc au Maroc, c'est supérieur."
"849840","854660"," Vous dites qu'une intradermoréaction tuberculose est positive"
"854660","858300"," lorsqu'elle est supérieure ou égale à 6"
"858300","858760"," mm."
"858940","861140"," Vous ne mesurez pas la rougeur, vous aurez"
"861140","862160"," l'induration. "
"862340","863380"," C'est l'indurationner au sens."
"863480","864240"," C'est ça que vous allez mesurer."
"864240","865900"," Ce n'est pas la rougeur du ritamone"
"865900","866220"," 1."
"866540","869280"," Vous avez cette papule que vous avez mesurée. "
"870460","875160"," Lorsque vous réalisez l'intradermoréaction, vous attendez un"
"875160","875920"," résultat."
"876780","879440"," Vous allez répondre si c'est une intradermoréaction"
"879440","884400"," positive ou si c'est une intradermoréaction négative."
"884960","887000"," Si elle est supérieure ou égale à 6"
"887000","890180"," mm et qu'elle est positive, est-ce"
"890180","892280"," qu'elle est inférieure à 6 mm si"
"892280","893400"," c'est négative ?"
"893400","896920"," Dans quelles sont les situations où l'intradermoréaction"
"896920","898860"," est positive ?"
"900750","902890"," Quelle situation ?"
"902890","906350"," L'intradermoréaction à la tuberculose est positive. "
"906730","911330"," Elle est supérieure ou égale à 6 mm."
"913820","915800"," Contacts avec le BK, oui."
"916020","918300"," La tuberculose, maladie, oui. "
"919520","921380"," Il vous reste autre chose, c'est quoi"
"922880","925020"," ?"
"925480","928740"," Contacts avec le BK, la vaccination BCG."
"929100","931420"," Donc, c'est trois situations cliniques."
"931960","934880"," Si vous êtes vacciné par le BCG, vous"
"934880","937120"," avez une intradermoréaction qui est positive. "
"937340","938720"," Nous sommes dans l'interrogatoire."
"939100","941700"," On va rechercher, en interprétant les résultats, on"
"941700","945180"," va demander est-ce que vous êtes vacciné"
"945180","946320"," ou non par le BCG."
"947120","948700"," Est-ce que vous avez un contact ou"
"948700","950520"," vous avez la tuberculose, maladie ?"
"950520","952220"," Et parfois, il y a des erreurs techniques"
"952220","953520"," pour ce qui est de l'injection. "
"954100","956680"," Une grande dose de la tuberculose, l'injection"
"956680","958620"," n'est pas intradermique, qui donne des réactions"
