"start","end","text"
"880","4500"," Chers étudiants, aujourd'hui, nous allons entamer le"
"4500","6660"," chapitre des tumeurs de pathologie de la pareille"
"6660","10680"," locomoteur en parlant des tumeurs des parties molles"
"10680","11380"," des membres."
"13740","16860"," En commençant par notre cas clinique, il s "
"16860","18920","'agit d'une patiente âgée de 40 ans"
"19550","23000"," qui présente depuis un an une tumefaction du"
"23000","30120"," quatrième doigt droit, apparue de toute petite taille"
"30120","32340"," et qui augmente progressivement de volume."
"34020","36200"," Et depuis qu'elle est devenue douloureuse et"
"36200","39060"," gênant le travail, la patiente vient consulter. "
"41360","43680"," Alors quels sont les objectifs de ce cours"
"43680","43940"," ?"
"44240","47300"," Bien sûr, il faut définir les différents tumeurs"
"47300","48660"," des parties molles, c'est comme pour les"
"48660","52240"," tumeurs osseuses, déterminer les bases de la classification"
"52240","57160"," anatomopathologique des tumeurs des parties molles, préciser la"
"57160","61940"," démarche du diagnostic de ces tumeurs, décrire les"
"61940","63720"," principes thérapeutiques."
"68410","71250"," Les tumeurs des parties molles, c'est l "
"71250","74730","'ensemble de tumeurs bénines ou malines développées au"
"74730","79510"," dépens du tissu conjonctif commun extrasquelettique et de"
"79510","83810"," ces variétés spécialisées, notamment le tissu adipeux, le"
"83810","87310"," tissu fibreux, les vaisseaux, les nerfs périphériques, les"
"87310","89550"," muscles striés ou lisses, la peau."
"90850","93030"," Et bien sûr, parmi ces tumeurs, on distingue"
"93030","95670"," les tumeurs bénines les plus fréquentes et les"
"95670","99410"," tumeurs malines qui représentent moins de 1%"
"99410","101450"," de tous les cancers de l'adulte. "
"102170","104610"," Elles se voient à tout âge, sans prédominance"
"104610","105430"," de sexe."
"105430","110230"," Leur variabilité morphologique rend que ces tumeurs représentent"
"110230","113390"," un véritable défi diagnostique."
"113670","116970"," Celui-ci repose sur la clinique, l'imagerie"
"116970","119690"," et l'histologie, qui représentent la clé de"
"119690","120790"," voûte du diagnostic. "
"122130","125630"," Une prise en charge optimale du patient passe"
"125630","131090"," par une bonne collaboration entre pathologiste, chirurgien, radiologue,"
"131290","136850"," oncologue et radiothérapeute, d'où la multidisciplinarité joue"
"136850","140290"," un rôle important dans ce type de tumeurs."
"143350","145750"," Comme pour les tumeurs osseuses, les tumeurs de"
"145750","149150"," tissu mou se développent en fonction du tissu"
"149150","152430"," d'origine, selon la classification de l'OMS."
"153710","156510"," Le tissu d'origine peut être un tissu"
"156510","162130"," conjonctif, tissu graisseux, musculaire, vasculaire, synovial, etc. "
"164170","168470"," Et donc, on va avoir différents types de"
"168470","171670"," tumeurs, notamment pour les tumeurs bénines, les tumeurs"
"171670","175350"," les plus fréquemment rencontrés, notamment les lipomes, les"
"175350","176950"," tumeurs assez logéantes, surtout au niveau de la"
"176950","181070"," main, ensuite les fibromes, etc."
"182070","185290"," Concernant les tumeurs malines, alors nous avons les"
"185290","189770"," sarcomes de bas degré de malignité, notamment les"
"189770","193590"," tumeurs du tissu graisseux, les liposarcomes, voire les"
