"start","end","text"
"4940","9260"," Bonjour, on va voir maintenant un cours sur"
"9260","10560"," les radiculergies des membres."
"12740","15840"," Alors dans ce cours, mes objectifs pédagogiques sont"
"15840","16480"," les suivants."
"16780","20720"," Il faut savoir diagnostiquer une radiculergie, connaître la"
"20720","27080"," topographie de cette atteinte radiculaire, savoir distinguer par"
"27080","31140"," la clinique la radiculergie commune de la radiculergie"
"31140","37060"," symptomatique, connaître les étiologies des radiculergies, identifier les"
"37060","40100"," situations d'urgence et planifier leur prise en"
"40100","45020"," charge, proposer une attitude thérapeutique et planifier le"
"45020","46020"," suivi du patient. "
"48560","49380"," Alors que ce que c'est qu'une"
"49380","50160"," radiculergie ?"
"50160","53000"," Une radiculergie se définit comme étant la souffrance"
"53000","56100"," d'une racine nerveuse à l'origine d "
"56100","59120","'une douleur de topographie radiculaire quelle que soit"
"59120","60420"," son étiologie."
"60420","62660"," Il y a deux particularités qu'il faut"
"62660","63200"," retenir."
"64000","67380"," La première particularité, c'est qu'une atteinte"
"67380","71400"," radiculaire se manifeste sur le plan clinique par"
"71400","74140"," sa topographie métamérique, c'est-à-dire qu "
"74140","78700","'une atteinte du racisme cervical va être responsable"
"78700","82020"," de ce qu'on appelle une névralgie cervicobraquia,"
"82100","85080"," c'est-à-dire une atteinte des racines"
"85080","87400"," qui émergent du trou de conjugaison du racisme"
"87400","90720"," cervical avec une topographie métamérique au niveau du"
"90720","91480"," membre supérieur. "
"91980","94740"," Au niveau du racisme dorsal, on les appelle"
"94740","97120"," les névralgies intercostales, ils sont très rares."
"97740","99780"," Et au niveau du racisme lombaire, ce sont"
"99780","102920"," des radiculergies du membre inférieur qui touchent le"
"102920","105280"," nerf sciatique, on les appelle une lombo-sciatique"
"105280","107820"," ou bien le nerf curale, on les appelle"
"107820","109680"," les lombo-curalgiques."
"110840","112980"," La deuxième particularité, c'est qu'il existe"
"112980","116140"," deux formes cliniques et de pronostics complètement différents,"
"116900","119720"," les radiculergies communes qui représentent de loin l "
"119720","121800","'éthiologie la plus fréquente et qui sont en"
"121800","124260"," rapport soit avec une hernie discale soit avec"
"124260","126680"," de l'arthrose au niveau du racisme, et"
"126680","129960"," les radiculergies symptomatiques qui sont heureusement rares et"
"129960","133960"," qui sont symptomatiques d'une pathologie néoplasique ou"
"133960","135360"," infectieuse le plus souvent. "
"136620","140380"," Pour le rappel anatomique, vous connaissez parfaitement qu "
"140380","144020","'il y a trois segments rachidiens, il y"
"144020","146880"," a le segment cervical avec 7 vertèbres, le"
"146880","151260"," segment thoracique avec 12 vertèbres, le segment lombaire"
"151260","153840"," avec 5 vertèbres, je ne compte pas ici"
"153840","155300"," le sacrum et le coccyx."
"156220","159440"," Alors les racines nerveuses, comme vous voyez, la"
"159440","163660"," racine émerge par le trou du congélisant et"
"163660","168560"," porte le nom de la vertèbre sous-jacente."
"168560","174500"," Donc une racine C6 émerge de l'espace"
"174500","178800"," intervertébral C5 C6, donc il porte le nom"
"178800","180440"," de la vertèbre sous-jacente. "
"180820","183060"," Ça c'est très important pour faire la"
"183060","186340"," corrélation entre la radiculergie qu'on présente au"
"186340","188580"," patient et l'étage qui y est atteint."
"189520","194820"," Chaque radiculergie va donner une douleur topographie bien"
"194820","197700"," systématisée qu'on appelle les dermatomes, ce qui"
"197700","201000"," permet à l'examen clinique de remonter vers"
"201000","203320"," l'étage qui est atteint en fonction de"
"203320","206520"," votre examen clinique, surtout lorsque vous avez du"
"206520","210160"," trouble de la sensibilité tactile à l'examen"
"210160","210680"," neurologique."
"211800","213440"," Alors on voit très très bien qu'il"
"213440","215740"," y a des rapports qui sont vraiment très"
"215740","218700"," étroits entre la racine nerveuse et le trou"
"218700","219520"," du congélisant. "
"219520","222420"," On voit bien que la racine nerveuse a"
"222420","227820"," un contact très rapproché du disque intervertébral et"
"227820","231500"," souvent lorsque ce disque intervertébral qui va subir"
"231500","235920"," des lésions dégénératives entre parenthèses d'usure qui"
"235920","238600"," apparaissent avec le temps, on voit qu'ils"
"238600","241100"," peuvent être responsables d'arthrose, ce qu'on"
"241100","243920"," appelle la disque arthrose qui est la tête"
"243920","248260"," dégénérative du disque intervertébral, parfois de hernies discales"
"248260","251940"," et ces hernies discales vont comprimer la racine"
"251940","255519"," nerveuse et être à l'origine des radiculinges."
"257920","261200"," Donc vous voyez ici sur une coupe cadavérique"
"261200","265580"," longitudinale, on voit à droite les corps vertébraux,"
"265900","268560"," le disque intervertébral qui joue le rôle d "
"268560","270700","'amortisseur qui est tout à fait de structure"
"270700","274680"," normale avec ses fibres périphériques fibreuses qui est"
"274680","277740"," le nucleosis fibrosus et à l'intérieur nous"
"277740","280880"," avons cette sorte de gélatine que le nucleosis"
"280880","285120"," pulposus qui va quand il sort, quand il"
"285120","289000"," quitte le disque intervertébral à travers une fissure,"
"289400","290940"," il va être au contact de la racine"
"290940","293060"," nerveuse ce qui définit la hernie discale."
"293440","295020"," On voit bien sur les trous de conjugaison"
"295020","297860"," d'où émergent les racines nerveuses et vous"
"297860","300180"," avez le canal rachidiaque, donc ça c'est"
"300180","303180"," une coupe qui va montrer que les racines"
"303180","310860"," nerveuses sont en étroit contact avec les racines"
"310860","311340"," nerveuses. "
"312160","315420"," Donc à gauche vous voyez sur une coupe"
"315420","320520"," cadavérique le disque intervertébral normal, à droite vous"
"320520","324880"," voyez un disque intervertébral qui a subi une"
"324880","329920"," dégénérescence, un vieillissement en quelque sorte et vous"
"329920","336160"," voyez sur la droite le nucleosis pulposus qui"
"336160","341080"," a quitté le disque intervertébral à travers une"
"341080","343740"," fissure au niveau du noyau fibrosus et sur"
"343740","346320"," l'agrandissement on le voit en contact avec"
"346320","348100"," la racine nerveuse et il va donner une"
"348100","349040"," hernie discale."
"349500","352440"," Donc sur cette diapositive, ce qu'il y"
"352440","354680"," a à gauche c'est la dégénérescence disco "
"354680","357860","-vertébrale qui est responsable de l'arthrose, de"
"357860","361020"," la cervica-arthrose, la cervica-arthrose peut donner"
"361020","364120"," une névrasie cervico-brachiale, de la lomba-arthrose"
"364120","366520"," qui va être responsable soit d'une lombo "
"366520","369720","-cyliatrique soit d'une lombo-chirurgie, à droite"
"369720","372780"," nous sommes devant un tableau de hernie discale"
"372780","376400"," qui est défini par l'issue du noyau"
"376400","379180"," pulpeux et qui va être en contact avec"
"379180","381640"," la racine nerveuse et qui va donner la"
"381640","386280"," même symptomatologie, une névrasie cervico-brachiale lorsque la"
"386280","388080"," tête est située au niveau de la racine"
"388080","391460"," cervicale, une lombo-cyliatrique ou une lombo-chirurgie"
"391460","393320"," lorsqu'il s'agit du ventre inférieur."
"393980","395840"," Alors dans les deux cas, il s'agit"
"395840","398580"," d'une lombo-radiculalgie commune. "
"400770","402010"," Alors comment est-ce qu'on explique la"
"402010","404490"," physiopathologie de la douleur radiculaire ?"
"404490","407730"," Alors la racine va souffrir de deux manières,"
"407890","409430"," soit de l'agression mécanique, en fait c "
"409430","415070","'est la compression par l'arthrose, le plus"
"415070","417290"," souvent par la hernie discale ou par des"
"417290","418090"," facteurs chimiques."
"418370","419430"," Donc des facteurs mécaniques."
"419950","424950"," Alors ici la racine est comprimée par la"
"424950","427570"," hernie discale ou par des ostéophytes lorsqu'il"
"427570","430010"," s'agit d'une disque arthrose ou elle"
"430010","433550"," peut être comprimée par un autre processus, une"
"433550","435330"," tumeur ou un abcès lorsqu'il s'agit"
"435330","438510"," d'une lombo-radiculalgie symptomatique. "
"438510","441290"," Alors cette compression va être à l'origine"
"441290","444030"," du trouble de la circulation au niveau de"
"444030","446630"," la racine nerveuse ou bien il peut s "
"446630","449270","'agir d'une irritation directe de cette racine."
"449770","452930"," Il faut savoir que la compression durable entraîne"
"452930","455970"," une ischémie radiculaire et on sait bien que"
"455970","458050"," le tissu nerveux est très sensible à l "
"458050","460850","'ischémie avec une réduction du nombre des grosses"
"460850","466710"," fibres sensitives qui peut parfois être responsable de"
"466710","470630"," la persistance du douleur neurologique chronique même après"
"470630","471790"," la levée de l'obstacle."
"471910","474350"," Ici l'exemple d'une hernie discale qu "
"474350","477210","'on va opérer trop tardivement, même si le"
"477210","480770"," rechirurgien enlève la hernie discale, le malade peut"
"480770","484910"," garder malheureusement du douleur neuropathique chronique parce que"
"484910","489110"," cette racine a été victime d'une ischémie"
"489110","491730"," radiculaire pendant longtemps. "
"492930","497370"," Le facteur chimique est expliqué essentiellement par l "
"497370","501170","'apparition de lésions inflammatoires lorsque le nucléosus pieposus"
"501170","503310"," ou bien l'ostéophyte est en contact de"
"503310","507490"," la racine nerveuse avec une sécrétion localement d "
"507490","510890","'un certain nombre de médiateurs de l'inflammation"
"510890","513909"," ce qui explique en quelque sorte l'effet"
"513909","518549"," bénéfique des anti-inflammatoires, la cyclooxygénase c'est"
"518549","520309"," que lorsqu'on bloque les anti-inflammatoires en"
"520309","522850"," stéroïdia ou bien la phospholipase qu'on peut"
"522850","524330"," bloquer par les corticoïdes."
"524810","526890"," Donc l'effet bénéfique de ces bioclasses thérapeutiques"
"526890","530170"," dont les radiculingies bien sûr communes."
"530510","532510"," Alors maintenant on passe à la prise en"
"532510","532730"," charge. "
"532970","535810"," Donc il faut réfléchir étape par étape."
"535910","538130"," La première étape étant de faire le diagnostic,"
"538650","539670"," c'est à dire qu'il faut connaître"
"539670","542110"," les caractères généraux et communs de la radiculingie,"
"542110","543910"," d'abord par l'interrogatoire."
"544110","547450"," Ici le maître symptôme étant la douleur, il"
"547450","550990"," faut bien sûr caractériser sa durée, son siège,"
"551310","555250"," son intensité, sa topographie exacte, le rythme, ce"
"555250","558130"," qui est le mécanisme inflammatoire, la cause déclenchante"
"558130","558770"," et le terrain. "
"559330","560670"," Il y a deux types de douleurs."
"561270","562910"," Il y a la douleur d'abord au"
"562910","566070"," niveau du rachis, donc c'est une douleur"
"566070","570010"," qui a un mécanisme annexé de nos ciceptions,"
"570710","574150"," donc qui associe la rachialgie et la raideur."
"574650","576430"," Donc pour le rachis cervical, c'est la"
"576430","577970"," cervicalgie et la raideur. "
"578050","579690"," Pour le rachis lombaire, c'est la lombalgie"
"579690","580450"," et la raideur."
"581450","582790"," Le deuxième type de la douleur, c'est"
"582790","584610"," la douleur radiculaire qui est une douleur de"
"584610","585650"," type neuropathique."
"586710","589070"," Et l'analyse simbiologique de la douleur radiculaire"
"589070","592790"," est primordiale pour faire le diagnostic de la"
"592790","593390"," pédalgie. "
"594270","596570"," Alors la douleur neuropathique, elle est de deux"
"596570","596870"," types."
"597170","599150"," Soit nous avons des sensations douloureuses, soit des"
"599150","600310"," sensations non douloureuses."
"600730","602770"," Les sensations douloureuses sont de deux types et"
"602770","606570"," peuvent être continues, superficielles à type de brûlure,"
"606630","609430"," ou bien profondes avec une sensation d'arrachement"
"609430","612430"," ou de brouillement que le malade arrive difficilement"
"612430","613530"," à décrire au médecin. "
"614190","617550"," Les douleurs paroxystiques sont décrites par le patient"
"617550","620270"," comme étant des décharges électriques ou une sensation"
"620270","625010"," d'éclair Les sensations non douloureuses, alors ces"
"625010","627950"," sensations douloureuses, en fait, c'est cet aspect"
"627950","631170"," désagréable que décrit le patient à type de"
"631170","633510"," fourmillement, de picotement ou d'engourdissement."
"634230","638370"," Et ces sensations non douloureuses peuvent être spontanées"
"638370","641430"," ou provoquées par l'examen clinique lorsqu'on"
"641430","642610"," touche le patient."
"643750","646070"," L'examen clinique, alors l'examen clinique il"
"646070","647650"," faut s'intéresser à trois éléments. "
"648270","650710"," L'examen clinique, vous avez le syndrome rachidien,"
"650890","654090"," le syndrome radiculaire et le syndrome sous-lésionnel"
"654090","655850"," lorsqu'il y a une atteinte des voies"
"655850","656770"," pyramidales."
"656990","659110"," Et on termine par l'examen somatique."
"659430","661610"," Alors l'examen rachidien, alors quel que soit"
"661610","664570"," l'étage, que ce soit l'orachis cervicale"
"664570","666490"," et l'orachis lombaire qui sont les plus"
"666490","671470"," souvent atteints, il faut chercher une attitude ontalgique"
"671470","673790"," qui peut être directe ou indirecte. "
"674190","676770"," Directe, c'est-à-dire que la déviation"
"676770","678810"," du corbeau physiologique se fait du côté de"
"678810","679650"," la radiculergie."
"680170","681570"," Ou indirecte, ça veut dire qu'il se"
"681570","682950"," fait du côté contrôle latéral."
"683610","685450"," Il faut chercher l'arrêteur segmentaire. "
"685870","687490"," Alors au niveau du orachis lombaire, c'est"
"687490","688930"," la distance d'oissons à l'indice de"
"688930","689370"," Schubert."
"690150","691810"," Il y a également une manœuvre de Sperling"
"691810","693050"," que je vais vous montrer tout à l "
"693050","693170","'heure."
"693630","696470"," Il faut chercher des points douloureux au regard"
"696470","699130"," des épineuses, ce qu'on appelle le signe"
"699130","700410"," de la sonnette, c'est-à-dire que"
"700410","703790"," l'appui va réveiller la radiculergie lorsque j "
"703790","705990","'appuie sur l'étage qui est atteint. "
"706330","708810"," En exemple, lorsque j'appuie sur l'étage"
"708810","712430"," L4, L5, ça peut déclencher la radiculergie L5,"
"712550","713630"," de la sciétique L5."
"714310","717170"," Le syndrome radiculaire, c'est-à-dire c "
"717170","719550","'est l'ensemble des manifestations cliniques qui vont"
"719550","722370"," explorer la racine."
"723110","726130"," Alors c'est une douleur, la douleur spontanée"
"726130","728230"," qui est provoquée à l'étirement des racines"
"728230","730990"," nerveuses par un certain nombre de manœuvres. "
"731330","733970"," Au niveau du orachis lombaire, vous connaissez parfaitement"
"733970","738130"," la manœuvre Lasegg qui va déclencher la radiculergie"
"738130","740150"," L5 ou S1."
"740510","743030"," La manœuvre LERI que je vais vous montrer"
"743030","746870"," sur une échographie permet de déclencher la radiculergie"
"746870","748250"," L3 et L4."
"748830","751350"," Au niveau du orachis cervical, nous avons l "
"751350","756310","'équivalent du Lasegg au membre supérieur qu'on"
"756310","758510"," appelle la manœuvre de Roger et Bikila. "
"759050","761510"," Alors toujours dans le syndrome radiculaire, il faut"
"761510","764370"," chercher de manière systématique s'il y a"
"764370","767370"," des troubles de la sensibilité tactile, il faut"
"767370","768390"," voir s'il n'y a pas un"
"768390","770790"," déficit moteur et il faut explorer les réflexes"
"770790","773810"," oscillotenduleux en fonction de chaque métamère."
"775430","777830"," Alors troisième partie avant l'examen somatique, c "
"777830","780470","'est la recherche des syndromes sous-lésionnels."
"780770","782930"," Le syndrome sous-lésionnel, lui, il est en"
"782930","785550"," rapport lorsque nous avons un processus qui va"
"785550","788070"," toucher la moelle épinière. "
"788430","790630"," Moelle épinière, donc c'est-à-dire une"
"790630","792290"," atteinte des voies pyramidales."
"792430","793930"," Et dans ce cas-là, il faut chercher"
"793930","797330"," le trouble sphactérien et le syndrome pyramidal."
"797750","801250"," Les troubles sphactériens, pour rappel, en fait, ce"
"801250","804050"," sont les malades qui viennent avec des troubles"
"804050","807050"," urinaires à titre d'incontinence ou d'arrêtance"
"807050","810890"," aiguë des urines ou bien une incontinence anal. "
"811250","814030"," Le syndrome pyramidal, lui, il est décrié par"
"814030","817490"," la spasticité, les réflexes oscillotenduleux qui sont vifs"
"817490","820330"," et polycynétiques et un belvinsky qui est positif"
"820330","822230"," en membres inférieurs."
"822630","826030"," Sur le schéma de droite, vous voyez ici"
"826030","831930"," un exemple d'un processus en haut à"
"831930","832710"," droite."
"832810","834430"," En haut à droite, nous avons un processus"
"834430","838390"," qui va donner uniquement une atteinte radiculaire. "
"839030","841570"," Et juste à côté, du côté gauche, vous"
"841570","844030"," avez un processus qui va donner une atteinte"
"844030","847690"," radiculaire avec une atteinte médulaire."
"848150","850290"," Alors dans le premier cas, on aura uniquement"
"850290","851490"," un syndrome radiculaire."
"851990","853910"," Dans le deuxième cas, on aura un syndrome"
"853910","856530"," radiculaire et un syndrome sous-lésionnel. "
"856970","859410"," Le syndrome sous-lésionnel, c'est la compression"
"859970","861250"," de la moelle épinière."
"861790","865130"," Pour rappel, la moelle épinière s'arrête bien"
"865130","868130"," sûr au niveau 2L1L2."
"868750","870750"," Donc ce que vous voyez comme processus sur"
"870750","872950"," le schéma en bas, c'est le processus"
"872950","876830"," lésionnel qui comprime la racine. "
"876970","878950"," On voit bien la racine, mais au sens"
"878950","879830"," où il n'y a plus de moelle,"
"880230","880990"," il y a la queue de cheval."
"881170","882910"," Donc c'est une compression qui va donner"
"882910","884330"," un syndrome de la queue de cheval."
"884750","886570"," Donc je résume encore une fois parce que"
"886570","887530"," c'est très important. "
"888130","890570"," En haut à droite, vous avez un processus"
"890570","893710"," lésionnel qui va donner uniquement un syndrome radiculaire."
"894250","896590"," À côté, à gauche, vous avez un processus"
"896590","899750"," qui est responsable du syndrome radiculaire et du"
"899750","901590"," syndrome médulaire, c'est-à-dire un syndrome"
"901590","902390"," sous-lésionnel."
"902730","904450"," Et puis, vous avez le processus en bas"
"904450","906890"," qui est responsable de l'atteinte radiculaire et"
"906890","908290"," de la syndrome de la queue de cheval"
"908290","909310"," parce qu'il n'y a plus de"
"909310","910290"," moelle à ce niveau-là. "
"911410","913330"," Donc vous voyez ici le syndrome rachidien."
"913730","916450"," Donc on cherche bien sûr la raideur au"
"916450","917530"," niveau du rachis cervical."
"917950","919870"," On peut observer un tenticolis. "
"920890","922630"," La manœuvre du spurlin, c'est-à-dire"
"922630","925390"," que le médecin va faire une compression axiale"
"925390","927690"," avec une rotation de la tête qui va"
"927690","929090"," déclencher la radiculalie."
"930350","934610"," Vous voyez ici les points douloureux au niveau"
"934610","936090"," du rachis cervical."
"938390","941030"," Un exemple, l'attitude ontalgique avec un syndrome"
"941030","944330"," rachidien où la patiente se met en position"
"944330","949010"," ontalgique et peut être directe ou indirecte. "
"949330","952690"," Le syndrome rachidien, donc, pour le rachis lambert,"
"953250","956230"," surtout en calculant la distance d'un sol"
"956230","958250"," et l'indice de Schubert, vous avez ici"
"958250","961010"," la manœuvre du lasec, le malade étant du"
"961010","965550"," cubitus dorsal et le médecin va lever le"
"965550","967390"," membre inférieur qui est en extension et on"
"967390","968270"," calcule l'angle."
"968950","971830"," Donc le manœuvre de lasec, on dit qu "
"971830","974230","'un lasec est positif lorsque l'angle est"
"974230","976050"," compris entre 0 et 60 degrés."
"976570","978450"," Au-delà de 60 degrés, on peut dire"
"978450","980010"," que le lasec est négatif. "
"980450","983350"," On peut sensibiliser cette manœuvre du lasec en"
"983350","985410"," imprimant, comme vous le voyez sur le schéma"
"985410","988990"," au centre, une dorsiflexion du pied qui peut"
"988990","990110"," déclencher la radiculalie."
"990630","992570"," Et à droite, vous voyez la manœuvre de"
"992570","994830"," l'iris, le patient étant en du cubitus"
"994830","998390"," ventral et le médecin va faire une rétropulsion"
"998390","999170"," de la hanche."
"999530","1002410"," Il va tirer sur la racine L3 ou"
"1002410","1005310"," L4 et il va déclencher une radiculalie, ce"
"1005310","1006730"," qu'on appelle la manœuvre de l'iris,"
"1007090","1008790"," qui est l'équivalent du lasec pour la"
"1008790","1009190"," cinétique. "
"1010990","1013490"," La deuxième étape, c'est le diagnostic topographique."
"1013670","1017050"," Cette étape est essentielle pour la prise en"
"1017050","1017910"," charge du malade."
"1018270","1019550"," Ça veut dire que vous voyez sur le"
"1019550","1022670"," schéma les métamères qui vont vous permettre de"
"1022670","1025869"," définir quel type de radiculalie. "
"1026310","1028390"," Alors L3, généralement, c'est sur la face"
"1028390","1029530"," antérieure de la cuisse."
"1030069","1032750"," L4, sur la face antérieure de la cuisse,"
"1033170","1035589"," dépasse le genou et passe sur la partie"
"1035589","1038210"," interne de la jambe jusqu'à la magliole"
"1038210","1038849"," interne."
"1039290","1041750"," L5, c'est la radiculalie L5. "
"1042170","1043710"," Vous avez essayé d'une atteinte au niveau"
"1043710","1044349"," de la fesse."
"1044829","1047089"," La face postérieure de la cuisse, le mollet,"
"1047349","1051110"," derrière la magliole externe et qui passe, pardon,"
"1051290","1054690"," devant la magliole externe, devant la magliole externe,"
"1055050","1056990"," sur le dos du pied et se termine"
"1056990","1058190"," au niveau du gros orteil."
"1058570","1062630"," Et puis, la radiculalie S1, qui fait la"
"1062630","1064590"," fesse, face postérieure de la cuisse, le mollet,"
"1064970","1068710"," passe derrière la magliole externe, le bord externe"
"1068710","1071350"," du pied et se termine au niveau du"
"1071350","1072030"," petit orteil. "
"1075070","1078130"," A ce niveau-là, il faut retenir ce"
"1078130","1081910"," tableau parce qu'il permet d'explorer la"
"1081910","1082610"," topographie."
"1082970","1086370"," L'abolition des réflexions oscillotendue, c'est en"
"1086370","1089310"," rapport avec une atteinte de la racine S1."
"1089470","1092190"," Et l'abolition des réflexions rotulières, soit elle"
"1092190","1094090"," est due à l'atteinte de racine L4"
"1094090","1095870"," ou bien L3. "
