"start","end","text"
"80","1660"," Par rapport à la présence, comme nous sommes"
"1660","7180"," dans une séance TPTD, alors normalement, la présence"
"7180","7800"," est obligatoire."
"9500","12380"," Alors, normalement, on doit enregistrer l'ensemble des"
"12380","12960"," participants."
"13380","15640"," La liste va être enregistrée pour la comparer"
"15640","17480"," par rapport à ce qui nous est fourni"
"17480","19880"," de la part du service d'écore-examen. "
"21160","22700"," S'il y a des collègues qui, pour"
"22700","25960"," une raison, je ne sais pas, qui ne"
"25960","28860"," sont pas présents, il faut qu'ils se"
"28860","31040"," manifestent pour qu'on les prenne en considération."
"32340","34280"," Zia, on est d'accord ?"
"36430","43270"," Alors, deuxièmement, alors, normalement, je vous enverrai un"
"43270","43830"," support."
"45650","47390"," À la fin de la séance, on va"
"47390","51430"," vous donner un support PDF où il y"
"51430","53150"," a un peu l'essentiel du contenu de"
"53150","53950"," cette séance. "
"53950","56490"," Vous allez consulter, mais vous allez suivre un"
"56490","57350"," peu la présentation."
"58010","59150"," Il y a des cas cliniques sur lesquels"
"59150","60170"," on va travailler ensemble."
"61150","63069"," Et vous aurez le support après qui va"
"63069","65310"," vous permettre de préparer l'examen. "
"67710","68970"," C'est bon ?"
"69930","73130"," Alors, là aussi, avant de commencer, comme il"
"73130","76130"," y aura des questions, réponses, etc., on va"
"76130","77690"," vous poser des questions par rapport à certains"
"77690","78290"," cas cliniques."
"78990","82730"," On va utiliser le forum pour discuter, pour"
"82730","87030"," voir un peu, disons, vos propositions, etc., et"
"87030","88330"," pour pouvoir communiquer."
"88450","90810"," On ne peut pas, malheureusement, communiquer de façon"
"90810","93470"," directe en utilisant le micro avec tout le"
"93470","94730"," monde parce qu'on a vu le nombre. "
"95250","96350"," Et du coup, on va utiliser un petit"
"96350","99210"," peu le chat pour pouvoir communiquer."
"99430","102330"," Zia, on va attendre un petit peu vos"
"102330","104070"," réponses, et ça nous permettra un petit peu"
"104070","108470"," de raisonner pour pouvoir savoir si, disons, la"
"108470","111610"," consigne est bien claire par rapport à des"
"111610","113170"," réponses justes ou pas, etc."
"113950","114590"," Zia ?"
"114590","118150"," Les réactions immunitaires de l'organisme et leurs"
"118150","118610"," appliqués. "
"129800","131240"," C'est bon, je pense qu'il y"
"131240","132040"," a..."
"133860","135580"," Alors, avant de commencer, je tiens à vous"
"135580","140020"," présenter ma collègue, Dr Hazim Raja, qui est"
"140020","143320"," professeure assistante à la faculté, professeure assistante d "
"143320","145360","'immunologie, nouvellement recrutée au niveau de la fac,"
"146240","147680"," qui va m'accompagner."
"147680","152320"," On va tous ensemble, soi-disant, encadrer cette"
"152320","152680"," séance."
"153700","155680"," On peut commencer, du coup, Zia ?"
"157830","160830"," Alors, comme vous avez vu, l'intitulé de"
"160830","166210"," la DTP, c'est autour des applications médicales"
"166210","167910"," des réactions antigénes-anticorps. "
"168070","170850"," C'est-à-dire, autour d'un chapitre"
"170850","172490"," qui s'appelle antigènes-anticorps, on va sélectionner"
"172490","176330"," certaines techniques qui ont une grande portée pratique."
"176330","179630"," Elles sont très utilisées dans différents laboratoires pour"
"179630","182950"," faire des diagnostics pour beaucoup de maladies."
"183050","185330"," Vous allez voir que ce sont des techniques"
"185330","187730"," qui sont très simples à concevoir du point"
"187730","190050"," de vue principe, mais d'une grande utilité"
"190050","191230"," pour le raisonnement clinique. "
"192250","194850"," Vous êtes pratiquement à la veille des stages"
"194850","195570"," hospitaliers."
"196250","198730"," C'est une préparation à votre exercice en"
"198730","199550"," tant que médecin."
"200170","202350"," Du coup, il y a des choses qui"
"202350","204590"," vont vous servir durant votre carrière. "
"204590","206810"," C'est pourquoi on a choisi un petit"
"206810","207390"," peu l'essentiel."
"207510","208530"," On ne va pas rentrer dans le détail"
"208530","212110"," de l'immunologie, mais essentiellement des techniques, on"
"212110","212990"," va dire, basiques."
"213930","217370"," Alors, pour commencer, je laisserai le choix à"
"217370","218910"," ma collègue d'intervenir à chaque fois qu "
"218910","220110","'il y a le juge nécessaire de compléter"
"220110","220750"," des informations. "
"221630","224170"," Et après, on va échanger autour de l "
"224170","226410","'ensemble du contenu de la présentation."
"228310","229790"," Alors, on va devoir passer en mode plein"
"229790","230150"," écran."
"230930","231210"," Bien. "
"233050","237950"," Pour introduire ce TD, des choses que vous"
"237950","238690"," connaissez certainement."
"238830","240950"," Lorsqu'on parle de réaction antigène-anticorps, vous"
"240950","244390"," avez tout simplement une interaction entre un épitope,"
"244570","247390"," qui est tout simplement une composante d'un"
"247390","250810"," antigène, et qui va être interceptée ou reconnue"
"250810","252950"," par un anticorps via ce qu'on appelle"
"252950","255930"," le paratope, la zone qui est dite variable"
"255930","256870"," ou hypervariable."
"256870","259910"," Donc, cette interaction va aboutir à la formation"
"259910","263130"," d'animaux complexes ou aux réactions antigène-anticorps. "
"263430","264770"," Ce que vous voyez ici sur le schéma,"
"265310","267990"," vous avez une surface antigénique d'une molécule"
"267990","270310"," qui va porter plusieurs épitopes."
"270810","273710"," Un épitope, par exemple, va être reconnu par"
"273710","277110"," un anticorps via justement ce site dit paratope."
