"start","end","text"
"1480","5620"," Bonjour chers étudiants, on va voir le cours"
"5620","7500"," sur les vomissements de l'enfant."
"10040","13520"," Les vomissements sont définis par un rejet actif"
"13520","17420"," du contenu gastrique ou intestinal par la bouche."
"18120","20460"," Cela veut dire qu'ils s'accompagnent de"
"20460","22560"," contractions musculaires abdominales. "
"23460","25920"," C'est un symptôme très fréquent en pédiatrie,"
"25920","30540"," avec des étiologies très variées et qui peuvent"
"30540","33240"," être extra-digestives."
"34420","36720"," Qui dit vomissement ne dit pas toujours une"
"36720","37520"," origine digestive."
"39020","44280"," Le diagnostic repose sur une analyse immunologique. "
"45340","47560"," S'agit-il de vomissements aigus ou chroniques,"
"48560","53020"," fibrils ou non fibrils, blancs, verts ou rouges,"
"53020","58400"," qui signifient tous des étiologies très vastes."
"59540","65420"," Les vomissements aigus doivent faire rechercher et éliminer"
"65420","69280"," une cause chirurgicale ou médicale."
"71520","75700"," Et les vomissements aigus doivent faire toujours rechercher,"
"75840","79280"," surtout chez un nourrissant, une déshydratation aigue. "
"79280","83820"," Les vomissements chroniques doivent toujours faire évaluer l "
"83820","86380","'état nutritionnel de l'enfant à la recherche"
"86380","87960"," d'une dénutrition."
"89960","94400"," Il faut toujours différencier les vomissements des régures"
"94400","96240"," agitations, surtout chez les nourrissants."
"98160","101020"," Ce sont des remontées passives par la bouche"
"101020","103620"," de petites quantités de lait ou de liquide"
"103620","107540"," gastrique, qui accompagnent parfois les récultations physiologiques chez"
"107540","108380"," le petit nourrissant. "
"109280","115780"," Le vomissement fait participer toute la musculature abdominale,"
"116060","120740"," qui se contracte pour faire remonter le contenu"
"120740","122160"," gastrique et intestinal."
"122280","124440"," Par contre, les régures agitation, ce sont des"
"124440","125590"," remontées qui sont passives."
"126740","127660"," Il y a aussi ce qu'on appelle"
"127660","132480"," le méricisme, qui est un trouble grave du"
"132480","136280"," comportement et qui est heureusement rare. "
"136280","141400"," C'est une remontée volontaire ou automatique d "
"141400","142720","'aliments dans la bouche."
"142880","144180"," C'est comme une rumination."
"145120","148800"," C'est un enfant qui fait remonter passivement"
"148800","153760"," ses aliments et les remâche pour les redéglutir. "
"154080","157920"," Encore une fois, ça signifie un trouble grave"
"157920","158760"," du comportement."
"159320","161620"," Une prise en charge psychologique ou psychiatrique est"
"161620","162240"," recommandée."
"164480","168980"," Devant des vomissements, il faut bien sûr faire"
"168980","170580"," une enquête éthiologique. "
"172060","175300"," L'enquête éthiologique commence toujours par l'interrogatoire"
"175300","176860"," qui précise l'âge de l'enfant."
"177200","178160"," C'est très important."
"178960","181560"," Les éthiologies chez un nouveau-né ne sont"
"181560","184960"," pas similaires chez le nourrissant et ne sont"
"184960","186200"," pas similaires chez l'enfant. "
"186200","189560"," L'âge de début, est-ce que c "
"189560","191720","'est à la naissance ou après un intervalle"
"191720","192820"," libre après la naissance?"
"193040","194740"," C'est très, très important de cette notion"
"194740","197500"," parce que les éthiologies sont totalement différentes."
"198780","201800"," L'évolution, s'agit-il de vomissements récents"
"201800","206280"," et donc vomissements aigus ou vomissements habituels et"
"206280","208880"," récidivants qu'on appelle vomissements chroniques?"
"209720","212640"," Il faut aussi chiffrer l'abondance des vomissements."
"212640","220280"," Les vomissements abondants s'accompagnent toujours d'une"
"220280","221820"," mauvaise prise pondérale. "
"222680","226180"," Ne pas se fier à l'interrogatoire pour"
"226180","229440"," parler de l'abondance des vomissements, mais surtout"
"229440","230680"," à la cour pondérale."
"230840","233440"," Quand il est bien, quand l'enfant croit"
"233440","236300"," normalement, même s'il présente des vomissements chroniques,"
"236680","237840"," il faut rassurer les parents."
"237840","239820"," Il faut leur dire que l'enfant croit"
"239820","243860"," normalement et que c'est une cause banale"
"243860","245500"," de ces vomissements chroniques. "
"246360","248580"," La couleur est très, très importante aussi."
"249260","255019"," Des vomissements alimentaires ou vomissements rouges qui signifient"
"255019","259200"," du sang ou des vomissements verts qui signifient"
"259200","262220"," un obstacle au niveau digestif."
"262560","264840"," C'est très, très important de les caractériser"
"264840","267300"," puisque l'éthiologie est totalement différente. "
"267840","271480"," L'horaire aussi est très important, surtout chez"
"271480","272120"," les nourrissons."
"272840","277140"," Si les vomissements sont post-prandiaux, précoces, ça"
"277140","278360"," oriente vers des éthiologies."
"278520","280740"," S'ils sont retardés, ça oriente vers d "
"280740","281260","'autres éthiologies. "
"282220","285040"," Si les vomissements sont nocturnes ou matinaux, ça"
"285040","286940"," oriente aussi vers des éthiologies différentes."
"288000","289840"," Attention à l'hypertension intracrânienne."
"290600","292880"," C'est des vomissements matinaux qui soulagent les"
"292880","293920"," céphalées de l'enfant. "
"294680","295900"," Pensez à l'hypertension intracrânienne."
"295900","301080"," Il faut aussi chercher les modalités de provocation"
"301080","303620"," de ces vomissements, surtout chez les nourrissons."
"304340","309280"," On dit que quand les vomissements sont déclenchés"
"309280","312080"," par un changement de position et quand les"
"312080","315320"," vomissements sont chroniques, sans rentantissement, c'est très"
"315320","319100"," probablement un reflux gastro-œsophagien. "
"321180","324260"," Cherchez aussi le type d'alimentation pour dépister"
"324260","326520"," des erreurs diététiques qui peuvent être la cause"
"326520","327300"," de ces vomissements."
"328080","331200"," Cherchez aussi les signes associés, notamment des signes"
"331200","334940"," infectieux, une fièvre, une diarrhée, d'autres signes"
"334940","337880"," associés comme les signes neuroméningés, une raideur de"
"337880","340060"," la nuque, une hypotonie, une céphalée."
"340060","343280"," Rappelez-vous que les vomissements ne veulent pas"
"343280","345600"," dire tout le temps une origine digestive. "
"346300","351060"," Une origine neuroméningée, une infection neuroméningée peut être"
"351060","352880"," responsable de vomissements chez l'enfant."
"353300","355620"," Une infection urinaire, par exemple, une infection urinaire"
"355620","359220"," chez le nourrisson peut s'exprimer que par"
"359220","360940"," des vomissements et des troubles digestifs."
"361620","364240"," Cherchez des signes digestifs associés, notamment une diarrhée,"
"364360","367700"," douleur abdominale, dysphagie ou insubitaires et un arrêt"
"367700","369520"," des matières et des gaz. "
"370060","372840"," Cherchez aussi des signes respiratoires, une toux ou"
"372840","374840"," une gêne respiratoire."
"377040","379220"," Après l'interrogatoire, il faut faire un bon"
"379220","382680"," examen clinique qui doit être complet, avec mesure"
"382680","386200"," du poids, de la taille, du périmètre crânien"
"386200","390560"," et qui permet de rechercher toujours en premier"
"390560","392320"," des signes de retentissement."
"392320","395880"," Si on est devant des vomissements aigus, il"
"395880","397600"," faut chercher les signes de déshydratation. "
"398380","400860"," Si on est devant des vomissements chroniques, il"
"400860","403220"," faut évaluer l'état nutritionnel à la recherche"
"403220","404260"," d'une dénutrition."
"405000","408060"," Cherchez aussi les signes cliniques associés, notamment des"
"408060","410120"," signes généraux, la fièvre, une altération de l "
"410120","413300","'état général, des signes abdominaux, un météorisme, une"
"413300","417360"," sensibilité abdominale, une défense, une absence de bruit"
"417360","418180"," hydroaérique."
"418180","421740"," Une anomalie des orifices hernières, un sang au"
"421740","424560"," toucher rectal, une hépatomégalie ou une splénomégale. "
"427020","431880"," Cherchez des signes neurologiques évocateurs d'hypertension intracrânienne"
"431880","436040"," ou de méningite, des signes ORL ou pulmonaires,"
"436600","440380"," une odeur acétonymique de la laine ou une"
"440380","441780"," anomalie des organes génitaux."
"441780","446340"," Par exemple, une ambiguïté sexuelle qui peut orienter"
"446340","450240"," vers une hyperplastique congénitale des sérènes."
"451080","455120"," Les examens paracliniques ne sont jamais systématiques. "
"455540","459140"," On peut faire le diagnostic éthiologique de vomissements"
"459140","462180"," de l'enfant rien que sur l'interrogatoire"
"462180","462860"," et la clinique."
"462860","469520"," Ils sont prescrits pour apprécier le retentissement, surtout"
"469520","472840"," quand les vomissements sont abondants et ils ont"
"472840","475070"," un retentissement clinique, notamment la déshydratation."
"475980","478300"," Il faut faire un ionogramme et on fait"
"478300","479900"," un bilan éthiologique à la recherche d'une"
"479900","480360"," éthiologie. "
"480880","484360"," Par exemple, si on suspecte une éthiologie chirurgicale,"
"484380","486340"," il faut faire une échographie ou un ASP."
"486340","489740"," Et si on est devant une éthiologie neuro "
"489740","491820","-méningite, il faut faire un PLO, un scanner"
"491820","492440"," ou autre."
"492900","496040"," Ils sont orientés par l'interrogatoire et l "
"496040","496780","'examen clinique. "
"498520","501620"," Quelles sont les éthiologies des vomissements chez l "
"501620","501820","'enfant?"
"502320","504020"," On va commencer par le nouveau-né."
"504900","507600"," La première éthiologie, c'est la trésidulosophage."
"507600","510580"," Chez un nouveau-né qui a une hypersialurie,"
"511240","514820"," qui a une détresse respiratoire, qui vomit, il"
"514820","516860"," faut évoquer la trésidulosophage. "
"517440","519520"," C'est une anomalie qu'il faut dépister"
"519520","520720"," en salle de naissance."
"521100","522900"," Il ne faut jamais alimenter un nouveau-né"
"522900","524720"," si on ne fait pas l'épreuve à"
"524720","528660"," la sonde pour éliminer ou confirmer une trésidulosophage."
"528660","532840"," Les occlusions néonatales donnent des vomissements bilieux chez"
"532840","533360"," le nouveau-né. "
"534080","538680"," Et les différentes éthiologies des occlusions néonatales sont"
"538680","543240"," la trésidiodenale, la trésidugrelle, l'imperforation anale, maladie"
"543240","545060"," de Hirschsprung et les leuceméconia."
"545320","546900"," Il y a des anomalies qu'on peut"
"546900","550460"," dépister à la naissance, en salle de naissance,"
"550800","553320"," qui ne doivent pas échapper au dépistage et"
"553320","555800"," qu'on ne doit pas laisser évoluer vers"
"555800","559420"," une catastrophe, notamment la trésidulosophage."
"560220","563800"," L'infection néonatale constitue aussi une éthiologie des"
"563800","566580"," vomissements chez le nouveau-né. "
"567000","569580"," Parfois, il n'y a que les vomissements"
"569580","572700"," qui déclarent une infection néonatale chez un nouveau "
"572700","572900","-né."
"573500","576220"," Il y a l'enterocolite ulcérone creusante, mais"
"576220","579200"," c'est surtout un contexte particulier, un prématuré"
"579200","582160"," ou un nouveau-né en situation d'anoxie"
"582160","586270"," ou d'infection, qui présente une rectoragie, des"
"586270","589350"," signes d'infection sévère, une distension abdominale et"
"589350","592690"," des troubles hémodynamiques associés au vomissement."
"593110","595430"," Il faut penser à l'enterocolite ulcérone creusante. "
"595930","597390"," Il y a les gastrites de stress, surtout"
"597390","599810"," chez les grands prématurés et les malades de"
"599810","603030"," nouveau-né hospitalisés en réanimation néonatale."
"603890","607170"," Chez le nourrissant, on a dit dans l "
"607170","609630","'introduction qu'il faut toujours s'acharner à"
"609630","613870"," éliminer une cause, une urgence chirurgicale ou une"
"613870","615150"," urgence médicale."
"615490","619790"," Alors, pensez toujours devant des vomissements aigus à"
"619790","623450"," une urgence chirurgicale chez le nourrissant, notamment une"
"623450","627890"," désténose incomplète ou un volvulus qui va se"
"627890","631830"," traduire par des vomissements bilieux, chroniques avec une"
"631830","635190"," dénutrition et le diagnostic se fait par l "
"635190","636770","'ASP ou un transit opaque. "
"637390","639290"," L'occlusion de la maladie de Hirsch-Prank"
"639290","642530"," doit être évoquée en présence d'un tableau"
"642530","646830"," de constipation sévère de début précoce et associé"
"646830","649470"," à des vomissements qui peuvent être bilieux et"
"649470","652350"," qui signifie qu'il y a une occlusion."
"654070","657110"," L'invagination intestinale aigüe est une grande urgence"
"657110","658550"," diagnostique et thérapeutique."
"659110","660390"," C'est un nourrissant qui va faire des"
"660390","661270"," accès de pleurs. "
"661710","663610"," C'est un bout d'intestin qui va"
"663610","665450"," s'invaginer dans le troubou."
"665450","673830"," Et donc, regardez ici, cette vascularisation là, elle"
"673830","676590"," est mise en jeu."
"676950","679010"," Si on ne désinvagine pas, si on ne"
"679010","681950"," fait pas le diagnostic à temps, ces vaisseaux"
"681950","684750"," vont se détériorer. "
"684750","687410"," Et donc, il y aura un infarcissement de"
"687410","690030"," ce bout d'intestin qui est vascularisé par"
"690030","692750"," ces vaisseaux qui sont décomprimés entre les bouts"
"692750","695630"," de l'intestin, entre le bout d'intestin"
"695630","697610"," invaginé et l'autre."
"698630","700450"," C'est un enfant qui présente des vomissements"
"700450","703270"," aiguës avec des accès de pleurs et d "
"703270","704910","'agitation inoubliables."
"705530","707450"," Et la rectoragie est un signe tardif. "
"707690","710550"," N'attendez pas la rectoragie pour poser le"
"710550","712930"," diagnostic d'une invagination intestinale aiguë."
"712930","717690"," Les rectoragies peuvent signifier un infarcissement intestinal."
"719350","721810"," Il faut s'acharner toujours chez le nourrisson"
"721810","724770"," et éliminer une urgence médicale, notamment une infection"
"724770","728590"," du système nerveux central, méningite ou méningoencephalite, une"
"728590","732210"," infection urinaire et respiratoire au gastro-entérite aiguë. "
"732590","736350"," Bien sûr, ce sont l'interrogatoire et l "
"736350","739270","'examen clinique qui vont nous orienter vers une"
"739270","740290"," étiologie précise."
"740290","743210"," On n'oublie pas aussi l'origine endocrinienne,"
"743450","745710"," notamment l'hyperplasie congénitale des surrénales."
"746570","748990"," C'est un enfant qui va présenter des"
"748990","752110"," vomissements en relation avec le syndrome de perte"
"752110","755210"," de sel, avec déshydratation et éponatremie. "
"756030","758670"," N'oubliez pas d'examiner les organes génétaux"
"758670","762350"," externes à la recherche d'une anomalie, d "
"762350","763470","'une ambiguïté sexuelle."
"764610","766790"," La troisième étiologie chez le nourrisson, c'est"
"766790","767670"," l'applicature gastrique."
"768290","770730"," C'est un estomac en bissac. "
"771390","774850"," La partie inférieure se plie et remonte devant"
"774850","776650"," la partie supérieure de l'estomac."
"777150","779830"," L'aspect au transit parité est caractéristique à"
"779830","780470"," deux niveaux."
"781250","783390"," L'un correspond à la grosse tuberosité et"
"783390","786250"," l'autre à l'entre qui a remonté"
"786250","790570"," devant la grosse tuberosité. "
"790570","792690"," Le traitement est postural."
"793050","795290"," L'enfant est couché sur le ventre pendant"
"795290","797490"," une à deux heures après chaque repas."
"798510","802890"," La symptomatologie s'atténue progressivement dans les premiers"
"802890","803550"," mois de vie. "
"804330","807010"," Quand on commence la diversification, il y a"
"807010","812050"," une modification des rapports anatomiques qui font disparaître"
"812050","815790"," ces vomissements et cette anomalie gastrique chez le"
"815790","816150"," nourrisson."
"816930","819810"," Il y a aussi la sténose hypertrophique du"
"819810","820350"," pylore."
"821530","823150"," Regardez sur la photo. "
"823610","824710"," Là, c'est l'estomac."
"825010","827130"," Quand on a les aliments au niveau de"
"827130","830430"," l'estomac, ils doivent passer dans l'audiodenome"
"830430","831550"," et l'intestin."
"831950","834330"," Quand il y a une sténose hypertrophique de"
"834330","837590"," cette musculature, ça constitue un obstacle à la"
"837590","838590"," vie d'homme gastrique. "
"838590","840910"," C'est un nourrisson."
"841190","846490"," Après un intervalle libre après la naissance de"
"846490","850290"," 4 à 5 semaines, l'enfant commence à"
"850290","852790"," faire des vomissements chroniques qui sont très faciles."
"853470","854590"," Ils sont alimentaires. "
"854770","855630"," Ils ne sont pas bilieux."
"856290","858330"," Ils sont post-prandio-tardifs."
"859310","861190"," C'est un enfant qui prend son biberon"
"861190","862970"," une heure ou une heure et demie après. "
"862970","865590"," Il vomit de façon facile en G."
"866070","867790"," C'est un nourrisson qui est tout le"
"867790","870290"," temps affamé, constipé et dénutri."
"871390","873990"," Retenez cette notion d'intervalle libre après la"
"873990","874310"," naissance."
"874330","877130"," Elle est très importante pour poser le diagnostic"
"877130","878870"," d'une sténose hypertrophique du pylore. "
"880530","882770"," A l'examen clinique, on peut trouver des"
"882770","885390"," ondulations péristaltiques au niveau épicastrique."
"885910","888010"," On peut palper une olive pylorique."
"889010","892450"," Aux examens paracliniques, on trouve une alkalose métabolique,"
"892890","898450"," une hypochlorémie et une hypochalémie secondaire à ces"
"898450","899310"," vomissements chroniques. "
"899650","902870"," Le diagnostic se fait par l'échographie abdominale"
"902870","907250"," et le traitement est basé sur la chirurgie."
"910030","914250"," Parmi les autres idéologies des vomissements chroniques du"
"914250","916510"," nourrisson, il y a le reflux gastro-œsophagien."
"916510","921210"," Le reflux gastro-œsophagien est un passage anormal"
"921210","927910"," et répété du contenu gastrique et intestinal dans"
"927910","928750"," l'œsophage. "
"929450","930530"," Il est très fréquent."
"931010","933850"," 20% des nourrissons ont un reflux gastro "
"933850","934530","-œsophagien."
"934530","937310"," Le reflux gastro-œsophagien est favorisé par l "
"937310","943770","'immaturité du système de continence du bas-œsophage. "
"944470","946310"," Il est favorisé aussi par l'alimentation liquide"
"946310","948530"," et par la position couchée."
"951690","955830"," C'est l'état normal et c'est"
"955830","958850"," un reflux gastro-œsophagien."
"962550","966470"," La même chose, c'est une hernie de"
"966470","969470"," la muqueuse gastrique au niveau de l'œsophage"
"969470","971170"," qui est à la basse. "
"971390","978550"," C'est un problème de ce système du"
"978550","982770"," bas-œsophage qui fait que ça laisse remonter"
"982770","985070"," le contenu gastrique dans l'œsophage."
"986330","989510"," Dans le reflux gastro-œsophagien, il y a"
"989510","992290"," le reflux gastro-œsophagien typique qui se manifeste"
"992290","997190"," par des vomissements et ou des régurgitations post "
"997190","1002710","-prandiales précoces alimentaires évoluant depuis la naissance, il"
"1002710","1004610"," n'y a pas d'intervalle libre et"
"1004610","1007790"," survenant au changement de position ou au coucher."
"1009510","1012630"," Le nourrissant a un bon état général et"
"1012630","1012990"," nutritionnel. "
"1013930","1016990"," Dans ce cas de reflux gastro-œsophagien typique,"
"1017510","1019390"," aucune exploration n'est indiquée."
"1019830","1022370"," Le diagnostic est clinique et la surveillance de"
"1022370","1024130"," l'enfant s'impose pour qu'il ne"
"1024130","1025270"," fasse pas de complications."
"1026630","1028829"," Il y a le reflux gastro-œsophagien compliqué. "
"1029310","1031190"," La complication la plus fréquente, c'est l "
"1031190","1032130","'œsophagite peptique."
"1032130","1035930"," Regardez, ça c'est une hernie de la"
"1035930","1038609"," muqueuse gastrique dans l'œsophage et ça ce"
"1038609","1040490"," sont des lésions d'œsophagite."
"1041089","1044030"," Regardez l'œsophage qui est comme un œsophage"
"1044030","1047490"," brûlé par le sucre gastrique qui est acide. "
"1048610","1051450"," L'œsophagite peptique est suspectée devant une hémorragie"
"1051450","1054430"," digestive, vomissements striés de sang ou mélènes."
"1055110","1059170"," Une pâleur ou un anémion hypocrome microcitaire, c "
"1059170","1063350","'est une déperdition au niveau œsophagien."
"1063910","1067350"," Un enfant qui a une courbe de croissance"
"1067350","1068170"," qui n'est pas bien. "
"1068730","1071030"," Un accès de pleurs et d'agitation inexpliqué."
