"start","end","text"
"1540","3660"," Chers étudiants et étudiantes, bonjour."
"3800","6520"," Aujourd'hui, on va étudier l'exploration du"
"6520","10940"," métabolisme phosphocalcique au laboratoire de biochimie clinique."
"11400","14120"," Comme prérequis à ce chapitre, il faut vous"
"14120","18020"," approprier le cours de physiologie rénale, en particulier"
"18020","22240"," dans la partie qui étudie la filtration et"
"22240","25540"," la réabsorption tubulaire du calcium et du phosphore"
"25540","27520"," et leur régulation. "
"27520","30440"," Et il ne faut pas oublier également le"
"30440","34100"," cours de physiologie endocrinienne des parathyroïdes."
"36320","38600"," Le calcium et le phosphore sont des constituants"
"38600","41760"," essentiels du squelette, mais ils vont avoir des"
"41760","44420"," actions beaucoup plus importantes au niveau cellulaire et"
"44420","45100"," membranaire."
"45600","47860"," C'est pourquoi l'organisme puise ses besoins"
"47860","50620"," du squelette pour réguler leur taux sanguin. "
"50620","55160"," L'homéostasie phosphocalcique est sous un contrôle étroit"
"55160","58040"," de deux principales hormones qui sont la parathormone"
"58040","59060"," et la vitamine D."
"59980","63260"," Et ce contrôle hormonal est parfois insuffisant, surtout"
"63260","67460"," lorsqu'on est en présence d'un dysfonctionnement"
"67460","70280"," qui peut toucher l'un des trois sites"
"70280","73420"," intervenants dans l'homéostasie phosphocalcique, à savoir l "
"73420","75060","'intestin, le rein et l'os."
"85520","89560"," Le bilan phosphocalcique est un examen également qui"
"89560","94060"," est courant au laboratoire de biochimie clinique."
"94680","97660"," On va surtout déterminer le calcium, le phosphore"
"97660","99720"," au niveau sanguin et urinaire. "
"100440","103300"," Ce sont des examens peu coûteux, parfois demandés"
"103300","104040"," en urgence."
"104040","107300"," D'autres paramètres peuvent être demandés dans un"
"107300","110320"," but de diagnostic éthiologique, comme la parathormone, la"
"110320","113200"," vitamine D, l'AIP cyclique et les paramètres"
"113200","114480"," du remodelage osseux."
"117070","119590"," Les objectifs que je vous ai fixés pour"
"119590","122750"," ce chapitre sont de citer les principaux facteurs"
"122750","124750"," de régulation, leur site et leur mode d "
"124750","125030","'action. "
"125830","128250"," Déterminer les formes plasmatiques du calcium et du"
"128250","128789"," phosphore."
"129590","133270"," Décrire les conditions préanalytiques pour prescrire et explorer"
"133270","135050"," le métabolisme phosphocalcique."
"135870","138670"," Décrire les variations de la calciémie en fonction"
"138670","141730"," des variations des protéines et de l'albumine. "
"143030","145670"," Décrire les variations de la calciémie en fonction"
"145670","147130"," de celle du pH sanguin."
"148150","151110"," Savoir calculer la valeur d'une calciémie ajustée"
"151110","153850"," en fonction de la calciémie mesurée et de"
"153850","157650"," l'albuminémie et ou de protidémie en utilisant"
"157650","158810"," les formules de correction."
"159750","162970"," Énumérer les paramètres du bilan biochimique de base"
"162970","166030"," et les tests complémentaires à demander pour le"
"166030","170630"," diagnostic éthiologique d'un désordre phosphocalcique en identifiant"
"170630","171930"," leurs principes de dosage. "
"172870","176030"," Et enfin, citer les principaux dysfonctionnements du métabolisme"
"176030","180430"," phosphocalcique, leur sémiologie biochimique et leurs éthiologies."
"183220","186700"," Au sommaire de ce chapitre, après quelques rappels"
"186700","193280"," physiopathologiques, on va aborder l'exploration des paramètres"
"193280","197920"," à étudier pour élucider les mystères des dysfonctionnements"
"197920","198960"," phosphocalciques."
"199680","203080"," Et en dernière partie, on va étudier la"
"203080","206700"," sémiologie biochimique des hyper- et hypocalcémies et"
"206700","209620"," également des hyper- et hypophosphatémies. "
"211760","216640"," Nous commençons par les rappels physiologiques et tout"
"216640","217600"," d'abord les fonctions."
"217880","220240"," Il faut savoir que le calcium et le"
"220240","223200"," phosphore sont deux ions minéraux d'une grande"
"223200","225140"," importance pour l'organisme."
"225940","228120"," Ils vont jouer un rôle que je n "
"228120","230500","'ai pas mentionné sur cette plaque, c'est"
"230500","233440"," celui d'entrer dans la constitution de l "
"233440","233640","'os. "
"236780","240100"," Le réservoir unique de l'organisme ont ces"
"240100","243940"," deux éléments et qui va permettre d'approvisionner"
"243940","246220"," l'organisme chaque fois qu'il y a"
"246220","250640"," besoin pour maintenir l'homéostasie phosphocalcique."
"251660","253860"," En dehors de ce rôle qui est très"
"253860","259399"," important, le calcium va jouer plusieurs autres fonctions"
"259399","262700"," sous forme surtout ionisée ou bien sous forme"
"262700","266140"," libre dans l'excitabilité musculaire."
"266140","273320"," C'est un cofacteur de plusieurs enzymes. "
"273820","275700"," Il va jouer un rôle également dans le"
"275700","281080"," processus de coagulation et également dans quelques transports"
"281080","281780"," membraneurs."
"282280","285040"," Pour le phosphore, c'est le principal anion"
"285040","286220"," intracellulaire."
"286220","290140"," Il va permettre l'activation de molécules biologiques. "
"290660","294160"," Si je peux déjà citer l'exemple de"
"294160","299400"," glucose qui, sans la phosphorylation, ne peut emprunter"
"299400","301360"," par exemple la voie de la glycolyse."
"302320","305180"," Le phosphore permet l'emmagasinage de l'énergie"
"305180","306920"," sous forme de molécules d'ATP."
"306920","310500"," Et également, il va entrer dans la constitution"
"310500","313960"," de plusieurs molécules de grande importance telles que"
"313960","318380"," les phospholipides qui font partie de la composition"
"318380","323040"," de la membrane cytoplasmique et également la constitution"
"323040","324480"," des acides nucléiques. "
"327900","332600"," Pour la répartition, le calcium dont on dispose"
"332600","334440"," au niveau de notre organisme est à peu"
"334440","336800"," près de 1,1 kg."
"337120","340400"," 99% va se retrouver au niveau osseux,"
"341220","345200"," 1% se retrouve au milieu intracellulaire et"
"345200","347880"," uniquement 0,1%, à peu près un gramme,"
"347920","350420"," va se retrouver au milieu plasmatique."
"353660","357040"," Le calcium plasmatique représente à peu près une"
"357040","360880"," concentration en moyenne de 2,4 mmol par"
"360880","361720"," litre. "
"361840","364420"," Ce calcium va exister sous une forme non"
"364420","367500"," ultrafiltrable qui est liée principalement à l'albumine"
"367500","368740"," et représente 40%."
"368740","375240"," Et une forme ultrafiltrable qui représente 60%"
"375240","379480"," répartie en calcium libre ou ionisé qui représente"
"379480","379860"," 50%."
"380420","384540"," Le reste est complexé à des petites molécules"
"384540","386880"," telles que les citrates, les phosphates, les bicarbonates"
"386880","387880"," et les sulfates. "
"388420","391580"," Je précise ici que ce calcium plasmatique, c "
