"start","end","text"
"70","2470"," Bonjour à tous, je suis Rizlan Belbaraka, je"
"2470","4250"," suis professeure en oncologie médicale."
"4470","6090"," Je vais vous parler aujourd'hui du cours"
"6090","8070"," intitulé la chimiothérapie."
"8810","10550"," Notre cours va s'organiser de la manière"
"10550","11090"," suivante. "
"11230","13630"," Après une introduction et des rappels, nous allons"
"13630","15750"," voir les bases théoriques et les objectifs de"
"15750","16570"," la chimiothérapie."
"16930","19250"," Nous allons voir la classification et les mécanismes"
"19250","21370"," d'action des différentes familles des drogues de"
"21370","22070"," chimiothérapie."
"22470","24950"," Les modalités d'administration de la chimiothérapie. "
"25270","27170"," Nous allons parler de la toxicité de la"
"27170","29290"," chimiothérapie avant de conclure."
"29290","31850"," Le cancer est une maladie caractérisée par une"
"31850","34670"," prolifération anormale et anarchique d'un certain nombre"
"34670","37370"," de cellules qui échappe à tout contrôle de"
"37370","41210"," prolifération dans un contexte d'instabilité génétique permettant"
"41210","43590"," à la cellule tumorale d'acquérir toujours de"
"43590","47510"," plus en plus d'anomalies, lui permettant de"
"47510","51690"," migrer et d'aller proliférer loin de son"
"51690","52750"," tissu d'origine."
"53130","55590"," Le traitement du cancer comporte deux volets. "
"55590","59850"," Un traitement loco-régional représenté par la chirurgie"
"59850","64690"," et la radiothérapie qui vise à traiter la"
"64690","67270"," tumeur primitive, donc la tumeur localisée."
"67730","70430"," Et puis un traitement systémique qui vise à"
"70430","72230"," traiter la maladie générale."
"72550","75150"," Le traitement systémique se compose de différents volets. "
"75330","78670"," Un volet classique de chimiothérapie, un volet de"
"78670","82310"," thérapie ciblée et d'immunothérapie, un volet d "
"82310","85430","'hormonothérapie et puis un volet de soins de"
"85430","85830"," support."
"86170","89170"," Notre cours aujourd'hui s'intéresse principalement au"
"89170","92090"," traitement systémique par chimiothérapie."
"92370","95610"," La chimiothérapie anticancéreuse correspond à l'ensemble de"
"95610","98850"," médicaments qui vont induire la mort cellulaire, donc"
"98850","102110"," on parle d'agents cytotoxiques, en agissant sur"
"102110","105510"," les cellules en division cellulaire et principalement les"
"105510","107030"," cellules en division rapide. "
"107030","110710"," Elle va détruire sélectivement les cellules transformées, puisque"
"110710","113150"," ce sont des cellules qui vont avoir un"
"113150","114910"," taux de prolifération très élevé."
"115290","117750"," Mais ce n'est pas un effet spécifiquement"
"117750","121090"," tumoral, puisqu'elle peut agir sur toutes les"
"121090","124030"," cellules qui sont en division rapide, notamment les"
"124030","126990"," cellules saines, ce qui explique sa toxicité."
"127970","130930"," Voilà une illustration qui va montrer la différence"
"130930","135250"," entre la chimiothérapie conventionnelle, qui va agir et"
"135250","138130"," avoir un effet cytotoxique sur toutes les cellules"
"138130","140510"," qui sont en prolifération rapide, qu'elles soient"
"140510","144370"," tumorales ou saines, et la différence avec des"
"144370","146350"," thérapies intelligentes, ou ce qu'on appelle les"
"146350","150590"," thérapies ciblées, qui vont elles agir spécifiquement sur"
"150590","153650"," la cellule porteuse de l'anomalie moléculaire. "
"155680","157940"," L'histoire de la chimiothérapie remonte aux années"
"157940","161240"," 40, pendant la Deuxième Guerre mondiale, lorsqu'on"
"161240","163540"," a constaté que les soldats exposés à la"
"163540","165940"," moutarde d'azote ont développé des aplasies."
"166400","169060"," Ceci a poussé des chercheurs à examiner les"
"169060","172240"," effets thérapeutiques des agents moutarde en traitant le"
"172240","174500"," lymphone, et c'est de là est née"
"174500","177260"," la moutarde d'azote, le premier agent alkyl."
"177720","180260"," Après la Deuxième Guerre mondiale, une autre approche"
"180260","183080"," chimiothérapeutique a été vérifiée, c'est l'effet"
"183080","185460"," des analogues de l'acide folique, tel que"
"185460","187940"," le méthotrexate dans le traitement des leucémies de"
"187940","190620"," l'enfant, et puis les effets du méthotrexate"
"190620","193480"," dans le traitement du choriocarcinome, qui était la"
"193480","196220"," première tumeur solide traitée par chimiothérapie. "
"196720","199940"," À partir de là, le screening systématique de"
"199940","203100"," molécules extraites de plantes a permis de découvrir"
"203100","206640"," le pouvoir thérapeutique de plusieurs drogues de chimiothérapie,"
"207020","210380"," notamment le 5-fluorouracil, qui représente une avancée"
"210380","213260"," majeure dans le traitement des tumeurs solides, et"
"213260","216660"," puis les anthracyclines, et plus récemment les taxanes,"
"216780","218800"," par des procédures d'hémisynthèse."
"219500","221900"," Nous allons voir maintenant les objectifs de la"
"221900","224420"," chimiothérapie dans le traitement des cancers."
"225340","227440"," Le traitement des cancers fait appel à une"
"227440","232400"," stratégie multidisciplinaire, incluant un traitement loco-régional par"
"232400","235980"," chirurgie, radiothérapie ou les deux, et un traitement"
"235980","241320"," systémique fait par chimiothérapie, thérapie ciblée ou immunothérapie. "
"242260","246740"," La chimiothérapie peut être donnée à visée néoadjuvante,"
"247160","249300"," c'est-à-dire elle va être administrée"
"249300","252520"," avant le traitement local ou loco-régional, qu "
"252520","255459","'il soit chirurgical et ou radiothérapique."
"256260","258940"," Le but de la chimiothérapie néoadjuvante, c'est"
"258940","263440"," de traiter précocement la maladie systémique, et donc"
"263440","267500"," les micro-métastases, et puis d'évaluer in"
"267500","271580"," vivo l'efficacité du traitement et de permettre"
"271580","275960"," un traitement loco-régional efficace en réduisant le"
"275960","277180"," volume tumoral."
"277880","282380"," Des exemples de traitements de chimiothérapie néoadjuvante faits"
"282380","285140"," en pratique quotidienne, c'est l'exemple du"
"285140","285900"," cancer du sein. "
"286080","288360"," Lorsqu'il est diagnostiqué à un stade qui"
"288360","291260"," est localement avancé, on peut donner un traitement"
"291260","292900"," par chimiothérapie première."
"292900","296480"," Ça va réduire le volume tumoral et donc"
"296480","300780"," ça va permettre un traitement local efficace, conservateur,"
"301060","303460"," et éviter le traitement radical."
"304500","307780"," La chimiothérapie peut être donnée à visée adjuvante,"
"307920","309860"," c'est-à-dire elle va être administrée"
"309860","313740"," après le traitement local, en cas de présence"
"313740","317800"," de facteurs de mauvais pronostics, pour améliorer la"
"317800","321720"," survie globale, diminuer le risque de récidive et"
"321720","325540"," de métastase, en traitant la maladie micro-métastatique. "
"325860","329240"," Ces indications sont très larges, notamment dans les"
"329240","331180"," cancers du sein, dans les cancers du côlon,"
"331360","332900"," dans les cancers du poumon, etc."
"334220","338060"," Parfois, la chimiothérapie est donnée à visée curative,"
"338780","341540"," elle permet à elle seule d'obtenir la"
"341540","343220"," guérison de la maladie."
"343440","346260"," On parle de cancer chimio curable. "
"346260","349570"," C'est typiquement le cas des hémopathies malignes,"
"350200","352700"," c'est aussi le cas des tumeurs germinales"
"352700","356720"," testiculaires, où la chimiothérapie permet à elle seule"
"356720","358720"," de guérir la maladie."
