"start","end","text"
"340","3780"," ...de faire très attention, d'accord, de bien"
"3780","6360"," lire les mensonges, c'est ce qu'on"
"6360","8900"," donne à l'exemple, d'accord."
"10460","17640"," Premier cas clé, il s'agit d'une"
"17640","23060"," patiente âgée de 55 ans, fonctionnaire dans une"
"23060","26940"," banque, pensionne pour les douleurs des deux genoux,"
"27720","29240"," évoluant depuis un an."
"30440","33600"," L'intensité est évaluée à 60, quand je"
"33600","35960"," peux vous dire 6 sur 10, vous comprenez"
"35960","38400"," qu'il est 6 modéré. "
"39220","42960"," Il est gêné lors de la marche, la"
"42960","45880"," station de boue prolongée, ainsi que lors de"
"45880","47140"," la montée des escaliers."
"48220","50560"," Il est soulagé par le recours et ne"
"50560","53600"," peut plus faire son sport favori depuis 3"
"53600","53880"," mois."
"54080","59560"," Qu'est-ce que vous sortez de cette"
"59560","60860"," mensée ?"
"60860","73640"," Douleurs mécaniques, chroniques, modérées, pragmatiques,"
"73800","80900"," localisations des genoux, polygo, très très bien, polygo"
"80900","84880"," arthragique, d'accord, bien, et avec un retentissement. "
"86900","91240"," L'examen clinique trouve une marche avec une"
"91240","91640"," canne."
"92360","94680"," La patiente a besoin d'une canne pour"
"94680","95160"," marcher."
"96100","99760"," La palpation note un dépanchement du genou droit. "
"100700","103960"," La flexion des genoux est douloureuse et limitée"
"103960","106280"," du côté droit à 90 degrés."
"106280","109420"," L'examen somatique est sans particularité."
"110200","111540"," Qu'est-ce que je vous ai ajouté"
"111540","111860"," ?"
"113340","117280"," La limitation de la flexion, ça veut dire"
"117280","120700"," qu'il y a une raideur au niveau"
"120700","121460"," du genou droit. "
"123320","126400"," Un dépanchement au niveau du genou droit."
"131080","133600"," Comment classer ces douleurs ?"
"133600","136960"," Il s'agit du mono arthrique du genou"
"136960","137360"," droit."
"138840","141800"," Tout le monde est d'accord, non ?"
"141800","144980"," Pourquoi ?"
"145460","148100"," De deux genoux, la patiente a un dépanchement"
"148100","149200"," dans un seul genou. "
"151500","154620"," Très très bien, je vous ai parlé d "
"154620","155220","'épanchement."
"156120","157980"," S'il y avait des cils inflammatoires, je"
"157980","160020"," vous aurais dit qu'il y a des"
"160020","160980"," cils inflammatoires."
"160980","162440"," C'est très important. "
"162980","167320"," L'arthrite cinuvite doit être constatée par un"
"167320","167840"," médecin."
"168620","169980"," Ce n'est pas ce que me rapportent"
"169980","170520"," les patients."
"171020","174100"," Je dois constater quoi ?"
"174100","177660"," Les cils inflammatoires en regard. "
"178040","178560"," Les trois."
"179520","180320"," Tues mes patients."
"181480","182900"," Remonte la chaleur. "
"183580","184500"," Et la bonheur."
"184500","187300"," Si il n'y a pas ça, on"
"187300","189500"," ne peut pas parler ni d'arthrite ni"
"189500","192360"," de cinuvite qui sont synonymes."
"193180","195000"," Il s'agit d'une douleur chronique des"
"195000","195420"," genoux. "
"196260","197120"," Oui, bravo."
"197560","202000"," Pour l'arthropathie, au niveau cils, vous êtes"
"202000","202320"," mis."
"202500","205530"," Au niveau arthropathie, vous aurez couché. "
"206400","207800"," On est bien d'accord ?"
"207800","209500"," Une douleur aiguë ?"
"210980","211620"," Très très bien."
"214500","217040"," A l'examen, il faut rechercher un épauchement"
"217040","218040"," articulaire."
"220460","220960"," Oui. "
"221460","223340"," Rechercher des points douloureux."
"224420","227220"," Rechercher une douleur à la mobilisation des hanches."
"228520","228900"," Très bien. "
"230020","230420"," Les trois."
"230940","239100"," Les diagnostics possibles sont une arthrose des genoux."
"240180","240480"," Oui. "
"241200","243680"," Une arthrite reumatismale ?"
"243680","243780"," Non."
"244300","245700"," Une arthrite septique ?"
"245700","246060"," Non."
"246780","247460"," Je connais bien lui. "
"248140","248240"," Non."
"253190","253970"," Trois jours."
"255610","258390"," Une arthrite goûteuse ?"
"258390","258709"," Non. "
"259209","263170"," On est donc d'une douleur mécanique."
"263290","265510"," Je ne veux pas que vous gâchiez de"
"265510","267170"," l'éthiologie inflammatoire."
"267930","268030"," Bien. "
"269270","269990"," Bien."
"271530","272750"," Deuxième catholique."
"273450","275450"," C'est une patiente âgée de 35 ans"
"275450","276110"," et de jeunes. "
"276670","277390"," Institutrice."
"278210","280810"," Présente depuis un mois des douleurs des deux"
"280810","283610"," poignets, les deux gouttes et les deux chevilles."
