"start","end","text"
"1100","4440"," Bonjour, c'est Dr. Reis Hanan, enseignante d "
"4440","8560","'anatomie pathologique, et je vais vous enseigner les"
"8560","11540"," techniques en anatomie pathologique, c'est-à-dire"
"11540","14940"," quelles sont les étapes que fasse subir un"
"14940","19220"," prélèvement, que ce soit cytologique ou biopsique, pour"
"19220","21980"," arriver à un compte rendu anatomopathologique."
"24960","27460"," Alors, on va adopter le plan suivant."
"27460","30100"," On va étudier les différents types de prélèvements"
"30100","34880"," que va recevoir un anatomopathologiste, les techniques d "
"34880","38940","'études morphologiques standards pour des prélèvements tissulaires, et"
"38940","43780"," les techniques d'études morphologiques spéciales des prélèvements"
"43780","49540"," tissulaires, avec des objectifs auxquels on doit répondre"
"49540","50660"," à la fin du cours. "
"51740","55100"," Alors, c'est quoi les techniques anatomopathologiques ?"
"55100","59240"," Les techniques anatomopathologiques, c'est la possibilité de"
"59240","65500"," passer depuis un prélèvement cytologique, que ce soit"
"65500","69220"," des urines, que ce soit un prélèvement d "
"69220","74500","'acide, ou bien un prélèvement de frottisseur vicovaginale,"
"74560","78420"," par exemple, vers une lame cytologique qui est"
"78420","81000"," colorée et qu'on va analyser pour faire"
"81000","82100"," sortir un compte rendu."
"82100","85080"," Et aussi pour les prélèvements biopsiques, par exemple,"
"85500","89020"," un névus qui est réséqué, une biopsie qui"
"89020","90760"," est fixée au formol."
"94540","99680"," Alors, la qualité des prélèvements va conditionner la"
"99680","101940"," qualité de l'étude anatomopathologique. "
"102560","105840"," Je pose tout le temps l'exemple du"
"105840","106300"," tagine."
"106540","108120"," Si on a de la viande de bonne"
"108120","111320"," qualité et des légumes fraîches, on aura un"
"111320","114480"," bon tagine, respectivement."
"114940","118640"," Si on a des légumes anciens, vieillots, avec"
"118640","122280"," de la viande de mauvaise qualité, qui est"
"122280","125360"," mal conditionnée, qui était restée à l'air"
"125360","127020"," libre, sans que ça soit mis dans le"
"127020","130240"," frigo ou bien dans le réfrigérateur, on aura"
"130240","132520"," un résultat qui est le tagine de mauvaise"
"132520","132920"," qualité. "
"133700","136560"," Alors, le médecin préleveur et prescripteur."
"136560","138680"," Le préleveur, c'est le chirurgien, c'est"
"138680","139700"," le gastro-entérologue."
"139760","142680"," Et le prescripteur, c'est le médecin qui"
"142680","147420"," a prescrit l'acte à la responsabilité dans"
"147420","148980"," l'acte anatomopathologique. "
"150000","153240"," Et donc, ça passe par une bonne réalisation"
"153240","154560"," technique du prélèvement."
"154760","156560"," Il faut qu'on évite la nécrose."
"156680","158580"," Il faut que le prélèvement ne soit pas"
"158580","159160"," écrasé. "
"159540","162100"," Et aussi dans l'acheminement dans les bonnes"
"162100","164960"," conditions au laboratoire d'anatomie pathologique."
"164960","166960"," C'est-à-dire que ce prélèvement doit"
"166960","170280"," être rapidement acheminé, doit être immédiatement mis dans"
"170280","174540"," du formol pour qu'on ait un résultat"
"174540","176860"," anatomopathologique de qualité."
"178440","179980"," Alors, quels sont les types de prélèvements que"
"179980","183260"," peut recevoir un anatomopathologiste ?"
"183260","186800"," Je peux recevoir un prélèvement cytologique, c'est"
"186800","189180"," de la cytologie, c'est du liquide, ou"
"189180","192700"," bien c'est des cellules isolées, ou bien"
"192700","195040"," je peux recevoir un prélèvement histologique, c'est"
"195040","195390"," tissulaire. "
"195980","198180"," Donc, soit c'est des cellules en suspension"
"198180","200660"," ou bien étalées, soit c'est un prélèvement"
"200660","201380"," tissulaire."
"201940","206220"," Alors, les cellules isolées sont obtenues par diverses"
"206220","209820"," façons, soit un recueil des liquides spontanément émis,"
"209960","211660"," c'est les urines, c'est la salive,"
"212360","216240"," soit un raclage, une aspiration de cellules d "
