"start","end","text"
"1220","6740"," Bonjour, bon aujourd'hui on va voir le"
"6740","14160"," deuxième chapitre après celui de l'équilibre hydroélectrolytique."
"15200","17660"," Aujourd'hui notre deuxième chapitre va être consacré"
"17660","20660"," à un autre équilibre aussi important que le"
"20660","24200"," premier, c'est l'équilibre acidobasique."
"25060","26980"," Alors tout d'abord je dois dire que"
"26980","30620"," cet équilibre là, ce chapitre vient juste après"
"30620","33000"," le premier parce qu'il y a un"
"33000","36420"," lien étroit entre les deux équilibres et qu "
"36420","39820","'on va voir le long de ce chapitre"
"39820","40100"," là. "
"41820","45180"," Alors on avait fixé certains objectifs."
"46940","50120"," Après la fin de ce chapitre vous devez"
"50120","55040"," être capable de savoir et de connaître et"
"55040","58480"," de maîtriser l'importance et la stabilité de"
"58480","61860"," la constance du pH parce que cette notion"
"61860","66020"," de pH est très importante pour le déroulement"
"66020","70320"," normal de toutes les réactions métaboliques au sein"
"70320","71360"," de notre organisme."
"73160","78220"," Alors comme cette importance compte beaucoup pour ces"
"78220","84020"," réactions métaboliques, l'organisme met en jeu certains"
"84020","87160"," systèmes de régulation chaque fois qu'il y"
"87160","91520"," a une rupture ou un déséquilibre de cette"
"91520","93300"," constance du pH. "
"94240","97900"," Alors ces systèmes de régulation sont sous la"
"97900","101060"," forme de lignes de défense que l'organisme"
"101060","103920"," va mettre en jeu chaque fois qu'il"
"103920","105920"," y a un déséquilibre."
"106080","108480"," Alors ces lignes de défense sont en nombre"
"108480","108980"," de trois."
"110020","112420"," On peut les annoncer dès lors. "
"112600","115360"," C'est que la première ligne de défense"
"115360","118360"," qui est représentée par les systèmes tampons de"
"118360","120520"," l'organisme, puis après il y a la"
"120520","124520"," deuxième ligne représentée par les poumons, puis après"
"124520","128259"," la troisième qui vient à la fin mais"
"128259","131060"," qui est très efficace, c'est la régulation"
"131060","132340"," rénale."
"133540","136360"," Bien sûr, il y a un bilan de"
"136360","140860"," base chaque fois qu'on veut explorer cet"
"140860","144580"," équilibre acido-basique et ce bilan de base"
"144580","148520"," il comporte un examen très très très important"
"148520","151200"," aussi bien sur le plan technique que sur"
"151200","153320"," le plan clinique, c'est ce qu'on"
"153320","156220"," appelle la gazométrie et à côté bien sûr"
"156220","158900"," il y a des bilans complémentaires à faire"
"158900","161360"," à visée plutôt idéologique."
"163600","167020"," Vous devez être aussi ou vous devez acquérir"
"167020","172640"," la compétence d'interpréter un désordre acido-basique"
"172640","177000"," et ces désordres là sont en nombre de"
"177000","177240"," deux. "
"179020","183160"," Soit vous serez confronté à des acidos et"
"183160","185680"," c'est le cas le plus fréquent, soit"
"185680","192360"," à des alcalos avec bien sûr leur éthiologie."
"193600","195560"," Donc cela veut dire qu'il y a"
"195560","200860"," un raisonnement chaque fois que vous êtes devant"
"200860","203320"," un bilan de gazométrie."
"205120","209160"," Alors pour atteindre ces objectifs on a établi"
"209160","211740"," un plan de notre chapitre, d'abord une"
"211740","215700"," introduction avec quelques rappels physiologiques qui vont vous"
"215700","219840"," faciliter l'assimilation des données de cet équilibre. "
"220640","223800"," On va voir le métabolisme acido-basique, comment"
"223800","226320"," il se déroule au sein de l'organisme"
"226320","229740"," et après on va voir ensemble l'exploration"
"229740","233380"," biochimique de cet équilibre là avant de finir"
"233380","237900"," par présenter les principaux troubles de cet équilibre"
"237900","239380"," acido-basique."
"240100","244580"," Tout d'abord on a comme introduction, alors"
"244580","247040"," l'équilibre acido-basique il sert à quoi"
"247040","247840"," ?"
"247840","251920"," Il sert au maintien de l'homéostasie du"
"251920","252740"," pH sanguin."
"253080","259519"," Alors pH sanguin, vous connaissez cette notion de"
"259519","261760"," pH qui est le potentiel d'hydrogène, c "
"261760","264880","'est en rapport direct avec la concentration en"
"264880","265880"," proton H+. "
"265880","270020"," Et ce pH sanguin est exprimé par le"
"270020","273200"," log de l'inverse de la concentration en"
"273200","274160"," proton H+."
"274160","280240"," Alors l'organisme possède un intervalle de pH"
"280240","283900"," physiologique et cet intervalle varie dans des limites"
"283900","287300"," très étroites et il est compris entre 7 "
"287300","289140",",38 et 7,42."
"290060","293620"," Alors pourquoi maintenir ce pH physiologique ?"
"293620","298880"," Parce que selon le pH, ça va bien"
"298880","303500"," sûr affecter plusieurs fonctionnalités de l'organisme, notamment"
"303500","305200"," l'excitabilité nerveuse. "
"305720","307640"," Il faut savoir qu'en cas d'acidose"
"307640","310440"," il y a une dépression du système nerveux"
"310440","314160"," central qui va se manifester par des syndromes"
"314160","317280"," de désorientation et même un coma mortel."
"317460","320320"," Alors qu'en face d'une alcalose, il"
"320320","322600"," y a une excitation du système nerveux central"
"322600","326640"," qui va se traduire par un spasme des"
"326640","327720"," muscles respiratoires."
"328360","331260"," De même ce pH physiologique est très important"
"331260","334160"," pour le bon déroulement des réactions enzymatiques et"
"334160","336800"," vous savez très bien que toutes les réactions"
"336800","340580"," métaboliques font appel à certains enzymes. "
"340820","344060"," Et pour que ces enzymes-là puissent travailler"
"344060","346280"," dans les conditions normales, il faut qu'il"
"346280","349640"," y ait un pH optimal quand il faut"
"349640","352360"," qu'il y ait une température optimale pour"
"352360","353040"," tout enzyme."
"354580","358820"," Une autre notion très importante qui est liée"
"358820","363920"," à ce maintien de pH physiologique, c'est"
"364440","367280"," l'homéostasie de l'ion potassium."
"367860","371400"," Ce potassium est très important dans l'organisme"
"371400","375100"," parce que, que ce soit devant des hypercalimies"
"375100","380680"," ou des hypocalimies, ça peut affecter d'une"
"380680","384800"," façon parfois très grave l'organisme et on"
"384800","389600"," sait très bien l'impact d'une hypercalimie"
"389600","392660"," sur la fonction cardiaque parce que le potassium"
"392660","394840"," constitue un poison cardiaque. "
"395080","398840"," Donc pour maintenir cette calimie dans les valeurs"
"398840","401700"," normales, il faut qu'il y ait un"
"401700","407280"," maintien du pH physiologique qui est compatible avec"
"407280","407700"," la vie."
"410430","414250"," Alors le métabolisme acido-vasique bien sûr est"
"414250","417430"," sujet à une régulation à court et à"
"417430","418150"," moyen terme."
"418270","420470"," À court terme, comme on verra tout à"
"420470","422450"," l'heure, ce sont les systèmes tampons de"
"422450","424610"," l'organisme, que ce soit les systèmes tampons"
"424610","427750"," plasmatiques qui se trouvent dans le plasma ou"
"427750","431690"," les systèmes tampons érythrocytaires qu'on trouve au"
"431690","435130"," niveau des érythrocytes et qui sont représentés par"
"435130","437090"," l'hémoglobine et l'hémoglobinate. "
"437250","440350"," On parlera d'acidoge chaque fois que la"
"440350","444110"," valeur de pH est inférieure à 7,38"
"444110","447490"," ou d'alcaloge chaque fois que cette valeur"
"447490","449430"," de pH dépasse 7,40."
"451050","454430"," Alors comme rappel, vous savez très bien qu "
"454430","460550","'une substance acide est capable de libérer un"
"460550","462670"," proton H plus dans le milieu."
"462810","465670"," Après dissociation, il va donner des protons bien"
"465670","467590"," sûr avec sa base conjugée. "
"467730","470990"," Si on veut exprimer la constante d'acidité,"
"471170","473610"," ça s'exprime par les termes de cette"
"473610","477170"," réaction de dissociation telle que Ka est égale"
"477170","481190"," à la concentration des protons H plus et"
"481190","484590"," la concentration de la base conjugée de l "
"484590","486950","'acide et comme dénominateur on a bien sûr"
"486950","487810"," l'acide."
"488790","491910"," Deuxième notion, c'est la notion de pKa"
"491910","494850"," qui est une notion mathématique qui est égale"
"494850","496670"," à moins log de Ka, c'est-à "
"496670","499510","-dire moins log de cette constante d'acidité"
"499510","502890"," et cette notion de pKa, la valeur de"
"502890","506410"," pKa est inversement proportionnelle à la force d "
"506410","508990","'un acide, c'est-à-dire plus qu "
"508990","512169","'un acide est fort, plus que son pKa"
"512169","513630"," est faible."
"514309","516770"," Alors le pH c'est moins log de"
"516770","521590"," la concentration en proton H plus et si"
"521590","525070"," on veut exprimer le pH en fonction de"
"525070","528070"," pKa, ça donne cette formule pH est égale"
"528070","530930"," à pKa plus log de la base sur"
"530930","531430"," acide. "
"531430","533890"," La base, c'est la base conjugée bien"
"533890","537050"," sûr de l'acide qui est concernée."
"538590","542090"," Alors une deuxième notion à savoir avant d "
"542090","544090","'avancer dans ce chapitre, c'est la loi"
"544090","544510"," d'Henry."
"544670","546230"," Alors la loi d'Henry, qu'est-ce"
"546230","547170"," qu'il stipule ?"
"547170","550110"," Il stipule que la quantité d'un gaz"
"550110","554310"," dissous dans un liquide est proportionnelle d'une"
"554310","557430"," part à sa pression partielle, parce que chaque"
"557430","559910"," gaz il a cette pression partielle, et à"
"559910","562210"," un coefficient qu'on appelle le coefficient de"
"562210","564610"," solubilité à température constante. "
"565710","567750"," Pour le CO2, c'est le gaz qui"
"567750","571470"," nous intéresse ici dans cet équilibre acido-vasique,"
"572910","577290"," le CO2, la quantité de CO2 dissoute dans"
"577290","580510"," le plasma, dans le liquide qui est le"
"580510","583270"," plasma, et fonctionne bien sûr de son coefficient"
"583270","587050"," de solubilité et de sa pression partielle, ce"
"587050","588430"," qu'on appelle la pCO2."
"588430","592530"," De même, pour l'oxygène, la quantité dissoute"
"592530","596330"," d'oxygène dans le plasma fonctionne aussi de"
"596330","599010"," sa pression partielle et de son coefficient de"
"599010","599990"," solubilité alpha."
"602840","606820"," Maintenant on va voir les composés acides. "
"607280","610980"," On doit d'abord les connaître, les définir"
"610980","612740"," pour pouvoir avancer."
"613200","614860"," Alors d'abord il y a les composés"
"614860","618020"," acides qui ont un caractère volatil, et c "
"618020","619300","'est le CO2."
"619860","622740"," Alors le CO2, le gaz CO2, le dioxyde"
"622740","626320"," de carbone, qui est le résultat de l "
"626320","629660","'oxydation complète des glucides et des lipides, il"
"629660","631040"," a un caractère acide. "
"632200","634220"," Et dans notre organisme il existe une enzyme"
"634220","638040"," très importante qu'on appelle l'anidrase carbonique,"
"638520","642060"," qui en présence de deux substrates, le CO2"
"642060","645220"," et de l'eau, va donner de l "
"645220","649260","'acide carbonique H2CO3, qui est cet acide-là."
"650040","653200"," Par la loi de dissociation, il va libérer"
"653200","656580"," sa base conjuguée qui est le bicarbonate, le"
"656580","658880"," HCO3-, plus un proton."
