"start","end","text"
"40","1520"," J'espère que vous avez vu les cours"
"1520","5240"," que j'ai mis sur la plateforme, parce"
"5240","7100"," que si vous n'avez pas vu ces"
"7100","9800"," cours, vous n'allez pas pouvoir profiter de"
"9800","10440"," cette séance."
"12180","16260"," Je l'ai retardé le temps de vous"
"16260","19980"," déposer tous les cours, pour qu'on puisse"
"19980","24540"," voir ensemble l'intérêt de certains des cours."
"25420","26520"," On ne va pas voir l'intérêt de"
"26520","27080"," tous les cours. "
"27080","28540"," Donc, à fur et à mesure, j'avais"
"28540","31960"," parlé, par exemple, de l'intérêt de comprendre"
"31960","34760"," et de connaître la physiologie du sommeil."
"35140","38000"," Ça a des impacts sur la physiopathologie du"
"38000","41280"," sommeil et sur la thérapeutique, sur comment aider"
"41280","42620"," les patients."
"43780","46780"," Ou bien, pour comprendre certaines situations, on a"
"46780","51160"," un patient qui présente des troubles de sommeil,"
"51160","58360"," avec somnolence, voire coma, à l'occasion de"
"58360","59700"," l'atteinte du tronc cérébral. "
"60440","62760"," On a compris que, par exemple, pour ce"
"62760","67340"," patient, c'est le fait que les noyaux,"
"67560","70300"," certains noyaux du tronc cérébral, ils sont nombreux"
"70300","73000"," dans le tronc cérébral, à être connectés avec"
"73000","77320"," le cerveau."
"78260","82740"," Ceci fait qu'il garde le cortex éveillé,"
"83200","85320"," avec des décharges à haute fréquence."
"86260","89000"," À l'occasion, par exemple, d'un accident"
"89000","94280"," vasculaire cérébral, d'une infection, d'un traumatisme"
"94280","98380"," crânien touchant le tronc cérébral, le patient va"
"98380","100820"," présenter soit des somnolences, soit un coma. "
"103640","106240"," On comprend des choses grâce à la physiologie."
"107400","109720"," J'aimerais bien voir avec vous ce premier"
"109720","112200"," cas clinique d'une patiente de 54 ans,"
"112960","118560"," diabétique, qui présente ce matin, le matin où"
"118560","120500"," on l'a vu, de façon brutale, une"
"120500","124020"," faiblesse de l'hémicorps droit, avec des vertiges."
"124020","126460"," Je vous rappelle que vertiges, c'est une"
"126460","132480"," sensation que l'environnement tourne autour de nous,"
"132600","133740"," ou bien que nous, on est en train"
"133740","135140"," de tourner autour de l'environnement. "
"136080","139780"," Ça peut être aussi une sensation d'instabilité,"
"140240","143100"," comme si on est sur une barque, et"
"143100","145180"," qu'il y a des mouvements ondulatoires."
"146240","147780"," Ça fait qu'on n'arrive pas bien"
"147780","150200"," à marcher, à être équilibré."
"151400","153120"," À l'examen, on a retrouvé qu'il"
"153120","156140"," y a un syndrome hémipyramidal droit, avec une"
"156140","159680"," hypoesthésie droite à tous les modes, une paralysie"
"159680","164340"," linguale gauche, et un syndrome cérébelleux statique droit. "
"165960","168400"," D'après vous, est-ce que cette patiente"
"168400","170640"," présente un problème central ou périphérique?"
"171280","172820"," Je vous rappelle que le central, c'est"
"172820","174560"," l'encéphale et la moelle épinière."
"175460","177100"," Le périphérique, c'est tout ce qui est"
"177100","178920"," nerf crânien et nerf rachidien."
"178920","186300"," D'après les éléments de la clinique, est "
"186300","187800","-ce qu'on est dans le central ou"
"187800","189040"," dans le périphérique?"
"191600","192600"," Dans le central, monsieur. "
"193660","194500"," Dans le central."
"194660","195960"," Est-ce que vous avez des arguments?"
"197640","199860"," Elle dit qu'elle a une atteinte de"
"199860","201260"," l'hémicorps droit avec des vertiges."
"201400","202960"," Ça peut nous faire penser à une atteinte"
"202960","203600"," du cervelet. "
"206310","208330"," Mais c'est l'examen clinique qui confirme"
"208330","209670"," est-ce que c'est central ou périphérique."
"210210","212270"," Et notre examen clinique confirme que c'est"
"212270","213750"," central parce qu'il y a une atteinte"
"213750","214810"," pyramidale."
"215570","219510"," L'atteinte pyramidale, l'atteinte cérébelleuse, ne peut"
"219510","221590"," pas être due à un problème périphérique. "
"222250","224250"," Quand on dit atteinte pyramidale, c'est qu "
"224250","226450","'on a des signes de l'atteinte pyramidale,"
"226930","228450"," du faisceau pyramidal."
"228930","231590"," On avait vu ensemble que le faisceau pyramidal"
"231590","233810"," commençait dans..."
"234390","235610"," Je vais vous montrer ça."
"235610","248740"," Quand le faisceau"
"248740","251940"," pyramidal commence dans le cortex, il descend et"
"251940","254900"," se termine dans la moelle ou bien dans"
"254900","255720"," le tronc cérébral. "
"256240","258420"," Ce qui fait que l'atteinte du faisceau"
"258420","262060"," pyramidal reflète une atteinte centrale, toujours."
"262560","263840"," On ne peut pas avoir un patient qui"
"263840","269320"," a une atteinte pyramidale avec une atteinte périphérique,"
"269800","271000"," due à une atteinte périphérique."
"271560","272780"," Vous pouvez me rappeler, je sais que vous"
"272780","274600"," avez vu la sémiologie, quels sont les signes"
"274600","277540"," en faveur de l'atteinte pyramidale que comprend"
"277540","279320"," le syndrome pyramidal ?"
"302910","304550"," Quelqu'un ?"
"304550","308830"," Vous avez vu le syndrome pyramidal en sémiologie"
"308830","310310"," neurologique ?"
"311750","312930"," Oui ou non ?"
"322180","324960"," Monsieur, on a vu un signe caractéristique, c "
"324960","326020","'est le signe de Babinski. "
"327020","327500"," Oui."
"328840","330360"," Quoi d'autre ?"
"334230","337370"," Le signe de Babinski est un signe pathognomonique,"
"337590","338830"," mais il n'est pas toujours présent."
"338830","341690"," On peut avoir un patient qui a un"
"341690","344050"," syndrome pyramidal sans signe de Babinski. "
"344370","345170"," C'est-à-dire, c'est un patient"
"345170","347530"," qui va avoir une hypertonie."
"349370","352390"," Je vous rappelle que le système pyramidal joue"
"352390","355670"," un rôle inhibiteur sur le réflexe mutatique."
"356710","360590"," Si on enlève le faisceau pyramidal, si on"
"360590","362590"," a une atteinte pyramidale, le réflexe mutatique va"
"362590","366010"," être exagéré, ce qui va se refléter par"
"366010","367710"," une hypertonie spastique. "
"367710","371110"," Le patient va avoir une hypertonie spastique."
"373110","378750"," Deuxièmement, le patient va avoir des réflexes ostéotendineux"
"378750","381710"," qui sont vifs, polycynétiques et diffusés."
"382110","386270"," C'est ça, principalement, les signes cliniques objectifs"
"386270","387530"," qu'on retrouve et qu'on va dire"
"387530","389250"," qu'on a une atteinte pyramidale. "
"390010","393830"," Donc, ce patient a une atteinte hémipyramidale droite."
"393830","397890"," Il a une hypoesthésie à tous les modes"
"397890","400450"," qui est toujours droite, mais il a une"
"400450","404370"," paralysie linguale gauche et un syndrome cérébelleux droit."
"405230","407830"," Donc, ça englobe tous les systèmes qu'on"
"407830","408250"," a vus. "
"408510","412230"," La motricité, la sensibilité, le système cérébelleux et"
"412230","413870"," aussi une perte crânienne."
"414710","416470"," Est-ce que quelqu'un peut me dire"
"416470","418230"," exactement où est-ce qu'on peut localiser"
"418230","418670"," l'atteinte?"
"418850","419750"," Est-ce qu'elle est dans la moelle"
"419750","419970"," épinière?"
"421270","423670"," Si elle est dans la moelle épinière, est "
"423670","427410","-ce qu'elle est lombaire, dorsale, cervicale?"
"427490","428450"," Est-ce qu'on est dans le tronc"
"428450","428950"," cérébral?"
"429150","430670"," Si on est dans le tronc cérébral, est "
"430670","432070","-ce que c'est le bulbe?"
"432190","433050"," Est-ce que c'est le pan?"
"433250","434350"," Est-ce que c'est le mesoencephale?"
"435010","435970"," Est-ce qu'on est dans le cerveau?"
"437330","438490"," Et dans ce cas, est-ce qu'on"
"438490","441570"," est dans la capsule interne ou bien dans"
"441570","442810"," le cortex cérébral?"
"443210","447070"," C'est les principales localisations de l'atteinte"
"447070","448970"," motrice pyramidale."
"451580","454820"," En se basant sur les autres éléments cliniques,"
"455400","456500"," est-ce que quelqu'un peut me dire"
"456500","457520"," où est l'atteinte?"
"466270","469950"," Est-ce que vous voulez participer avec moi"
"469950","471030"," ou vous n'êtes pas intéressée?"
"475530","475770"," Monsieur?"
"476930","478250"," Il faut participer. "
"479470","482410"," Vous savez qu'on a..."
"482410","483070"," Oui, madame?"
"484030","486110"," Je pense que c'est au niveau du"
"486110","486950"," tronc cérébral."
"487730","488090"," Oui."
"490130","490670"," Et..."
"490670","491630"," Dans le tronc cérébral. "
"493790","496030"," Je pense qu'il y a une atteinte"
"496030","497590"," linguale gauche."
