"start","end","text"
"130","450"," Vous m'entendez?"
"4330","4890"," Oui, madame."
"5650","6210"," D'accord."
"6630","8570"," Donc, Ramadan Moubarak. "
"10150","11630"," Wa alaykoum wa alaykum salam."
"12250","14410"," Wa alaykoum wa alaykoum salam."
"15610","18750"," Et espérons que ce sera le dernier Ramadan"
"18750","22310"," sous COVID-19 pour qu'on puisse sortir"
"22310","23270"," et respirer. "
"24570","27110"," Alors, on commence cette séance là de, de,"
"27290","30930"," de, interactif de cours de pathologie, de sémiologie"
"30930","31770"," infectieuse."
"32870","35270"," Est-ce que déjà, vous l'avez vu,"
"36210","37730"," est-ce que vous avez déjà des questions?"
"37870","39790"," Nous allons commencer avec le syndrome ménager."
"42260","43920"," Est-ce que vous avez déjà des questions"
"43920","45380"," avant qu'on commence le cours?"
"51020","51500"," Non?"
"52460","53620"," Vous n'avez pas de questions?"
"56090","56850"," Vous l'avez compris?"
"60290","63930"," Alors, bon, je vais revoir le cours avec"
"63930","67050"," vous et je vais insister sur certaines choses. "
"67490","69490"," Et bien sûr, ceux qui ont des questions"
"69490","71330"," peuvent m'arrêter à n'importe quel moment."
"71330","73450"," On peut répondre et on va essayer de"
"73450","76650"," faire le tour de ce programme-là."
"77110","79030"," Alors, commençons par le syndrome ménager. "
"79450","82550"," Donc, le syndrome ménager, on a commencé avec"
"82550","86450"," celui-là parce que c'est un syndrome"
"86450","96450"," qui souvent vient aux urgences pour"
"96450","102410"," représenter des symptômes qui normalement doivent être pris"
"102410","105590"," en charge en urgence parce que ça témoigne"
"105590","108310"," d'une pathologie grave derrière."
"108890","112390"," Donc, il faut savoir le reconnaître pour médecin"
"112390","115750"," pour les prendre en charge le plus rapidement"
"115750","117870"," possible parce qu'il y a un pronostic"
"117870","120110"," vital derrière qui est mis en jeu et"
"120110","122390"," un pronostic fonctionnel, c'est-à-dire que"
"122390","128930"," le risque de certains paralysés, certains séquelles neurologiques,"
"129250","133490"," qu'il faut éviter le plus possible."
"138650","143870"," Alors, le syndrome ménager, c'est la résultante"
"143870","147810"," de l'inflammation des trois feuillets des ménages,"
"147810","151510"," c'est-à-dire la durmère, l'arachnoïde"
"151510","154370"," et la pimer qui se trouvent en dessous"
"154370","157350"," de l'os crânien. "
"160290","163290"," Et cliniquement, on a des signes fonctionnels, c "
"163290","164850","'est-à-dire les signes que va rapporter"
"164850","167630"," le patient, ce qu'on appelle le trépied"
"167630","168430"," ménagétique."
"169270","173110"," Alors, le trépied ménagétique, c'est essentiellement tris,"
"173370","175390"," c'est-à-dire trois choses essentielles, ce"
"175390","177690"," sont les céphalées, ce sont l'évomissement et"
"177690","178610"," la constipation."
"178610","181450"," Donc, le trépied ménagétique, il est fait par"
"181450","185510"," des céphalées intenses, permanentes, en casque, c'est "
"185510","186950","-à-dire qu'il touche tout le crâne,"
"187170","189770"," le patient vient avec la main comme ça,"
"189990","191270"," c'est-à-dire que c'est tout"
"191270","192670"," le crâne qui lui fait mal, c'est"
"192670","194990"," pas une hémicranie, c'est pas la moitié"
"194990","196810"," du crâne droit ou la moitié du crâne"
"196810","197130"," gauche. "
"197650","199810"," Et ce sont des céphalées qui ne répondent"
"199810","201290"," pas aux ontalgiques, c'est-à-dire que"
"201290","203710"," le patient peut prendre du paracetamol sans que"
"203710","207470"," ça s'arrête, qui s'accentue à la"
"207470","209430"," lumière, c'est ce qu'on appelle la"
"209430","211250"," photophobie, c'est-à-dire que le patient"
"211250","215390"," n'arrive pas à ouvrir les yeux en"
"215390","217530"," regardant la lumière, que ce soit la lumière"
"217530","218980"," du jour, que ce soit la lumière artificielle."
"219570","221050"," C'est pour ça que le malade vous"
"221050","223110"," dit que je n'arrive pas à ouvrir"
"223110","224730"," les yeux, je n'arrive pas à regarder"
"224730","226130"," en face la lumière."
"226650","229230"," Parfois, il vient même à la consultation aux"
"229230","231610"," urgences avec les yeux couverts. "
"233350","236870"," Et aussi, ce sont des céphalées qui s "
"236870","238810","'accentuent au bruit et aux mouvements."
"240110","242610"," Deuxième signe de trépieds méningétiques, ce sont les"
"242610","248650"," vomissements, qui sont inconstants, sans nausées préalables, faciles,"
"248810","251950"," sans effort, et il y a une constipation,"
"252210","253690"," mais c'est un signe qui est inconstant."
"254370","257230"," Le signe essentiel du trépieds méningétiques, ce sont"
"257230","260170"," les céphalées, suivi par la suite des vomissements,"
"260589","262530"," et en dernier, c'est les constipations. "
"263510","267430"," Autres signes cliniques qui peuvent être associés au"
"267430","270170"," trépieds méningétiques, donc le trépieds, ce sont trois"
"270170","270410"," signes."
"271170","273410"," Et en plus de ce trépieds méningétique, il"
"273410","275490"," peut y avoir d'autres signes associés, comme"
"275490","277110"," une hypéresthésie défuse."
"277430","278870"," Hypéresthésie, c'est-à-dire qu'il y"
"278870","283170"," a une sensibilité de la peau très exagérée,"
"283650","284810"," très désagréable. "
"284810","286450"," C'est-à-dire que le simple fait"
"286450","289370"," de toucher le patient, ça crée une sensation"
"289370","291210"," douloureuse, désagréable."
"291550","293470"," Le patient ne vous laisse parfois même pas"
"293470","296730"," l'examiner, ou le toucher, ou faire les"
"296730","297450"," explorations."
"298870","304050"," Aussi, les réflexes ostéotondineux peuvent être très vifs,"
"304990","306250"," très exagérés. "
"309470","310630"," Alors, ce qu'on a vu, ce sont"
"310630","312330"," les signes fonctionnels, c'est-à-dire ce"
"312330","313990"," que le patient rapporte comme signe."
"313990","316910"," Maintenant, on va voir ce que ça veut"
"316910","318350"," dire les signes physiques, c'est-à-dire"
"318350","320450"," ce que l'examen, ce que vous, en"
"320450","324290"," tant que médecin, doivent chercher ou bien vont"
"324290","326570"," retrouver à l'examen clinique."
"326990","328690"," Donc, il y a la raideur méningée. "
"329450","331950"," La raideur méningée, c'est un ensemble de"
"331950","332270"," signes."
"332610","333170"," C'est-à-dire qu'il y a"
"333170","334570"," la raideur de la nuque, il y a"
"334570","336890"," le patient déjà qui vient peut-être avec"
"336890","338870"," la tête rejetée en arrière."
"338870","344730"," Donc, il ne peut pas fléchir la tête,"
"344870","346770"," ramener le menton vers le sternum. "
"347570","350190"," Par contre, les mouvements de latéralité, c'est "
"350190","351950","-à-dire faire tourner la tête à droite"
"351950","353850"," et à gauche, c'est possible."
"354750","358230"," Et si le patient vient sur un broncard,"
"358410","360650"," il vient souvent en position de chien de"
