"start","end","text"
"650","3790"," Chers étudiants, nous allons parler aujourd'hui des"
"3790","6330"," règles générales de la prescription médicamenteuse."
"9040","12500"," Une prescription médicamenteuse est l'acte par lequel"
"12500","15900"," un professionnel de santé indique à un malade"
"15900","17440"," le médicament qui lui conseille."
"18500","22040"," Vous êtes par exemple médecin, vous avez reçu"
"22040","24120"," dans votre cabinet un malade. "
"24120","27900"," Vous avez fait l'interrogatoire, vous l'avez"
"27900","30540"," examiné, vous avez posé le diagnostic et vous"
"30540","33200"," voulez lui conseiller les médicaments qu'il doit"
"33200","33620"," prendre."
"34320","37240"," Vous n'allez pas le faire verbalement, vous"
"37240","40040"," allez les écrire sur une ordonnance, c'est"
"40040","42120"," ce qu'on appelle une prescription médicamenteuse."
"43540","49860"," Cette prescription doit être faite, doit être une"
"49860","53240"," bonne prescription et doit être lisible parce qu "
"53240","54800","'elle doit informer le patient. "
"55800","58920"," Ce patient, en se reportant à l'ordonnance,"
"59040","60820"," il va savoir comment il doit prendre ses"
"60820","64440"," médicaments, la durée de prise du traitement, les"
"64440","66980"," doses qu'il doit prendre, donc elle doit"
"66980","69400"," être écrite d'une façon lisible."
"69400","73140"," Elle informe aussi les praticiens susceptibles d'intervenir,"
"73260","76020"," par exemple le pharmacien qui doit délivrer les"
"76020","79600"," médicaments qui existent sur l'ordonnance et les"
"79600","82120"," organismes sociaux chargés des remboursements."
"84720","87620"," Cette prescription doit obéir à certaines règles qu "
"87620","88840","'on va voir au fur et à mesure"
"88840","89460"," dans le cours. "
"90460","92540"," Le médecin peut prescrire ce qu'il veut"
"92540","94780"," dans les limites de ses compétences et des"
"94780","95840"," connaissances scientifiques."
"95840","98940"," Par exemple, un médecin généraliste ne va pas"
"98940","100340"," prescrire une chimiothérapie."
"101040","103220"," Le médecin est libre de prescrire les médicaments"
"103220","105780"," qu'il juge nécessaires pour son patient, mais"
"105780","108480"," ça sera dans les limites de ses compétences"
"108480","111680"," et bien sûr en fonction des connaissances scientifiques"
"111680","114640"," qui existent au moment de la prescription. "
"115540","118220"," La prescription doit se baser sur des données"
"118220","119020"," scientifiques."
"120020","124420"," La prescription engage la responsabilité juridique du prescripteur"
"124420","125500"," qui doit la signer."
"126080","129620"," Quand vous allez prescrire des médicaments, vous allez"
"129620","131420"," signer l'ordonnance. "
"132700","135800"," Ça serait votre prescription et ça va engager"
"135800","137420"," votre responsabilité juridique."
"137420","141620"," Par exemple, si vous prescrivez des médicaments dont"
"141620","147400"," l'association sera responsable de l'apparition d "
"147400","150140","'une interaction médicamenteuse grave et que le patient"
"150140","154520"," présente les signes de cette interaction ou les"
"154520","158600"," conséquences de cette interaction, ça va engager votre"
"158600","160340"," responsabilité juridique."
"161910","164150"," Dans ce cours, on va parler de l "
"164150","168530","'ordonnance, des prescripteurs possibles, on va donner la"
"168530","172230"," classification des médicaments, les règles de la prescription,"
"172990","175310"," on va parler de la surveillance et de"
"175310","176010"," l'observance. "
"176010","180350"," Au terme de ce cours, vous devez être"
"180350","182710"," capable de décrire les éléments se rattachant à"
"182710","186170"," une ordonnance, décrire les différents types d'ordonnance,"
"187570","191470"," énumérer les différents prescripteurs d'une ordonnance, donner"
"191470","194770"," la classification des médicaments, citer les règles de"
"194770","199090"," la prescription médicamenteuse, décrire les éléments se rattachant"
"199090","200110"," à l'observance."
