"start","end","text"
"1540","5320"," Bonjour, donc nous allons entamer, comme je l "
"5320","9500","'ai expliqué au cours du cours précédent, nous"
"9500","12040"," allons entamer ce qu'on appelle l'étude"
"12040","13820"," de la phase préanalytique en hémostase."
"14160","18060"," Donc c'est une étape primordiale qu'il"
"18060","22680"," faut respecter, sinon la majorité des tests seront"
"22680","24880"," erronés et faux."
"27760","33480"," Donc l'hémostase, globalement, repose sur trois phases. "
"34640","36820"," Donc on a ce qu'on appelle la"
"36820","39480"," phase préanalytique, c'est celle-là."
"40360","45120"," Donc elle va, depuis la prescription, comme je"
"45120","46660"," dis, j'ai déjà dit, c'est-à "
"46660","49620","-dire le malade arrive chez le médecin, il"
"49620","53500"," l'interroge, il l'examine, il va prescrire"
"53500","55860"," l'analyse."
"56580","60100"," Donc la prescription entre déjà dans la phase"
"60100","63739"," préanalytique, pas uniquement, à l'arrivée au laboratoire. "
"64140","68800"," Donc déjà la prescription, ensuite arrive l'étape"
"68800","76320"," du prélèvement, la réception au laboratoire, l'identification"
"76320","81260"," du prélèvement, l'étiquetage du prélèvement, puis le"
"81260","82640"," traitement, c'est-à-dire qu'on va"
"82640","86880"," le centrifugé, on va le préparer pour l "
"86880","91700","'analyse, arriver au poste de travail pour passer"
"91700","94640"," ensuite à l'étape suivante qui s'appelle"
"94640","98560"," l'étape analytique et en hémostase."
"99020","106280"," Donc on va exécuter ces analyses en s "
"106280","108000","'appuyant sur ce qu'on appelle les contrôles"
"108000","112440"," de qualité interne et externe et la validation"
"112440","114520"," technique, c'est-à-dire le technicien qui"
"114520","117300"," a fait l'analyse va valider techniquement et"
"117300","119540"," on passe ensuite à la dernière étape qui"
"119540","123560"," s'appelle l'étape préanalytique, post-analytique, pardon,"
"123840","124980"," l'étape post-analytique."
"125660","129320"," Donc c'est la validation biologique et l "
"129320","130420","'édition des résultats. "
"130780","132700"," Cette validation, elle sert à quoi ?"
"132700","135120"," C'est-à-dire là, le médecin biologiste"
"135120","139560"," ou le pharmacien biologiste va chercher à confronter,"
"140060","143460"," c'est-à-dire ses résultats aux données"
"143460","146080"," cliniques, aux données thérapeutiques, est-ce qu'il"
"146080","148140"," n'y a pas de contradictions, est-ce"
"148140","150180"," qu'il faut compléter par d'autres bilans"
"150180","153080"," qu'il faut indiquer aux cliniciens et ensuite"
"153080","155680"," envoyer le résultat au médecin prescripteur."
"156160","157940"," Donc ce qui nous concerne aujourd'hui, c "
"157940","159500","'est l'étape préanalytique."
"163020","165560"," Le plan que nous allons adopter, ce sera"
