"start","end","text"
"6540","8760"," Bonjour, aujourd'hui on va voir le cours"
"8760","10000"," sur les borélioses."
"12960","16600"," L'agent pathogène borélia, ce sont des bactéries"
"16600","21960"," spiroquettes, mobiles, extracellulaires, transmises par les arthropodes, qui"
"21960","24600"," sont responsables de fièvres récurrentes et de maladies"
"24600","25460"," de Lyme."
"28140","31700"," Pour les fièvres récurrentes, on cite la fièvre"
"31700","34520"," récurrente à poux et la fièvre récurrente à"
"34520","34760"," tiques. "
"37120","38620"," Dans les fièvres récurrentes, comme ce que nous"
"38620","40220"," avons dit, il y a la fièvre récurrente"
"40220","42220"," à poux, dont l'agent pathogène est le"
"42220","45240"," borélia recurrentis, transmise par les poux, et la"
"45240","48120"," fièvre récurrente à tiques, dont on peut trouver"
"48120","53000"," plusieurs types de borélia, le borélia dutonei, borélia"
"53000","58680"," hispanica, borélia parqueri, borélia vénezuelensis, transmises par les"
"58680","58920"," tiques."
"61230","63209"," Les fièvres récurrentes à poux."
"64230","67270"," Sur le plan clinique, l'incubation est de"
"67270","68010"," 2 à 8 jours. "
"68010","70630"," Le début est généralement brusque, avec une fièvre"
"70630","72490"," supérieure ou égale à 40°C."
"73150","76470"," Des alges diffusent, avec injection conjonctivale."
"76670","78550"," A la phase d'état, on aura une"
"78550","80370"," succession des phases fébriles et des phases d "
"80370","80870","'apérexie. "
"81270","83870"," Au cours de la première phase, la fièvre"
"83870","84550"," est en plateau."
"85290","87910"," Présence d'un syndrome algique avec troubles digestifs,"
"88050","90390"," une spléenomégalie à l'examen clinique, et parfois"
"90390","92430"," hépatomégalie et présence d'un nictère."
"92430","95750"," Au septième jour, régression des signes généraux et"
"95750","97410"," apérexie pendant une semaine. "
"97890","101430"," Au quatorzième jour, récurrence fébrile et réapparition des"
"101430","102110"," signes généraux."
"102530","104590"," Ceci va durer 3 à 5 jours, puis"
"104590","106070"," obtention de l'apérexie."
"106650","107790"," Et il faut dire qu'il n'y"
"107790","110090"," a le plus souvent que de récurrence. "
"112350","113970"," Les fièvres récurrentes à tiques."
"116800","120580"," Sur le plan clinique, le tableau clinique est"
"120580","122920"," similaire à celui de la fièvre récurrente à"
"122920","123280"," poux."
"123280","126440"," Cependant, les récurrences et les périodes d'apérexie"
"126440","129080"," sont plus nombreuses et plus courtes. "
"130720","133460"," Voici un tableau comparatif entre la fièvre récurrente"
"133460","135220"," à poux et la fièvre récurrente à tiques."
"135460","137580"," On remarque que la période d'incubation est"
"137580","138920"," la même, il est de 2 à 12"
"138920","139220"," jours."
"139480","141420"," La durée de fièvre de rémission est la"
"141420","143380"," plus courte dans la fièvre récurrente à tiques. "
"143740","145660"," Le nombre de rechutes est le plus important"
"145660","147300"," dans la fièvre récurrente à tiques, il peut"
"147300","148220"," aller jusqu'à 10."
"148220","151240"," La possibilité de réaction de Jari-Sheikh Zemmer"
"151240","155160"," dans la fièvre récurrente à poux est plus"
"155160","158180"," sévère alors qu'il est légère dans la"
"158180","159920"," fièvre récurrente à tiques."
"160120","162160"," Le taux de mortalité est le plus important"
"162160","163960"," dans la fièvre récurrente à poux, il peut"
"163960","166340"," aller jusqu'à 40% alors qu'il"
"166340","168640"," est moins de 10% dans la fièvre"
"168640","169620"," récurrente à tiques. "
"169860","173660"," Pour les complications majeures, on peut observer dans"
"173660","176140"," la fièvre récurrente à poux des complications à"
"176140","180220"," type d'hépatite, myocardite, méningite, choc et hémorragie."
"180800","183380"," Ces complications peuvent être aussi observées dans la"
"183380","186400"," fièvre récurrente à tiques, mais moins sévères."
"186800","189440"," Ce sont essentiellement des complications neurologiques qui peuvent"
"189440","191300"," être observées lors des rechutes. "
"193810","196710"," Pour le traitement des borélioses, il est basé"
"196710","199230"," sur un traitement curatif et un traitement préventif."
"200230","203750"," Pour le traitement curatif, les antibiotiques qui peuvent"
"203750","207550"," être utilisés sont les cyclines, l'érythromycine, la"
"207550","209050"," pénicilline G et l'iphinicolée."
"209530","211130"," La durée de traitement est de 5 à"
"211130","211570"," 10 jours. "
"211950","214530"," Pour le traitement préventif, dans le cadre des"
"214530","216650"," fièvres récurrentes à poux, c'est l'utilisation"
"216650","219650"," des insecticides, l'hygiène corporelle et l'hygiène"
"219650","220610"," vestimentaire."
"221250","224790"," Pour les fièvres récurrentes à tiques, c'est"
"224790","227370"," les réplants et les insecticides."
"230770","233350"," On va voir maintenant la maladie de l "
"233350","233470","'ail. "
"234450","237350"," Plusieurs types de borélias sont responsables de la"
"237350","238190"," maladie de l'ail."
